trial,Choice_RL,Opponent_RA,Feedback_RL,Feedback_RA,RL_estimated_value_left,RL_estimated_value_right,true_alpha,true_tau,cumulative_rate
1,1,1,1,0,0.5,0.5,0,0.5,1
2,0,1,0,1,0.5,0.5,0,0.5,0.5
3,1,1,1,0,0.5,0.5,0,0.5,0.6666666666666666
4,1,1,1,0,0.5,0.5,0,0.5,0.75
5,1,1,1,0,0.5,0.5,0,0.5,0.8
6,0,1,0,1,0.5,0.5,0,0.5,0.6666666666666666
7,1,0,0,1,0.5,0.5,0,0.5,0.7142857142857143
8,0,0,1,0,0.5,0.5,0,0.5,0.625
9,1,1,1,0,0.5,0.5,0,0.5,0.6666666666666666
10,1,1,1,0,0.5,0.5,0,0.5,0.7
11,0,1,0,1,0.5,0.5,0,0.5,0.6363636363636364
12,1,1,1,0,0.5,0.5,0,0.5,0.6666666666666666
13,1,1,1,0,0.5,0.5,0,0.5,0.6923076923076923
14,1,0,0,1,0.5,0.5,0,0.5,0.7142857142857143
15,0,1,0,1,0.5,0.5,0,0.5,0.6666666666666666
16,1,1,1,0,0.5,0.5,0,0.5,0.6875
17,1,1,1,0,0.5,0.5,0,0.5,0.7058823529411765
18,1,1,1,0,0.5,0.5,0,0.5,0.7222222222222222
19,0,1,0,1,0.5,0.5,0,0.5,0.6842105263157895
20,1,0,0,1,0.5,0.5,0,0.5,0.7
21,1,1,1,0,0.5,0.5,0,0.5,0.7142857142857143
22,1,0,0,1,0.5,0.5,0,0.5,0.7272727272727273
23,1,1,1,0,0.5,0.5,0,0.5,0.7391304347826086
24,1,1,1,0,0.5,0.5,0,0.5,0.75
25,1,0,0,1,0.5,0.5,0,0.5,0.76
26,0,1,0,1,0.5,0.5,0,0.5,0.7307692307692307
27,1,0,0,1,0.5,0.5,0,0.5,0.7407407407407407
28,1,1,1,0,0.5,0.5,0,0.5,0.75
29,1,1,1,0,0.5,0.5,0,0.5,0.7586206896551724
30,1,1,1,0,0.5,0.5,0,0.5,0.7666666666666667
31,0,0,1,0,0.5,0.5,0,0.5,0.7419354838709677
32,0,1,0,1,0.5,0.5,0,0.5,0.71875
33,0,1,0,1,0.5,0.5,0,0.5,0.696969696969697
34,0,1,0,1,0.5,0.5,0,0.5,0.6764705882352942
35,0,1,0,1,0.5,0.5,0,0.5,0.6571428571428571
36,1,1,1,0,0.5,0.5,0,0.5,0.6666666666666666
37,0,1,0,1,0.5,0.5,0,0.5,0.6486486486486487
38,0,1,0,1,0.5,0.5,0,0.5,0.631578947368421
39,0,1,0,1,0.5,0.5,0,0.5,0.6153846153846154
40,0,0,1,0,0.5,0.5,0,0.5,0.6
41,1,0,0,1,0.5,0.5,0,0.5,0.6097560975609756
42,0,0,1,0,0.5,0.5,0,0.5,0.5952380952380952
43,1,0,0,1,0.5,0.5,0,0.5,0.6046511627906976
44,1,1,1,0,0.5,0.5,0,0.5,0.6136363636363636
45,1,1,1,0,0.5,0.5,0,0.5,0.6222222222222222
46,1,1,1,0,0.5,0.5,0,0.5,0.6304347826086957
47,0,1,0,1,0.5,0.5,0,0.5,0.6170212765957447
48,1,1,1,0,0.5,0.5,0,0.5,0.625
49,0,0,1,0,0.5,0.5,0,0.5,0.6122448979591837
50,0,1,0,1,0.5,0.5,0,0.5,0.6
51,0,0,1,0,0.5,0.5,0,0.5,0.5882352941176471
52,1,1,1,0,0.5,0.5,0,0.5,0.5961538461538461
53,1,1,1,0,0.5,0.5,0,0.5,0.6037735849056604
54,0,1,0,1,0.5,0.5,0,0.5,0.5925925925925926
55,0,1,0,1,0.5,0.5,0,0.5,0.5818181818181818
56,1,1,1,0,0.5,0.5,0,0.5,0.5892857142857143
57,0,1,0,1,0.5,0.5,0,0.5,0.5789473684210527
58,0,1,0,1,0.5,0.5,0,0.5,0.5689655172413793
59,0,1,0,1,0.5,0.5,0,0.5,0.559322033898305
60,0,1,0,1,0.5,0.5,0,0.5,0.55
61,1,1,1,0,0.5,0.5,0,0.5,0.5573770491803278
62,0,1,0,1,0.5,0.5,0,0.5,0.5483870967741935
63,0,1,0,1,0.5,0.5,0,0.5,0.5396825396825397
64,1,0,0,1,0.5,0.5,0,0.5,0.546875
65,0,1,0,1,0.5,0.5,0,0.5,0.5384615384615384
66,0,0,1,0,0.5,0.5,0,0.5,0.5303030303030303
67,1,1,1,0,0.5,0.5,0,0.5,0.5373134328358209
68,1,0,0,1,0.5,0.5,0,0.5,0.5441176470588235
69,0,0,1,0,0.5,0.5,0,0.5,0.5362318840579711
70,0,1,0,1,0.5,0.5,0,0.5,0.5285714285714286
71,0,1,0,1,0.5,0.5,0,0.5,0.5211267605633803
72,0,1,0,1,0.5,0.5,0,0.5,0.5138888888888888
73,1,1,1,0,0.5,0.5,0,0.5,0.5205479452054794
74,1,1,1,0,0.5,0.5,0,0.5,0.527027027027027
75,0,1,0,1,0.5,0.5,0,0.5,0.52
76,0,0,1,0,0.5,0.5,0,0.5,0.5131578947368421
77,0,0,1,0,0.5,0.5,0,0.5,0.5064935064935064
78,0,1,0,1,0.5,0.5,0,0.5,0.5
79,0,1,0,1,0.5,0.5,0,0.5,0.4936708860759494
80,0,1,0,1,0.5,0.5,0,0.5,0.4875
81,0,1,0,1,0.5,0.5,0,0.5,0.48148148148148145
82,1,0,0,1,0.5,0.5,0,0.5,0.4878048780487805
83,0,1,0,1,0.5,0.5,0,0.5,0.4819277108433735
84,0,1,0,1,0.5,0.5,0,0.5,0.47619047619047616
85,1,1,1,0,0.5,0.5,0,0.5,0.4823529411764706
