# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b53e55bd00.json
# init = 2 (Default)
# random
#   seed = 464448135
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-2-17bef8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-2-2e4eec.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-10.911997,1,1,1,1,0,11.263822,0.42126316,-0.31774221,-0.47011586,-0.54229866,-0.44283038,-0.70655799,8,5,8,2,6,7,4,7,4,3,0.3803545,0.91845602
-10.911997,0,14.38551,0,1,1,10.996954,0.42126316,-0.31774221,-0.47011586,-0.54229866,-0.44283038,-0.70655799,8,3,6,3,7,8,1,5,2,4,0.3803545,0.46758287
-10.911997,0.0038457114,2.4311673,1,1,0,11.224711,0.42126316,-0.31774221,-0.47011586,-0.54229866,-0.44283038,-0.70655799,8,5,5,4,6,4,4,6,2,6,0.3803545,0.27593166
-10.655253,0.99926943,0.24226134,2,5,0,11.009778,0.54852307,-0.39017572,-0.44204568,-0.49373205,-0.46097262,-0.58992737,6,3,6,5,8,8,1,6,4,1,0.39600253,0.4667369
-10.6512,0.9997912,0.32723198,2,7,0,10.665789,0.56188111,-0.39868453,-0.44132148,-0.48950355,-0.46408214,-0.57953806,8,3,8,4,6,6,1,5,6,4,0.3900295,0.46069211
-11.192202,0.88698138,0.51161962,1,3,0,12.268521,0.75953515,-0.5430566,-0.48697041,-0.44717778,-0.54043226,-0.46834086,5,4,3,6,5,6,1,4,4,4,0.091529448,0.33718204
-11.026579,1,0.61628035,1,1,0,11.180712,0.7301748,-0.51950456,-0.47291498,-0.45099221,-0.5252169,-0.47967461,8,1,4,5,4,6,4,8,3,7,0.16730721,0.34700762
-13.545067,0.55570466,1.0966445,2,3,0,13.88698,0.12481595,-0.22010906,-0.6694785,-0.71149436,-0.47186189,-1.1029824,7,2,5,2,3,5,4,3,2,6,-0.42247665,0.59567527
-12.962179,0.99974173,0.49816262,3,7,0,13.787133,0.1606323,-0.22567146,-0.63602785,-0.68696633,-0.46353014,-1.0455184,6,6,4,2,6,8,2,6,3,3,-0.2119843,0.23093889
-12.844668,1,0.92258999,1,1,0,13.300903,0.16897802,-0.22724626,-0.62859543,-0.68141148,-0.46176981,-1.03252,8,4,3,1,4,8,4,3,2,6,-0.17132619,0.52625517
