# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b5222ef633.json
# init = 2 (Default)
# random
#   seed = 2101705023
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-2-1fb998.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-2-4c7e85.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-12.269138,2.2050811e-05,4,1,3,0,12.642669,0.576251,-0.58366139,-0.52736883,-0.44103913,-1.1773163,-1.1607796,8,4,3,6,3,4,4,2,2,4,0.38193354,0.61855346
-12.269138,0.044852737,2.3351584,1,1,0,12.270025,0.576251,-0.58366139,-0.52736883,-0.44103913,-1.1773163,-1.1607796,5,6,3,4,2,6,5,3,2,3,0.38193354,0.86857521
-12.407827,0.99690641,0.25592261,3,7,0,12.546573,0.60719137,-0.56868166,-0.53178557,-0.44221905,-1.2374665,-1.2149911,3,4,3,1,6,5,8,3,5,7,0.35841548,0.53436174
-13.063063,0.97378958,0.26803123,2,5,0,14.081344,0.70687117,-0.53559715,-0.56050126,-0.46370319,-1.4426964,-1.4045776,6,6,7,3,2,6,5,5,4,3,0.21770954,0.78552752
-13.506227,0.99640062,0.33908706,3,7,0,13.551543,0.75417566,-0.52769511,-0.58215611,-0.48419529,-1.5463645,-1.5029267,8,5,3,1,2,7,6,5,3,4,0.10649143,0.20107846
-12.11728,1,0.52563561,2,3,0,13.360524,0.53144232,-0.60949432,-0.5246398,-0.44360927,-1.0931303,-1.0860004,6,3,3,4,3,7,7,1,4,6,0.40150279,0.47589653
-12.123112,0.99803376,0.89561032,1,1,0,12.169476,0.53353467,-0.60817669,-0.52467162,-0.44337967,-1.0969848,-1.0893956,5,4,2,7,3,6,5,4,4,6,0.40095666,0.5865939
-12.555833,0.65489909,1.5938277,1,1,0,12.883478,0.63475789,-0.55724743,-0.53749115,-0.44538955,-1.2924624,-1.2651068,8,6,4,5,5,5,7,2,5,2,0.33005301,0.51947172
-11.99313,1,0.99243082,1,3,0,12.355711,0.40237119,-0.71314244,-0.54047678,-0.47739705,-0.86972145,-0.89431733,8,7,5,2,5,6,3,3,5,4,0.36659377,0.46516419
-11.99313,0.20069848,1.8456085,1,1,0,12.514729,0.40237119,-0.71314244,-0.54047678,-0.47739705,-0.86972145,-0.89431733,8,2,4,1,4,8,5,1,2,2,0.36659377,0.64916975
-12.197979,0.99447128,0.27673524,2,7,0,12.329467,0.55730358,-0.59397878,-0.52568909,-0.4415199,-1.1412977,-1.1286263,5,8,1,7,3,5,6,2,3,6,0.39224328,0.80375359
-11.992405,0.96771519,0.51357973,1,3,0,12.664541,0.40321548,-0.7123143,-0.54026039,-0.47705512,-0.87109121,-0.89545993,4,4,4,4,4,4,4,4,4,5,0.36727613,0.50622218
-12.432985,0.88558201,0.87875576,2,3,0,12.687794,0.26318464,-0.880062,-0.59632607,-0.55425821,-0.66052299,-0.72538515,7,2,5,4,6,4,7,3,2,5,0.15144209,0.32990574
-12.340038,0.98749094,1.1616297,2,3,0,12.562071,0.28035127,-0.85600262,-0.58726472,-0.54262259,-0.68452159,-0.74415029,7,4,2,3,5,3,4,4,1,4,0.19105548,0.45852489
-11.982524,1,2.1090748,1,1,0,12.013082,0.44533982,-0.67359073,-0.53134096,-0.46197051,-0.94096422,-0.95430556,4,7,3,5,6,6,6,3,5,4,0.39344218,0.27899043
-11.982524,0.00073624036,3.9580059,1,1,0,12.028424,0.44533982,-0.67359073,-0.53134096,-0.46197051,-0.94096422,-0.95430556,1,6,3,6,3,7,5,6,4,2,0.39344218,0.74337664
-12.02636,0.98950681,0.34057763,2,7,0,12.326547,0.37611244,-0.73994999,-0.5479434,-0.48879628,-0.82772223,-0.85949714,7,6,4,3,6,3,4,3,4,4,0.34210722,0.44519489
-12.184224,0.98272828,0.62293188,2,3,0,12.227142,0.31625783,-0.80897945,-0.57029416,-0.52022014,-0.73637208,-0.78527441,4,7,3,5,5,7,5,3,5,7,0.26038762,0.43361532
-12.184224,0.58500426,1.1073482,2,3,0,13.432485,0.31625783,-0.80897945,-0.57029416,-0.52022014,-0.73637208,-0.78527441,6,5,2,2,1,3,3,6,3,7,0.26038762,0.66454125
