# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 09:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63638c232.json
# init = 2 (Default)
# random
#   seed = 428751002
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281143-1-893362.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281143-1-7b3859.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.539225,0.0019451321,2,1,1,0,20.544046,0.80688198,-1.5223803,-1.9015663,-1.7461956,-1.5223803,-1.6425192,-1.6695339,-1.5175792,-2.1278074,-1.6515445,-1.519655,3,2,0,7,8,7,6,2,6,4,4,1,2,0,2,3,8,5,8,4,-0.067272183,0.053152673
-20.539225,0.0003395859,2.3433376,1,3,0,20.698073,0.80688198,-1.5223803,-1.9015663,-1.7461956,-1.5223803,-1.6425192,-1.6695339,-1.5175792,-2.1278074,-1.6515445,-1.519655,5,2,2,3,4,4,7,4,6,5,8,0,3,3,7,7,8,5,6,1,-0.067272183,0.51221728
-21.057951,0.99302086,0.23147904,1,3,0,21.361369,0.84156925,-1.5399138,-1.9536319,-1.7821038,-1.5399138,-1.6273292,-1.6558001,-1.5093382,-2.2066511,-1.7015668,-1.5118533,3,3,3,1,8,5,7,8,5,3,8,1,0,0,7,1,7,7,6,4,-0.22316519,0.042600979
-21.022358,1,0.23681049,2,3,0,21.077027,0.83942611,-1.5386952,-1.9502624,-1.7798565,-1.5386952,-1.6281732,-1.6565687,-1.5097927,-2.2015334,-1.6984093,-1.5122959,5,5,4,7,7,7,8,5,8,1,7,2,1,2,7,6,7,4,5,1,-0.21227841,0.21686034
-20.845062,1,0.3200113,1,1,0,21.025212,0.82826974,-1.5326437,-1.9330516,-1.7682189,-1.5326437,-1.6327665,-1.6607392,-1.5122742,-2.1754322,-1.6821142,-1.5146844,4,2,3,5,5,8,7,8,8,2,7,3,2,1,3,6,8,7,6,0,-0.15848722,0.49138587
-19.382142,0.98177673,0.50015614,2,5,0,21.287575,0.67709437,-1.4941677,-1.7489828,-1.620822,-1.4941677,-1.7300479,-1.7459483,-1.5663826,-1.8946858,-1.4857785,-1.5604797,7,4,0,5,6,5,6,6,8,5,7,1,0,2,5,7,7,7,4,0,0.27141968,0.41598793
-19.230543,0.59496883,0.80486922,2,3,0,21.11655,0.642884,-1.4954995,-1.7186677,-1.5902091,-1.4954995,-1.7618702,-1.7728916,-1.5844397,-1.8462228,-1.4480905,-1.5741811,3,6,0,3,7,4,6,2,7,5,8,2,1,0,7,7,8,7,1,4,0.32027388,0.24765065
-19.15983,0.95151218,0.40776734,2,5,0,20.080808,0.49521944,-1.5375548,-1.6286961,-1.4704628,-1.5375548,-1.9482095,-1.9241542,-1.6919012,-1.6833299,-1.3184893,-1.6467063,2,0,2,4,8,6,6,8,7,4,4,2,2,0,8,8,6,8,8,6,0.40537369,0.41623112
-19.343867,0.91667269,0.63648803,1,3,0,19.660537,0.66953158,-1.4941691,-1.7419504,-1.613965,-1.4941691,-1.7367487,-1.7516536,-1.5701746,-1.8835694,-1.4772197,-1.5634056,6,5,4,0,3,2,5,8,6,5,6,5,0,2,2,5,8,7,7,1,0.28333835,0.71642748
-19.297209,1,0.90785591,2,3,0,19.421958,0.65947525,-1.4944306,-1.7328924,-1.6049256,-1.4944306,-1.7459501,-1.7594599,-1.575391,-1.8691475,-1.4660373,-1.567387,6,2,1,2,8,4,6,8,6,4,5,2,2,1,6,7,8,8,3,2,0.29818116,0.43548358
