# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 10:04:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b67ce8cdc7.json
# init = 2 (Default)
# random
#   seed = 1144314483
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281204-1-15339b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281204-1-1740a2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.911572,0.83393139,1,1,1,0,21.914886,0.83084627,-2.0304793,-1.6130232,-1.7519863,-1.6568958,-1.5364805,-2.0304793,-2.328487,-1.6136237,-1.7708974,-1.6547031,2,7,3,4,2,8,2,0,6,8,7,2,5,5,4,7,4,3,6,6,-0.17049835,0.77901167
-21.911572,2.3196062e-64,10.636362,1,2,1,22.014751,0.83084627,-2.0304793,-1.6130232,-1.7519863,-1.6568958,-1.5364805,-2.0304793,-2.328487,-1.6136237,-1.7708974,-1.6547031,8,5,6,4,3,6,2,2,7,6,8,2,6,4,5,8,2,3,7,1,-0.17049835,0.54914922
-23.607754,0.47721601,1.6436906,2,3,0,23.643483,0.25833952,-1.6329786,-1.8757353,-2.313331,-1.6285233,-2.1599905,-1.6329786,-3.8396589,-2.2658438,-1.3256399,-1.6283851,6,3,3,3,6,6,2,3,4,7,6,2,6,3,5,1,3,3,7,4,0.13941516,0.36062684
-24.441778,0.99132144,0.54943027,2,3,0,24.451042,0.20143793,-1.6186657,-1.919582,-2.3860445,-1.6443257,-2.25951,-1.6186657,-4.0492355,-2.3448778,-1.3009953,-1.6454432,6,3,5,4,3,6,0,1,6,8,1,3,8,5,3,7,0,1,8,4,-0.035457085,0.26521664
-21.731901,1,0.7696729,2,7,0,24.115108,0.80979906,-2.0058107,-1.6169841,-1.7672824,-1.6492813,-1.5468105,-2.0058107,-2.3688111,-1.6328248,-1.7491771,-1.6478221,6,0,2,5,2,7,6,1,4,6,5,3,3,4,4,7,4,5,5,4,-0.078883859,0.76480146
-22.191996,0.85898521,1.2497568,1,1,0,22.401624,0.85713994,-2.0626756,-1.6086983,-1.7334516,-1.667199,-1.5250762,-2.0626756,-2.2794924,-1.5901881,-1.7985442,-1.6639072,5,5,4,8,6,4,3,6,5,5,7,4,3,4,7,7,5,2,4,4,-0.30828432,0.52702072
-21.527785,1,1.415447,1,3,0,21.629034,0.50323926,-1.7413042,-1.7240601,-2.0360388,-1.5974974,-1.8091278,-1.7413042,-3.0771157,-1.9547114,-1.4764279,-1.5975253,6,5,3,7,2,5,4,3,7,1,5,6,4,4,3,7,4,1,6,2,0.40542314,0.80130931
-21.527785,0.00014492016,2.553706,1,1,0,22.049467,0.50323926,-1.7413042,-1.7240601,-2.0360388,-1.5974974,-1.8091278,-1.7413042,-3.0771157,-1.9547114,-1.4764279,-1.5975253,8,4,3,6,0,5,2,2,7,7,8,5,1,6,2,8,1,4,5,4,0.40542314,0.45814008
-22.173963,0.98668306,0.2040615,3,11,0,22.984465,0.85563253,-2.0607874,-1.6089275,-1.7344969,-1.6665843,-1.5256844,-2.0607874,-2.2822601,-1.5915149,-1.7969439,-1.6633613,8,5,7,6,7,4,3,5,3,8,8,5,3,3,4,8,1,1,3,3,-0.29954818,0.94459031
-21.565277,0.99271726,0.36108945,1,3,0,22.716175,0.78561134,-1.9786292,-1.6220809,-1.785364,-1.6412137,-1.559974,-1.9786292,-2.4163821,-1.6553695,-1.7246697,-1.6404496,8,3,5,5,4,5,1,3,7,4,6,6,2,5,6,7,4,4,3,6,0.01050165,0.40804676
