# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:27:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b640e5dd68.json
# init = 2 (Default)
# random
#   seed = 1685414154
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281427-1-34b4ae.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281427-1-5e8ac8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.678634,0.0030497755,2,2,3,0,21.70253,0.64232129,-1.8070438,-2.5326227,-1.8070438,-2.5885351,-1.7182008,-1.6242748,-1.5086939,-1.6077848,-1.7358173,-1.8070438,6,8,3,8,6,8,2,5,1,5,2,7,3,6,5,3,3,2,7,0,0.32097266,0.088012365
-21.678634,0.0043029745,2.3480488,1,1,0,21.846531,0.64232129,-1.8070438,-2.5326227,-1.8070438,-2.5885351,-1.7182008,-1.6242748,-1.5086939,-1.6077848,-1.7358173,-1.8070438,3,8,5,6,3,2,1,4,7,7,7,8,2,6,3,7,4,3,3,5,0.32097266,0.57743331
-21.040492,0.9968873,0.23426075,1,3,0,21.98399,0.58058229,-1.7693039,-2.4088311,-1.7693039,-2.449021,-1.6729351,-1.5800263,-1.4993864,-1.6006186,-1.6965388,-1.7693039,4,5,4,5,5,8,0,3,3,5,6,7,5,4,7,7,0,5,3,6,0.37914781,0.53666536
-20.899668,0.99932024,0.24251604,2,3,0,21.124102,0.5648086,-1.7602642,-2.3794571,-1.7602642,-2.4144859,-1.6632049,-1.5700921,-1.4977385,-1.5994596,-1.6879614,-1.7602642,3,6,6,2,5,4,3,4,2,4,5,5,3,3,7,2,3,6,4,2,0.38852176,0.66479957
-20.730784,1,0.32764844,1,1,0,20.895794,0.54445992,-1.7489632,-2.3428181,-1.7489632,-2.3705945,-1.6517129,-1.558119,-1.4960636,-1.5983622,-1.6777588,-1.7489632,6,8,4,4,4,7,3,0,3,6,4,8,6,7,5,5,1,0,5,6,0.39752695,0.52339829
-20.589102,1,0.51261811,2,5,0,20.906458,0.14647319,-1.6092514,-1.8445231,-1.6092514,-1.6603973,-1.6389046,-1.5470512,-1.5824349,-1.6626025,-1.6668516,-1.6092514,2,6,1,2,7,5,4,3,6,3,4,7,0,1,4,7,3,7,7,0,-0.28753173,0.62460228
-20.07065,1,0.87283956,2,3,0,20.482416,0.21187779,-1.6215248,-1.9030475,-1.6215248,-1.757408,-1.6154231,-1.5147762,-1.5503501,-1.6411882,-1.6441872,-1.6215248,7,6,4,5,7,5,5,6,4,2,7,8,4,7,6,5,2,0,6,1,0.001911739,0.45594043
-20.07065,0.084755366,1.5621731,1,1,0,20.292399,0.21187779,-1.6215248,-1.9030475,-1.6215248,-1.757408,-1.6154231,-1.5147762,-1.5503501,-1.6411882,-1.6441872,-1.6215248,4,7,5,4,6,5,5,0,4,4,7,8,7,3,6,3,1,4,0,2,0.001911739,0.94741056
-20.343727,0.99712782,0.16208391,2,5,0,20.531646,0.17191153,-1.613517,-1.8663798,-1.613517,-1.6971625,-1.6286414,-1.5325494,-1.5689692,-1.6537769,-1.6568757,-1.613517,2,8,5,5,5,4,1,4,8,3,4,8,8,7,6,7,4,3,5,5,-0.15765109,0.6421887
-20.693429,0.98962629,0.29609733,1,3,0,20.926391,0.13741147,-1.607889,-1.8370073,-1.607889,-1.6476027,-1.6429062,-1.5528485,-1.5875474,-1.6658988,-1.6707651,-1.607889,3,7,3,4,8,6,2,1,7,3,7,5,6,6,6,6,1,3,4,5,-0.34083344,0.84146314
-24.109606,0.91481747,0.53670799,3,7,0,24.385396,0.023173463,-1.5978878,-1.7537575,-1.5978878,-1.5004891,-1.7088216,-1.6580051,-1.6675192,-1.7143106,-1.736652,-1.5978878,4,5,4,8,4,6,0,5,4,3,5,7,7,3,5,8,2,6,3,4,-1.9964342,0.20965617
-20.679973,0.94503467,0.77390187,3,7,0,23.285223,0.53797816,-1.7454486,-2.3314348,-1.7454486,-2.3567692,-1.6482993,-1.5545066,-1.4956381,-1.5981062,-1.6747118,-1.7454486,6,6,7,6,7,4,2,0,5,5,3,8,6,3,7,4,1,0,5,7,0.39967904,0.50872237
-20.366664,1,1.2313761,1,3,0,20.588321,0.16922667,-1.6130362,-1.8640195,-1.6130362,-1.6932235,-1.6296569,-1.5339594,-1.5703298,-1.6546786,-1.6578585,-1.6130362,6,6,5,3,6,1,2,5,4,2,4,5,6,5,4,7,3,5,6,2,-0.17015505,0.64115875
-20.366664,0.018097318,2.3266825,2,3,0,20.505752,0.16922667,-1.6130362,-1.8640195,-1.6130362,-1.6932235,-1.6296569,-1.5339594,-1.5703298,-1.6546786,-1.6578585,-1.6130362,2,8,3,6,5,4,4,2,3,3,5,4,3,5,8,6,1,6,5,5,-0.17015505,0.56410683
