# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:27:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6140c3d17.json
# init = 2 (Default)
# random
#   seed = 780230540
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281427-2-5fb953.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281427-2-13f641.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.000396,1,1,1,1,0,20.447118,0.4195822,-1.6884641,-2.1456466,-1.6884641,-2.1173498,-1.605931,-1.506371,-1.4974683,-1.6012269,-1.6360047,-1.6884641,6,7,6,5,5,5,3,2,4,5,3,8,6,4,4,3,0,2,4,5,0.37925656,0.6030834
-20.000396,9.0772962e-98,14.38551,1,1,0,20.054095,0.4195822,-1.6884641,-2.1456466,-1.6884641,-2.1173498,-1.605931,-1.506371,-1.4974683,-1.6012269,-1.6360047,-1.6884641,5,6,4,5,6,5,0,6,6,1,1,8,2,3,6,7,2,5,7,7,0.37925656,0.32589339
-19.805415,1,2.4311673,1,1,0,19.820327,0.31768023,-1.650348,-2.0149353,-1.650348,-1.9311071,-1.5978966,-1.4942657,-1.51481,-1.6154491,-1.6279738,-1.650348,4,7,6,6,4,6,2,2,2,2,5,6,3,7,5,7,4,0,4,5,0.26279264,0.24487644
-19.805415,0.021797045,3.4442552,1,1,0,19.827384,0.31768023,-1.650348,-2.0149353,-1.650348,-1.9311071,-1.5978966,-1.4942657,-1.51481,-1.6154491,-1.6279738,-1.650348,5,8,1,5,7,2,3,2,7,1,3,7,2,3,5,2,1,6,4,2,0.26279264,0.67188026
-19.837774,0.99304827,0.34517316,3,7,0,20.057266,0.27951245,-1.6386811,-1.9719676,-1.6386811,-1.8661047,-1.6012545,-1.4974984,-1.5254452,-1.6234577,-1.6309318,-1.6386811,6,6,6,5,5,8,1,3,4,6,5,7,7,8,7,1,0,5,6,7,0.18922389,0.5464578
-20.265838,0.93408522,0.53015879,1,3,0,20.550013,0.18164256,-1.6153201,-1.8750417,-1.6153201,-1.7115536,-1.6250949,-1.5276716,-1.5641556,-1.6505679,-1.6534515,-1.6153201,5,8,3,1,7,4,4,2,3,4,3,6,4,7,2,4,0,2,6,2,-0.11441109,0.61312593
-20.203396,1,0.73839799,2,3,0,20.314107,0.19025062,-1.6169939,-1.8828455,-1.6169939,-1.7244336,-1.6221333,-1.5236563,-1.5600495,-1.6478063,-1.6506024,-1.6169939,4,4,5,2,4,2,4,2,5,3,2,6,2,5,4,4,1,7,7,5,-0.078684058,0.81674878
-19.808041,1,1.3178935,1,1,0,19.930049,0.32983551,-1.6543628,-2.0292726,-1.6543628,-1.9523558,-1.5975429,-1.4941625,-1.5119143,-1.6132033,-1.6277142,-1.6543628,5,6,3,6,6,6,1,2,7,6,3,6,7,5,4,8,4,3,4,3,0.28236618,0.41874459
-21.423031,0.086652805,2.4230099,1,1,0,22.396129,0.091102633,-1.602224,-1.8007449,-1.602224,-1.5847468,-1.666178,-1.5879824,-1.6163844,-1.6839929,-1.6937464,-1.602224,4,6,3,5,6,2,2,3,1,4,0,4,6,6,4,8,0,7,2,3,-0.6995322,0.43783583
-20.283819,1,0.25296095,3,7,0,21.407716,0.17930513,-1.6148784,-1.8729457,-1.6148784,-1.7080804,-1.6259275,-1.5288102,-1.5652951,-1.6513302,-1.6542543,-1.6148784,4,8,1,5,5,4,6,2,2,5,6,4,5,2,3,7,2,5,4,4,-0.12451071,0.73292704
