# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b65c630f9.json
# init = 2 (Default)
# random
#   seed = 1993046886
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281428-1-963e2a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281428-1-2b5d9c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-24.488075,3.620357e-14,4,1,1,0,25.106683,0.81998207,-1.9369509,-2.9882882,-1.9369509,-3.0300339,-1.9206189,-1.7972985,-1.5593644,-1.6528957,-1.9023794,-1.9369509,1,8,4,5,6,4,0,2,7,6,3,7,5,4,6,6,2,2,7,5,-0.12141215,0.74393393
-24.488075,0.0018683061,2.3350648,1,3,0,24.510654,0.81998207,-1.9369509,-2.9882882,-1.9369509,-3.0300339,-1.9206189,-1.7972985,-1.5593644,-1.6528957,-1.9023794,-1.9369509,5,6,7,5,4,8,5,3,3,3,4,7,6,4,5,5,7,5,7,5,-0.12141215,0.50093689
-23.499167,0.99992004,0.23125196,2,3,0,24.486968,0.76915265,-1.8965061,-2.8398299,-1.8965061,-2.8974532,-1.8506426,-1.7410357,-1.5413946,-1.6361355,-1.8462282,-1.8965061,3,7,6,3,6,3,1,1,2,4,2,8,4,5,4,8,2,3,7,7,0.063295041,0.3265314
-22.529529,1,0.24093684,3,7,0,23.494133,0.70833651,-1.8515872,-2.6825522,-1.8515872,-2.7455052,-1.7800883,-1.6807897,-1.5235018,-1.6201977,-1.7881516,-1.8515872,1,8,6,4,4,2,3,2,8,0,2,6,7,4,8,4,0,1,4,8,0.21476889,0.71702007
-22.409276,1,0.32599385,1,1,0,22.591123,0.69984438,-1.8456126,-2.6621349,-1.8456126,-2.7248534,-1.7713008,-1.672997,-1.5213236,-1.6183197,-1.7808054,-1.8456126,2,8,3,4,6,4,0,4,7,3,6,8,6,7,6,6,4,1,3,3,0.23140799,0.70446864
-23.172039,0.96564883,0.50991713,1,1,0,23.215784,0.75001681,-1.8819672,-2.7881374,-1.8819672,-2.848869,-1.8269594,-1.7212438,-1.5353351,-1.6306447,-1.8269061,-1.8819672,4,7,5,1,4,3,1,3,4,1,3,6,2,6,8,6,4,2,4,5,0.11773821,0.46414815
-20.218878,1,0.78144733,2,3,0,22.8218,0.18804003,-1.616557,-1.8808287,-1.616557,-1.7211126,-1.6228781,-1.5246609,-1.5610904,-1.6485086,-1.651318,-1.616557,6,7,5,2,4,6,2,3,3,0,4,7,4,7,6,6,0,4,1,4,-0.087645187,0.097048165
-21.046073,0.7102576,1.3960395,1,1,0,21.269969,0.11199778,-1.6045106,-1.8166684,-1.6045106,-1.6125795,-1.655094,-1.5709579,-1.6028003,-1.6755701,-1.6827565,-1.6045106,3,6,4,3,7,6,1,4,3,5,4,6,7,7,2,8,1,2,2,2,-0.51629781,0.2959112
-20.097521,0.9637058,1.0331359,2,3,0,21.672671,0.20704074,-1.6204711,-1.8984544,-1.6204711,-1.7499571,-1.6168329,-1.5166147,-1.5524438,-1.6426286,-1.64553,-1.6204711,8,5,5,6,3,6,1,5,8,0,7,6,6,2,2,8,1,3,1,1,-0.015063668,0.4458008
-20.31288,0.83352261,1.7135837,1,1,0,20.705354,0.17564623,-1.6141978,-1.8696843,-1.6141978,-1.7026644,-1.6272554,-1.5306344,-1.5671,-1.6525343,-1.6555359,-1.6141978,2,8,7,4,6,6,1,0,8,2,8,3,6,6,4,7,4,5,1,2,-0.14067938,0.67975519
