# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:29:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b62204b3b9.json
# init = 2 (Default)
# random
#   seed = 231952463
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281429-1-0c7037.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281429-1-410d9c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.350029,1.079896e-15,4,1,3,0,22.591598,0.69557057,-1.8426332,-2.6519923,-1.8426332,-2.7145118,-1.7669732,-1.6691331,-1.5202576,-1.6174063,-1.7771777,-1.8426332,4,8,2,3,6,5,3,5,3,3,3,7,0,1,5,6,3,3,6,3,0.23942069,0.46669962
-22.350029,0.00084662179,2.3350648,1,1,0,22.409368,0.69557057,-1.8426332,-2.6519923,-1.8426332,-2.7145118,-1.7669732,-1.6691331,-1.5202576,-1.6174063,-1.7771777,-1.8426332,2,7,6,5,5,7,2,1,1,4,6,5,2,3,6,7,4,1,3,6,0.23942069,0.44993241
-21.190193,0.99819148,0.23069574,4,15,0,23.267194,0.59636055,-1.778591,-2.4390975,-1.778591,-2.4840155,-1.683401,-1.590527,-1.5013356,-1.6020494,-1.7057076,-1.778591,3,6,4,4,7,3,3,4,4,7,2,8,6,3,8,4,2,6,8,6,0.36761637,0.6086034
-21.315422,0.9971051,0.23917757,1,1,0,21.318065,0.60888295,-1.7861363,-2.4637699,-1.7861363,-2.5121103,-1.6922384,-1.5992583,-1.5030944,-1.6033797,-1.7134068,-1.7861363,6,8,1,3,8,3,5,5,5,6,4,7,3,5,4,2,3,1,5,6,0.35688183,0.72129159
-20.373817,0.99971925,0.32077807,4,15,0,21.369466,0.49417785,-1.722775,-2.257976,-1.722775,-2.2653058,-1.6282807,-1.5326949,-1.4941591,-1.5975487,-1.6566665,-1.722775,8,6,6,0,6,5,6,5,4,4,6,4,3,4,3,5,3,1,5,7,0.40532951,0.6270944
-20.701359,0.95871944,0.50098723,1,1,0,20.707882,0.54072869,-1.746935,-2.3362486,-1.746935,-2.3626268,-1.6497334,-1.5560276,-1.4958122,-1.5982093,-1.6759929,-1.746935,3,8,1,1,7,4,2,4,5,4,6,7,5,4,5,4,2,2,4,3,0.39880769,0.87258444
-20.320474,1,0.75128617,1,1,0,20.685504,0.48544694,-1.7184792,-2.2440254,-1.7184792,-2.2474809,-1.6249127,-1.5288975,-1.4941605,-1.5976799,-1.6535958,-1.7184792,4,8,4,8,7,6,0,3,4,3,2,6,6,4,7,4,1,3,4,2,0.40461758,0.63350042
-19.903478,1,1.3412812,1,1,0,19.976062,0.25178769,-1.6311028,-1.942634,-1.6311028,-1.8205358,-1.6058038,-1.5027285,-1.5346887,-1.6301806,-1.6351228,-1.6311028,7,5,5,2,6,8,1,2,4,3,5,5,5,3,5,8,4,5,2,6,0.12252193,0.29810206
-19.903478,0.00012393577,2.4664282,1,1,0,20.039732,0.25178769,-1.6311028,-1.942634,-1.6311028,-1.8205358,-1.6058038,-1.5027285,-1.5346887,-1.6301806,-1.6351228,-1.6311028,5,8,2,4,4,3,4,6,4,3,3,6,4,8,1,4,4,4,3,1,0.12252193,0.53676214
-19.807377,0.99915203,0.1959447,3,11,0,20.034421,0.32829231,-1.6538451,-2.0274344,-1.6538451,-1.9496435,-1.5975685,-1.4941514,-1.512269,-1.6134803,-1.6277289,-1.6538451,2,8,3,2,4,1,0,2,5,4,3,5,6,6,5,8,1,6,6,2,0.27997657,0.81068185
