# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b64c13f970.json
# init = 2 (Default)
# random
#   seed = 910202326
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281429-1-4f7e36.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281429-1-288318.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.734867,1,1,1,1,0,20.084031,0.61338481,-1.6011835,-1.6039003,-1.4993114,-1.6024825,-2.8125669,-1.8193471,-1.5013937,-1.3962265,-1.3962265,-1.6240524,3,3,3,4,6,2,4,4,1,4,3,6,5,2,7,2,2,2,2,8,0.35267126,0.40227607
-19.734867,2.4450029e-147,14.38551,1,1,0,20.727589,0.61338481,-1.6011835,-1.6039003,-1.4993114,-1.6024825,-2.8125669,-1.8193471,-1.5013937,-1.3962265,-1.3962265,-1.6240524,2,2,6,3,3,3,0,1,1,6,8,2,4,5,6,5,8,0,4,5,0.35267126,0.45835174
-19.734867,0.12608755,2.4311673,1,3,0,20.05776,0.61338481,-1.6011835,-1.6039003,-1.4993114,-1.6024825,-2.8125669,-1.8193471,-1.5013937,-1.3962265,-1.3962265,-1.6240524,3,1,1,2,8,5,0,2,1,8,7,5,5,3,6,6,3,2,2,7,0.35267126,0.40007205
-19.864607,0.94130285,0.33554434,2,7,0,21.520823,0.2812548,-1.7678754,-1.6230606,-1.6905495,-1.4972522,-2.0769044,-1.6671231,-1.5262798,-1.6594841,-1.6594841,-1.499109,7,0,2,2,7,2,4,0,2,5,6,1,5,1,8,6,0,3,6,6,0.19301684,0.60793951
-19.863057,1,0.39319786,2,3,0,19.902426,0.28147661,-1.767683,-1.6230103,-1.6903391,-1.4972216,-2.0772511,-1.6671856,-1.5262194,-1.6592742,-1.6592742,-1.4990721,5,3,2,3,4,5,1,1,0,6,4,2,3,0,7,5,4,5,1,7,0.19349651,0.91027724
-19.333436,0.99969143,0.6200721,2,3,0,19.860297,0.40094539,-1.6797817,-1.6030418,-1.5923759,-1.5020235,-2.2887107,-1.7082906,-1.5016983,-1.5525299,-1.5525299,-1.4997883,0,6,4,3,3,1,2,2,3,8,2,1,1,7,3,2,2,3,2,8,0.36542691,0.53665056
-19.27586,1,1.0602351,1,1,0,19.300569,0.45178092,-1.6518663,-1.5989314,-1.5602589,-1.5160137,-2.3950416,-1.7303466,-1.4963344,-1.5110577,-1.5110577,-1.5136751,7,1,2,5,8,3,1,0,2,7,7,1,5,3,4,3,3,0,4,7,0.39612127,0.92463166
-19.27586,0.5636319,1.9036976,1,1,0,19.330295,0.45178092,-1.6518663,-1.5989314,-1.5602589,-1.5160137,-2.3950416,-1.7303466,-1.4963344,-1.5110577,-1.5110577,-1.5136751,4,3,4,3,7,2,2,1,3,4,3,4,3,3,4,2,5,0,2,3,0.39612127,0.47625735
-19.292338,0.94752214,0.89132301,2,3,0,19.390906,0.42672562,-1.6649167,-1.6006255,-1.5753534,-1.5082795,-2.3413149,-1.7191296,-1.4985853,-1.531194,-1.531194,-1.5057352,4,1,2,3,8,3,0,1,2,8,6,3,4,4,6,1,4,1,3,8,0.38375459,0.71544498
-19.334683,0.95692212,1.403711,1,1,0,19.372658,0.40034686,-1.6801441,-1.6031059,-1.5927888,-1.5018992,-2.2875208,-1.7080474,-1.50178,-1.5530326,-1.5530326,-1.4996762,3,0,1,2,6,1,2,1,0,7,5,4,2,3,2,5,4,1,2,8,0.36493162,0.65036752
