# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:30:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b636dfa150.json
# init = 2 (Default)
# random
#   seed = 1924219980
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281430-1-11e471.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281430-1-469275.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.698629,0.046933345,2,1,1,0,22.710562,0.84720684,-1.636632,-1.6632025,-1.543207,-1.8296262,-3.7338004,-2.0030782,-1.5789685,-1.2835504,-1.2835504,-2.0540526,6,2,2,6,7,0,0,1,1,7,8,4,2,6,5,0,1,2,4,8,-0.25272112,0.80365905
-22.698629,1.5578488e-05,2.5430725,1,1,0,22.699336,0.84720684,-1.636632,-1.6632025,-1.543207,-1.8296262,-3.7338004,-2.0030782,-1.5789685,-1.2835504,-1.2835504,-2.0540526,5,4,4,1,6,4,1,3,6,6,3,5,5,7,8,0,1,0,2,6,-0.25272112,0.31155331
-22.566096,1,0.25717682,1,1,0,22.716545,0.84115389,-1.6339535,-1.6608293,-1.5396762,-1.8223068,-3.7028312,-1.9974338,-1.575724,-1.2855295,-1.2855295,-2.0366822,7,0,0,6,2,4,2,0,4,7,7,1,4,5,8,0,0,2,1,6,-0.22104058,0.74929833
-23.766434,0.99829044,0.27174765,3,7,0,23.766737,0.88906521,-1.6579326,-1.6809137,-1.5717764,-1.8823019,-3.9631034,-2.043493,-1.6034683,-1.2714319,-1.2714319,-2.187786,7,1,2,7,8,5,0,4,1,7,7,2,0,6,6,3,1,3,3,8,-0.52463793,0.84924314
-20.937439,1,0.369084,3,7,0,23.907452,0.74381013,-1.6041786,-1.6289584,-1.5017306,-1.7149885,-3.2653304,-1.9133406,-1.5331333,-1.32463,-1.32463,-1.810907,7,0,3,1,2,1,0,2,6,5,4,0,5,1,6,6,5,0,1,5,0.13395356,0.11461942
-21.298403,0.99420145,0.58044446,3,7,0,21.64998,0.77003028,-1.6097903,-1.636398,-1.5086345,-1.7419618,-3.3731475,-1.9347773,-1.5428979,-1.3128035,-1.3128035,-1.8629222,4,3,8,2,6,3,6,3,2,6,4,4,3,5,8,2,3,1,3,6,0.060626397,0.15944849
-21.298403,0.76568135,0.97419641,1,1,0,23.873982,0.77003028,-1.6097903,-1.636398,-1.5086345,-1.7419618,-3.3731475,-1.9347773,-1.5428979,-1.3128035,-1.3128035,-1.8629222,5,1,1,6,7,0,3,1,0,8,7,0,2,1,8,4,1,1,2,8,0.060626397,0.95744274
-19.547495,0.99075494,0.84232419,2,3,0,20.719897,0.57808639,-1.6072374,-1.6004172,-1.5069793,-1.5784167,-2.7096929,-1.7973887,-1.4972493,-1.4189833,-1.4189833,-1.5901731,4,7,1,4,8,5,1,3,6,7,5,1,2,1,5,4,4,3,2,4,0.38077281,0.4454716
-19.878653,0.70002742,1.4978189,1,1,0,19.904153,0.27926112,-1.7696096,-1.6235153,-1.692445,-1.4975346,-2.0737956,-1.666563,-1.5268254,-1.6613725,-1.6613725,-1.4994465,5,4,1,2,7,3,3,3,2,8,3,1,6,1,4,5,1,8,1,6,0.18867307,0.63852586
-19.312799,1,1.0823403,1,1,0,19.605561,0.41199809,-1.6732303,-1.6019226,-1.5848943,-1.504491,-2.3109388,-1.7128508,-1.5002658,-1.5433067,-1.5433067,-1.5020682,7,2,3,3,8,1,1,1,2,7,2,3,2,4,5,4,6,1,1,7,0.37399782,0.71300225
-19.312799,2.3984649e-05,2.0309328,2,3,0,22.161056,0.41199809,-1.6732303,-1.6019226,-1.5848943,-1.504491,-2.3109388,-1.7128508,-1.5002658,-1.5433067,-1.5433067,-1.5020682,8,0,3,5,4,3,2,3,3,8,4,8,2,4,5,4,1,3,0,2,0.37399782,0.83701116
-19.470927,0.99837203,0.16258198,3,15,0,19.519721,0.35443903,-1.7102781,-1.6091105,-1.6268288,-1.4952739,-2.2003132,-1.6905189,-1.5093053,-1.5925669,-1.5925669,-1.4944549,7,2,0,1,7,1,5,3,0,7,5,3,1,1,6,2,3,4,1,6,0.31690491,0.61865407
-20.146704,0.94645995,0.30744311,2,7,0,21.661539,0.66963778,-1.5974971,-1.6123161,-1.4941679,-1.646524,-2.9925716,-1.8573603,-1.511794,-1.3628494,-1.3628494,-1.6916068,6,1,2,2,8,2,2,3,1,8,3,1,4,8,8,0,1,1,0,8,0.28317555,0.81989907
-21.884302,0.80980316,0.49416683,2,5,0,23.748564,0.11732554,-1.9402716,-1.6734905,-1.8740269,-1.5669302,-1.8618891,-1.6345286,-1.5851921,-1.8259329,-1.8259329,-1.5609039,2,6,4,2,7,2,5,6,1,4,6,2,3,1,5,6,2,2,3,4,-0.47584216,0.22720398
-20.768917,0.99996593,0.51798816,3,7,0,22.007389,0.18684176,-1.8597224,-1.6488913,-1.7894349,-1.5252131,-1.9433822,-1.6450432,-1.5567955,-1.7526191,-1.7526191,-1.5265508,6,5,1,3,5,2,1,1,0,8,4,1,2,4,4,2,2,1,2,3,-0.092563294,0.66804976
-19.899197,0.96642494,0.98062604,2,3,0,20.652326,0.27639232,-1.7721204,-1.6241764,-1.6951872,-1.4979631,-2.0693449,-1.6657643,-1.5276182,-1.6640958,-1.6640958,-1.4999512,3,3,4,0,6,1,3,5,8,6,2,0,2,1,7,2,1,5,1,8,0.18231958,0.23848732
-19.899197,0.0069176928,1.6629597,2,3,0,20.812131,0.27639232,-1.7721204,-1.6241764,-1.6951872,-1.4979631,-2.0693449,-1.6657643,-1.5276182,-1.6640958,-1.6640958,-1.4999512,7,1,5,1,7,4,1,1,3,7,5,3,1,0,5,4,0,6,5,0,0.18231958,0.85141959
-19.91337,0.99998553,0.14952095,3,7,0,19.914328,0.27444476,-1.7738353,-1.6246298,-1.6970587,-1.498269,-2.0663387,-1.6652269,-1.5281615,-1.6659486,-1.6659486,-1.5003065,4,2,4,1,8,3,4,1,2,6,5,2,4,1,7,5,2,5,0,6,0.17793611,0.65105444
-19.647503,0.99839183,0.28318236,1,3,0,20.032038,0.31629312,-1.7388301,-1.6157148,-1.6586113,-1.4943053,-2.1336927,-1.6776326,-1.5174047,-1.6268588,-1.6268588,-1.4949702,6,0,5,4,7,2,5,2,4,8,5,4,4,2,7,2,2,2,4,6,0.26044757,0.62756355
-19.285359,0.98949561,0.5290529,3,7,0,19.852734,0.43379148,-1.6610968,-1.6000823,-1.5709508,-1.5102975,-2.3562017,-1.7222245,-1.4978725,-1.525455,-1.525455,-1.5077545,0,8,2,3,7,7,7,0,1,6,1,5,3,5,5,2,1,2,2,6,0.38777529,0.18416017
-19.285359,0.40239393,0.95357546,1,3,0,20.68625,0.43379148,-1.6610968,-1.6000823,-1.5709508,-1.5102975,-2.3562017,-1.7222245,-1.4978725,-1.525455,-1.525455,-1.5077545,2,1,1,6,7,2,0,1,1,8,5,2,3,7,5,4,3,3,6,5,0.38777529,0.64117912
-21.488962,0.92880805,0.30016794,3,7,0,21.877129,0.78257518,-1.6130927,-1.640252,-1.5127707,-1.7553732,-3.4271384,-1.9453458,-1.548002,-1.3074728,-1.3074728,-1.8899069,8,3,2,2,8,1,1,1,2,7,3,0,0,2,8,2,2,2,1,6,0.020692031,0.6489959
-19.434254,1,0.45105061,3,7,0,21.323302,0.36446124,-1.7033058,-1.6076178,-1.6190018,-1.4962223,-2.21868,-1.6941563,-1.5074529,-1.5837728,-1.5837728,-1.495037,5,2,7,2,8,4,1,2,2,8,2,2,5,4,7,2,3,1,0,6,0.3291422,0.60985928
-20.104191,0.81556434,0.82820521,2,3,0,20.461278,0.66465247,-1.5975236,-1.6114259,-1.4942592,-1.642343,-2.9757573,-1.8538391,-1.5106775,-1.3656593,-1.3656593,-1.6848887,3,4,3,1,3,6,1,2,0,6,2,5,1,3,6,2,3,2,4,8,0.29068061,0.25581093
