# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:30:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b617f9e704.json
# init = 2 (Default)
# random
#   seed = 1658412450
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281430-1-26c139.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281430-1-76403d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.257877,0.2541814,2,2,3,0,21.677088,0.42565031,-1.688173,-2.5479509,-2.2534414,-1.688173,-1.9068871,-1.8032094,-1.8032094,-1.5079837,-1.6655076,-1.5760334,5,5,0,6,6,2,3,7,3,8,4,5,1,4,7,1,3,8,4,4,0.38310548,0.18369911
-21.257877,8.0519469e-19,3.7068692,2,3,0,21.8627,0.42565031,-1.688173,-2.5479509,-2.2534414,-1.688173,-1.9068871,-1.8032094,-1.8032094,-1.5079837,-1.6655076,-1.5760334,4,8,2,3,1,2,3,6,6,2,3,6,0,5,5,6,3,5,7,1,0.38310548,0.28413099
-20.866033,1,0.4191444,1,1,0,21.251615,0.46212561,-1.6658601,-2.4697135,-2.2078628,-1.6658601,-1.8593895,-1.7461238,-1.7461238,-1.5196722,-1.6468805,-1.5544496,4,4,2,7,0,6,1,4,3,0,1,7,5,5,3,4,1,6,3,1,0.39971071,0.85872556
-20.024737,0.98223013,0.47205001,3,7,0,21.719125,0.85134936,-1.5098997,-1.8620573,-1.8427385,-1.5098997,-1.5274428,-1.3098051,-1.3098051,-1.8346788,-1.6385229,-1.5457084,3,7,3,5,7,2,2,5,5,1,3,2,1,7,4,3,2,5,8,0,-0.27532966,0.62331829
-19.82072,1,0.63729359,1,1,0,20.005612,0.82655392,-1.5150643,-1.8896341,-1.8600703,-1.5150643,-1.5385013,-1.3265042,-1.3265042,-1.8049625,-1.6279014,-1.531756,2,6,0,8,5,1,8,7,4,5,0,6,1,8,2,3,2,7,5,6,-0.15061917,0.15372055
-19.728521,1,1.0263452,1,1,0,19.877031,0.81204787,-1.5184076,-1.9064211,-1.8705538,-1.5184076,-1.5456565,-1.3371133,-1.3371133,-1.7881644,-1.6224542,-1.5247012,3,5,2,6,2,6,2,5,2,1,2,4,3,8,3,0,1,8,7,4,-0.088004513,0.34871778
-19.728521,0.0098413493,1.7806079,1,1,0,19.852624,0.81204787,-1.5184076,-1.9064211,-1.8705538,-1.5184076,-1.5456565,-1.3371133,-1.3371133,-1.7881644,-1.6224542,-1.5247012,3,4,0,8,1,0,5,6,4,2,2,3,0,8,1,1,3,5,3,2,-0.088004513,0.74676639
-19.758489,0.99950152,0.1479096,3,7,0,19.838898,0.8170863,-1.5172196,-1.9005355,-1.8668835,-1.5172196,-1.5431145,-1.3333598,-1.3333598,-1.7939498,-1.6242828,-1.5270611,3,5,2,4,1,5,3,5,7,4,0,3,0,4,2,2,1,4,2,4,-0.1089919,0.56488156
-19.766439,0.99981556,0.26584047,1,1,0,19.770632,0.81836572,-1.5169225,-1.8990502,-1.8659564,-1.5169225,-1.5424786,-1.3324182,-1.3324182,-1.7954272,-1.6247578,-1.5276756,1,2,4,6,1,1,1,5,5,5,1,5,5,4,4,1,1,5,4,2,-0.11444656,0.87172564
-19.488195,0.99860544,0.49095416,2,5,0,19.752489,0.71922143,-1.5452659,-2.0255127,-1.9438197,-1.5452659,-1.6030075,-1.4184885,-1.4184885,-1.6910015,-1.6004766,-1.4973186,3,8,4,4,1,5,1,5,5,3,4,7,2,8,2,1,3,5,8,3,0.19198455,0.70310405
-22.391287,0.17775701,0.91618024,1,3,0,23.641554,0.96010509,-1.4957584,-1.7574687,-1.7752385,-1.4957584,-1.4972826,-1.2605801,-1.2605801,-1.9799403,-1.7056941,-1.6385478,4,5,2,5,4,3,2,5,3,1,4,8,5,5,3,3,0,2,6,1,-1.4704597,0.4395444
-22.230617,0.99995298,0.12869583,2,5,0,22.538641,0.95669782,-1.4959837,-1.760346,-1.7771475,-1.4959837,-1.4977523,-1.2614598,-1.2614598,-1.97502,-1.7030549,-1.6347689,1,6,3,5,5,3,3,5,5,0,4,7,0,5,4,1,0,3,4,3,-1.3920605,0.48407452
-19.508676,0.99982036,0.24475104,3,9,0,22.521893,0.69170677,-1.5549935,-2.0647876,-1.9676535,-1.5549935,-1.62373,-1.4467561,-1.4467561,-1.6656734,-1.5980912,-1.4946471,1,4,4,2,4,1,5,5,3,3,3,4,5,6,5,1,0,6,4,1,0.24646241,0.51897125
-19.556209,0.68798748,0.46550909,3,7,0,24.145961,0.77113657,-1.5290938,-1.9563972,-1.9015108,-1.5290938,-1.568502,-1.3701994,-1.3701994,-1.7431313,-1.6100653,-1.5089772,4,3,3,7,2,0,1,5,7,0,2,7,3,7,3,3,0,8,2,1,0.057239844,0.70806249
-19.517019,1,0.33385666,2,3,0,19.554415,0.75402281,-1.5341059,-1.9784695,-1.9150791,-1.5341059,-1.5792044,-1.3853647,-1.3853647,-1.725324,-1.6061583,-1.5041444,4,4,5,4,2,0,6,7,7,2,2,5,4,5,4,2,1,3,7,4,0.10691034,0.66531033
