# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:30:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b65b96b300.json
# init = 2 (Default)
# random
#   seed = 1635748981
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281430-1-935598.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281430-1-216be7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.640891,0.014502856,2,1,3,0,21.641041,0.79202745,-1.6158486,-1.6432832,-1.516254,-1.765694,-3.4689148,-1.9534439,-1.5520371,-1.3035998,-1.3035998,-1.911199,0,3,3,0,8,5,5,1,2,6,5,4,3,4,8,7,6,4,1,8,-0.011748944,0.4018328
-21.640891,0.13134597,2.3974567,1,3,0,22.851751,0.79202745,-1.6158486,-1.6432832,-1.516254,-1.765694,-3.4689148,-1.9534439,-1.5520371,-1.3035998,-1.3035998,-1.911199,6,4,1,4,7,0,1,1,2,4,7,4,0,4,7,2,2,0,5,5,-0.011748944,0.65702574
-21.52769,1,0.32469075,2,3,0,21.68699,0.78502882,-1.6137859,-1.6410283,-1.5136443,-1.7580345,-3.4378905,-1.9474367,-1.5490337,-1.3064555,-1.3064555,-1.895353,3,5,1,4,8,3,1,0,3,6,5,3,1,3,8,3,0,3,2,8,0.012473314,0.53293156
-21.449209,1,0.35368682,1,1,0,21.602046,0.78002391,-1.6123884,-1.6394526,-1.5118849,-1.7526192,-3.4160261,-1.9431799,-1.5469409,-1.3085394,-1.3085394,-1.8843034,4,2,1,2,7,4,2,1,0,8,4,1,0,2,8,4,3,1,1,6,0.029092331,0.66323445
-21.195752,1,0.49200057,1,1,0,21.53881,0.76292357,-1.6080977,-1.6342996,-1.5065333,-1.7345093,-3.3432695,-1.9288803,-1.5401317,-1.3159183,-1.3159183,-1.8482537,6,4,2,2,8,0,2,1,6,8,4,3,1,5,7,1,1,5,3,7,0.081789345,0.77638695
-19.308199,1,0.78348631,1,3,0,20.663813,0.499539,-1.6308187,-1.5975079,-1.5355421,-1.5351183,-2.5049969,-1.7536151,-1.4942197,-1.4743542,-1.4743542,-1.5350812,4,2,5,1,8,2,2,1,2,6,8,4,0,5,8,1,1,0,1,6,0.40546426,0.68429398
-19.308199,0.41380961,1.3494058,1,1,0,19.533131,0.499539,-1.6308187,-1.5975079,-1.5355421,-1.5351183,-2.5049969,-1.7536151,-1.4942197,-1.4743542,-1.4743542,-1.5350812,1,1,5,1,2,4,0,6,4,7,4,2,4,2,7,5,5,1,2,7,0.40546426,0.095829464
-19.426687,0.98675763,0.39233759,2,3,0,19.50025,0.54769099,-1.6147207,-1.5985067,-1.516194,-1.5599563,-2.6267174,-1.7796258,-1.4950866,-1.4396521,-1.4396521,-1.565708,4,1,6,1,7,1,5,2,1,6,4,2,2,4,3,3,4,2,2,8,0.39632575,0.2763641
-19.3267,1,0.68388165,1,1,0,19.401718,0.51009337,-1.626848,-1.5975161,-1.530814,-1.5400917,-2.5307061,-1.7590953,-1.4941473,-1.4665466,-1.4665466,-1.5409848,5,4,2,3,6,1,2,4,4,7,4,2,3,5,8,2,5,3,4,8,0.40505752,0.83694505
-19.338981,0.98857089,1.2695161,1,1,0,19.392002,0.51605163,-1.6247158,-1.5975727,-1.5282644,-1.5430171,-2.545455,-1.7622436,-1.4941708,-1.4621884,-1.4621884,-1.5445136,3,6,3,6,7,6,1,0,3,8,8,3,4,4,6,4,3,0,6,7,0.40443396,0.17937276
-19.338981,0.093434584,2.2981047,1,1,0,19.757592,0.51605163,-1.6247158,-1.5975727,-1.5282644,-1.5430171,-2.545455,-1.7622436,-1.4941708,-1.4621884,-1.4621884,-1.5445136,3,6,0,6,6,4,3,2,1,7,8,5,3,1,5,3,1,3,1,8,0.40443396,0.55120873
-19.399336,0.99703574,0.24707376,1,3,0,19.439109,0.53917993,-1.6171891,-1.5981503,-1.5191957,-1.555169,-2.6043602,-1.7748395,-1.4947081,-1.4456132,-1.4456132,-1.5595912,4,2,4,2,7,5,2,3,0,8,1,2,0,3,8,1,2,2,2,7,0.39930591,0.87088587
-19.565912,0.9878744,0.46466966,3,7,0,19.658355,0.33234489,-1.7264263,-1.6127581,-1.6448548,-1.4941955,-2.1611024,-1.6828707,-1.5137956,-1.6122715,-1.6122715,-1.4942344,7,5,4,5,7,5,1,1,1,8,3,3,5,0,7,4,6,6,2,5,0.2861939,0.96320283
-19.565912,0.80483356,0.84888957,1,1,0,20.233122,0.33234489,-1.7264263,-1.6127581,-1.6448548,-1.4941955,-2.1611024,-1.6828707,-1.5137956,-1.6122715,-1.6122715,-1.4942344,2,3,3,6,8,6,2,1,1,2,5,3,2,0,1,3,0,3,5,7,0.2861939,0.24836409
-19.565912,0.83625382,0.87352977,1,1,0,20.072968,0.33234489,-1.7264263,-1.6127581,-1.6448548,-1.4941955,-2.1611024,-1.6828707,-1.5137956,-1.6122715,-1.6122715,-1.4942344,2,3,1,3,6,4,1,3,4,8,5,4,3,2,5,2,5,3,5,5,0.2861939,0.82270398
-19.526207,1,0.99251519,2,3,0,19.666189,0.34103318,-1.7199485,-1.6112653,-1.6376402,-1.4944516,-2.1763142,-1.6858176,-1.5119635,-1.6044709,-1.6044709,-1.4941487,2,6,3,2,6,4,3,1,0,3,3,5,1,1,6,7,4,2,2,7,0.29890188,0.29907452
-19.427815,1,1.8661444,1,1,0,19.742702,0.36634033,-1.702023,-1.6073492,-1.6175587,-1.4964315,-2.2221646,-1.69485,-1.5071185,-1.582134,-1.582134,-1.4951803,7,2,1,5,8,1,4,0,3,8,2,3,5,2,5,4,4,2,2,5,0.33132369,0.95895321
-19.427815,5.0058034e-07,3.480334,1,1,0,19.525098,0.36634033,-1.702023,-1.6073492,-1.6175587,-1.4964315,-2.2221646,-1.69485,-1.5071185,-1.582134,-1.582134,-1.4951803,3,4,4,0,6,0,4,5,4,6,3,5,5,3,7,2,3,2,0,7,0.33132369,0.33452591
-19.451211,0.99892086,0.31066258,2,3,0,19.476073,0.35969261,-1.7065958,-1.6083154,-1.6226986,-1.4957357,-2.2098951,-1.6924125,-1.5083198,-1.5879458,-1.5879458,-1.494722,8,1,0,2,8,1,2,7,1,8,3,4,0,1,8,2,4,4,2,8,0.32344707,0.68345852
-19.514256,0.9968171,0.58088441,2,3,0,19.527129,0.34378845,-1.7179288,-1.6108077,-1.6353863,-1.4945785,-2.181194,-1.6867685,-1.5114004,-1.6020112,-1.6020112,-1.494168,3,3,2,2,6,2,2,2,2,7,6,1,1,3,4,7,4,1,1,6,0.30275862,0.4430929
-19.377776,0.96022705,1.0692813,2,3,0,19.50591,0.38260723,-1.6912415,-1.6051731,-1.6053909,-1.4986525,-2.2528799,-1.7010106,-1.5043954,-1.5680816,-1.5680816,-1.4968762,3,5,5,4,8,2,1,4,0,5,5,3,2,0,8,6,4,3,2,8,0.34876327,0.77561963
-19.377776,0.11159589,1.7495993,1,1,0,19.419441,0.38260723,-1.6912415,-1.6051731,-1.6053909,-1.4986525,-2.2528799,-1.7010106,-1.5043954,-1.5680816,-1.5680816,-1.4968762,3,0,0,4,7,2,1,1,2,7,1,3,4,2,6,6,3,0,2,8,0.34876327,0.61242999
-19.283544,0.99671025,0.23599568,2,7,0,19.635151,0.47839592,-1.6395156,-1.5978441,-1.5458193,-1.5259667,-2.4550567,-1.7430062,-1.4947984,-1.490328,-1.490328,-1.5245552,3,5,6,2,7,2,3,1,2,4,5,2,1,1,8,3,1,1,5,5,0.40359642,0.4385392
