# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 12:30:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b657c7f4f8.json
# init = 2 (Default)
# random
#   seed = 781863589
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281430-2-697268.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281430-2-81a3a8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.28065,1,1,1,1,0,19.351271,0.47426612,-1.6413297,-1.5979645,-1.5479508,-1.5243069,-2.4455394,-1.7409912,-1.4949782,-1.4934994,-1.4934994,-1.5226967,6,7,3,3,6,2,1,2,1,3,4,4,4,6,8,0,0,4,4,2,0.40281266,0.53692179
-19.28065,1.6385391e-54,14.38551,1,1,0,19.323784,0.47426612,-1.6413297,-1.5979645,-1.5479508,-1.5243069,-2.4455394,-1.7409912,-1.4949782,-1.4934994,-1.4934994,-1.5226967,3,2,5,0,4,3,6,1,2,5,6,3,1,4,8,4,1,0,4,8,0.40281266,0.26046819
-19.28065,0.0029338234,2.4311673,1,1,0,20.083509,0.47426612,-1.6413297,-1.5979645,-1.5479508,-1.5243069,-2.4455394,-1.7409912,-1.4949782,-1.4934994,-1.4934994,-1.5226967,4,5,6,3,7,5,1,4,2,4,0,3,1,4,8,7,4,3,2,7,0.40281266,0.79685796
-19.278161,0.99996711,0.24167338,1,3,0,19.282228,0.46966096,-1.643397,-1.5981197,-1.5503752,-1.5225057,-2.4350165,-1.7387663,-1.4952042,-1.4970556,-1.4970556,-1.5206989,6,2,2,5,8,0,0,1,2,8,4,5,2,1,8,2,4,1,2,7,0.40177648,0.95554439
-19.569081,0.98781455,0.32703177,2,7,0,19.585659,0.33167931,-1.7269294,-1.6128756,-1.6454142,-1.4941849,-2.1599481,-1.6826482,-1.5139395,-1.6128718,-1.6128718,-1.4942501,1,2,6,0,7,1,2,2,3,7,0,4,5,3,7,2,2,4,0,7,0.28518561,0.57172702
-19.68079,0.98907062,0.49335812,1,1,0,19.685889,0.31029663,-1.7436091,-1.6168853,-1.663892,-1.4945434,-2.123681,-1.6757442,-1.5188271,-1.6323664,-1.6323664,-1.4954346,3,4,4,3,6,6,3,3,1,5,4,6,2,1,3,2,4,4,6,6,0.25003923,0.40243752
-19.68079,0.81109965,0.81156011,1,3,0,20.63339,0.31029663,-1.7436091,-1.6168853,-1.663892,-1.4945434,-2.123681,-1.6757442,-1.5188271,-1.6323664,-1.6323664,-1.4954346,8,5,5,0,7,3,1,3,0,5,5,4,2,0,7,5,4,4,4,5,0.25003923,0.32194602
-19.423585,1,0.80581327,2,3,0,19.622583,0.36759721,-1.7011693,-1.6071715,-1.6165978,-1.496577,-2.2245027,-1.6953161,-1.5068971,-1.5810397,-1.5810397,-1.4952821,4,4,5,2,7,6,3,3,5,6,1,3,6,0,8,3,2,1,2,4,0.33276323,0.094599744
-21.593138,0.27933083,1.474507,1,1,0,21.793221,0.13244018,-1.9218075,-1.6677411,-1.8547895,-1.5561739,-1.8784571,-1.6364036,-1.578601,-1.8096567,-1.8096567,-1.5524605,3,2,3,1,4,4,0,4,1,5,3,4,3,4,6,3,3,4,0,6,-0.37193554,0.38681941
-19.513287,0.99656643,0.2821964,3,9,0,21.970763,0.57035429,-1.6089429,-1.5998362,-1.5090978,-1.5735202,-2.68811,-1.7927703,-1.4965777,-1.4241483,-1.4241483,-1.5835514,5,5,2,6,8,2,2,1,4,5,4,2,1,0,7,5,3,4,2,4,0.38546758,0.72116496
-19.673122,0.84025187,0.52282623,1,3,0,21.190747,0.31165346,-1.7425208,-1.6166173,-1.6626904,-1.4944801,-2.1259356,-1.6761682,-1.5185018,-1.6311174,-1.6311174,-1.4953206,6,4,7,0,7,3,3,5,2,6,2,3,4,1,7,8,3,7,4,3,0.25243318,0.58584485
-19.678335,0.99929017,0.59570176,1,1,0,19.740975,0.31072944,-1.7432615,-1.6167996,-1.6635083,-1.4945226,-2.1243995,-1.6758793,-1.5187231,-1.6319678,-1.6319678,-1.4953976,1,5,5,5,2,0,4,2,2,7,3,2,1,3,7,6,5,1,0,5,0.25080535,0.2310762
