# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 13:53:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b65673f65c.json
# init = 2 (Default)
# random
#   seed = 104483749
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281553-2-523dad.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281553-2-783777.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-226.8392,0.90598745,0.25,2,3,0,227.13438,0.58160793,-2.1994253,-1.4829581,-1.5879926,-2.5646261,-1.5879926,-2.1876119,-1.6977805,-1.4711723,-1.411551,-1.4835671,7,7,4,8,4,4,6,6,2,1,6,8,4,7,3,8,5,5,3,4,0.37846443,0.47043985
-226.8392,0,12.125244,0,1,1,227.37003,0.58160793,-2.1994253,-1.4829581,-1.5879926,-2.5646261,-1.5879926,-2.1876119,-1.6977805,-1.4711723,-1.411551,-1.4835671,6,8,5,8,4,4,1,5,5,6,7,7,3,8,6,7,5,4,2,6,0.37846443,0.32619169
-226.8392,3.9370814e-96,1.9479584,1,1,0,226.85525,0.58160793,-2.1994253,-1.4829581,-1.5879926,-2.5646261,-1.5879926,-2.1876119,-1.6977805,-1.4711723,-1.411551,-1.4835671,8,5,3,8,3,5,5,4,3,4,7,7,4,8,3,2,5,5,3,1,0.37846443,0.82546164
-225.76847,1,0.18665365,2,3,0,226.72201,0.55294604,-2.1384227,-1.4986847,-1.5785717,-2.5068574,-1.5785717,-2.1331014,-1.6721208,-1.4614396,-1.3929747,-1.4923134,7,6,6,8,6,4,7,4,2,6,8,5,4,8,6,3,7,5,2,2,0.39418863,0.44740502
-224.51011,1,0.24793377,2,3,0,225.41046,0.50188988,-2.0395395,-1.5338431,-1.5636677,-2.4105758,-1.5636677,-2.0394853,-1.6319924,-1.448676,-1.3617886,-1.5098007,6,5,3,8,3,3,8,3,4,3,8,6,7,8,3,5,2,5,4,3,0.40545082,0.96081762
-224.85626,0.48497798,0.38322609,2,3,0,225.23993,0.51972251,-2.0727197,-1.5204802,-1.5686004,-2.4432832,-1.5686004,-2.071678,-1.6452149,-1.4524567,-1.3723993,-1.5034174,4,7,3,8,6,5,8,6,2,1,8,4,7,8,2,5,5,4,3,5,0.40390799,0.20500985
-225.17527,0.97283412,0.13376315,1,1,0,225.17627,0.5328627,-2.0980872,-1.5113876,-1.5724225,-2.4680079,-1.5724225,-2.0957461,-1.6554989,-1.4557106,-1.3804126,-1.4989025,8,1,6,7,3,7,3,6,4,2,7,6,2,8,3,8,4,5,3,2,0.40113592,0.56628856
-224.94223,1,0.21325375,1,1,0,225.26109,0.5234929,-2.0799176,-1.5178068,-1.5696808,-2.4503226,-1.5696808,-2.0785539,-1.6481184,-1.45335,-1.3746818,-1.5021054,8,8,4,7,7,7,6,5,3,6,7,8,3,7,7,6,5,8,7,6,0.403255,0.3196979
-224.94223,0.35531017,0.38524385,1,3,0,226.33241,0.5234929,-2.0799176,-1.5178068,-1.5696808,-2.4503226,-1.5696808,-2.0785539,-1.6481184,-1.45335,-1.3746818,-1.5021054,8,4,4,6,2,1,4,7,2,3,3,8,6,6,3,5,8,6,4,3,0.403255,0.88219309
-224.08871,0.99500962,0.093115881,2,7,0,225.33066,0.46008351,-1.9670951,-1.5700379,-1.5532503,-2.3375334,-1.5532503,-1.9661289,-1.604226,-1.4427448,-1.338132,-1.5259126,8,4,1,7,3,4,6,5,2,2,6,6,4,8,3,7,7,4,2,3,0.39907141,0.49077114
-224.17102,0.96758894,0.17140492,1,3,0,224.41548,0.42341551,-1.9093339,-1.6078303,-1.5454358,-2.2774079,-1.5454358,-1.9042232,-1.5834876,-1.4410388,-1.3188319,-1.5413545,4,7,4,7,5,6,7,4,3,1,6,4,2,8,4,4,6,7,6,6,0.38172478,0.4863761
-224.77261,0.79073237,0.29236505,1,1,0,224.78475,0.3824476,-1.8507252,-1.657429,-1.5381674,-2.2142737,-1.5381674,-1.8377479,-1.5641749,-1.4431723,-1.2989351,-1.5600397,8,6,4,8,3,5,8,6,3,2,8,8,6,7,7,6,6,6,3,5,0.34860449,0.70928917
-224.08553,0.97421706,0.28699055,2,3,0,224.62134,0.45914503,-1.9655513,-1.5709323,-1.5530349,-2.3359499,-1.5530349,-1.9645161,-1.6036536,-1.4426598,-1.3376209,-1.5262926,6,6,4,8,4,5,6,8,2,3,5,5,5,3,7,7,7,8,3,2,0.39876621,0.75337058
-224.10717,0.97368335,0.50338865,1,1,0,224.14223,0.4644557,-1.9743339,-1.5659197,-1.5542645,-2.3449423,-1.5542645,-1.973662,-1.6069216,-1.4431691,-1.3405247,-1.5241527,8,8,7,6,7,4,8,7,4,5,6,3,7,8,3,4,7,6,1,6,0.40039871,0.50437772
-224.10717,1.0157638e-14,0.87947621,1,1,0,225.07627,0.4644557,-1.9743339,-1.5659197,-1.5542645,-2.3449423,-1.5542645,-1.973662,-1.6069216,-1.4431691,-1.3405247,-1.5241527,5,7,2,8,3,4,8,7,2,7,7,7,7,5,4,6,2,3,1,4,0.40039871,0.40626621
-224.17576,0.9968625,0.074884443,2,5,0,224.29346,0.47493079,-1.9919919,-1.556376,-1.5567659,-2.3629076,-1.5567659,-1.9918419,-1.613576,-1.4443736,-1.3463352,-1.5200073,8,8,2,7,4,8,7,7,4,4,5,8,5,8,6,6,7,6,4,3,0.40294808,0.22095157
-224.97581,0.95087185,0.14196522,2,5,0,224.97791,0.37356531,-1.8388022,-1.6692906,-1.5367954,-2.2011199,-1.5367954,-1.8237105,-1.5605123,-1.4442173,-1.2948605,-1.5642889,6,8,5,8,7,4,7,3,3,5,4,8,5,7,6,4,5,8,6,7,0.33938628,0.72474879
-224.83421,1,0.23225945,1,1,0,225.09488,0.37963001,-1.8469136,-1.6611472,-1.5377243,-2.210081,-1.5377243,-1.8332806,-1.5629931,-1.4434809,-1.2976332,-1.56138,3,7,6,8,6,6,6,7,3,5,6,8,4,4,3,6,6,8,3,3,0.34576209,0.39211647
-224.29354,1,0.43840215,1,1,0,224.73294,0.41118976,-1.8912081,-1.6217821,-1.5431051,-2.2581338,-1.5431051,-1.8840881,-1.5773039,-1.4412205,-1.312707,-1.546773,7,7,5,5,7,7,5,5,1,7,7,7,5,8,8,8,8,8,1,6,0.37340768,0.29467537
-224.29354,3.4014347e-14,0.82012842,1,1,0,224.3838,0.41118976,-1.8912081,-1.6217821,-1.5431051,-2.2581338,-1.5431051,-1.8840881,-1.5773039,-1.4412205,-1.312707,-1.546773,8,4,4,6,4,3,8,3,4,3,7,7,4,7,2,5,7,7,3,5,0.37340768,0.69369929
