# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 13:54:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63cc4764.json
# init = 2 (Default)
# random
#   seed = 795550417
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281554-1-891f39.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281554-1-92778a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-237.57268,0.3428316,0.5,1,3,0,237.77318,0.73601178,-2.6118045,-1.4415737,-1.6519103,-2.9316133,-1.6519103,-2.5060701,-1.8789123,-1.5537003,-1.5241302,-1.4501629,8,8,3,4,4,6,6,8,6,2,7,5,3,7,4,3,8,4,1,3,0.15339953,0.16937751
-237.57268,0,4.3551969,0,1,1,237.61281,0.73601178,-2.6118045,-1.4415737,-1.6519103,-2.9316133,-1.6519103,-2.5060701,-1.8789123,-1.5537003,-1.5241302,-1.4501629,7,8,6,6,7,5,5,6,5,5,7,6,4,8,4,4,7,3,3,1,0.15339953,0.56924059
-237.57268,0.33480511,0.51654688,1,3,0,237.70905,0.73601178,-2.6118045,-1.4415737,-1.6519103,-2.9316133,-1.6519103,-2.5060701,-1.8789123,-1.5537003,-1.5241302,-1.4501629,6,3,6,8,3,6,5,4,3,4,7,6,6,8,7,3,6,4,7,4,0.15339953,0.33102538
-236.70191,1,0.10157221,1,1,0,237.70182,0.72714558,-2.5835868,-1.4421418,-1.6476328,-2.907568,-1.6476328,-2.4866234,-1.866381,-1.5476308,-1.5171152,-1.4514364,6,6,8,8,3,7,5,6,5,6,8,7,2,7,5,5,4,6,5,5,0.17431401,0.30308571
-227.95799,1,0.12911855,3,7,0,236.18075,0.60590802,-2.2545065,-1.4717402,-1.5965755,-2.6158684,-1.5965755,-2.2349386,-1.721374,-1.4808316,-1.4278866,-1.4767635,7,5,2,8,3,5,8,8,4,4,7,7,4,7,3,6,5,5,6,1,0.35956144,0.87575494
-227.3383,1,0.19399158,1,1,0,228.24836,0.59297944,-2.224804,-1.4774727,-1.5919409,-2.5883386,-1.5919409,-2.2096315,-1.7086078,-1.4755332,-1.4191291,-1.480313,5,6,7,6,6,4,6,6,3,6,7,7,5,7,5,4,7,7,5,6,0.37027234,0.26485044
-224.13848,1,0.3217641,2,3,0,225.77497,0.46989138,-1.9834411,-1.5609109,-1.55555,-2.3542267,-1.55555,-1.9830727,-1.61034,-1.4437611,-1.3435262,-1.5219891,4,8,4,7,4,5,6,6,2,4,7,8,3,5,5,4,6,5,1,2,0.4018324,0.48227808
-224.13848,0.068890297,0.56642663,1,1,0,224.26508,0.46989138,-1.9834411,-1.5609109,-1.55555,-2.3542267,-1.55555,-1.9830727,-1.61034,-1.4437611,-1.3435262,-1.5219891,7,8,3,8,2,5,6,6,1,3,8,8,5,6,4,5,6,4,4,3,0.4018324,0.43667204
-226.17335,0.98260987,0.055366575,3,13,0,226.23327,0.56464327,-2.1628178,-1.4919321,-1.5823248,-2.5300953,-1.5823248,-2.155177,-1.6823141,-1.4651924,-1.4004646,-1.4886502,7,6,3,7,2,5,5,6,5,2,4,6,2,6,6,5,3,7,2,3,0.38860883,0.81658069
-226.35881,0.99219847,0.096111545,1,1,0,226.38718,0.56961538,-2.1733945,-1.4892025,-1.5839584,-2.5401129,-1.5839584,-2.1646319,-1.6867627,-1.4668794,-1.4036866,-1.4871321,7,8,2,8,3,3,7,8,2,4,7,7,2,8,2,7,7,6,2,1,0.38588954,0.38127021
