# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 13:55:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b62932482a.json
# init = 2 (Default)
# random
#   seed = 1725510425
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281555-1-362261.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281555-1-3177a3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-215.81611,1,0.25,1,1,0,219.87357,0.38535882,-1.5451515,-1.7186662,-1.5451515,-1.5586624,-1.685874,-1.4091964,-2.4463198,-1.5291072,-1.4338869,-1.87662,5,3,5,3,7,2,5,3,5,3,6,5,2,8,2,5,8,5,3,1,0.35146246,0.049433581
-215.81611,0,14.38551,0,1,1,216.26986,0.38535882,-1.5451515,-1.7186662,-1.5451515,-1.5586624,-1.685874,-1.4091964,-2.4463198,-1.5291072,-1.4338869,-1.87662,7,3,6,3,3,4,8,1,2,3,7,2,7,6,2,2,4,7,2,3,0.35146246,0.67380405
-215.81611,1.1124921e-13,2.4311673,3,7,0,216.64569,0.38535882,-1.5451515,-1.7186662,-1.5451515,-1.5586624,-1.685874,-1.4091964,-2.4463198,-1.5291072,-1.4338869,-1.87662,5,4,3,4,3,5,6,4,2,5,5,2,5,4,5,7,4,2,1,5,0.35146246,0.41550529
-213.5261,1,0.23979141,2,3,0,215.41303,0.23494443,-1.6125732,-1.6218374,-1.6125732,-1.6396411,-1.9180481,-1.2855112,-2.1482636,-1.5259233,-1.547564,-2.1196792,5,4,7,2,2,5,7,3,2,3,3,6,3,7,3,3,8,4,2,5,0.075546411,0.24056659
-214.02646,0.77434624,0.32433241,2,3,0,215.137,0.20290791,-1.6330355,-1.6037673,-1.6330355,-1.6594529,-1.9724591,-1.2661703,-2.0939782,-1.5279969,-1.5742111,-2.1726185,6,5,8,4,7,4,8,3,1,2,4,5,4,2,3,2,6,4,5,3,-0.030028655,0.81894955
-214.19532,0.97399421,0.25882363,1,1,0,214.25675,0.19585857,-1.6378297,-1.5999121,-1.6378297,-1.6639325,-1.9846647,-1.2622811,-2.0824316,-1.5285814,-1.5801858,-2.1843243,4,6,5,2,5,3,7,6,4,3,7,2,7,3,5,2,8,6,3,3,-0.056583091,0.43796998
-214.09054,1,0.39953595,2,3,0,214.35119,0.32554922,-1.5663384,-1.6778018,-1.5663384,-1.5884728,-1.7735703,-1.3539231,-2.3187782,-1.5252672,-1.4767816,-1.9722057,3,5,4,1,3,2,7,3,1,1,4,4,4,4,5,2,8,7,1,6,0.27566127,0.77342727
-214.09054,0.018957076,0.70586461,1,1,0,214.10608,0.32554922,-1.5663384,-1.6778018,-1.5663384,-1.5884728,-1.7735703,-1.3539231,-2.3187782,-1.5252672,-1.4767816,-1.9722057,3,3,7,1,2,4,7,4,1,2,3,2,8,1,3,2,8,7,1,4,0.27566127,0.80860453
-213.60208,0.9991072,0.059101217,3,11,0,214.32213,0.22777895,-1.6169619,-1.6177176,-1.6169619,-1.6439946,-1.9300673,-1.2809529,-2.1358608,-1.5263041,-1.5534517,-2.1314833,6,6,6,1,6,5,8,4,4,1,6,4,3,5,5,1,7,4,5,4,0.053895407,0.82365705
-213.61564,0.99985557,0.10811521,2,3,0,213.61739,0.22666823,-1.6176518,-1.617083,-1.6176518,-1.6446734,-1.9319382,-1.2802581,-2.1339518,-1.5263674,-1.5543681,-2.1333149,2,3,6,5,5,6,8,2,3,6,1,3,1,4,3,2,5,2,3,1,0.050444479,0.51156821
