# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 13:55:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b67511fcb5.json
# init = 2 (Default)
# random
#   seed = 780767566
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281555-1-3cf8b4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281555-1-568468.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-224.07799,1,0.5,1,1,0,229.4234,0.44120495,-1.9367083,-1.5887552,-1.5490726,-2.3061355,-1.5490726,-1.9339728,-1.5931347,-1.4414495,-1.3280229,-1.5337108,7,5,3,8,5,5,7,4,3,6,7,7,6,6,1,3,8,4,3,3,0.39154119,0.51311563
-224.07799,0,14.38551,0,1,1,224.38453,0.44120495,-1.9367083,-1.5887552,-1.5490726,-2.3061355,-1.5490726,-1.9339728,-1.5931347,-1.4414495,-1.3280229,-1.5337108,8,5,1,7,4,3,6,4,3,4,6,8,6,5,6,5,7,5,6,8,0.39154119,0.75228515
-224.07799,7.7252357e-152,2.4311673,1,2,1,224.07844,0.44120495,-1.9367083,-1.5887552,-1.5490726,-2.3061355,-1.5490726,-1.9339728,-1.5931347,-1.4414495,-1.3280229,-1.5337108,4,7,5,7,4,6,5,4,2,5,6,8,6,6,6,5,6,4,2,4,0.39154119,0.11712547
-224.33595,0.93814988,0.23979141,2,3,0,224.50064,0.40780648,-1.886289,-1.6257678,-1.5424844,-2.2528661,-1.5424844,-1.8785608,-1.5756562,-1.4413385,-1.3110399,-1.5482962,8,8,3,7,5,6,8,4,5,6,8,5,3,6,2,3,5,8,4,4,0.37087514,0.14304524
-224.68416,0.57968374,0.27179669,2,3,0,226.82356,0.38672348,-1.8565625,-1.6518645,-1.5388538,-2.2206723,-1.5388538,-1.8445532,-1.5660041,-1.4427445,-1.3009274,-1.5580193,8,7,3,7,5,5,4,5,3,3,8,7,3,8,6,5,5,8,2,3,0.35277475,0.35288742
-224.35877,0.99537723,0.12046678,2,5,0,224.91281,0.49182957,-2.0214354,-1.5419168,-1.561014,-2.3925419,-1.561014,-2.0215621,-1.6249006,-1.4468697,-1.3559385,-1.5135314,6,5,5,7,5,4,5,5,2,3,7,5,5,7,4,4,4,4,4,3,0.40519805,0.48497271
-224.08505,1,0.19448778,2,3,0,224.3563,0.45899513,-1.965305,-1.5710755,-1.5530005,-2.3356972,-1.5530005,-1.9642586,-1.6035624,-1.4426464,-1.3375393,-1.5263533,8,3,1,8,3,1,8,7,3,3,5,7,6,6,8,6,4,8,2,6,0.39871679,0.82222801
-224.09837,0.99256504,0.33952502,1,1,0,224.10813,0.46254526,-1.9711614,-1.5677093,-1.5538192,-2.3416985,-1.5538192,-1.9703664,-1.6057378,-1.442978,-1.3394768,-1.5249195,5,8,4,7,5,7,5,6,1,3,8,4,5,7,4,6,7,6,5,4,0.39983787,0.46153251
-224.09837,0.0017112355,0.60188422,1,1,0,224.91018,0.46254526,-1.9711614,-1.5677093,-1.5538192,-2.3416985,-1.5538192,-1.9703664,-1.6057378,-1.442978,-1.3394768,-1.5249195,8,8,6,5,3,5,7,8,5,4,4,5,7,7,3,7,8,6,3,2,0.39983787,0.62433582
-224.07753,0.99984844,0.04773013,2,7,0,224.12202,0.45627977,-1.9608596,-1.5736861,-1.5523822,-2.3311301,-1.5523822,-1.9596014,-1.6019198,-1.4424135,-1.336066,-1.5274577,7,7,3,6,4,4,6,6,1,6,3,7,5,7,4,8,5,6,4,6,0.3977899,0.39833262
-224.15011,0.99448707,0.089132226,2,5,0,224.31744,0.42615793,-1.9134759,-1.6047961,-1.5459775,-2.2817834,-1.5459775,-1.9087745,-1.5849245,-1.4410502,-1.3202274,-1.5401575,8,5,3,7,4,1,8,5,2,4,7,3,5,8,5,6,3,8,3,6,0.38341314,0.82767053
-224.12485,1,0.16563725,1,1,0,224.14813,0.43000142,-1.9193285,-1.6006017,-1.5467483,-2.287948,-1.5467483,-1.9151746,-1.5869689,-1.4410982,-1.3221963,-1.5384914,7,8,8,7,3,5,8,4,1,2,7,7,6,6,6,4,4,7,1,4,0.38567129,0.45706132
-224.55975,0.81926527,0.31481292,1,1,0,224.57729,0.3933094,-1.8656787,-1.6434755,-1.539944,-2.2306132,-1.539944,-1.8550956,-1.5689059,-1.4421802,-1.304035,-1.5549393,7,7,6,5,4,6,5,7,1,4,8,8,6,6,5,5,8,7,2,6,0.35886443,0.12706558
-224.60969,0.98753011,0.33956598,2,3,0,224.60986,0.50757775,-2.0499696,-1.5294507,-1.5652092,-2.4209041,-1.5652092,-2.0496947,-1.6361189,-1.4498018,-1.3651397,-1.5077327,4,5,7,7,6,7,7,5,4,3,3,4,8,7,3,4,8,6,4,3,0.40523539,0.2691043
-224.60969,3.7814785e-10,0.620775,1,1,0,226.61437,0.50757775,-2.0499696,-1.5294507,-1.5652092,-2.4209041,-1.5652092,-2.0496947,-1.6361189,-1.4498018,-1.3651397,-1.5077327,8,8,6,6,5,5,4,8,1,2,8,8,7,6,4,7,5,6,2,4,0.40523539,0.20490559
-224.27799,0.99090989,0.052973137,2,7,0,225.81773,0.4853453,-2.0099959,-1.5473304,-1.5593529,-2.3810743,-1.5593529,-2.0101009,-1.6204686,-1.4458317,-1.3522203,-1.5159853,8,7,4,6,3,5,5,5,3,2,6,7,6,6,7,5,3,8,3,6,0.4046057,0.55986374
-224.07286,0.98431564,0.098840075,2,7,0,224.91399,0.45390598,-1.9569974,-1.575994,-1.5518472,-2.3271539,-1.5518472,-1.9555403,-1.600499,-1.4422246,-1.3347841,-1.5284287,8,6,3,8,5,6,4,2,4,7,6,8,6,7,8,4,4,5,1,6,0.39693015,0.32289034
