# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 13:57:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b619338d02.json
# init = 2 (Default)
# random
#   seed = 1040277702
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281557-1-101d93.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281557-1-33f3c7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-251.84284,0.96491369,0.25,1,3,0,256.33544,0.37116535,-1.2206343,-1.9173965,-1.3953953,-1.4708647,-1.9173965,-1.853092,-1.2152603,-1.4410581,-1.0453267,-1.6125358,6,4,8,5,6,5,5,2,7,6,5,3,5,2,3,5,7,1,7,7,0.33676491,0.64006416
-251.84284,0,13.49647,0,1,1,251.91045,0.37116535,-1.2206343,-1.9173965,-1.3953953,-1.4708647,-1.9173965,-1.853092,-1.2152603,-1.4410581,-1.0453267,-1.6125358,7,4,5,2,3,1,6,2,7,5,5,5,6,1,5,5,6,5,7,8,0.33676491,0.53476071
-251.84284,1.2394323e-89,2.2382007,2,3,0,256.48494,0.37116535,-1.2206343,-1.9173965,-1.3953953,-1.4708647,-1.9173965,-1.853092,-1.2152603,-1.4410581,-1.0453267,-1.6125358,5,5,5,7,6,3,7,1,3,8,4,6,7,5,6,6,5,1,8,6,0.33676491,0.85866118
-251.60438,1,0.2183884,2,3,0,251.79371,0.39031284,-1.2183629,-1.8998617,-1.4141111,-1.4757562,-1.8998617,-1.8781553,-1.2163483,-1.4413937,-1.0856972,-1.6273716,7,6,5,6,7,6,8,4,7,6,6,5,7,2,8,5,7,6,8,5,0.35614346,0.32724846
-252.4763,0.84118954,0.29339574,2,3,0,252.48383,0.34057067,-1.225453,-1.9461022,-1.3670853,-1.4637896,-1.9461022,-1.8145652,-1.2166534,-1.4413808,-0.98131953,-1.5903976,8,2,7,1,4,4,8,5,8,3,4,4,7,2,2,4,6,1,8,6,0.29824638,0.18295377
-252.28054,1,0.28452693,2,3,0,252.66142,0.34854227,-1.2240599,-1.938541,-1.3742694,-1.4655446,-1.938541,-1.8244241,-1.2159029,-1.441196,-0.99793837,-1.5959845,8,5,1,2,4,3,8,2,4,8,7,5,6,2,4,1,5,2,6,7,0.30922094,0.67042713
-252.28054,0.0084132293,0.47683257,1,1,0,252.82668,0.34854227,-1.2240599,-1.938541,-1.3742694,-1.4655446,-1.938541,-1.8244241,-1.2159029,-1.441196,-0.99793837,-1.5959845,8,3,6,6,5,5,6,1,6,8,8,3,7,3,6,6,7,8,8,7,0.30922094,0.79804372
-251.87878,0.99997328,0.038580906,5,31,0,252.3401,0.47262259,-1.21569,-1.8282204,-1.5029112,-1.5007676,-1.8282204,-1.9943583,-1.236178,-1.4477235,-1.2620548,-1.70046,8,3,3,4,5,1,5,3,5,5,7,3,5,2,4,3,6,4,6,8,0.40246251,0.88353255
-252.55818,0.97327676,0.068549926,2,5,0,254.02579,0.50568275,-1.2181625,-1.8011369,-1.5422338,-1.5126002,-1.8011369,-2.0449678,-1.2503067,-1.4525881,-1.3342149,-1.7344536,8,5,4,5,3,4,8,5,8,7,6,1,2,4,6,2,8,1,7,8,0.40533593,0.48787926
-251.46629,0.98958099,0.11566009,2,7,0,252.96373,0.41732822,-1.2161792,-1.8756817,-1.4417871,-1.4832574,-1.8756817,-1.9147727,-1.2202602,-1.4425856,-1.1430718,-1.6496469,8,4,6,4,3,6,3,2,6,8,7,2,5,6,5,4,7,4,8,8,0.37774596,0.61555016
