# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 13:57:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b619338d02.json
# init = 2 (Default)
# random
#   seed = 1040277702
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281557-2-101d93.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281557-2-33f3c7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-255.70249,1,0.5,1,1,0,256.97537,0.26145579,-1.244223,-2.0243017,-1.3035005,-1.449814,-2.0243017,-1.7235274,-1.2409292,-1.4469595,-0.81856939,-1.541479,8,5,6,2,3,5,4,5,5,7,6,4,5,4,3,3,8,4,6,6,0.14719508,0.47225136
-255.70249,0,14.38551,0,1,1,255.78418,0.26145579,-1.244223,-2.0243017,-1.3035005,-1.449814,-2.0243017,-1.7235274,-1.2409292,-1.4469595,-0.81856939,-1.541479,5,5,7,6,7,7,6,4,8,5,8,2,2,1,2,3,6,2,8,8,0.14719508,0.30668862
-255.70249,5.2868928e-22,2.4311673,3,15,1,256.18784,0.26145579,-1.244223,-2.0243017,-1.3035005,-1.449814,-2.0243017,-1.7235274,-1.2409292,-1.4469595,-0.81856939,-1.541479,8,5,8,3,4,5,8,2,8,8,8,2,8,1,8,7,7,3,8,7,0.14719508,0.16853256
-251.46734,1,0.23979141,2,3,0,255.21801,0.4163396,-1.2162375,-1.8765551,-1.4407485,-1.4829706,-1.8765551,-1.9134067,-1.22007,-1.442527,-1.1409635,-1.6488032,7,5,5,2,6,3,5,1,4,8,6,5,5,2,3,4,8,1,5,4,0.37706949,0.90571204
-251.49525,0.70954243,0.32433241,2,3,0,252.11422,0.40626052,-1.2169261,-1.8855087,-1.4302713,-1.4800999,-1.8855087,-1.8995929,-1.2183323,-1.4419947,-1.1195072,-1.640327,4,5,6,5,6,7,8,2,8,8,6,7,8,3,6,2,7,3,8,4,0.36968418,0.17729929
-251.46581,0.98329446,0.21335112,2,3,0,251.62518,0.42263037,-1.2158956,-1.8710128,-1.4473902,-1.4848114,-1.8710128,-1.9221329,-1.2213389,-1.4429197,-1.1543901,-1.6542091,8,5,8,5,7,6,7,3,8,6,7,4,4,5,5,3,6,2,8,7,0.38122954,0.23275251
-252.19329,0.68301803,0.33709323,1,1,0,252.19569,0.48986961,-1.2167081,-1.813971,-1.523171,-1.5068144,-1.813971,-2.0204749,-1.2431422,-1.4500901,-1.2996029,-1.7178399,5,4,7,2,3,5,8,1,7,4,5,3,6,2,5,2,7,1,8,6,0.40505452,0.37184067
-252.21093,1,0.22140794,2,7,0,252.21148,0.35161528,-1.2235485,-1.9356416,-1.3770753,-1.4662379,-1.9356416,-1.8282583,-1.215688,-1.4411437,-1.0043558,-1.598172,6,2,6,3,5,4,6,3,8,8,8,5,8,5,6,8,7,4,7,3,0.31327076,0.59822095
-251.88387,0.99985725,0.40011936,1,3,0,251.99476,0.47294608,-1.2157037,-1.8279507,-1.5032861,-1.5008785,-1.8279507,-1.9948425,-1.2363003,-1.4477645,-1.2627572,-1.7007791,7,6,5,6,5,6,8,1,5,7,6,5,6,3,3,3,7,6,5,5,0.40253316,0.76021981
-251.88387,6.2236677e-07,0.7405004,1,1,0,251.91942,0.47294608,-1.2157037,-1.8279507,-1.5032861,-1.5008785,-1.8279507,-1.9948425,-1.2363003,-1.4477645,-1.2627572,-1.7007791,6,3,5,4,6,6,7,3,8,5,8,4,5,1,5,3,8,2,7,7,0.40253316,0.11443651
