# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 13:57:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63d5dc26f.json
# init = 2 (Default)
# random
#   seed = 663581009
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281557-2-588332.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281557-2-8acc27.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-252.13697,1,0.5,1,1,0,258.06026,0.35504905,-1.222994,-1.932412,-1.3802345,-1.4670235,-1.932412,-1.832565,-1.2154962,-1.4410976,-1.0115339,-1.6006386,7,6,7,3,4,3,1,2,6,8,6,4,5,2,2,2,6,2,7,8,0.31767913,0.5549996
-252.13697,0,14.38551,0,1,1,252.20071,0.35504905,-1.222994,-1.932412,-1.3802345,-1.4670235,-1.932412,-1.832565,-1.2154962,-1.4410976,-1.0115339,-1.6006386,7,6,3,2,6,5,6,5,7,8,8,6,7,4,5,7,8,4,7,8,0.31767913,0.31562716
-252.13697,9.5464553e-80,2.4311673,2,3,0,252.80083,0.35504905,-1.222994,-1.932412,-1.3802345,-1.4670235,-1.932412,-1.832565,-1.2154962,-1.4410976,-1.0115339,-1.6006386,5,5,4,5,4,2,7,4,8,4,6,4,6,2,7,4,7,2,7,8,0.31767913,0.37270082
-252.10717,1,0.23979141,1,1,0,252.28073,0.35648744,-1.2227671,-1.9310623,-1.3815653,-1.467356,-1.9310623,-1.834376,-1.2154309,-1.4410822,-1.0145431,-1.601679,6,5,7,5,5,6,8,3,5,5,8,5,2,2,6,2,7,4,8,5,0.31948947,0.52685762
-251.50296,1,0.32433241,1,1,0,251.83882,0.40458503,-1.2170572,-1.887006,-1.4285494,-1.4796321,-1.887006,-1.8973165,-1.2180793,-1.4419177,-1.1159471,-1.6389398,8,3,5,6,6,5,7,1,5,7,7,4,7,5,5,3,8,6,8,7,0.36836943,0.64678843
-251.46496,1,0.50720558,1,1,0,251.47312,0.42026383,-1.2160162,-1.8730936,-1.4448825,-1.4841145,-1.8730936,-1.9188407,-1.2208452,-1.4427665,-1.149336,-1.6521649,8,3,5,7,4,7,7,1,8,7,8,2,7,2,2,4,7,1,7,6,0.37970472,0.46668643
-251.46496,1.0262616e-11,0.8633763,1,1,0,252.72602,0.42026383,-1.2160162,-1.8730936,-1.4448825,-1.4841145,-1.8730936,-1.9188407,-1.2208452,-1.4427665,-1.149336,-1.6521649,4,7,5,2,5,6,8,1,7,7,8,3,8,5,6,4,6,2,6,8,0.37970472,0.40219951
-251.47209,0.9996755,0.068724284,2,7,0,251.48771,0.42709302,-1.2156946,-1.8671025,-1.4521492,-1.4861401,-1.8671025,-1.928372,-1.2223234,-1.4432266,-1.1639311,-1.6580985,8,3,4,3,5,3,3,1,7,8,7,6,7,1,6,4,8,1,6,6,0.38397411,0.72826419
-252.30642,0.87651793,0.12267579,1,3,0,254.09879,0.49512351,-1.2171351,-1.8096824,-1.5294532,-1.5087111,-1.8096824,-2.0285543,-1.2454412,-1.450885,-1.3110829,-1.7232866,8,2,6,5,6,3,6,5,8,6,8,7,7,2,4,1,8,2,7,8,0.40536998,0.45139953
-252.16883,1,0.1529175,3,7,0,252.32485,0.48868166,-1.2166192,-1.8149441,-1.5217577,-1.506389,-1.8149441,-2.0186561,-1.2426337,-1.4499152,-1.2970099,-1.7166183,8,3,4,4,4,7,7,3,6,8,7,6,5,4,3,6,1,5,8,7,0.40495256,0.68045853
