# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 14:00:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6299fba0e.json
# init = 2 (Default)
# random
#   seed = 715966156
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281600-1-043571.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281600-1-427565.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-246.29116,0.99583411,0.25,1,1,0,246.30078,0.41282244,-1.4819579,-1.8796692,-1.2981572,-2.9449834,-1.738475,-2.1817144,-1.2981572,-3.2200755,-1.5460416,-1.4706345,4,5,6,5,3,7,8,5,6,3,2,6,7,5,7,4,7,3,6,8,0.37459374,0.49659716
-246.29116,0,14.276961,0,1,1,246.72706,0.41282244,-1.4819579,-1.8796692,-1.2981572,-2.9449834,-1.738475,-2.1817144,-1.2981572,-3.2200755,-1.5460416,-1.4706345,2,8,8,5,2,8,8,4,2,7,4,2,8,2,6,7,8,6,4,8,0.37459374,0.56282917
-246.29116,5.6974589e-60,2.4074123,1,1,0,249.12896,0.41282244,-1.4819579,-1.8796692,-1.2981572,-2.9449834,-1.738475,-2.1817144,-1.2981572,-3.2200755,-1.5460416,-1.4706345,7,6,7,2,5,7,6,3,7,6,5,6,8,3,7,8,8,6,2,6,0.37459374,0.3957625
-246.36331,0.98386592,0.23714425,1,1,0,246.36684,0.40318846,-1.4792442,-1.8882559,-1.304944,-2.9697868,-1.7314514,-2.1991832,-1.304944,-3.2482632,-1.5503919,-1.4733624,1,6,6,6,2,7,8,5,7,4,6,2,4,4,5,6,4,5,5,7,0.36725439,0.47350823
-246.23445,0.98131722,0.30605629,2,3,0,246.44504,0.4438456,-1.4912958,-1.8525817,-1.2778764,-2.8664344,-1.7616434,-2.1273679,-1.2778764,-3.1301287,-1.5326006,-1.4627197,2,5,7,5,3,7,8,3,3,6,3,3,6,5,6,7,7,2,8,8,0.39277162,0.47090903
-246.23445,0.3788743,0.45155279,1,1,0,246.57063,0.4438456,-1.4912958,-1.8525817,-1.2778764,-2.8664344,-1.7616434,-2.1273679,-1.2778764,-3.1301287,-1.5326006,-1.4627197,7,6,8,5,3,6,7,2,5,6,3,5,5,5,5,7,3,4,8,8,0.39277162,0.64922019
-246.30991,0.99185766,0.11439868,3,7,0,246.53288,0.40995601,-1.4811412,-1.8822153,-1.3001528,-2.9523427,-1.7363768,-2.1868822,-1.3001528,-3.2284495,-1.5473272,-1.4714326,4,3,6,3,5,3,8,2,6,7,7,5,6,4,4,8,8,7,4,6,0.37249587,0.97533042
-246.23456,0.98691817,0.19300601,1,3,0,246.45219,0.44388801,-1.4913092,-1.8525453,-1.2778503,-2.8663283,-1.7616756,-2.1272955,-1.2778503,-3.1300065,-1.5325828,-1.4627098,2,3,8,4,7,5,5,5,5,7,4,7,4,6,6,6,8,4,2,6,0.39279091,0.51957444
-246.22757,0.94584735,0.33430034,2,3,0,246.33451,0.42943964,-1.4868463,-1.8650534,-1.2869908,-2.9026604,-1.7507803,-2.1522466,-1.2869908,-3.1717417,-1.5387341,-1.4662316,1,3,8,5,2,5,3,4,8,4,5,6,6,3,4,8,5,4,7,7,0.38534907,0.56511376
-246.22757,0.00064213474,0.52122216,1,1,0,247.58142,0.42943964,-1.4868463,-1.8650534,-1.2869908,-2.9026604,-1.7507803,-2.1522466,-1.2869908,-3.1717417,-1.5387341,-1.4662316,3,3,8,3,4,7,6,4,4,7,5,2,5,2,3,3,7,3,6,8,0.38534907,0.52991783
