# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 14:00:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b665a87375.json
# init = 2 (Default)
# random
#   seed = 987308889
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281600-1-53fb00.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281600-1-5fa894.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-246.62821,0.96471579,0.25,1,3,0,248.0976,0.53385311,-1.7788183,-1.7619995,-1.4985687,-1.5282969,-1.5773315,-1.9765846,-1.5773315,-1.495449,-1.495449,-1.2337991,7,7,5,2,6,8,7,4,1,6,3,6,2,4,5,5,7,3,2,6,0.40087044,0.25741133
-246.62821,0,13.491614,0,1,1,246.76611,0.53385311,-1.7788183,-1.7619995,-1.4985687,-1.5282969,-1.5773315,-1.9765846,-1.5773315,-1.495449,-1.495449,-1.2337991,6,8,5,2,3,4,6,4,7,3,5,8,2,6,4,3,5,6,1,7,0.40087044,0.040752296
-246.62821,7.3082716e-26,2.237157,1,2,1,247.31446,0.53385311,-1.7788183,-1.7619995,-1.4985687,-1.5282969,-1.5773315,-1.9765846,-1.5773315,-1.495449,-1.495449,-1.2337991,3,6,7,7,4,5,5,5,5,6,6,6,5,3,5,7,4,6,3,4,0.40087044,0.72109493
-246.90182,0.96845873,0.21827327,2,7,0,246.90183,0.46984941,-1.8305361,-1.8127732,-1.5220057,-1.5246248,-1.4997059,-2.0907544,-1.4997059,-1.572636,-1.572636,-1.2628021,3,8,2,4,3,5,7,3,1,2,7,4,2,1,4,6,3,3,5,8,0.40182225,0.46816388
-246.63918,1,0.26796034,1,1,0,246.81698,0.4967826,-1.8083332,-1.7906936,-1.511683,-1.5251182,-1.5314476,-2.0418632,-1.5314476,-1.5392314,-1.5392314,-1.2491417,3,7,3,5,1,5,7,3,4,7,3,7,3,3,1,4,3,2,3,7,0.4054237,0.14750036
-246.63918,0.50665557,0.41558257,1,1,0,247.02709,0.4967826,-1.8083332,-1.7906936,-1.511683,-1.5251182,-1.5314476,-2.0418632,-1.5314476,-1.5392314,-1.5392314,-1.2491417,3,7,3,3,6,3,6,3,4,7,3,6,5,7,4,5,5,7,3,6,0.4054237,0.62275382
-246.70766,0.989704,0.15535108,3,7,0,246.85838,0.54530288,-1.7699461,-1.7535243,-1.4947765,-1.5298603,-1.5920087,-1.9568927,-1.5920087,-1.48245,-1.48245,-1.2299169,5,8,3,5,1,2,7,4,4,8,4,7,3,3,5,6,5,4,5,8,0.39722182,0.41014309
-246.58779,0.87563084,0.26167186,2,3,0,247.35379,0.52226929,-1.7879115,-1.7707585,-1.5025297,-1.526994,-1.5627239,-1.9967328,-1.5627239,-1.5088535,-1.5088535,-1.2381462,5,7,3,2,5,2,7,5,4,4,3,7,5,4,2,4,7,2,4,6,0.40347945,0.41564731
-246.96662,0.89180056,0.32041136,2,3,0,246.9673,0.56697637,-1.7534659,-1.7379709,-1.4879349,-1.5335677,-1.6204351,-1.9202246,-1.6204351,-1.4585341,-1.4585341,-1.2237383,1,6,2,6,3,7,7,4,1,8,5,7,2,2,3,3,5,1,1,6,0.38735884,0.63924652
-246.96662,0.14478922,0.42109689,1,1,0,248.37929,0.56697637,-1.7534659,-1.7379709,-1.4879349,-1.5335677,-1.6204351,-1.9202246,-1.6204351,-1.4585341,-1.4585341,-1.2237383,7,8,6,2,4,4,7,4,4,7,6,7,6,6,3,6,7,3,3,7,0.38735884,0.45928116
