# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 14:00:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b62f9ae87e.json
# init = 2 (Default)
# random
#   seed = 419715602
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281600-1-93e1fc.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281600-1-52240b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-248.89783,0.96965195,0.25,1,3,0,254.80925,0.39117863,-1.8990766,-1.8835079,-1.5559315,-1.5320763,-1.4149752,-2.2406815,-1.4149752,-1.6776707,-1.6776707,-1.3137192,2,6,5,3,2,3,4,2,3,8,2,4,5,2,3,8,8,6,3,8,0.35693813,0.76742818
-248.89783,0,13.613245,0,1,1,248.99073,0.39117863,-1.8990766,-1.8835079,-1.5559315,-1.5320763,-1.4149752,-2.2406815,-1.4149752,-1.6776707,-1.6776707,-1.3137192,4,8,5,4,5,4,8,5,5,7,5,8,2,2,2,5,4,6,3,4,0.35693813,0.43319988
-248.89783,1.0238909e-45,2.2633375,2,3,0,249.15663,0.39117863,-1.8990766,-1.8835079,-1.5559315,-1.5320763,-1.4149752,-2.2406815,-1.4149752,-1.6776707,-1.6776707,-1.3137192,3,6,4,2,3,4,6,5,3,7,5,4,5,3,6,2,8,5,6,7,0.35693813,0.66826449
-247.79439,1,0.22116326,1,1,0,248.73315,0.42571893,-1.8683046,-1.8512774,-1.5403487,-1.5271581,-1.4506797,-2.1735427,-1.4506797,-1.6302042,-1.6302042,-1.2894309,3,7,2,3,2,7,7,4,2,5,6,7,6,5,3,7,6,3,3,4,0.38314719,0.036488636
-246.58328,1,0.29739471,1,3,0,247.32868,0.51413662,-1.7943659,-1.7770199,-1.5053852,-1.5262472,-1.5526143,-2.011014,-1.5526143,-1.5184153,-1.5184153,-1.2414442,4,7,2,6,5,5,7,1,4,5,4,6,4,3,2,4,3,4,2,8,0.40466541,0.40043186
-246.58328,0.257999,0.46332836,1,1,0,246.92825,0.51413662,-1.7943659,-1.7770199,-1.5053852,-1.5262472,-1.5526143,-2.011014,-1.5526143,-1.5184153,-1.5184153,-1.2414442,4,7,7,4,3,4,6,3,8,7,4,7,6,1,5,7,7,3,4,8,0.40466541,0.37046376
-246.68197,0.98848937,0.081127688,2,7,0,247.27827,0.49041725,-1.8135229,-1.7958169,-1.5140626,-1.5248631,-1.5238235,-2.0533067,-1.5238235,-1.5470063,-1.5470063,-1.2521852,7,8,3,2,2,5,7,6,5,7,2,5,6,5,2,6,5,6,4,8,0.40509772,0.43717579
-247.08807,0.95869903,0.13467594,1,3,0,247.32104,0.45782222,-1.8406581,-1.8229767,-1.5268296,-1.5249019,-1.4859731,-2.1129865,-1.4859731,-1.5879793,-1.5879793,-1.2695498,2,8,7,5,2,4,7,5,4,6,4,7,3,6,1,6,6,1,4,8,0.39832381,0.47324454
-247.37462,0.94442445,0.21273173,1,1,0,247.41586,0.44307635,-1.853243,-1.8357816,-1.5329234,-1.5256633,-1.4695139,-2.1405818,-1.4695139,-1.6071459,-1.6071459,-1.2783495,4,7,2,5,1,4,4,5,2,6,3,5,2,6,5,6,7,3,3,7,0.39241917,0.46112822
-247.36235,1,0.32947128,2,3,0,247.74855,0.44364667,-1.8527527,-1.8352802,-1.532684,-1.5256252,-1.4701427,-2.1395076,-1.4701427,-1.6063974,-1.6063974,-1.2779986,5,6,4,5,5,3,7,2,3,8,6,7,5,8,2,5,5,2,6,7,0.39268095,0.81052942
