# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 14:49:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b61e022e8e.json
# init = 2 (Default)
# random
#   seed = 1954161096
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281649-1-6f2038.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281649-1-31b31d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-263.95353,0.57367065,0.5,2,3,0,264.95713,0.40735832,-1.7495062,-1.4420469,-1.57544,-1.6721844,-1.8856405,-1.5555749,-1.5484987,-1.6412392,-1.5555749,-1.4804079,7,3,7,3,8,2,5,8,6,3,7,3,4,5,7,1,3,4,5,3,0.37053207,0.65990134
-263.95353,0,6.6265028,0,1,1,263.95424,0.40735832,-1.7495062,-1.4420469,-1.57544,-1.6721844,-1.8856405,-1.5555749,-1.5484987,-1.6412392,-1.5555749,-1.4804079,8,4,7,1,7,2,6,7,3,7,6,3,5,3,6,2,3,4,2,8,0.37053207,0.33125798
-263.95353,1.4313433e-08,0.89003331,1,3,0,264.536,0.40735832,-1.7495062,-1.4420469,-1.57544,-1.6721844,-1.8856405,-1.5555749,-1.5484987,-1.6412392,-1.5555749,-1.4804079,7,1,5,6,7,1,2,8,4,4,4,3,6,3,6,2,3,8,1,4,0.37053207,0.72946158
-263.8282,1,0.076994375,1,1,0,263.98977,0.40461818,-1.7477177,-1.4419192,-1.5741287,-1.6696341,-1.8816915,-1.5514326,-1.549741,-1.6389672,-1.5514326,-1.4796413,6,4,5,3,5,2,6,7,1,7,7,5,6,2,7,1,6,6,5,7,0.36839569,0.14307134
-264.78645,0.97082355,0.095936366,3,11,0,266.45939,0.10574816,-1.5965173,-1.4768064,-1.532433,-1.4277774,-1.5919424,-1.1143479,-1.7250085,-1.4760095,-1.1143479,-1.4415148,8,4,5,8,8,2,2,8,3,4,4,3,4,3,8,2,2,8,1,4,-0.5667032,0.14800706
-264.50847,1,0.13043311,1,1,0,264.80938,0.10918455,-1.5977747,-1.4758894,-1.5318233,-1.4301298,-1.5938774,-1.119215,-1.7225496,-1.4770575,-1.119215,-1.4414082,7,3,5,5,6,1,8,6,3,4,7,1,6,1,6,2,3,6,5,8,-0.53857423,0.45920059
-263.75164,1,0.21403824,2,3,0,264.52923,0.11945376,-1.6015978,-1.4732169,-1.5301477,-1.4372224,-1.5998342,-1.133781,-1.7152627,-1.4802898,-1.133781,-1.4411703,4,2,7,3,7,2,2,4,4,7,3,4,4,3,3,1,8,8,1,5,-0.46027927,0.33307309
-261.39257,1,0.37424915,1,1,0,263.27268,0.16617615,-1.6202332,-1.4623531,-1.5253061,-1.4706622,-1.6302906,-1.2004539,-1.6832696,-1.4969455,-1.2004539,-1.4415921,7,5,4,5,4,2,4,8,5,5,3,1,5,4,5,3,7,8,4,6,-0.18468056,0.1278666
-261.39257,2.3270975e-08,0.67976358,1,1,0,261.77769,0.16617615,-1.6202332,-1.4623531,-1.5253061,-1.4706622,-1.6302906,-1.2004539,-1.6832696,-1.4969455,-1.2004539,-1.4415921,7,1,7,6,7,4,1,4,5,7,5,3,4,4,6,1,6,6,1,5,-0.18468056,0.30617593
-260.21564,0.99832963,0.053647101,3,9,0,262.07923,0.21999755,-1.6442387,-1.4525217,-1.5254349,-1.5115072,-1.6724501,-1.2780867,-1.648773,-1.5202805,-1.2780867,-1.4450508,6,3,6,2,8,7,4,8,1,6,6,4,7,2,8,1,3,6,1,5,0.029162395,0.61091114
-260.08148,0.99765177,0.099717863,2,7,0,260.42699,0.2481745,-1.6578998,-1.4485478,-1.5279723,-1.5338592,-1.6976868,-1.3190906,-1.6317209,-1.5343709,-1.3190906,-1.4480928,7,3,7,3,6,5,2,8,1,5,6,1,3,4,5,3,3,7,2,5,0.11288528,0.60875187
-260.08186,0.99997297,0.18714674,3,7,0,260.08211,0.24547134,-1.6565565,-1.4488935,-1.5276545,-1.5316864,-1.6951685,-1.315146,-1.6333267,-1.5329612,-1.315146,-1.4477649,5,3,6,2,7,1,4,6,5,3,7,5,4,2,8,2,2,7,1,8,0.10552238,0.51871188
-260.13722,0.9021208,0.35553326,2,3,0,260.38862,0.26533317,-1.6665901,-1.4465305,-1.5303601,-1.5477913,-1.7141631,-1.3441838,-1.6216769,-1.5436118,-1.3441838,-1.4503509,3,5,3,2,4,4,6,8,4,2,7,4,6,2,7,1,5,4,3,7,0.1566523,0.33769401
-260.13722,0.50101579,0.49697744,1,3,0,260.75704,0.26533317,-1.6665901,-1.4465305,-1.5303601,-1.5477913,-1.7141631,-1.3441838,-1.6216769,-1.5436118,-1.3441838,-1.4503509,5,3,6,1,7,2,5,8,1,4,6,5,8,4,4,3,5,8,4,6,0.1566523,0.30066847
-260.09424,0.99592146,0.19889537,3,7,0,260.2144,0.25587985,-1.6617674,-1.4476039,-1.5289653,-1.5400858,-1.7049804,-1.3303475,-1.6271787,-1.5384578,-1.3303475,-1.4490692,6,1,8,4,8,5,2,5,4,7,2,4,5,2,7,3,3,7,4,8,0.13315943,0.81235273
-261.08375,0.62415469,0.37409955,1,1,0,261.08776,0.32634888,-1.6997901,-1.4418846,-1.5441073,-1.5992683,-1.7798681,-1.4341834,-1.5880533,-1.5807397,-1.4341834,-1.4608143,7,4,5,4,8,3,4,6,3,6,4,3,8,2,6,2,3,7,3,6,0.27692825,0.46157474
-261.09774,1,0.22278818,3,7,0,261.15708,0.17519936,-1.6240675,-1.4605025,-1.5248993,-1.4773381,-1.63682,-1.2134066,-1.6773101,-1.5005404,-1.2134066,-1.4419529,5,6,6,4,7,1,3,8,3,4,3,3,5,2,5,2,2,6,4,5,-0.14268484,0.5487736
-261.25948,0.94452289,0.42208397,1,1,0,261.66255,0.17008341,-1.6218842,-1.4615418,-1.5251089,-1.4735444,-1.6330918,-1.2060597,-1.6806803,-1.4984868,-1.2060597,-1.4417374,4,2,5,3,4,3,8,5,5,7,1,5,6,5,7,1,5,1,1,7,-0.16613693,0.21429607
-260.09422,1,0.67030343,1,1,0,260.26404,0.25587035,-1.6617626,-1.447605,-1.528964,-1.5400781,-1.7049713,-1.3303336,-1.6271842,-1.5384527,-1.3303336,-1.4490679,6,2,4,4,7,3,3,6,4,4,6,3,2,2,6,1,6,6,2,4,0.13313507,0.28189831
-260.09422,2.6729188e-16,1.2496856,1,1,0,263.7455,0.25587035,-1.6617626,-1.447605,-1.528964,-1.5400781,-1.7049713,-1.3303336,-1.6271842,-1.5384527,-1.3303336,-1.4490679,6,1,8,4,8,3,4,8,2,5,6,1,4,7,4,2,2,7,1,4,0.13313507,0.70016055
-260.28072,0.98615204,0.11705046,2,5,0,260.61507,0.21419915,-1.641521,-1.4534405,-1.5251246,-1.5069893,-1.6675316,-1.2696797,-1.6523681,-1.5175442,-1.2696797,-1.4445287,7,3,6,2,7,1,4,7,3,6,5,4,4,4,6,1,3,6,4,7,0.0098584979,0.31192
-260.35475,0.95611527,0.21063884,2,3,0,260.87393,0.20872046,-1.6389825,-1.45434,-1.5248975,-1.5027464,-1.6629691,-1.2617459,-1.6557919,-1.515009,-1.2617459,-1.4440682,7,2,2,5,6,2,5,8,7,8,5,4,8,2,6,1,3,8,2,7,-0.0091039402,0.11867253
-260.08285,0.9756073,0.34392642,2,3,0,260.38126,0.25018642,-1.6589042,-1.4482954,-1.5282191,-1.5354803,-1.6995748,-1.3220281,-1.6305299,-1.5354282,-1.3220281,-1.4483418,5,2,8,4,4,3,3,8,1,4,5,6,1,5,7,1,6,7,4,5,0.11827986,0.63986014
-260.08285,4.6902232e-08,0.58964315,1,1,0,262.46773,0.25018642,-1.6589042,-1.4482954,-1.5282191,-1.5354803,-1.6995748,-1.3220281,-1.6305299,-1.5354282,-1.3220281,-1.4483418,8,4,7,3,7,3,2,8,6,3,7,4,7,3,7,3,4,6,1,4,0.11827986,0.83012918
-260.3084,0.99730083,0.060236646,3,13,0,260.55676,0.21204181,-1.640518,-1.453791,-1.5250275,-1.5053156,-1.6657252,-1.2665545,-1.6537131,-1.5165401,-1.2665545,-1.4443435,5,6,3,4,4,3,8,6,5,8,2,3,7,5,7,1,3,5,2,7,0.0024774298,0.31684951
-260.30557,0.992735,0.11057056,2,7,0,260.81431,0.28388037,-1.6763012,-1.4446977,-1.5336656,-1.5631212,-1.7329419,-1.3714137,-1.6111102,-1.5541803,-1.3714137,-1.4531324,6,4,3,4,7,1,3,6,1,5,4,2,6,4,6,4,3,5,2,6,0.19864907,0.10213032
-260.29145,0.87451683,0.19834922,1,3,0,261.73939,0.21334499,-1.6411234,-1.4535787,-1.5250849,-1.5063262,-1.6668149,-1.2684422,-1.6529001,-1.5171457,-1.2684422,-1.4444548,5,4,7,1,6,3,3,8,2,2,5,3,7,5,5,2,2,6,1,5,0.0069492313,0.37674034
-260.90965,0.92937184,0.25280549,2,3,0,261.12572,0.18178308,-1.6269133,-1.4592033,-1.5247108,-1.4822532,-1.6417191,-1.2228733,-1.6730065,-1.5032426,-1.2228733,-1.4422723,6,5,4,4,7,1,6,6,6,4,4,5,7,4,7,3,3,6,1,5,-0.11380951,0.52896331
-260.35267,1,0.37390153,1,1,0,260.76857,0.20886272,-1.639048,-1.4543162,-1.5249026,-1.5028563,-1.6630866,-1.2619518,-1.6557026,-1.5150742,-1.2619518,-1.4440797,4,6,5,5,5,4,3,8,6,7,6,5,8,3,5,1,4,7,3,5,-0.0086023835,0.47525818
-260.35267,2.6026215e-09,0.6677434,1,1,0,261.30494,0.20886272,-1.639048,-1.4543162,-1.5249026,-1.5028563,-1.6630866,-1.2619518,-1.6557026,-1.5150742,-1.2619518,-1.4440797,2,3,5,4,6,2,2,8,1,6,4,4,5,4,4,1,2,6,3,5,-0.0086023835,0.12366234
-260.0984,0.99977645,0.076368026,3,9,0,260.42658,0.25718447,-1.6624279,-1.4474502,-1.5291462,-1.5411448,-1.7062323,-1.3322553,-1.6264147,-1.5391598,-1.3322553,-1.4492405,7,3,3,2,8,4,3,8,3,3,6,6,7,2,6,1,4,8,3,4,0.13649027,0.75143885
-260.0988,0.99999226,0.13678845,2,3,0,260.09962,0.25729964,-1.6624863,-1.4474367,-1.5291623,-1.5412384,-1.706343,-1.3324238,-1.6263474,-1.539222,-1.3324238,-1.4492558,6,4,8,3,6,4,6,5,1,5,7,3,6,4,4,1,5,7,3,4,0.13678291,0.37467314
-260.14006,0.85960172,0.24281776,2,3,0,261.39675,0.26579347,-1.6668271,-1.4464807,-1.530433,-1.5481684,-1.7146169,-1.3448583,-1.6214111,-1.5438667,-1.3448583,-1.4504156,7,4,5,5,8,4,6,7,3,7,5,5,4,1,8,1,4,7,3,7,0.15775885,0.51781916
-260.09388,0.994563,0.2934536,1,3,0,260.17727,0.23878811,-1.653265,-1.4497808,-1.5269367,-1.5263402,-1.6890314,-1.3054034,-1.6373243,-1.5295292,-1.3054034,-1.446987,6,5,7,1,5,1,7,6,2,5,4,2,4,1,2,2,5,8,3,5,0.086737256,0.073575798
-260.09388,0.8674755,0.50559335,1,1,0,260.18619,0.23878811,-1.653265,-1.4497808,-1.5269367,-1.5263402,-1.6890314,-1.3054034,-1.6373243,-1.5295292,-1.3054034,-1.446987,7,1,5,2,3,4,5,6,2,4,4,5,4,4,8,2,3,6,1,8,0.086737256,0.4295934
