# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 14:50:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b628868962.json
# init = 2 (Default)
# random
#   seed = 399530165
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281650-1-5c2438.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281650-1-6fc826.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-260.382,1,0.5,2,3,0,260.3821,0.20690753,-1.6381487,-1.4546443,-1.5248364,-1.501348,-1.6614775,-1.2591227,-1.6569306,-1.5141808,-1.2591227,-1.4439228,4,3,6,7,7,1,7,7,3,7,6,3,8,2,7,3,5,6,4,2,-0.015539272,0.37067381
-260.382,0,14.38551,0,1,1,260.50717,0.20690753,-1.6381487,-1.4546443,-1.5248364,-1.501348,-1.6614775,-1.2591227,-1.6569306,-1.5141808,-1.2591227,-1.4439228,7,1,7,5,8,1,2,7,3,7,3,1,3,2,8,1,5,5,2,7,-0.015539272,0.89758866
-260.382,6.4504384e-81,2.4311673,2,3,0,260.38217,0.20690753,-1.6381487,-1.4546443,-1.5248364,-1.501348,-1.6614775,-1.2591227,-1.6569306,-1.5141808,-1.2591227,-1.4439228,5,4,5,3,6,1,6,7,1,7,6,2,4,2,6,4,4,7,4,7,-0.015539272,0.081909018
-260.30375,0.91710608,0.23979141,2,3,0,261.36137,0.21239399,-1.6406815,-1.4537335,-1.5250427,-1.5055886,-1.6660192,-1.2670646,-1.6534933,-1.5167035,-1.2670646,-1.4443734,2,5,6,4,6,5,2,7,1,7,3,6,5,4,8,4,4,8,1,8,0.003689889,0.50636344
-260.54776,0.95969548,0.25593645,2,3,0,260.79496,0.19741039,-1.6338317,-1.456293,-1.5246313,-1.4940673,-1.6538092,-1.2453972,-1.6629427,-1.5099284,-1.2453972,-1.443219,6,3,6,1,6,3,3,7,1,5,4,3,4,3,5,2,5,6,1,5,-0.0506228,0.32626506
-260.08616,0.95825527,0.35128913,2,3,0,260.59897,0.24198021,-1.6548318,-1.4493512,-1.5272675,-1.5288891,-1.6919468,-1.310055,-1.6354101,-1.531159,-1.310055,-1.4473527,4,4,3,1,5,2,5,8,1,6,4,2,5,2,8,1,3,7,1,5,0.09581434,0.052710587
-260.08616,0.062170873,0.52103508,1,1,0,260.78639,0.24198021,-1.6548318,-1.4493512,-1.5272675,-1.5288891,-1.6919468,-1.310055,-1.6354101,-1.531159,-1.310055,-1.4473527,5,4,6,3,7,5,6,8,1,6,8,1,4,7,5,2,4,8,1,4,0.09581434,0.53479076
-260.58837,0.99372065,0.04990936,3,13,0,261.93942,0.19537972,-1.6329197,-1.4566573,-1.5246123,-1.4925205,-1.6522012,-1.2424661,-1.6642384,-1.5090378,-1.2424661,-1.4430811,7,3,6,6,7,5,3,8,3,4,4,5,2,3,4,1,3,8,2,2,-0.05843568,0.7698806
-260.29509,0.97011545,0.087168984,2,7,0,263.97947,0.28299666,-1.675831,-1.4447767,-1.5334909,-1.5623844,-1.732024,-1.3701138,-1.6116068,-1.5536629,-1.3701138,-1.4529919,6,4,7,4,8,5,4,8,3,6,8,5,6,5,6,2,6,8,6,6,0.19676451,0.84352564
-260.27364,1,0.14578323,2,3,0,260.29955,0.28112013,-1.674835,-1.4449474,-1.5331257,-1.5608221,-1.7300825,-1.3673543,-1.6126637,-1.5525687,-1.3673543,-1.4526962,4,2,7,3,7,4,4,8,2,6,7,4,6,4,6,1,4,8,4,7,0.19272527,0.75320342
-260.33992,0.98312137,0.27279153,1,1,0,260.37334,0.28664717,-1.6777783,-1.4444554,-1.5342236,-1.565432,-1.735831,-1.3754853,-1.6095598,-1.5558095,-1.3754853,-1.4535774,5,3,5,6,3,4,3,6,1,6,4,2,4,2,7,4,2,8,2,4,0.20447714,0.35213578
-260.84689,0.7131626,0.48844036,1,3,0,260.87484,0.18416801,-1.6279543,-1.4587433,-1.5246652,-1.4840428,-1.6435221,-1.2263059,-1.6714569,-1.5042382,-1.2263059,-1.4423997,3,1,4,3,8,1,2,6,4,8,6,4,2,2,4,2,3,4,2,7,-0.10369421,0.33659644
-260.29645,1,0.37496677,1,1,0,260.69104,0.21295488,-1.640942,-1.4536421,-1.5250674,-1.5060235,-1.6664882,-1.2678771,-1.6531433,-1.5169641,-1.2678771,-1.4444213,6,2,5,4,8,3,3,8,2,8,5,2,5,2,8,1,5,6,1,5,0.0056148078,0.62354997
-260.74597,0.1525194,0.71223285,1,3,0,261.08055,0.31121088,-1.6912165,-1.4426641,-1.5399227,-1.5862177,-1.7625006,-1.4117415,-1.5960899,-1.5708868,-1.4117415,-1.4578682,3,3,7,2,8,3,5,7,3,6,2,3,2,5,4,3,5,7,2,3,0.25165482,0.75726135
-260.65084,0.99656211,0.095969937,2,3,0,260.91768,0.30631672,-1.6884924,-1.4429692,-1.5386799,-1.5820376,-1.7570391,-1.404502,-1.5987313,-1.5677938,-1.404502,-1.4569648,7,2,6,6,7,2,2,8,4,1,3,4,3,2,5,4,6,5,5,8,0.242884,0.80178725
-260.64038,1,0.18170021,1,1,0,260.70975,0.30575535,-1.6881814,-1.4430059,-1.5385408,-1.5815593,-1.7564174,-1.4036721,-1.5990357,-1.5674418,-1.4036721,-1.4568627,3,3,7,4,7,1,5,5,1,4,5,3,8,7,7,1,3,6,2,4,0.2418586,0.89398427
-260.211,1,0.34567791,1,1,0,260.49205,0.27496186,-1.6715903,-1.4455337,-1.5319818,-1.5557149,-1.7237849,-1.3583063,-1.6161536,-1.5490222,-1.3583063,-1.4517509,5,4,6,5,5,3,2,8,6,2,6,4,6,1,6,3,4,8,1,7,0.17910558,0.85729473
-260.24759,0.94872988,0.65277946,1,1,0,260.46046,0.27869832,-1.6735546,-1.4451732,-1.5326659,-1.5588099,-1.7275924,-1.3637946,-1.6140322,-1.5511659,-1.3637946,-1.4523198,4,1,7,2,4,2,4,5,3,7,6,2,7,3,6,1,4,6,2,6,0.18743629,0.35031809
