# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 15:01:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63aba7616.json
# init = 2 (Default)
# random
#   seed = 1505058417
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281701-2-244636.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281701-2-1c5d1f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-260.32174,1,0.5,1,1,0,280.22351,0.28520664,-1.6770084,-1.4445805,-1.533931,-1.5642281,-1.7343239,-1.3733651,-1.6103662,-1.5549596,-1.3733651,-1.4533448,8,4,8,5,8,2,5,8,3,6,7,2,8,3,8,2,7,5,4,3,0.20145637,0.78208718
-260.32174,0,14.38551,0,1,1,260.43836,0.28520664,-1.6770084,-1.4445805,-1.533931,-1.5642281,-1.7343239,-1.3733651,-1.6103662,-1.5549596,-1.3733651,-1.4533448,2,3,7,5,7,3,6,6,3,6,6,3,5,4,6,3,4,7,2,5,0.20145637,0.63211191
-260.32174,1.2853333e-49,2.4311673,1,3,1,260.58845,0.28520664,-1.6770084,-1.4445805,-1.533931,-1.5642281,-1.7343239,-1.3733651,-1.6103662,-1.5549596,-1.3733651,-1.4533448,5,1,7,5,7,2,3,6,3,5,4,2,8,3,2,6,5,7,2,5,0.20145637,0.68915859
-260.19326,1,0.23979141,2,3,0,260.29797,0.27296537,-1.6705462,-1.4457324,-1.5316288,-1.5540657,-1.7217674,-1.3553756,-1.6172922,-1.5478869,-1.3553756,-1.4514528,7,4,6,3,7,6,4,6,6,8,6,1,4,4,6,3,5,8,3,7,0.17456795,0.64758871
-260.19247,1,0.32433241,1,1,0,260.23061,0.27287303,-1.670498,-1.4457416,-1.5316127,-1.5539895,-1.7216744,-1.3552401,-1.6173449,-1.5478346,-1.3552401,-1.4514391,6,3,8,4,7,4,3,8,3,5,7,2,6,2,5,3,3,5,2,6,0.17435661,0.62081065
-260.19247,0.25690126,0.50720558,1,3,0,261.5847,0.27287303,-1.670498,-1.4457416,-1.5316127,-1.5539895,-1.7216744,-1.3552401,-1.6173449,-1.5478346,-1.3552401,-1.4514391,5,3,3,6,6,2,4,7,4,5,4,2,4,3,5,4,3,3,4,6,0.17435661,0.46107929
-260.18299,1,0.088728817,2,3,0,260.19228,0.27173922,-1.6699068,-1.4458565,-1.5314164,-1.5530545,-1.7205342,-1.3535763,-1.6179932,-1.5471932,-1.3535763,-1.4512718,5,5,7,4,6,4,6,7,3,8,5,2,3,5,6,2,5,7,1,7,0.17175097,0.38959619
-260.59381,0.96739071,0.15289417,2,7,0,260.85124,0.30319448,-1.6867667,-1.4431774,-1.5379151,-1.5793809,-1.7535936,-1.3998876,-1.6004275,-1.5658439,-1.3998876,-1.4564011,7,5,8,2,8,5,5,8,3,7,4,5,6,2,6,2,7,5,2,7,0.2371297,0.55322682
-260.11363,0.99837494,0.24850091,2,7,0,260.56713,0.26095439,-1.6643456,-1.4470161,-1.5296898,-1.544213,-1.7098774,-1.3377713,-1.6242156,-1.5412051,-1.3377713,-1.4497457,2,4,5,4,7,4,6,5,1,6,5,3,3,5,5,1,4,4,4,7,0.14595418,0.36936376
-262.15723,0.18358378,0.45669937,2,3,0,262.18251,0.14740328,-1.6125005,-1.4664613,-1.5267018,-1.4569975,-1.6173842,-1.1735854,-1.6958958,-1.4898633,-1.1735854,-1.4411292,7,3,7,3,7,4,2,8,3,6,4,4,6,1,6,1,6,8,3,7,-0.2822922,0.77902147
-262.21683,0.99963298,0.064745392,2,3,0,262.26402,0.14613718,-1.6119909,-1.4667508,-1.5268226,-1.4560869,-1.6165464,-1.1717772,-1.6967584,-1.4894047,-1.1717772,-1.441112,5,1,6,2,7,2,3,8,4,4,3,4,6,1,5,1,8,6,1,6,-0.28943475,0.6428975
-260.08625,0.99846257,0.12233445,3,15,0,262.14556,0.2525543,-1.6600913,-1.4480037,-1.5285209,-1.5373925,-1.7018117,-1.3254868,-1.6291327,-1.5366814,-1.3254868,-1.4486402,5,3,6,1,7,3,2,7,5,7,4,2,3,2,7,3,4,6,3,7,0.12453686,0.55277185
-260.08721,0.99984092,0.23159902,1,1,0,260.08774,0.2530532,-1.6603421,-1.447943,-1.528586,-1.5377959,-1.702285,-1.3262158,-1.6288389,-1.5369467,-1.3262158,-1.4487038,6,1,3,6,8,4,5,5,1,8,6,4,6,5,5,3,5,7,2,3,0.12584261,0.69294092
-260.46415,0.78527246,0.44063031,1,1,0,260.48991,0.29541056,-1.6825055,-1.4437421,-1.5361028,-1.5727918,-1.7451342,-1.3883976,-1.6046934,-1.5610613,-1.3883976,-1.4550383,7,6,6,7,7,1,1,8,1,4,7,2,6,5,5,2,5,6,3,7,0.22223031,0.64603064
-260.46415,0.23138114,0.4281301,2,3,0,261.56667,0.29541056,-1.6825055,-1.4437421,-1.5361028,-1.5727918,-1.7451342,-1.3883976,-1.6046934,-1.5610613,-1.3883976,-1.4550383,7,1,8,3,6,2,5,8,3,3,4,1,4,3,6,3,2,7,3,8,0.22223031,0.80695204
-260.14295,0.99298851,0.075000472,3,9,0,261.34347,0.22866378,-1.64836,-1.4512126,-1.5260331,-1.5183117,-1.6799747,-1.2906714,-1.6434545,-1.5244732,-1.2906714,-1.4458976,6,3,1,6,8,1,3,8,3,7,5,5,6,1,8,2,1,5,2,7,0.05662598,0.46932828
-260.09984,0.98181686,0.1404989,2,7,0,260.67499,0.25759819,-1.6626377,-1.4474018,-1.5292043,-1.541481,-1.7066303,-1.3328604,-1.6261728,-1.5393831,-1.3328604,-1.4492953,4,3,6,2,8,2,6,8,4,4,5,2,7,2,8,4,5,6,2,7,0.13754051,0.24447042
-260.09499,1,0.25266391,1,1,0,260.10039,0.25612905,-1.6618935,-1.4475744,-1.5289995,-1.540288,-1.7052192,-1.3307119,-1.6270326,-1.5385916,-1.3307119,-1.4491018,4,5,5,1,6,3,4,6,2,6,4,2,3,3,7,1,7,7,4,7,0.1337979,0.34186719
-260.09499,0.049819142,0.47660521,2,3,0,261.69746,0.25612905,-1.6618935,-1.4475744,-1.5289995,-1.540288,-1.7052192,-1.3307119,-1.6270326,-1.5385916,-1.3307119,-1.4491018,6,3,7,4,6,1,6,8,2,6,8,6,5,4,5,2,5,5,2,7,0.1337979,0.49464376
-260.16745,0.99877351,0.051211711,3,11,0,260.36094,0.26976165,-1.6688787,-1.4460599,-1.5310807,-1.5514262,-1.7185545,-1.3506754,-1.6191265,-1.5460799,-1.3506754,-1.450983,7,3,6,6,8,3,3,8,3,6,5,5,4,3,5,6,3,7,2,6,0.16715869,0.90992601
