# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 15:01:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b632db8280.json
# init = 2 (Default)
# random
#   seed = 252824942
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281701-2-4573f0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281701-2-34b361.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-264.04118,1,0.5,2,3,0,274.86369,0.11535343,-1.6000596,-1.4742717,-1.5307904,-1.4343792,-1.5974244,-1.1279612,-1.7181612,-1.4789811,-1.1279612,-1.4412508,7,6,5,3,7,3,2,7,3,3,3,7,6,3,5,2,3,3,3,4,-0.49056218,0.29747482
-264.04118,0,14.38551,0,1,1,264.10567,0.11535343,-1.6000596,-1.4742717,-1.5307904,-1.4343792,-1.5974244,-1.1279612,-1.7181612,-1.4789811,-1.1279612,-1.4412508,7,4,7,2,8,2,6,7,4,6,7,3,2,2,5,1,2,7,2,7,-0.49056218,0.62998206
-264.04118,5.7336796e-112,2.4311673,1,3,0,264.11318,0.11535343,-1.6000596,-1.4742717,-1.5307904,-1.4343792,-1.5974244,-1.1279612,-1.7181612,-1.4789811,-1.1279612,-1.4412508,4,4,4,7,8,1,5,6,1,6,4,3,4,6,5,1,3,7,3,3,-0.49056218,0.28902939
-262.71462,0.96353258,0.23979141,3,7,0,264.39757,0.37806158,-1.7307746,-1.4411308,-1.5623432,-1.6452205,-1.8448037,-1.5114194,-1.5621292,-1.6177902,-1.5114194,-1.4725855,8,2,5,5,7,3,2,5,5,7,5,5,7,3,3,2,4,7,6,5,0.34414709,0.64653171
-260.27128,0.90544148,0.29224028,1,3,0,263.2259,0.21497116,-1.641881,-1.4533162,-1.5251617,-1.5075892,-1.6681811,-1.2707984,-1.6518877,-1.5179053,-1.2707984,-1.4445961,8,4,7,5,4,3,2,8,3,4,7,4,6,2,5,3,3,8,1,6,0.012473246,0.7235377
-260.43507,0.95259922,0.34318599,1,1,0,260.47094,0.20361314,-1.6366416,-1.4552059,-1.5247435,-1.4988139,-1.6587898,-1.2543584,-1.6590072,-1.5126893,-1.2543584,-1.4436677,4,1,4,7,2,1,2,7,2,3,4,4,6,2,7,3,2,7,4,5,-0.027444193,0.24822739
-260.20447,1,0.49996226,1,3,0,260.26053,0.27424377,-1.6712143,-1.4456046,-1.5318538,-1.5551213,-1.7230579,-1.357252,-1.6165627,-1.5486131,-1.357252,-1.4516433,8,1,5,5,6,2,3,6,3,6,6,2,5,4,7,2,4,6,5,5,0.17748049,0.82760663
-260.20447,6.7091677e-09,0.88658016,1,1,0,263.01216,0.27424377,-1.6712143,-1.4456046,-1.5318538,-1.5551213,-1.7230579,-1.357252,-1.6165627,-1.5486131,-1.357252,-1.4516433,7,2,6,3,8,7,1,8,3,8,6,3,3,1,6,4,8,3,2,6,0.17748049,0.86450034
-260.10616,0.99730554,0.070093061,3,9,0,260.57935,0.2353861,-1.6516059,-1.4502501,-1.5266084,-1.523633,-1.685956,-1.3004495,-1.6393742,-1.5278111,-1.3004495,-1.4466089,5,1,8,4,7,6,7,6,2,7,8,3,8,3,6,2,6,8,2,5,0.076847046,0.5069187
-260.23846,0.96049358,0.1276006,2,7,0,261.5452,0.2778074,-1.673085,-1.4452578,-1.5325,-1.5580709,-1.7266808,-1.3624856,-1.6145369,-1.5506525,-1.3624856,-1.4521829,5,4,8,7,8,2,2,6,1,6,3,2,7,5,7,3,6,8,5,6,0.18546885,0.78821016
-261.13581,0.91377935,0.21068771,3,7,0,261.41188,0.17395455,-1.623534,-1.460753,-1.5249452,-1.476413,-1.6359065,-1.2116182,-1.678128,-1.500037,-1.2116182,-1.4418978,5,2,4,7,8,5,3,8,2,4,6,4,6,2,7,4,3,6,3,7,-0.14830724,0.86694283
-261.06157,1,0.30312632,1,1,0,261.31256,0.17640713,-1.6245865,-1.4602609,-1.5248578,-1.478237,-1.6377101,-1.2151423,-1.6765178,-1.501031,-1.2151423,-1.4420079,4,2,7,5,6,2,6,7,1,1,4,5,2,2,4,4,6,5,2,8,-0.13728019,0.64388296
-261.63418,0.55583091,0.57507994,1,1,0,261.70616,0.34653842,-1.7115735,-1.4412358,-1.5504959,-1.6169577,-1.8041693,-1.4642317,-1.5776499,-1.5945682,-1.4642317,-1.4650976,7,3,7,5,7,1,3,7,5,7,4,4,8,2,4,4,5,8,3,4,0.30652634,0.37417015
-261.41768,1,0.27085931,1,1,0,261.89004,0.33907779,-1.7071726,-1.4414232,-1.548027,-1.6103833,-1.7950356,-1.4531122,-1.5814523,-1.5893652,-1.4531122,-1.4634678,2,7,5,7,6,1,1,8,5,6,4,1,7,1,7,1,6,8,1,5,0.2961146,0.67093604
-260.36699,1,0.51544102,1,1,0,260.58747,0.20789439,-1.6386022,-1.4544782,-1.5248688,-1.5021089,-1.6622883,-1.2605505,-1.6563104,-1.514631,-1.2605505,-1.4440015,2,5,6,3,3,2,6,6,2,7,5,5,4,1,3,4,5,6,2,5,-0.012026159,0.09934987
-260.77821,0.075793771,0.97593726,2,3,0,262.05335,0.31279309,-1.6921022,-1.4425709,-1.540336,-1.5875732,-1.7642822,-1.4140836,-1.5952405,-1.5718963,-1.4140836,-1.4581654,7,2,7,4,8,3,4,8,4,6,5,2,2,4,3,3,8,7,5,3,0.25442626,0.93730983
-260.87751,0.99574938,0.10682489,1,1,0,260.87884,0.31746104,-1.6947293,-1.442312,-1.541588,-1.5915839,-1.7695839,-1.4209981,-1.5927473,-1.5749021,-1.4209981,-1.4590569,4,1,4,2,5,3,6,5,1,2,4,3,4,3,7,1,8,5,2,7,0.26242362,0.4015948
-260.10406,1,0.20086467,2,3,0,260.78399,0.25872691,-1.6632109,-1.4472708,-1.5293648,-1.5423988,-1.7077187,-1.3345116,-1.6255135,-1.5399937,-1.3345116,-1.4494455,4,2,4,6,7,2,2,8,1,4,6,4,7,3,5,2,7,7,2,5,0.14039112,0.61604558
-260.24583,0.41959825,0.37957023,2,3,0,262.10078,0.21715789,-1.6429038,-1.4529674,-1.5252739,-1.5092911,-1.6700298,-1.2739682,-1.6505299,-1.5189336,-1.2739682,-1.4447906,8,2,4,3,6,3,5,3,4,5,6,4,2,5,5,3,3,8,2,2,0.019804629,0.3875229
-260.38068,0.99377212,0.1241826,1,3,0,260.4362,0.20699315,-1.638188,-1.4546299,-1.5248392,-1.501414,-1.6615477,-1.2592465,-1.6568767,-1.5142198,-1.2592465,-1.4439296,8,3,6,4,8,3,3,6,7,4,4,2,6,1,8,5,3,8,1,4,-0.015233516,0.49365491
-260.51422,0.91679499,0.22941857,3,7,0,261.5304,0.19916241,-1.6346217,-1.455982,-1.5246547,-1.4954047,-1.6552054,-1.2479272,-1.6618276,-1.510702,-1.2479272,-1.4433415,7,4,6,6,8,3,2,6,3,4,6,2,4,4,5,1,2,7,2,5,-0.043972316,0.82599764
-260.8604,0.97199272,0.33442357,2,3,0,260.92217,0.18364534,-1.6277257,-1.4588436,-1.5246742,-1.4836502,-1.6431257,-1.2255534,-1.6717961,-1.5040192,-1.2255534,-1.4423713,6,1,5,4,8,3,4,8,4,6,5,2,4,4,7,1,3,7,1,7,-0.10589581,0.60558347
-260.8604,0.54928063,0.56982462,1,1,0,261.93439,0.18364534,-1.6277257,-1.4588436,-1.5246742,-1.4836502,-1.6431257,-1.2255534,-1.6717961,-1.5040192,-1.2255534,-1.4423713,3,5,6,3,5,1,5,5,3,5,6,3,6,2,6,2,1,6,1,4,-0.10589581,0.25614895
-260.20755,0.99126987,0.28173757,2,7,0,260.7052,0.27458463,-1.6713927,-1.4455709,-1.5319144,-1.555403,-1.7234028,-1.3577524,-1.6163685,-1.5488072,-1.3577524,-1.4516943,4,6,3,2,6,1,4,6,2,6,5,2,8,5,4,1,1,8,1,8,0.17825285,0.0091223983
-260.45472,0.89858076,0.50403133,1,3,0,260.45859,0.20246178,-1.6361172,-1.4554047,-1.5247165,-1.4979303,-1.6578574,-1.2526941,-1.6597351,-1.5121722,-1.2526941,-1.4435813,6,4,4,8,7,2,2,6,1,5,4,3,6,4,7,2,6,4,1,5,-0.031670207,0.73149551
-260.45472,0.00014671034,0.68526958,1,1,0,260.67648,0.20246178,-1.6361172,-1.4554047,-1.5247165,-1.4979303,-1.6578574,-1.2526941,-1.6597351,-1.5121722,-1.2526941,-1.4435813,3,5,5,4,6,3,4,8,4,6,7,6,6,4,5,2,2,7,1,8,-0.031670207,0.29047298
-260.08235,0.99738778,0.07273668,3,11,0,260.96619,0.2496515,-1.6586368,-1.4483621,-1.5281527,-1.535049,-1.6990717,-1.321247,-1.6308462,-1.5351464,-1.321247,-1.4482752,3,4,4,1,8,1,5,8,1,7,3,4,5,2,8,4,2,6,1,5,0.11685263,0.24072368
-260.41018,0.99034364,0.13203512,3,7,0,260.47084,0.29180207,-1.68055,-1.4440259,-1.5353084,-1.5697537,-1.7412753,-1.3830777,-1.606689,-1.5588818,-1.3830777,-1.4544273,3,1,6,1,8,7,2,7,4,7,8,6,6,3,8,3,5,8,2,2,0.21504826,0.58171074
-260.15681,0.94263054,0.23269634,1,3,0,261.01509,0.22671118,-1.6474252,-1.4515009,-1.5258842,-1.5167731,-1.6782611,-1.2878339,-1.6446471,-1.5235177,-1.2878339,-1.4456999,2,4,6,1,6,3,2,7,5,4,5,3,4,3,7,4,3,8,1,7,0.050578411,0.61657097
-260.12494,0.98347632,0.35609379,2,3,0,260.27082,0.23157724,-1.6497615,-1.4507898,-1.5262705,-1.5206134,-1.6825515,-1.2949075,-1.6416813,-1.5259106,-1.2949075,-1.4462,6,6,4,4,8,1,4,6,1,6,5,4,2,4,6,4,6,7,3,6,0.06550243,0.19213804
-260.13277,0.9919853,0.60513623,1,1,0,260.18286,0.2302464,-1.6491203,-1.4509818,-1.5261598,-1.5195611,-1.6813715,-1.2929722,-1.6424904,-1.5252522,-1.2929722,-1.4460608,7,4,7,3,8,2,5,8,5,7,1,4,4,2,8,4,4,6,1,8,0.061469412,0.6570064
-260.71218,0.20953831,1.0432125,1,1,0,262.0172,0.18968953,-1.6303848,-1.4577002,-1.5246058,-1.4882045,-1.6477544,-1.2342596,-1.6678882,-1.5065771,-1.2342596,-1.4427183,4,1,6,2,5,1,2,8,3,8,6,3,1,4,4,3,6,7,1,7,-0.080944917,0.16219707
-260.37083,0.99748499,0.21659307,2,5,0,260.66736,0.28898837,-1.679034,-1.4442568,-1.534709,-1.5673921,-1.7382937,-1.3789324,-1.6082531,-1.5571989,-1.3789324,-1.4539601,3,1,7,4,7,5,3,8,1,8,7,4,3,3,7,2,8,7,5,3,0.20932415,0.44886367
-260.36886,1,0.37870769,1,1,0,260.508,0.28884314,-1.6789559,-1.444269,-1.5346785,-1.5672704,-1.7381404,-1.3787185,-1.608334,-1.5571124,-1.3787185,-1.4539362,6,1,5,4,6,2,7,8,6,3,8,2,5,3,6,4,7,5,2,5,0.20902571,0.59145919
-260.36886,0.0039768371,0.66059439,1,1,0,261.74219,0.28884314,-1.6789559,-1.444269,-1.5346785,-1.5672704,-1.7381404,-1.3787185,-1.608334,-1.5571124,-1.3787185,-1.4539362,6,1,6,4,6,1,3,7,2,6,5,3,1,4,8,2,3,7,2,7,0.20902571,0.76552272
-260.20908,0.99676869,0.083237342,2,5,0,260.62525,0.27475266,-1.6714807,-1.4455543,-1.5319444,-1.5555419,-1.7235729,-1.3579991,-1.6162728,-1.5489029,-1.3579991,-1.4517195,8,2,5,3,6,4,5,6,3,2,6,4,6,3,4,1,5,8,3,4,0.17863295,0.81213379
-260.13139,0.95544528,0.14440992,2,7,0,261.33246,0.23047231,-1.649229,-1.4509491,-1.5261783,-1.5197396,-1.6815714,-1.2933007,-1.6423529,-1.5253638,-1.2933007,-1.4460843,8,2,6,6,6,1,1,8,4,8,4,2,5,8,7,1,1,7,3,6,0.062156583,0.7510649
-260.13092,1,0.22317709,1,1,0,260.13826,0.23055094,-1.6492669,-1.4509377,-1.5261848,-1.5198018,-1.6816411,-1.293415,-1.6423051,-1.5254026,-1.293415,-1.4460925,7,4,6,5,6,3,4,8,3,5,7,2,6,6,1,5,6,7,4,4,0.062395488,0.62137852
-260.13092,0.54644491,0.38410093,1,3,0,261.73022,0.23055094,-1.6492669,-1.4509377,-1.5261848,-1.5198018,-1.6816411,-1.293415,-1.6423051,-1.5254026,-1.293415,-1.4460925,8,2,4,4,8,3,4,7,1,4,4,3,5,1,7,1,5,8,3,7,0.062395488,0.45342085
-260.15109,0.99530205,0.20630975,2,5,0,260.20544,0.26748242,-1.6676985,-1.4462996,-1.5307045,-1.5495534,-1.7162872,-1.3473336,-1.620437,-1.5448053,-1.3473336,-1.4506551,7,1,5,5,8,4,2,4,3,5,6,2,5,4,7,2,4,7,5,7,0.16179011,0.7348331
