# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 15:01:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b65ba390f7.json
# init = 2 (Default)
# random
#   seed = 1197645947
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281701-2-7b2a63.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281701-2-7e0522.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-260.24034,0.064796288,0.5,1,1,0,261.36563,0.27799233,-1.6731824,-1.4452402,-1.5325343,-1.5582243,-1.7268698,-1.3627573,-1.6144321,-1.550759,-1.3627573,-1.4522112,7,2,4,3,5,2,7,8,1,6,5,2,4,3,7,4,6,5,3,5,0.18587819,0.45176128
-260.24034,1.254312e-51,2.6270225,1,3,1,260.80438,0.27799233,-1.6731824,-1.4452402,-1.5325343,-1.5582243,-1.7268698,-1.3627573,-1.6144321,-1.550759,-1.3627573,-1.4522112,7,1,5,3,8,2,5,4,2,4,4,4,5,4,5,1,3,6,2,8,0.18587819,0.49773338
-260.23611,1,0.26822616,2,7,0,260.23855,0.21803995,-1.6433176,-1.4528281,-1.5253221,-1.5099787,-1.6707792,-1.2752473,-1.6499834,-1.5193506,-1.2752473,-1.4448705,7,4,3,7,5,1,6,7,3,4,5,1,4,4,5,3,6,6,2,6,0.022730878,0.76645652
-260.08392,0.99957199,0.28498361,1,3,0,260.22799,0.24337488,-1.6555194,-1.4491668,-1.5274189,-1.5300054,-1.6932297,-1.3120884,-1.6345765,-1.5318765,-1.3120884,-1.4475159,5,1,8,6,6,7,6,7,4,7,7,4,5,4,7,4,7,7,3,7,0.099719806,0.67087988
-260.84371,0.78504599,0.38981736,2,3,0,260.90182,0.31590456,-1.693851,-1.4423957,-1.5411651,-1.5902446,-1.7678085,-1.4186917,-1.5935765,-1.5738953,-1.4186917,-1.4587572,3,4,7,6,8,1,3,4,2,4,5,2,3,7,7,3,6,8,4,8,0.25978649,0.58420649
-260.31496,1,0.3237451,1,1,0,260.68722,0.28465577,-1.6767145,-1.444629,-1.5338203,-1.5637682,-1.7337492,-1.3725545,-1.610675,-1.5546355,-1.3725545,-1.4532563,5,2,7,8,8,4,1,8,3,4,6,5,5,5,5,2,3,7,3,7,0.2002934,0.48744501
-260.31496,0.12366614,0.54445096,1,1,0,261.20793,0.28465577,-1.6767145,-1.444629,-1.5338203,-1.5637682,-1.7337492,-1.3725545,-1.610675,-1.5546355,-1.3725545,-1.4532563,4,3,4,2,8,2,4,7,4,5,8,2,1,1,6,4,2,7,3,8,0.2002934,0.20241017
-260.17826,0.9982385,0.063200448,3,15,0,260.6545,0.22402468,-1.646145,-1.4519038,-1.5256928,-1.5146614,-1.6759208,-1.2839318,-1.6462934,-1.5222134,-1.2839318,-1.4454344,6,2,6,2,6,2,4,8,7,6,1,4,6,8,4,2,3,6,1,6,0.042125839,0.68938899
-260.36479,0.99072799,0.11221637,2,5,0,260.61206,0.20804187,-1.63867,-1.4544535,-1.5248738,-1.5022227,-1.6624098,-1.2607639,-1.6562178,-1.5146984,-1.2607639,-1.4440133,6,2,6,4,8,5,3,8,4,5,3,2,5,2,6,2,4,8,1,8,-0.011503204,0.86770267
-260.13128,1,0.20054021,2,3,0,260.34967,0.23049115,-1.6492381,-1.4509464,-1.5261799,-1.5197545,-1.6815881,-1.293328,-1.6423415,-1.5253731,-1.293328,-1.4460862,6,2,2,2,6,3,4,4,6,5,1,5,8,6,7,1,6,8,6,3,0.062213819,0.39905447
