# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 15:02:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b61f953fc4.json
# init = 2 (Default)
# random
#   seed = 900067266
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281702-2-3f207c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281702-2-8ac13f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-278.3153,1,0.5,1,3,0,282.1966,0.88574102,-2.5015048,-1.58225,-1.2277202,-3.2105994,-1.5229656,-1.4612742,-1.6716608,-1.5229656,-2.1204455,-1.5253807,8,5,5,5,8,8,5,5,4,4,8,8,4,6,5,7,2,6,7,4,-0.49885889,0.41477037
-278.3153,0,14.38551,0,1,1,280.84944,0.88574102,-2.5015048,-1.58225,-1.2277202,-3.2105994,-1.5229656,-1.4612742,-1.6716608,-1.5229656,-2.1204455,-1.5253807,6,8,3,5,8,7,4,8,6,2,7,7,2,8,7,6,4,4,4,5,-0.49885889,0.67538496
-278.3153,2.9003403e-268,2.4311673,1,3,1,279.29079,0.88574102,-2.5015048,-1.58225,-1.2277202,-3.2105994,-1.5229656,-1.4612742,-1.6716608,-1.5229656,-2.1204455,-1.5253807,7,8,5,8,7,6,3,4,3,3,8,6,3,8,5,6,4,8,4,2,-0.49885889,0.82193524
-259.64088,0.77408213,0.23979141,2,7,0,273.75948,0.4479872,-3.3855675,-1.4611533,-1.6007195,-1.9474642,-0.89461037,-1.5818537,-1.5309035,-0.89461037,-1.587179,-1.7007498,8,5,1,8,7,8,2,5,1,1,7,6,5,7,4,6,3,6,4,6,0.3945848,0.35243224
-258.66273,1,0.17008347,1,1,0,259.52104,0.47469044,-3.3171497,-1.453792,-1.5665342,-1.9915817,-0.93130343,-1.55659,-1.5273088,-0.93130343,-1.608824,-1.6784841,5,6,4,8,6,3,5,5,3,3,7,3,6,5,7,8,5,7,8,3,0.40289952,0.43910729
-258.34138,1,0.25861991,1,1,0,258.92394,0.48535133,-3.2904952,-1.4513062,-1.5532472,-2.0100065,-0.94600861,-1.5473253,-1.5262901,-0.94600861,-1.6178594,-1.6700286,5,3,1,6,6,5,3,7,5,4,8,8,2,8,7,6,6,8,3,7,0.40460641,0.68937572
-258.4923,0.9527662,0.43230063,1,3,0,258.49817,0.65489426,-2.9109752,-1.4490115,-1.3711556,-2.3758028,-1.1842939,-1.4546918,-1.542728,-1.1842939,-1.7915636,-1.5680145,8,4,1,8,3,8,2,4,4,4,8,6,2,8,8,6,2,7,1,4,0.30457356,0.71161444
-258.4923,0.00025232272,0.66018892,2,3,0,258.78192,0.65489426,-2.9109752,-1.4490115,-1.3711556,-2.3758028,-1.1842939,-1.4546918,-1.542728,-1.1842939,-1.7915636,-1.5680145,8,7,7,6,7,6,4,8,1,6,6,4,4,7,8,8,3,8,1,7,0.30457356,0.29682041
-258.47357,0.99881773,0.052087497,4,15,0,258.98143,0.65428542,-2.9122041,-1.4488855,-1.3717054,-2.3742052,-1.1834229,-1.4548598,-1.5425563,-1.1834229,-1.7908387,-1.5682733,3,2,3,6,7,7,7,8,1,7,5,5,1,7,6,7,3,8,4,7,0.30540611,0.2884401
-257.47961,0.99639736,0.095139646,3,7,0,258.83097,0.61033792,-3.0032776,-1.4424785,-1.4134627,-2.2648969,-1.1208494,-1.4698974,-1.532352,-1.1208494,-1.7404466,-1.588983,8,5,4,7,6,6,5,7,3,4,8,6,1,5,7,6,5,8,5,6,0.35554158,0.41300674
