# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 15:03:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b64573dc91.json
# init = 2 (Default)
# random
#   seed = 439906614
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281703-2-485879.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281703-2-52d266.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-250.08623,0.66666682,0.5,1,3,0,251.93977,0.31761652,-1.2237373,-1.5298269,-1.8072852,-2.3673897,-1.8072852,-1.9572779,-1.5513557,-3.1989697,-1.7336677,-1.7336677,8,4,5,8,4,7,5,5,8,6,7,7,7,6,2,5,2,1,5,4,0.26268544,0.61964896
-250.08623,0,7.8472342,0,1,1,250.39661,0.31761652,-1.2237373,-1.5298269,-1.8072852,-2.3673897,-1.8072852,-1.9572779,-1.5513557,-3.1989697,-1.7336677,-1.7336677,6,3,6,4,1,8,3,3,5,8,4,3,3,5,3,5,2,5,7,6,0.26268544,0.33484077
-250.08623,1.9879877e-07,1.1081564,1,3,0,250.15865,0.31761652,-1.2237373,-1.5298269,-1.8072852,-2.3673897,-1.8072852,-1.9572779,-1.5513557,-3.1989697,-1.7336677,-1.7336677,8,4,7,5,4,7,5,1,7,6,4,4,7,3,1,6,1,3,5,3,0.26268544,0.30111371
-242.94787,1,0.098646146,3,9,0,251.90286,0.83532405,-0.51712604,-1.704979,-1.5253904,-1.6573222,-1.5253904,-1.469559,-1.6603083,-2.0325514,-0.62467591,-0.62467591,8,7,8,5,6,7,4,6,7,7,8,7,5,5,5,6,3,5,8,6,-0.19195177,0.49418562
-242.87405,1,0.12513448,1,1,0,243.23917,0.83453809,-0.51814463,-1.7045215,-1.5253457,-1.657909,-1.5253457,-1.4701367,-1.6597161,-2.0339537,-0.62622835,-0.62622835,8,7,5,5,1,6,2,3,7,8,8,2,6,5,4,7,2,2,8,8,-0.18813167,0.17905205
-238.03062,0.97346299,0.18774966,3,7,0,242.57928,0.49030546,-0.97970746,-1.5606201,-1.6376762,-2.0512267,-1.6376762,-1.7715669,-1.5248593,-2.7524851,-1.3430245,-1.3430245,8,1,4,6,3,4,3,6,8,8,7,4,5,3,3,7,4,6,7,7,0.4050891,0.77002026
-235.61009,1,0.28685542,2,3,0,237.2607,0.56236572,-0.88043795,-1.5815841,-1.5911362,-1.944887,-1.5911362,-1.7007491,-1.5326971,-2.5841632,-1.186522,-1.186522,6,6,8,7,4,3,6,6,7,8,6,6,1,4,2,4,5,4,5,7,0.38978488,0.34994016
-235.31293,1,0.50401317,1,1,0,235.31332,0.69070631,-0.70717782,-1.6308356,-1.5394295,-1.7881386,-1.5394295,-1.5845779,-1.5733764,-2.3084062,-0.91650789,-0.91650789,7,4,6,6,1,4,4,3,6,4,6,5,7,5,6,4,3,4,6,8,0.24825489,0.18199138
-235.31293,9.8799207e-13,0.91809363,1,3,0,235.5398,0.69070631,-0.70717782,-1.6308356,-1.5394295,-1.7881386,-1.5394295,-1.5845779,-1.5733764,-2.3084062,-0.91650789,-0.91650789,7,4,8,5,4,6,4,2,8,8,7,5,7,6,1,5,7,2,8,8,0.24825489,0.42292066
-236.13662,0.98689721,0.072561548,2,5,0,236.32408,0.72234589,-0.66513903,-1.6453484,-1.5324716,-1.755515,-1.5324716,-1.5579438,-1.5886477,-2.2449609,-0.85157313,-0.85157313,8,5,7,5,1,7,6,4,7,5,5,8,4,5,6,3,4,5,6,8,0.18512914,0.50744334
-236.46433,0.99372708,0.1301411,2,3,0,236.46904,0.7318637,-0.65254394,-1.6498997,-1.5308113,-1.7461486,-1.5308113,-1.5500903,-1.5936493,-2.2262179,-0.83216122,-0.83216122,6,6,2,7,4,6,2,2,6,5,7,7,6,5,4,5,5,2,6,8,0.16333863,0.34395689
-235.74416,1,0.24116189,1,1,0,236.39432,0.70913282,-0.68266314,-1.6391726,-1.5351073,-1.7688596,-1.5351073,-1.5689684,-1.5820172,-2.2712429,-0.87861465,-0.87861465,7,3,6,5,3,6,6,7,6,8,8,3,1,7,5,7,3,5,8,7,0.2131585,0.83563301
-235.24581,1,0.45783836,1,1,0,235.28227,0.58046935,-0.85572674,-1.5876039,-1.5814835,-1.9203129,-1.5814835,-1.6835835,-1.5363689,-2.5434341,-1.1477709,-1.1477709,6,7,6,5,4,5,3,3,4,4,8,3,7,8,1,6,5,6,7,8,0.3792225,0.48325615
-235.24581,6.2671607e-11,0.86887648,1,1,0,235.26849,0.58046935,-0.85572674,-1.5876039,-1.5814835,-1.9203129,-1.5814835,-1.6835835,-1.5363689,-2.5434341,-1.1477709,-1.1477709,8,5,5,6,1,3,5,2,6,6,8,1,6,4,6,6,6,4,8,5,0.3792225,0.45903067
-235.556,0.99658733,0.072688034,3,11,0,235.61898,0.70177122,-0.69244636,-1.6358034,-1.5367434,-1.7764679,-1.5367434,-1.5751718,-1.5784805,-2.2860184,-0.89372787,-0.89372787,6,8,3,5,4,5,3,7,7,7,8,6,7,7,4,7,3,6,7,8,0.22771727,0.50985238
-235.19884,0.96918106,0.13787261,3,7,0,236.99968,0.6846045,-0.71531534,-1.6281454,-1.5410279,-1.7946959,-1.5410279,-1.589807,-1.5706704,-2.3208445,-0.92910309,-0.92910309,8,5,6,4,4,7,2,1,8,7,6,3,3,5,6,5,3,4,8,8,0.25891761,0.30037538
-234.92986,0.94729854,0.23902402,1,3,0,235.6446,0.60338861,-0.8245716,-1.5956602,-1.5703994,-1.8903913,-1.5703994,-1.6622156,-1.5419924,-2.4927473,-1.0990302,-1.0990302,8,4,5,6,4,6,3,3,5,8,5,5,7,5,3,7,6,2,8,8,0.3617673,0.62713505
-235.38303,0.72810729,0.38531763,1,1,0,235.56303,0.57304823,-0.86584551,-1.5850996,-1.5853438,-1.9302852,-1.5853438,-1.6905895,-1.5347814,-2.5600556,-1.1636289,-1.1636289,6,2,7,6,3,3,3,4,4,7,6,1,5,5,3,8,4,6,5,7,0.38388985,0.33518739
-235.6259,0.61461278,0.31781294,2,3,0,236.80113,0.56167758,-0.88137905,-1.5813613,-1.5915189,-1.9458377,-1.5915189,-1.7014065,-1.532571,-2.5857235,-1.1879994,-1.1879994,6,5,7,4,5,5,5,1,8,4,7,6,7,7,2,2,3,4,8,5,0.39013165,0.83670776
-237.64415,0.77446003,0.18713718,2,3,0,238.64081,0.49932366,-0.96720368,-1.5629819,-1.631123,-2.0371518,-1.631123,-1.7624873,-1.5252439,-2.7308672,-1.3232375,-1.3232375,6,4,7,5,2,6,1,4,6,8,8,3,6,4,4,5,6,4,7,6,0.40546328,0.21179954
-237.09278,1,0.17918225,1,1,0,237.75414,0.51328185,-0.94789626,-1.5667851,-1.6213979,-2.0158069,-1.6213979,-1.7485561,-1.5261767,-2.6977229,-1.2927262,-1.2927262,8,5,4,7,5,8,3,4,7,8,7,6,6,3,5,6,2,1,8,4,0.40475923,0.55925576
-236.82054,1,0.33473036,2,3,0,236.82781,0.74111924,-0.6403184,-1.6544083,-1.5293869,-1.7372366,-1.5293869,-1.5425239,-1.5986943,-2.2081424,-0.81333765,-0.81333765,8,2,5,6,5,7,5,7,7,5,7,4,3,5,2,6,5,6,8,7,0.140778,0.43284074
-237.52796,0.13544026,0.61914621,1,3,0,238.60281,0.5021486,-0.96329166,-1.5637372,-1.629114,-2.0327889,-1.629114,-1.7596559,-1.5253996,-2.7241284,-1.3170512,-1.3170512,5,6,4,6,2,6,3,5,6,6,7,4,6,5,2,4,4,4,6,8,0.40544664,0.33233504
-237.78439,0.99018561,0.091874977,1,1,0,237.80857,0.49598679,-0.97182756,-1.5620993,-1.6335229,-2.0423335,-1.6335229,-1.7658397,-1.5250816,-2.7388474,-1.3305521,-1.3305521,8,6,6,6,3,5,4,6,7,8,6,4,8,6,3,8,3,4,5,6,0.40540068,0.73763317
-237.48449,1,0.16542734,1,1,0,237.99489,0.50322044,-0.96180796,-1.5640256,-1.6283571,-2.0311393,-1.6283571,-1.7585831,-1.525463,-2.7215757,-1.3147055,-1.3147055,7,2,2,4,2,7,2,7,8,5,8,1,5,6,1,6,6,4,8,8,0.40542362,0.55157426
-235.95512,0.93848871,0.30338103,2,3,0,238.46875,0.71653122,-0.67284525,-1.6426102,-1.533584,-1.7613385,-1.533584,-1.562778,-1.5856851,-2.2564892,-0.86345991,-0.86345991,8,7,6,6,2,6,4,5,7,6,6,3,7,6,4,6,3,6,8,8,0.19777272,0.71672155
-235.95512,0.00036963111,0.46270657,1,1,0,237.29789,0.71653122,-0.67284525,-1.6426102,-1.533584,-1.7613385,-1.533584,-1.562778,-1.5856851,-2.2564892,-0.86345991,-0.86345991,7,4,4,3,4,8,2,5,7,7,8,7,8,4,6,6,3,4,6,8,0.19777272,0.65704807
-234.77215,0.99700817,0.05026184,3,15,0,236.79913,0.63906126,-0.77636473,-1.6091702,-1.5556225,-1.8464052,-1.5556225,-1.6297717,-1.5529083,-2.415776,-1.0238638,-1.0238638,7,5,5,5,5,3,4,3,7,6,7,5,7,2,5,3,4,4,8,6,0.32495748,0.39885855
-235.47952,0.96845653,0.090979394,2,7,0,236.29425,0.5683071,-0.87231807,-1.5835263,-1.5878801,-1.9367297,-1.5878801,-1.6950877,-1.5338271,-2.5707286,-1.1737798,-1.1737798,7,5,3,3,3,8,2,4,7,7,7,4,5,6,4,7,5,2,4,8,0.38662531,0.58629388
-235.61089,0.99530313,0.15070099,2,3,0,235.64549,0.56233049,-0.88048614,-1.5815727,-1.5911557,-1.9449357,-1.5911557,-1.7007827,-1.5326907,-2.5842431,-1.1865977,-1.1865977,8,5,6,4,3,5,6,4,8,8,4,6,2,7,1,7,3,2,1,5,0.38980273,0.928141
-234.83789,1,0.26642984,1,3,0,235.35543,0.6142729,-0.80982638,-1.5996568,-1.565574,-1.87664,-1.565574,-1.652211,-1.5450439,-2.4690158,-1.0760066,-1.0760066,5,4,8,8,3,5,4,4,1,4,6,5,8,5,4,4,4,3,8,7,0.35181833,0.0032546627
-234.83789,0.22316351,0.47260695,1,1,0,235.37722,0.6142729,-0.80982638,-1.5996568,-1.565574,-1.87664,-1.565574,-1.652211,-1.5450439,-2.4690158,-1.0760066,-1.0760066,6,6,5,4,3,6,4,5,5,3,7,4,4,4,5,6,2,5,8,7,0.35181833,0.19984362
-234.82853,1,0.10245374,1,1,0,234.83768,0.61571968,-0.80786881,-1.6001963,-1.5649537,-1.8748341,-1.5649537,-1.6508881,-1.545468,-2.4658777,-1.0729521,-1.0729521,7,4,3,4,2,7,1,4,8,7,7,3,8,3,3,7,4,4,7,7,0.35041299,0.62498161
-234.77991,0.99987385,0.18144416,2,3,0,234.83149,0.62660335,-0.79316084,-1.6043175,-1.5604445,-1.8614133,-1.5604445,-1.6409889,-1.548797,-2.4423931,-1.0500187,-1.0500187,5,2,6,7,1,5,4,3,7,4,8,3,3,3,3,7,3,6,8,8,0.3392039,0.19181473
