# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 15:03:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6386e788e.json
# init = 2 (Default)
# random
#   seed = 1450417893
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281703-2-8ebb99.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281703-2-8030dd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-235.52206,1,0.5,1,1,0,236.993,0.56631685,-0.87503699,-1.5828721,-1.5889612,-1.9394522,-1.5889612,-1.6969811,-1.5334404,-2.5752216,-1.1780455,-1.1780455,8,5,6,7,2,5,4,2,4,6,6,5,2,8,1,5,2,4,8,5,0.38771684,0.15445329
-235.52206,0,14.38551,0,1,1,235.92168,0.56631685,-0.87503699,-1.5828721,-1.5889612,-1.9394522,-1.5889612,-1.6969811,-1.5334404,-2.5752216,-1.1780455,-1.1780455,7,3,4,6,6,6,5,5,6,8,8,5,7,5,3,6,3,6,7,4,0.38771684,0.50273164
-235.52206,1.9318341e-103,2.4311673,1,1,0,237.41661,0.56631685,-0.87503699,-1.5828721,-1.5889612,-1.9394522,-1.5889612,-1.6969811,-1.5334404,-2.5752216,-1.1780455,-1.1780455,8,3,6,5,4,6,4,3,8,6,8,1,7,5,6,5,2,5,8,5,0.38771684,0.55419526
-235.87455,0.90811253,0.23979141,1,1,0,236.01255,0.55157328,-0.89521271,-1.5781395,-1.5972729,-1.9599377,-1.5972729,-1.7111024,-1.5308323,-2.6087375,-1.2097303,-1.2097303,7,3,7,4,7,6,7,6,6,7,7,5,5,6,5,4,3,6,7,7,0.39476889,0.58316321
-234.77423,1,0.24944372,1,3,0,235.67529,0.62909974,-0.78979178,-1.6052783,-1.5594493,-1.8583758,-1.5594493,-1.6387314,-1.5495952,-2.4370369,-1.0447695,-1.0447695,7,7,4,4,5,7,5,4,6,8,8,5,6,7,3,5,1,3,5,8,0.33647191,0.54474106
-235.02239,0.85041675,0.38566183,1,1,0,235.02437,0.67318056,-0.73057702,-1.623203,-1.5442457,-1.8072061,-1.5442457,-1.599677,-1.5658115,-2.3443091,-0.95274761,-0.95274761,8,6,4,7,3,4,5,3,8,8,6,7,8,2,4,6,4,4,8,5,0.27767035,0.57672731
-235.02239,0.32832104,0.41219667,1,1,0,235.99202,0.67318056,-0.73057702,-1.623203,-1.5442457,-1.8072061,-1.5442457,-1.599677,-1.5658115,-2.3443091,-0.95274761,-0.95274761,7,7,8,8,2,5,1,4,2,8,8,6,4,6,1,6,6,4,8,8,0.27767035,0.24846219
-234.98608,0.97642671,0.090056491,2,7,0,236.39704,0.59827515,-0.83151009,-1.5938206,-1.5727634,-1.8969531,-1.5727634,-1.6669476,-1.5406434,-2.5039716,-1.1098741,-1.1098741,6,2,3,1,2,4,4,4,7,8,5,4,4,7,5,6,7,2,8,5,0.36606708,0.49471077
-234.76973,0.97503607,0.14981862,1,3,0,235.35064,0.63682295,-0.77937941,-1.6082876,-1.5564623,-1.8490741,-1.5564623,-1.6317781,-1.552146,-2.4205376,-1.0285556,-1.0285556,7,2,8,8,2,2,1,4,4,6,8,6,6,4,4,5,3,7,8,7,0.32763105,0.17555775
-234.90987,0.82428784,0.25515098,2,3,0,235.77364,0.66349303,-0.74354602,-1.6191078,-1.5472057,-1.818055,-1.5472057,-1.6081281,-1.561903,-2.3643889,-0.97286345,-0.97286345,7,6,4,4,2,4,6,5,3,6,6,4,7,5,4,1,4,3,6,8,0.29238612,0.25740555
-234.77262,0.9813946,0.27412077,2,3,0,234.98501,0.63003945,-0.78852402,-1.6056415,-1.5590785,-1.8572363,-1.5590785,-1.6378828,-1.5498989,-2.4350236,-1.0427946,-1.0427946,7,4,2,5,4,5,4,8,8,8,5,5,6,3,4,5,8,5,8,6,0.33542773,0.67420407
-234.78979,0.98193153,0.48814789,1,1,0,234.79219,0.64583577,-0.76724866,-1.6118698,-1.5531512,-1.8384012,-1.5531512,-1.6237231,-1.5552787,-2.4014197,-1.0096835,-1.0096835,7,6,4,7,4,5,4,6,8,6,8,2,5,5,3,7,7,5,6,5,0.31655488,0.86727724
-234.78979,7.3214997e-07,0.87361771,1,1,0,235.71788,0.64583577,-0.76724866,-1.6118698,-1.5531512,-1.8384012,-1.5531512,-1.6237231,-1.5552787,-2.4014197,-1.0096835,-1.0096835,8,4,6,8,4,3,6,5,8,7,5,6,7,6,5,6,5,3,7,8,0.31655488,0.52458649
-234.7878,0.99995173,0.071895358,2,3,0,234.79346,0.64529398,-0.76797727,-1.6116523,-1.553345,-1.8390372,-1.553345,-1.6242055,-1.5550856,-2.4025648,-1.0108165,-1.0108165,5,4,6,7,2,1,2,3,6,4,7,3,6,6,2,3,6,3,7,6,0.31724424,0.1046121
-234.89015,0.96540468,0.137795,1,3,0,235.41595,0.60755815,-0.81891921,-1.5971782,-1.5685178,-1.8850889,-1.5685178,-1.6583722,-1.5431324,-2.4836305,-1.090201,-1.090201,7,1,6,6,5,3,4,2,7,6,4,6,7,6,5,5,7,3,7,7,0.35808517,0.44813165
-234.77093,1,0.23634002,1,3,0,234.87556,0.63129742,-0.78682725,-1.606129,-1.5585853,-1.8557142,-1.5585853,-1.636748,-1.5503084,-2.4323309,-1.0401517,-1.0401517,3,4,7,6,5,8,4,2,6,5,8,4,5,5,2,4,6,2,8,8,0.33401631,0.57456839
-235.43665,0.56726373,0.44880996,1,1,0,235.51449,0.69660528,-0.69932013,-1.6334696,-1.5379635,-1.7818814,-1.5379635,-1.5795511,-1.5760659,-2.2964439,-0.90435375,-0.90435375,8,3,8,8,2,3,7,3,6,7,7,3,4,5,5,6,6,5,8,8,0.23750252,0.1658173
-235.30042,1,0.22559847,1,1,0,235.48601,0.6900721,-0.70802317,-1.6305543,-1.5395918,-1.7888161,-1.5395918,-1.5851201,-1.5730915,-2.309696,-0.91781593,-0.91781593,8,5,3,5,2,3,6,4,6,4,7,6,3,7,5,8,3,4,5,7,0.24938469,0.481645
-235.11705,1,0.42592534,1,3,0,235.15419,0.58845954,-0.84484899,-1.5903572,-1.5774762,-1.9097318,-1.5774762,-1.6760879,-1.5382058,-2.5256529,-1.1307386,-1.1307386,4,6,6,6,5,8,2,4,5,5,6,5,5,7,7,8,2,6,6,6,0.37366442,0.58696799
-235.11705,6.3600541e-08,0.79697243,1,1,0,235.17662,0.58845954,-0.84484899,-1.5903572,-1.5774762,-1.9097318,-1.5774762,-1.6760879,-1.5382058,-2.5256529,-1.1307386,-1.1307386,5,4,6,7,2,2,3,2,7,5,8,6,8,2,5,7,4,2,5,8,0.37366442,0.35852106
-234.85859,0.97999942,0.074924137,2,7,0,236.73941,0.65771012,-0.7512997,-1.6167052,-1.5490743,-1.8246368,-1.5490743,-1.6132084,-1.5596625,-2.3764553,-0.9849002,-0.9849002,7,2,6,6,5,5,6,7,6,4,8,6,6,5,4,8,3,4,8,8,0.30067118,0.61422314
-235.27023,0.95702028,0.13289445,1,3,0,235.57664,0.6885088,-0.71010735,-1.6298627,-1.5399955,-1.7904902,-1.5399955,-1.5864577,-1.572393,-2.3128782,-0.92104122,-0.92104122,7,7,5,5,7,2,8,6,8,8,8,4,5,4,3,7,7,1,7,7,0.2521481,0.93400588
