# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 15:04:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b64aa44935.json
# init = 2 (Default)
# random
#   seed = 1498697550
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281704-2-37ed41.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281704-2-86b454.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-235.85682,1,0.5,1,1,0,242.29148,0.71318002,-0.67729063,-1.6410467,-1.534259,-1.7647298,-1.534259,-1.5655765,-1.5840095,-2.2631602,-0.87032023,-0.87032023,8,6,8,7,4,6,7,4,5,8,8,5,5,4,1,6,7,5,8,8,0.20483756,0.24004931
-235.85682,0,14.38551,0,1,1,236.47606,0.71318002,-0.67729063,-1.6410467,-1.534259,-1.7647298,-1.534259,-1.5655765,-1.5840095,-2.2631602,-0.87032023,-0.87032023,7,4,3,2,3,6,4,8,8,8,7,4,3,6,6,7,5,3,8,6,0.20483756,0.89160869
-235.85682,3.2138693e-103,2.4311673,1,1,0,235.86404,0.71318002,-0.67729063,-1.6410467,-1.534259,-1.7647298,-1.534259,-1.5655765,-1.5840095,-2.2631602,-0.87032023,-0.87032023,8,3,2,5,4,7,5,3,7,6,7,6,5,6,2,3,5,3,8,7,0.20483756,0.9097594
-235.46378,1,0.23979141,1,1,0,235.85013,0.69781985,-0.69770339,-1.6340161,-1.5376713,-1.7806031,-1.5376713,-1.5785195,-1.5766286,-2.2939885,-0.90185396,-0.90185396,7,6,6,5,3,5,6,7,8,8,5,1,6,5,2,8,4,2,7,5,0.23523324,0.8114025
-234.90442,0.98488142,0.32433241,2,3,0,235.34349,0.66293696,-0.74429121,-1.6188754,-1.547382,-1.8186844,-1.547382,-1.6086154,-1.5616846,-2.3655465,-0.97401994,-0.97401994,8,5,4,7,3,7,6,4,6,6,8,1,4,5,3,7,3,5,6,5,0.29319879,0.60160181
-234.90442,0.39207964,0.48485094,1,1,0,235.43458,0.66293696,-0.74429121,-1.6188754,-1.547382,-1.8186844,-1.547382,-1.6086154,-1.5616846,-2.3655465,-0.97401994,-0.97401994,7,6,3,5,4,5,1,4,7,8,8,5,7,3,5,4,7,3,5,6,0.29319879,0.44552613
-235.21417,0.9671515,0.1281487,2,5,0,235.72969,0.58232303,-0.8532016,-1.5882374,-1.5805401,-1.9178438,-1.5805401,-1.6818402,-1.5367832,-2.5392984,-1.1438157,-1.1438157,7,5,7,2,6,6,7,5,8,7,7,4,6,7,2,7,2,2,8,6,0.37798257,0.75398659
-235.19715,0.99658666,0.20057818,3,7,0,235.2863,0.58334769,-0.85180617,-1.5885889,-1.5800222,-1.9164826,-1.5800222,-1.6808777,-1.5370153,-2.537015,-1.1416303,-1.1416303,8,2,7,7,2,4,4,2,5,5,7,7,5,5,5,6,2,4,8,6,0.37728438,0.1135722
-235.02023,0.92887057,0.35826725,2,3,0,235.25631,0.59548573,-0.83529808,-1.5928273,-1.5740793,-1.9005601,-1.5740793,-1.6695375,-1.5399304,-2.5101149,-1.1157968,-1.1157968,7,5,7,8,1,6,7,4,7,4,5,5,4,8,3,4,3,2,5,8,0.36831335,0.35119579
-235.02023,0.057248402,0.52960939,1,1,0,235.2206,0.59548573,-0.83529808,-1.5928273,-1.5740793,-1.9005601,-1.5740793,-1.6695375,-1.5399304,-2.5101149,-1.1157968,-1.1157968,8,4,8,6,4,5,2,2,8,8,7,5,5,7,3,7,1,5,8,7,0.36831335,0.63593329
