# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:13:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6374631ec.json
# init = 2 (Default)
# random
#   seed = 864491450
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281813-1-4be719.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281813-1-83a2bc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-226.42463,1,0.25,1,3,0,233.16576,0.57133021,-2.1770713,-1.4882804,-1.5845271,-2.5435875,-1.5845271,-2.1679026,-1.6883132,-1.4674739,-1.404803,-1.486614,6,6,7,5,2,3,6,8,1,4,6,7,2,7,5,6,4,5,3,4,0.38490316,0.18249221
-226.42463,0,14.38551,0,1,1,226.42979,0.57133021,-2.1770713,-1.4882804,-1.5845271,-2.5435875,-1.5845271,-2.1679026,-1.6883132,-1.4674739,-1.404803,-1.486614,5,5,2,7,4,7,6,8,1,5,7,7,5,6,4,5,6,6,3,3,0.38490316,0.31637466
-226.42463,8.5940187e-146,2.4311673,1,1,0,226.79108,0.57133021,-2.1770713,-1.4882804,-1.5845271,-2.5435875,-1.5845271,-2.1679026,-1.6883132,-1.4674739,-1.404803,-1.486614,6,6,6,6,7,6,7,8,1,2,7,5,6,8,6,6,3,5,4,4,0.38490316,0.15507748
-224.63552,1,0.23979141,2,3,0,225.99823,0.38920949,-1.8599857,-1.6486722,-1.5392607,-2.2244125,-1.5392607,-1.8485241,-1.5670874,-1.442518,-1.3020949,-1.5568521,4,8,2,8,4,3,4,7,2,2,6,8,6,6,6,6,2,3,1,5,0.35512068,0.48116925
-224.19661,1,0.32433241,1,1,0,224.48236,0.42041949,-1.9048409,-1.6111847,-1.5448519,-2.2726498,-1.5448519,-1.8992656,-1.5819388,-1.441048,-1.3173164,-1.5426699,5,6,6,6,4,4,5,6,1,2,6,7,5,5,3,5,3,8,2,4,0.37980649,0.53200265
-224.10299,1,0.50720558,1,1,0,224.18308,0.43412054,-1.9256628,-1.5961808,-1.5475895,-2.2945969,-1.5475895,-1.9220613,-1.5892001,-1.4411909,-1.3243234,-1.5367206,8,8,4,8,7,5,4,5,5,4,7,7,4,5,8,7,6,6,5,6,0.38795224,0.41479432
-224.09731,1,0.8633763,1,1,0,224.20161,0.4353972,-1.9276391,-1.5948262,-1.5478533,-2.2966666,-1.5478533,-1.9242016,-1.5899,-1.4412282,-1.3249862,-1.5361748,4,5,5,3,4,8,6,4,2,2,5,6,7,8,6,5,6,8,3,6,0.3886301,0.60358674
-224.09731,1.1627276e-28,1.5449568,1,1,0,225.13672,0.4353972,-1.9276391,-1.5948262,-1.5478533,-2.2966666,-1.5478533,-1.9242016,-1.5899,-1.4412282,-1.3249862,-1.5361748,6,3,6,7,2,7,5,8,3,3,6,5,2,8,2,4,5,6,4,2,0.3886301,0.31976387
-224.33054,0.97890404,0.12280096,2,7,0,224.58657,0.40822194,-1.8868908,-1.6252755,-1.5425601,-2.2535114,-1.5425601,-1.8792385,-1.5758571,-1.4413224,-1.311244,-1.5481086,7,6,7,6,8,5,7,7,3,4,5,7,3,8,8,6,7,5,1,2,0.37119157,0.10451987
-225.13525,0.91633749,0.21150484,2,7,0,225.15374,0.53132988,-2.095087,-1.512416,-1.5719684,-2.4650959,-1.5719684,-2.0929234,-1.6542754,-1.4553107,-1.3794694,-1.4994208,6,6,3,7,1,6,4,4,3,2,7,6,5,6,3,3,5,8,1,3,0.40153113,0.66195076
-224.1111,1,0.30392694,1,1,0,224.67922,0.46523687,-1.9756353,-1.5651924,-1.5544476,-2.3462715,-1.5544476,-1.9750114,-1.6074082,-1.4432498,-1.3409542,-1.5238401,7,7,1,8,5,5,6,7,2,4,5,5,8,8,2,5,7,8,3,6,0.40061949,0.42843823
-224.09521,0.57456536,0.57391919,1,3,0,224.09856,0.4359019,-1.9284221,-1.5942926,-1.5479581,-2.2974859,-1.5479581,-1.9250484,-1.5901778,-1.4412441,-1.3252487,-1.5359595,8,3,3,8,3,1,7,5,1,4,6,7,4,6,6,5,7,4,2,4,0.3888943,0.85795043
-224.25126,0.91953207,0.28462005,2,3,0,224.42267,0.4149019,-1.8966534,-1.6174717,-1.5437982,-2.2639463,-1.5437982,-1.8901751,-1.5791433,-1.441125,-1.3145501,-1.5451135,8,8,4,6,5,6,2,6,1,8,3,5,5,7,3,7,8,5,5,3,0.37607055,0.40352986
-224.25126,0.17699901,0.42058781,1,1,0,225.34083,0.4149019,-1.8966534,-1.6174717,-1.5437982,-2.2639463,-1.5437982,-1.8901751,-1.5791433,-1.441125,-1.3145501,-1.5451135,7,6,5,8,5,4,7,7,4,5,6,5,5,8,6,3,3,6,4,6,0.37607055,0.74768126
-224.09784,0.9998903,0.061344412,3,15,0,224.2787,0.43527358,-1.9274474,-1.594957,-1.5478277,-2.296466,-1.5478277,-1.9239942,-1.5898321,-1.4412244,-1.324922,-1.5362276,8,6,5,8,6,8,8,7,2,6,5,7,3,6,5,7,5,3,3,6,0.38856506,0.75261445
-224.07299,0.99367124,0.11767907,2,5,0,224.26552,0.45399115,-1.9571356,-1.5759108,-1.5518663,-2.3272963,-1.5518663,-1.9556858,-1.6005497,-1.4422312,-1.33483,-1.5283938,7,7,6,7,4,6,5,5,6,4,6,8,6,6,3,4,6,3,3,3,0.3969618,0.370917
-224.26424,0.96801721,0.22022431,2,3,0,224.32912,0.48412319,-2.0078598,-1.5483693,-1.5590442,-2.3789266,-1.5590442,-2.0079487,-1.6196454,-1.4456473,-1.3515241,-1.5164522,8,5,7,7,6,8,8,8,2,3,7,5,4,6,1,7,6,6,3,5,0.40445631,0.29505536
-224.26424,0.058431543,0.37843139,1,1,0,226.1607,0.48412319,-2.0078598,-1.5483693,-1.5590442,-2.3789266,-1.5590442,-2.0079487,-1.6196454,-1.4456473,-1.3515241,-1.5164522,8,7,2,8,5,6,8,2,6,1,8,8,5,5,6,6,8,4,3,4,0.40445631,0.73377243
-224.14545,0.99956161,0.041023525,4,15,0,224.41867,0.47092035,-1.9851786,-1.5599765,-1.5557963,-2.3559935,-1.5557963,-1.9848597,-1.6109955,-1.4438812,-1.3440977,-1.5215826,4,7,2,8,2,3,8,5,1,5,4,8,2,7,4,7,8,7,1,3,0.40207687,0.41549224
-224.09326,0.99510758,0.07811359,2,7,0,224.47158,0.43638725,-1.929176,-1.5937806,-1.548059,-2.2982745,-1.548059,-1.9258632,-1.5904456,-1.44126,-1.3255014,-1.5357526,4,8,5,8,5,4,7,7,3,6,6,7,6,8,3,8,7,6,2,1,0.38914635,0.34553073
-224.67848,0.85984658,0.14543829,1,3,0,226.14453,0.5112047,-2.0566949,-1.5267138,-1.5662077,-2.4275407,-1.5662077,-2.0562336,-1.6387945,-1.450559,-1.3672929,-1.5064297,7,8,7,6,4,5,3,8,2,4,5,8,4,8,7,7,5,7,2,1,0.4049628,0.37742018
-225.00631,0.94988437,0.17983763,1,1,0,225.02832,0.52618321,-2.0850931,-1.515931,-1.5704597,-2.4553724,-1.5704597,-2.0834749,-1.6502134,-1.4540073,-1.3763187,-1.5011774,8,7,6,4,7,4,8,6,1,7,7,7,5,7,6,3,7,6,1,4,0.4027191,0.57874058
-225.45207,0.95320301,0.2887056,2,3,0,225.49048,0.35613327,-1.8161846,-1.6937924,-1.5343141,-2.1758374,-1.5343141,-1.7965507,-1.5538586,-1.4468891,-1.2871179,-1.5728324,8,7,5,7,3,3,6,6,3,2,3,7,2,6,5,7,5,6,3,7,0.31904569,0.65065249
-225.45207,0.071663114,0.46445611,1,1,0,225.63956,0.35613327,-1.8161846,-1.6937924,-1.5343141,-2.1758374,-1.5343141,-1.7965507,-1.5538586,-1.4468891,-1.2871179,-1.5728324,4,4,7,6,5,6,4,3,5,4,5,8,4,7,5,3,8,3,6,5,0.31904569,0.30426258
-224.52163,0.97392247,0.058450657,2,7,0,228.99795,0.3954939,-1.8687363,-1.640741,-1.5403144,-2.2339336,-1.5403144,-1.8586087,-1.5698911,-1.4420182,-1.3050761,-1.5539262,8,7,5,8,7,7,4,6,1,4,6,8,6,6,6,8,4,5,4,4,0.36079603,0.56429639
-225.49047,0.93336448,0.10038548,1,3,0,226.43462,0.35487515,-1.8145917,-1.6956252,-1.5341459,-2.1740396,-1.5341459,-1.7946105,-1.5534056,-1.4471142,-1.2865723,-1.5734594,6,8,8,8,2,6,6,6,4,3,3,7,5,8,5,5,8,5,2,6,0.31745881,0.59115431
-224.46722,0.75061289,0.15232747,1,3,0,230.95848,0.49924301,-2.034734,-1.5359293,-1.5629605,-2.4058023,-1.5629605,-2.0347531,-1.6301011,-1.4481777,-1.3602399,-1.5107732,6,2,4,8,5,3,5,4,5,5,8,7,2,6,5,6,7,7,1,5,0.40546282,0.70929317
-224.64101,0.98410512,0.13739403,1,1,0,224.64157,0.50925616,-2.0530746,-1.528178,-1.5656698,-2.4239703,-1.5656698,-2.0527179,-1.6373527,-1.4501484,-1.3661345,-1.5071282,5,5,6,7,4,3,4,2,7,2,7,7,3,7,2,4,6,5,2,4,0.40512234,0.82002851
-224.64101,0.87811624,0.23789012,1,1,0,225.06527,0.50925616,-2.0530746,-1.528178,-1.5656698,-2.4239703,-1.5656698,-2.0527179,-1.6373527,-1.4501484,-1.3661345,-1.5071282,8,6,6,8,7,3,7,6,3,4,8,6,7,8,4,5,5,5,2,2,0.40512234,0.47453817
-224.57993,1,0.30457557,1,1,0,224.84229,0.50593722,-2.0469467,-1.5307049,-1.5647615,-2.4179153,-1.5647615,-2.0467444,-1.63492,-1.4494694,-1.36417,-1.5083261,6,8,5,7,1,4,5,4,4,6,6,7,4,6,2,7,8,6,4,4,0.4053241,0.36783819
-224.57993,0.022120801,0.54225303,1,1,0,224.65348,0.50593722,-2.0469467,-1.5307049,-1.5647615,-2.4179153,-1.5647615,-2.0467444,-1.63492,-1.4494694,-1.36417,-1.5083261,8,6,1,6,4,4,8,6,7,5,7,6,5,7,4,6,8,6,3,4,0.4053241,0.91740661
-224.58757,0.99994397,0.067162217,2,3,0,224.59549,0.50636283,-2.0477298,-1.5303785,-1.5648774,-2.4186899,-1.5648774,-2.0475094,-1.6352303,-1.449555,-1.3644213,-1.5081719,8,8,2,8,3,2,7,3,4,2,8,6,4,8,6,6,5,8,1,3,0.40530315,0.88929021
-224.08198,0.97027953,0.11990284,3,7,0,225.81015,0.43969728,-1.9343416,-1.5903168,-1.5487531,-2.303669,-1.5487531,-1.9314307,-1.592287,-1.441384,-1.3272312,-1.5343475,8,6,1,8,1,4,7,8,2,1,6,3,3,5,8,6,7,7,5,1,0.39081261,0.86652964
-224.12061,0.98499424,0.19588599,1,3,0,224.21021,0.46698847,-1.9785625,-1.5635706,-1.5548601,-2.3492582,-1.5548601,-1.9780407,-1.6085051,-1.4434361,-1.3419195,-1.5231412,6,8,5,7,6,6,4,4,2,2,8,8,2,5,5,7,7,7,1,2,0.40109654,0.40871954
-224.16332,0.97753567,0.33011149,1,1,0,224.19193,0.47336414,-1.9893225,-1.5577747,-1.5563854,-2.3602013,-1.5563854,-1.9891111,-1.6125631,-1.4441767,-1.3454592,-1.5206209,8,7,5,7,4,4,6,5,3,4,7,7,5,6,6,3,5,5,3,1,0.4026232,0.81902763
-224.16332,0.039628255,0.54095974,1,1,0,224.38557,0.47336414,-1.9893225,-1.5577747,-1.5563854,-2.3602013,-1.5563854,-1.9891111,-1.6125631,-1.4441767,-1.3454592,-1.5206209,5,8,6,7,4,3,4,3,3,3,7,5,5,6,7,6,7,3,5,2,0.4026232,0.18128474
-224.35953,0.99085001,0.076149688,2,7,0,224.84721,0.40604183,-1.8837398,-1.6278685,-1.5421648,-2.2501298,-1.5421648,-1.8756855,-1.5748077,-1.4414117,-1.3101752,-1.5490947,8,7,3,8,5,6,8,8,3,2,7,5,4,8,8,4,6,4,3,3,0.36951399,0.86837594
-224.6502,0.80640021,0.12962285,2,5,0,228.93077,0.50973993,-2.0539718,-1.5278132,-1.565803,-2.4248557,-1.565803,-2.0535901,-1.6377097,-1.4502496,-1.3664218,-1.5069545,8,8,4,7,8,2,2,6,4,4,8,6,2,7,3,6,6,7,2,3,0.40508557,0.46109926
-224.90622,0.90827759,0.13624908,3,7,0,227.37902,0.5219376,-2.0769406,-1.5189032,-1.5692335,-2.4474135,-1.5692335,-2.0757146,-1.6469161,-1.4529776,-1.3737386,-1.502645,7,7,3,7,2,4,8,2,2,1,5,8,6,8,5,7,6,8,7,4,0.40353822,0.61208918
-224.53967,0.78217591,0.18551602,1,3,0,227.41405,0.39444901,-1.8672717,-1.642046,-1.5401367,-2.232344,-1.5401367,-1.8569273,-1.5694184,-1.4420941,-1.3045775,-1.5544102,8,7,6,8,6,4,7,8,2,5,8,7,5,8,3,8,6,3,1,5,0.35987756,0.46180787
-224.8678,0.95295294,0.18273096,1,1,0,224.8743,0.37814256,-1.8449124,-1.6631267,-1.5374933,-2.2078752,-1.5374933,-1.8309276,-1.5623767,-1.4436524,-1.2969494,-1.5620904,8,8,2,7,5,7,3,5,1,4,4,5,5,7,5,6,6,8,3,5,0.34423105,0.44221365
-224.15675,0.98067221,0.27639081,2,3,0,224.95475,0.47249557,-1.9878469,-1.5585545,-1.5561754,-2.3587038,-1.5561754,-1.9875989,-1.6120042,-1.44407,-1.3449746,-1.5209621,8,7,2,4,4,8,5,6,2,5,6,6,3,7,2,8,4,7,4,4,0.40243455,0.49229488
-224.15675,0.018484097,0.44519207,1,1,0,225.26985,0.47249557,-1.9878469,-1.5585545,-1.5561754,-2.3587038,-1.5561754,-1.9875989,-1.6120042,-1.44407,-1.3449746,-1.5209621,8,7,4,7,4,7,6,5,4,5,6,8,5,8,3,3,6,7,2,3,0.40243455,0.41000006
-224.1305,0.99981574,0.065839615,1,3,0,224.17127,0.46864806,-1.9813474,-1.5620458,-1.5552535,-2.3520959,-1.5552535,-1.9809157,-1.6095515,-1.4436194,-1.342837,-1.5224816,8,6,5,7,6,5,8,6,3,1,6,8,4,5,6,7,6,7,2,3,0.40152558,0.91273454
-224.15237,0.99696734,0.11151335,2,3,0,224.20051,0.47189788,-1.9868332,-1.5590929,-1.5560313,-2.3576746,-1.5560313,-1.9865591,-1.6116207,-1.4439977,-1.3446416,-1.5211972,8,5,4,6,6,6,7,6,2,6,7,6,6,5,3,7,5,7,1,3,0.40230119,0.84918621
-224.12589,0.97093862,0.18613695,1,3,0,224.42714,0.42982827,-1.9190637,-1.6007892,-1.5467133,-2.2876695,-1.5467133,-1.9148857,-1.5868761,-1.4410952,-1.3221072,-1.5385662,7,5,4,8,4,8,8,3,4,2,7,7,6,8,8,3,5,7,4,7,0.38557227,0.57808861
-224.55698,0.84577317,0.28958392,1,1,0,224.56147,0.39346542,-1.8658965,-1.6432794,-1.5399703,-2.23085,-1.5399703,-1.8553463,-1.5689759,-1.4421682,-1.3041092,-1.5548668,4,6,5,6,4,6,4,7,1,6,7,5,4,8,3,4,4,7,6,3,0.35900384,0.21674826
