# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:13:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b623996a47.json
# init = 2 (Default)
# random
#   seed = 576514038
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281813-2-6bd31d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281813-2-05f0bc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-231.29483,1,0.5,1,1,0,233.04274,0.24272665,-1.6926327,-1.8992342,-1.5250446,-2.0273645,-1.5250446,-1.6325976,-1.527348,-1.4857877,-1.2454535,-1.6349638,6,7,2,8,5,3,8,7,3,5,4,7,6,8,5,8,6,6,3,8,0.097909101,0.41943385
-231.29483,0,14.38551,0,1,1,231.98562,0.24272665,-1.6926327,-1.8992342,-1.5250446,-2.0273645,-1.5250446,-1.6325976,-1.527348,-1.4857877,-1.2454535,-1.6349638,7,3,6,8,2,7,5,5,3,6,6,7,3,8,4,8,5,8,2,2,0.097909101,0.53701167
-231.29483,0,2.4311673,0,1,1,231.40968,0.24272665,-1.6926327,-1.8992342,-1.5250446,-2.0273645,-1.5250446,-1.6325976,-1.527348,-1.4857877,-1.2454535,-1.6349638,6,7,5,3,7,5,6,6,3,5,7,8,7,7,3,7,5,7,4,4,0.097909101,0.19334826
-226.33032,0.9644701,0.23979141,1,3,0,230.38766,0.33084483,-1.785166,-1.732369,-1.5312133,-2.1403799,-1.5312133,-1.7580707,-1.5454498,-1.4522629,-1.2764965,-1.5857054,5,8,3,7,6,5,6,4,2,2,7,7,3,6,5,7,6,7,1,5,0.28391437,0.20689961
-225.28063,1,0.29302412,1,1,0,226.29871,0.36198537,-1.8236632,-1.6853827,-1.5351158,-2.1842472,-1.5351158,-1.8056109,-1.5560137,-1.4458996,-1.2896794,-1.5699341,8,7,2,7,6,8,3,7,3,5,5,8,6,8,5,5,5,4,3,1,0.32621392,0.17696535
-224.07746,1,0.45622527,1,1,0,224.34077,0.45625042,-1.9608117,-1.5737145,-1.5523755,-2.3310809,-1.5523755,-1.9595512,-1.6019022,-1.4424111,-1.3360501,-1.5274697,4,5,7,8,2,3,6,7,6,5,7,8,4,7,6,7,5,6,2,2,0.39777955,0.72726453
-224.07746,2.0250871e-10,0.7743802,1,1,0,225.26211,0.45625042,-1.9608117,-1.5737145,-1.5523755,-2.3310809,-1.5523755,-1.9595512,-1.6019022,-1.4424111,-1.3360501,-1.5274697,6,6,2,7,7,4,6,5,3,5,6,7,7,4,5,6,6,4,4,5,0.39777955,0.66423128
-224.15645,0.99383597,0.061529117,2,7,0,224.65854,0.47245489,-1.9877778,-1.5585911,-1.5561656,-2.3586338,-1.5561656,-1.9875282,-1.611978,-1.4440651,-1.3449519,-1.5209781,7,7,4,6,7,5,6,6,2,4,4,6,7,8,5,6,6,3,1,4,0.40242556,0.21689931
-224.17125,0.99972045,0.10771981,2,3,0,224.1719,0.47437339,-1.991041,-1.5568725,-1.5566303,-2.3619439,-1.5566303,-1.9908699,-1.6132149,-1.4443028,-1.3460233,-1.5202254,8,5,7,7,4,3,6,5,2,7,8,7,4,8,2,6,2,6,1,3,0.40283476,0.71189904
-224.21689,0.99128702,0.19801026,1,1,0,224.22576,0.47954638,-1.9999154,-1.5523132,-1.5579002,-2.370921,-1.5579002,-1.9999114,-1.6165965,-1.4449879,-1.3489302,-1.5182126,7,6,7,5,4,5,4,8,5,7,8,5,4,8,5,6,8,7,2,6,0.4037903,0.22189811
-224.72589,0.80244029,0.36060314,1,3,0,224.74474,0.38466954,-1.8537506,-1.6545258,-1.538522,-2.2175933,-1.538522,-1.8412804,-1.5651201,-1.4429439,-1.2999679,-1.5589878,8,8,7,8,4,4,8,6,5,5,6,7,6,7,4,5,4,3,3,3,0.350793,0.442684
-224.18971,0.99559957,0.36476575,1,3,0,224.39126,0.47658168,-1.9948158,-1.554913,-1.5571694,-2.3657669,-1.5571694,-1.994724,-1.6146501,-1.4445875,-1.3472609,-1.5193631,8,6,4,8,5,3,7,2,1,6,7,6,7,8,5,1,6,7,5,3,0.40326903,0.83556747
-224.18971,0.37006926,0.68211613,1,1,0,224.62004,0.47658168,-1.9948158,-1.554913,-1.5571694,-2.3657669,-1.5571694,-1.994724,-1.6146501,-1.4445875,-1.3472609,-1.5193631,7,8,4,7,2,1,5,8,3,3,4,7,3,8,3,5,5,8,5,5,0.40326903,0.7411595
-224.10616,0.97211558,0.17931147,1,3,0,224.47892,0.43345544,-1.9246357,-1.5968895,-1.5474526,-2.2935204,-1.5474526,-1.9209474,-1.588837,-1.441173,-1.3239787,-1.5370055,8,5,4,6,8,4,7,3,4,3,7,4,7,8,6,5,5,5,1,6,0.38759364,0.87692632
-224.07319,0.86429353,0.31352135,2,3,0,224.3647,0.45411395,-1.9573349,-1.5757908,-1.5518939,-2.3275017,-1.5518939,-1.9558957,-1.6006229,-1.4422406,-1.3348962,-1.5283434,8,7,4,7,1,3,7,6,3,5,8,7,3,5,5,3,8,4,4,4,0.39700732,0.72249313
-224.18749,0.91843185,0.39107784,1,1,0,224.20598,0.47632602,-1.9943778,-1.5551388,-1.5571067,-2.3653236,-1.5571067,-1.9942774,-1.6144833,-1.4445539,-1.3471174,-1.5194627,5,5,4,6,5,5,8,7,2,4,6,6,5,7,2,5,7,6,5,3,0.40322076,0.66060367
-224.18749,4.8191408e-07,0.57580373,1,1,0,226.21937,0.47632602,-1.9943778,-1.5551388,-1.5571067,-2.3653236,-1.5571067,-1.9942774,-1.6144833,-1.4445539,-1.3471174,-1.5194627,8,5,4,7,4,5,8,6,5,4,8,7,3,6,6,7,6,5,1,3,0.40322076,0.56774663
-225.00678,0.9887714,0.051089129,2,7,0,225.42643,0.52620276,-2.0851309,-1.5159175,-1.5704654,-2.4554092,-1.5704654,-2.0835107,-1.6502287,-1.4540121,-1.3763306,-1.5011707,6,7,7,6,5,5,4,6,5,4,5,7,4,5,4,3,2,4,5,2,0.40271499,0.25189541
-224.55966,1,0.094308716,2,3,0,224.99238,0.50479238,-2.0448443,-1.5315863,-1.5644506,-2.4158343,-1.5644506,-2.0446883,-1.6340875,-1.4492411,-1.3634948,-1.5087417,8,7,7,7,2,6,2,4,1,4,6,8,3,6,6,5,5,7,2,3,0.40537324,0.41770981
-224.12477,0.99179592,0.17861441,3,7,0,224.66525,0.43001526,-1.9193497,-1.6005867,-1.5467511,-2.2879703,-1.5467511,-1.9151977,-1.5869764,-1.4410984,-1.3222034,-1.5384854,7,6,5,8,1,4,6,5,2,2,8,6,4,4,5,4,5,7,4,7,0.3856792,0.52052725
-224.26548,0.95219071,0.32706026,2,3,0,224.294,0.41360887,-1.8947509,-1.6189657,-1.5435554,-2.2619178,-1.5435554,-1.8880522,-1.5784988,-1.4411542,-1.3139064,-1.5456902,6,2,6,7,6,7,6,5,3,5,7,5,5,6,3,4,5,7,2,5,0.37515671,0.36698888
-224.26548,0.019535015,0.52778438,1,1,0,225.68225,0.41360887,-1.8947509,-1.6189657,-1.5435554,-2.2619178,-1.5435554,-1.8880522,-1.5784988,-1.4411542,-1.3139064,-1.5456902,8,2,3,5,2,3,8,3,1,2,6,7,2,6,2,4,7,5,5,5,0.37515671,0.88761878
-224.11843,0.99494114,0.054905423,3,15,0,225.02222,0.43111058,-1.9210278,-1.5994037,-1.5469733,-2.289734,-1.5469733,-1.9170262,-1.5875656,-1.441119,-1.3227673,-1.538013,8,6,3,8,2,1,6,7,5,3,7,8,7,8,6,4,7,6,3,5,0.38629961,0.83975491
-224.2979,0.9847326,0.10114044,1,3,0,224.5255,0.41082772,-1.8906797,-1.622206,-1.5430382,-2.2575687,-1.5430382,-1.8834957,-1.5771263,-1.4412317,-1.312528,-1.5469355,7,8,6,6,4,6,2,4,3,5,7,8,6,8,4,3,7,7,1,4,0.3731415,0.57880386
-224.12648,0.9982719,0.17912413,2,3,0,224.32545,0.42972989,-1.9189132,-1.6008958,-1.5466934,-2.2875112,-1.5466934,-1.9147216,-1.5868233,-1.4410936,-1.3220567,-1.5386086,6,7,6,7,6,8,7,8,3,3,7,7,7,6,3,5,8,6,1,4,0.38551589,0.22914196
-224.10242,1,0.32665995,2,3,0,224.12715,0.4342429,-1.9258519,-1.5960507,-1.5476147,-2.2947951,-1.5476147,-1.9222663,-1.589267,-1.4411943,-1.3243869,-1.5366682,6,8,4,8,5,3,5,8,1,3,8,8,5,6,4,8,8,5,5,4,0.3880178,0.63281325
-224.30273,0.71979921,0.59267226,1,1,0,224.5565,0.41043126,-1.8901017,-1.6226709,-1.542965,-2.2569503,-1.542965,-1.8828473,-1.5769321,-1.4412444,-1.3123322,-1.5471136,8,4,5,6,3,5,7,5,3,3,6,8,6,5,7,5,6,6,2,2,0.37284869,0.57033889
-224.30273,0.00087445673,0.48462554,1,1,0,225.24072,0.41043126,-1.8901017,-1.6226709,-1.542965,-2.2569503,-1.542965,-1.8828473,-1.5769321,-1.4412444,-1.3123322,-1.5471136,6,5,3,8,3,6,7,5,2,4,7,6,7,6,7,5,7,5,2,3,0.37284869,0.34078831
-224.06882,0.99838609,0.053698452,3,15,0,224.61368,0.44857206,-1.9484001,-1.5812679,-1.5506639,-2.3182747,-1.5506639,-1.9464496,-1.5973576,-1.4418507,-1.3319246,-1.5306292,5,8,6,6,4,8,4,6,2,2,6,3,4,8,6,4,5,7,2,5,0.39482942,0.13431089
-224.31589,0.98905784,0.097040545,2,5,0,224.49293,0.40936988,-1.8885569,-1.6239192,-1.5427699,-2.2552967,-1.5427699,-1.8811125,-1.5764142,-1.4412803,-1.3118088,-1.547591,7,8,7,4,3,4,7,6,5,6,4,8,4,8,6,6,8,6,3,5,0.37205798,0.45751216
-224.23906,1,0.1692719,2,3,0,224.31019,0.41605202,-1.8983508,-1.6161494,-1.5440156,-2.2657542,-1.5440156,-1.8920657,-1.57972,-1.4411025,-1.3151241,-1.5446019,6,6,6,5,2,4,3,8,2,3,8,6,8,6,6,3,1,6,5,6,0.37687112,0.20132244
-224.23906,0.2818047,0.30139078,2,3,0,227.63356,0.41605202,-1.8983508,-1.6161494,-1.5440156,-2.2657542,-1.5440156,-1.8920657,-1.57972,-1.4411025,-1.3151241,-1.5446019,7,6,3,8,6,5,7,4,4,2,5,8,5,7,8,3,7,8,3,3,0.37687112,0.45681686
-224.08566,0.99913128,0.076799895,4,15,0,224.37243,0.45918404,-1.9656153,-1.5708951,-1.5530438,-2.3360156,-1.5530438,-1.9645831,-1.6036774,-1.4426633,-1.3376421,-1.5262768,5,8,4,8,6,5,4,8,1,6,7,7,4,7,5,7,7,8,3,2,0.39877903,0.19317801
-224.10354,0.9969363,0.13601382,2,5,0,224.1432,0.43400235,-1.9254801,-1.5963066,-1.5475651,-2.2944055,-1.5475651,-1.9218633,-1.5891355,-1.4411876,-1.3242621,-1.5367712,8,7,4,6,3,3,7,6,2,4,8,7,4,6,6,6,7,7,2,2,0.38788879,0.55710745
-224.06907,0.99944942,0.23727865,1,3,0,224.1038,0.45012401,-1.95089,-1.5797208,-1.5510055,-2.3208503,-1.5510055,-1.9490896,-1.5982643,-1.4419523,-1.3327536,-1.5299863,8,7,3,5,4,5,5,4,1,3,4,7,4,7,5,5,3,7,2,4,0.39546481,0.61514663
-224.06907,0.07832087,0.4129775,1,1,0,225.02864,0.45012401,-1.95089,-1.5797208,-1.5510055,-2.3208503,-1.5510055,-1.9490896,-1.5982643,-1.4419523,-1.3327536,-1.5299863,6,7,7,4,5,5,8,6,6,1,6,6,5,8,4,4,4,7,4,6,0.39546481,0.5380355
-224.49483,0.99590857,0.064444793,4,15,0,224.5551,0.39708664,-1.8709763,-1.6387622,-1.5405873,-2.2363619,-1.5405873,-1.8611752,-1.5706165,-1.441908,-1.3058384,-1.5531903,6,4,5,7,3,1,7,5,3,7,7,7,4,8,6,6,8,7,3,2,0.36217691,0.5280432
-224.3302,0.9998874,0.11128878,2,3,0,224.51301,0.40824835,-1.8869291,-1.6252442,-1.5425649,-2.2535525,-1.5425649,-1.8792815,-1.5758699,-1.4413214,-1.311257,-1.5480967,7,6,3,8,3,7,6,7,7,6,7,7,4,8,1,6,4,8,3,6,0.37121164,0.50844328
-224.66003,0.94625904,0.19250647,1,1,0,224.66006,0.38794358,-1.8582398,-1.6502938,-1.5390528,-2.2225061,-1.5390528,-1.8465007,-1.566534,-1.4426313,-1.3014996,-1.5574458,5,7,6,7,6,6,6,1,2,6,7,8,5,8,6,5,7,7,2,3,0.35393329,0.76904939
-224.29059,1,0.28800344,2,3,0,224.57582,0.41143677,-1.8915689,-1.6214933,-1.5431508,-2.2585195,-1.5431508,-1.8844925,-1.5774253,-1.4412131,-1.3128292,-1.5466622,7,4,2,8,4,2,8,6,6,1,5,7,5,8,6,5,5,6,1,3,0.37358863,0.98132422
-224.12983,1,0.49058414,1,1,0,224.26626,0.42918411,-1.9180793,-1.601488,-1.5465833,-2.2866339,-1.5465833,-1.9138115,-1.5865312,-1.4410849,-1.3217763,-1.5388446,7,8,2,7,5,5,7,2,3,2,8,5,3,6,3,7,2,4,5,2,0.38520162,0.86300307
-224.12983,2.3223512e-06,0.82898156,1,1,0,224.16306,0.42918411,-1.9180793,-1.601488,-1.5465833,-2.2866339,-1.5465833,-1.9138115,-1.5865312,-1.4410849,-1.3217763,-1.5388446,6,6,4,7,5,3,4,5,2,6,4,8,7,6,5,8,8,7,1,3,0.38520162,0.078701565
-224.20615,0.95188015,0.1149403,2,5,0,225.48026,0.47841081,-1.9979578,-1.5533048,-1.5576193,-2.3689439,-1.5576193,-1.9979227,-1.6158483,-1.4448321,-1.3482898,-1.5186523,6,8,5,7,7,6,6,8,7,8,6,7,4,6,5,7,3,8,5,6,0.403599,0.16906776
-224.19857,1,0.17288869,3,7,0,224.2214,0.47758173,-1.996532,-1.5540321,-1.557415,-2.3675027,-1.557415,-1.9964722,-1.6153041,-1.4447202,-1.347823,-1.5189741,4,7,5,6,6,1,8,3,5,2,6,6,5,8,2,7,7,7,2,6,0.40345277,0.48014634
-224.11542,1,0.29093495,1,1,0,224.17836,0.46605485,-1.9770007,-1.5644335,-1.5546399,-2.3476653,-1.5546399,-1.9764254,-1.6079195,-1.4433359,-1.3414046,-1.5235134,6,6,2,7,7,5,8,6,2,3,7,6,2,8,3,3,7,3,1,5,0.40084536,0.53923403
-224.52633,0.62219745,0.48591765,1,1,0,224.78862,0.50285709,-2.0413031,-1.5330875,-1.5639277,-2.4123253,-1.5639277,-2.0412175,-1.6326882,-1.4488621,-1.3623563,-1.5094469,6,8,3,5,3,5,3,4,3,6,6,5,6,6,7,3,5,4,2,6,0.40543246,0.17371967
-224.07545,1,0.32264043,1,1,0,224.30156,0.45533015,-1.9593119,-1.5746065,-1.5521675,-2.3295377,-1.5521675,-1.9579756,-1.6013498,-1.4423363,-1.3355525,-1.5278456,8,7,2,7,7,4,8,7,4,1,7,7,7,8,3,5,7,7,1,3,0.3974515,0.58507083
-224.07545,0.26229233,0.53454034,1,1,0,224.22019,0.45533015,-1.9593119,-1.5746065,-1.5521675,-2.3295377,-1.5521675,-1.9579756,-1.6013498,-1.4423363,-1.3355525,-1.5278456,6,8,5,4,7,6,5,6,4,3,3,8,4,4,2,5,7,7,2,5,0.3974515,0.31541179
-224.07383,0.99714266,0.15093402,1,3,0,224.11644,0.44319054,-1.9398388,-1.5867138,-1.5494966,-2.3093932,-1.5494966,-1.9373265,-1.5942596,-1.4415444,-1.329069,-1.5328754,6,6,5,6,4,6,5,4,3,3,6,7,2,6,2,6,7,7,4,3,0.3924718,0.66878994
-224.07383,0.72748414,0.24789237,1,3,0,225.09108,0.44319054,-1.9398388,-1.5867138,-1.5494966,-2.3093932,-1.5494966,-1.9373265,-1.5942596,-1.4415444,-1.329069,-1.5328754,7,7,4,6,6,6,8,6,3,3,7,6,7,7,3,6,5,7,2,4,0.3924718,0.32615128
-224.07383,0.92173029,0.21417292,1,3,0,224.45484,0.44319054,-1.9398388,-1.5867138,-1.5494966,-2.3093932,-1.5494966,-1.9373265,-1.5942596,-1.4415444,-1.329069,-1.5328754,5,5,4,7,5,5,6,4,1,4,5,8,5,7,2,7,8,6,1,2,0.3924718,0.42842009
-224.70149,0.83770798,0.29213037,1,3,0,224.70735,0.38586204,-1.8553813,-1.6529781,-1.5387142,-2.2193797,-1.5387142,-1.8431797,-1.5656321,-1.4428268,-1.3005245,-1.558425,7,6,3,6,3,5,6,7,3,3,6,5,7,6,2,4,4,7,3,3,0.3519484,0.50188232
-224.09784,1,0.3263553,1,1,0,224.41637,0.43527242,-1.9274457,-1.5949582,-1.5478275,-2.2964641,-1.5478275,-1.9239923,-1.5898314,-1.4412244,-1.3249214,-1.5362281,8,7,6,7,8,4,2,7,5,5,7,8,2,3,7,3,5,5,2,5,0.38856445,0.64444765
-224.10538,0.98999801,0.52969865,1,1,0,224.15047,0.43361557,-1.9248828,-1.5967187,-1.5474855,-2.2937795,-1.5474855,-1.9212155,-1.5889243,-1.4411772,-1.3240617,-1.5369368,6,8,4,5,4,6,7,8,3,4,6,8,7,8,6,5,6,6,2,5,0.38768032,0.29810621
-224.32865,0.1557761,0.83494771,2,3,0,224.89112,0.4895327,-2.0173629,-1.5438155,-1.5604212,-2.3884659,-1.5604212,-2.0174941,-1.6233183,-1.4464907,-1.3546167,-1.5143962,8,5,6,8,6,3,7,5,3,3,4,7,4,8,3,4,6,8,2,7,0.40502675,0.83734003
-224.11559,0.96733878,0.19499551,1,3,0,224.68427,0.43162429,-1.9218164,-1.5988508,-1.5470778,-2.2905623,-1.5470778,-1.9178844,-1.587843,-1.4411296,-1.3230322,-1.5377919,6,8,6,7,5,3,8,5,3,3,7,6,3,5,7,5,5,4,3,3,0.38658708,0.48549546
-224.10792,1,0.29207476,2,3,0,224.11269,0.46460777,-1.974587,-1.5657779,-1.5543001,-2.3452009,-1.5543001,-1.9739246,-1.6070162,-1.4431847,-1.3406082,-1.5240918,5,7,7,7,5,6,6,5,2,4,8,6,4,3,7,5,5,6,4,2,0.40044207,0.33078699
-225.71025,0.18220451,0.46850334,1,1,0,226.34068,0.55115186,-2.1347405,-1.4997621,-1.5780072,-2.5033333,-1.5780072,-2.1297361,-1.6705908,-1.4608909,-1.3918371,-1.4928866,6,7,4,8,8,5,5,3,1,4,8,8,2,3,5,3,6,6,2,4,0.3949439,0.66688826
-225.91747,0.98625299,0.11962897,1,1,0,225.96031,0.55740025,-2.1476324,-1.4960582,-1.5799859,-2.5156522,-1.5799859,-2.1414799,-1.6759574,-1.4628328,-1.3958119,-1.4909033,6,8,4,5,6,4,5,8,1,8,6,5,4,5,4,2,6,7,3,5,0.39219834,0.16037516
-227.49426,0.78127227,0.18600534,1,1,0,227.5126,0.59634549,-2.2324492,-1.475929,-1.5931326,-2.5954471,-1.5931326,-2.2161924,-1.7118845,-1.4768779,-1.4213947,-1.4793734,5,8,7,7,4,6,7,6,2,3,6,3,7,8,5,1,6,6,1,1,0.36762843,0.38860093
-226.77499,0.89615955,0.18274752,2,3,0,229.76679,0.58007039,-2.1960463,-1.4837321,-1.5874679,-2.5614553,-1.5874679,-2.1846518,-1.6963451,-1.4706043,-1.4105354,-1.4840165,5,8,4,5,4,6,5,7,1,1,6,8,3,7,7,3,4,5,2,3,0.37948547,0.11893175
-225.58022,1,0.23120077,1,1,0,226.65317,0.54702437,-2.1263289,-1.5022829,-1.5767199,-2.4952664,-1.5767199,-2.1220153,-1.667105,-1.4596561,-1.3892314,-1.4942169,6,5,6,8,7,4,3,4,6,5,2,8,3,8,5,2,7,6,1,2,0.39658059,0.23685673
-225.1762,1,0.36603417,2,3,0,225.30909,0.53289803,-2.0981565,-1.511364,-1.572433,-2.4680751,-1.572433,-2.0958112,-1.6555272,-1.4557198,-1.3804343,-1.4988905,8,5,3,8,2,4,8,6,3,3,7,7,4,7,5,8,5,7,1,4,0.40112659,0.74142267
-224.12511,1,0.57637058,1,1,0,224.16889,0.42995759,-1.9192615,-1.6006491,-1.5467394,-2.2878775,-1.5467394,-1.9151015,-1.5869454,-1.4410974,-1.3221737,-1.5385103,7,4,6,8,6,2,6,4,7,1,6,6,3,8,4,4,4,8,8,3,0.38564625,0.97149901
-224.12511,0.00035574682,0.9027916,1,3,0,224.13007,0.42995759,-1.9192615,-1.6006491,-1.5467394,-2.2878775,-1.5467394,-1.9151015,-1.5869454,-1.4410974,-1.3221737,-1.5385103,7,7,6,8,5,5,4,5,4,4,6,7,4,8,7,3,7,7,2,6,0.38564625,0.49183315
