# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:15:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6282c504.json
# init = 2 (Default)
# random
#   seed = 1417199674
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281815-1-33222f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281815-1-7a6b4c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-214.99499,1,0.25,1,1,0,215.95001,0.17068291,-1.6558161,-1.5865013,-1.6558161,-1.6802842,-2.0289423,-1.2495173,-2.0423382,-1.5310449,-1.6018487,-2.2262996,4,5,6,4,5,4,6,2,4,3,2,4,5,1,5,4,7,5,3,5,-0.163341,0.29262386
-214.99499,0,14.38551,0,1,1,215.00876,0.17068291,-1.6558161,-1.5865013,-1.6558161,-1.6802842,-2.0289423,-1.2495173,-2.0423382,-1.5310449,-1.6018487,-2.2262996,4,1,6,4,3,4,6,5,2,5,7,3,6,7,5,2,3,3,4,3,-0.163341,0.25214612
-214.99499,5.6932058e-100,2.4311673,1,3,0,215.09914,0.17068291,-1.6558161,-1.5865013,-1.6558161,-1.6802842,-2.0289423,-1.2495173,-2.0423382,-1.5310449,-1.6018487,-2.2262996,6,3,3,2,7,4,4,3,1,3,6,6,4,7,3,4,4,5,4,1,-0.163341,0.29878299
-214.89248,1,0.23979141,2,3,0,215.14662,0.1734103,-1.6538021,-1.5879271,-1.6538021,-1.6784861,-2.0240936,-1.2508134,-2.0465964,-1.5307497,-1.5994774,-2.2217393,8,4,6,3,4,3,8,2,4,2,3,7,5,1,3,2,5,6,1,5,-0.15078217,0.66590319
-214.05385,1,0.32433241,1,1,0,214.73978,0.20169782,-1.633851,-1.6031024,-1.633851,-1.6602188,-1.9745483,-1.2654931,-2.091986,-1.528094,-1.5752339,-2.1746265,5,2,5,5,6,1,6,6,5,1,3,4,5,4,3,3,8,5,3,1,-0.034493267,0.099009945
-214.05385,0.093680064,0.50720558,1,1,0,217.38534,0.20169782,-1.633851,-1.6031024,-1.633851,-1.6602188,-1.9745483,-1.2654931,-2.091986,-1.528094,-1.5752339,-2.1746265,7,5,3,3,3,4,8,5,2,1,5,2,4,8,4,5,8,6,5,3,-0.034493267,0.41387225
-214.52249,0.99606229,0.053829621,2,5,0,214.84023,0.18430696,-1.6459145,-1.5936893,-1.6459145,-1.6713667,-2.0048477,-1.2562034,-2.0638148,-1.5296388,-1.5900628,-2.2035512,3,4,3,4,3,5,4,5,6,1,4,5,4,5,3,5,6,6,5,5,-0.10311036,0.61855436
-214.13496,0.99683851,0.090870827,1,3,0,214.81987,0.19827184,-1.6361766,-1.601227,-1.6361766,-1.6623941,-1.9804767,-1.2635973,-2.0863685,-1.5283761,-1.5781359,-2.1803146,2,5,5,5,3,2,6,8,3,5,1,2,4,4,1,1,7,4,5,4,-0.047342462,0.22363145
-213.52403,0.99762927,0.16120264,2,5,0,214.14004,0.28672505,-1.5840567,-1.6529438,-1.5840567,-1.6095162,-1.8337739,-1.3222406,-2.2425236,-1.5246009,-1.5062718,-2.0349974,1,6,4,2,4,1,7,8,3,2,4,6,5,5,4,6,5,5,3,6,0.20463962,0.62372229
-213.60577,0.97509387,0.29494633,1,1,0,213.62746,0.29496524,-1.5800345,-1.6581099,-1.5800345,-1.604939,-1.8207818,-1.3286772,-2.2582972,-1.5246231,-1.4999063,-2.0216205,4,2,4,8,1,1,6,5,2,3,5,3,7,3,4,5,5,5,3,4,0.22135354,0.32566339
