# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:16:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63c42d974.json
# init = 2 (Default)
# random
#   seed = 914786386
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281816-1-08e238.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281816-1-20531b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-241.06059,0.66666739,0.5,2,3,0,250.16174,0.82600902,-1.5805137,-1.6995952,-1.4764401,-2.0475407,-1.5977981,-1.4418994,-1.5442392,-1.3378183,-1.3378183,-1.624197,1,4,3,7,2,6,3,5,1,5,5,2,1,3,2,3,7,3,1,2,-0.14814193,0.76830768
-241.06059,0,7.8472423,0,1,1,241.12569,0.82600902,-1.5805137,-1.6995952,-1.4764401,-2.0475407,-1.5977981,-1.4418994,-1.5442392,-1.3378183,-1.3378183,-1.624197,2,5,6,7,4,7,5,4,4,5,1,7,1,2,3,8,1,1,1,3,-0.14814193,0.75109141
-241.06059,6.1613545e-09,1.1081578,2,7,0,242.18462,0.82600902,-1.5805137,-1.6995952,-1.4764401,-2.0475407,-1.5977981,-1.4418994,-1.5442392,-1.3378183,-1.3378183,-1.624197,3,7,3,6,1,3,6,5,6,6,1,2,7,4,1,4,5,3,2,7,-0.14814193,0.5267853
-235.93001,0.99939447,0.098646245,4,15,0,240.90126,0.63936036,-1.4869906,-1.6092885,-1.6295039,-2.378721,-1.6905241,-1.4683273,-1.8035222,-1.760721,-1.760721,-1.4962006,1,4,3,6,4,6,6,5,4,7,7,5,2,7,3,6,4,3,2,3,0.32459638,0.23566783
-236.17064,0.93603186,0.12491831,2,7,0,237.63851,0.69148383,-1.5073476,-1.6311809,-1.5839138,-2.2782805,-1.6604705,-1.4573679,-1.7250046,-1.6399029,-1.6399029,-1.5248274,1,5,4,4,3,6,5,5,3,7,6,2,1,6,4,3,4,3,6,7,0.24686293,0.50872697
-236.04637,0.99234595,0.15487047,2,3,0,236.33812,0.67963395,-1.5023531,-1.6259799,-1.5940886,-2.3005533,-1.6670096,-1.4596226,-1.7424463,-1.6671785,-1.6671785,-1.5178252,3,6,4,7,6,3,4,4,2,6,1,4,2,2,4,4,3,5,5,7,0.26726751,0.71238948
-237.09721,0.91427778,0.24940568,2,3,0,237.11134,0.55554124,-1.4625765,-1.5793935,-1.7072854,-2.5541536,-1.7460977,-1.4914895,-1.939472,-1.9597218,-1.9597218,-1.4622459,1,2,6,8,3,4,4,3,2,4,3,4,4,5,2,6,4,5,6,6,0.39304903,0.40009454
-236.30497,1,0.33480935,1,1,0,236.88239,0.59596623,-1.4731179,-1.5929978,-1.669091,-2.4673384,-1.7181497,-1.4794787,-1.87242,-1.863003,-1.863003,-1.4767252,1,3,2,2,4,6,3,1,7,5,3,3,6,5,2,4,2,5,2,8,0.36793138,0.96463076
-236.30497,1.0464663e-05,0.6074741,1,1,0,238.87447,0.59596623,-1.4731179,-1.5929978,-1.669091,-2.4673384,-1.7181497,-1.4794787,-1.87242,-1.863003,-1.863003,-1.4767252,4,2,6,6,2,5,2,2,1,5,5,5,3,4,3,6,3,1,3,3,0.36793138,0.36305064
-237.59056,0.98992667,0.047917518,3,9,0,238.32427,0.53730572,-1.4585452,-1.5737508,-1.7249267,-2.5947076,-1.7594249,-1.4974123,-1.9706233,-2.0038161,-2.0038161,-1.4568997,1,7,1,6,4,8,2,5,2,6,5,2,6,4,4,7,1,3,2,5,0.39988269,0.66199285
-235.9341,0.99624619,0.086718679,2,5,0,237.91692,0.63798557,-1.4865092,-1.6087455,-1.6307355,-2.3814578,-1.6913625,-1.4686525,-1.805656,-1.7639375,-1.7639375,-1.4955222,5,4,3,7,3,2,6,6,6,6,2,5,1,7,3,4,3,2,2,8,0.32624865,0.12506087
-235.9512,0.9754857,0.16205506,3,7,0,236.44439,0.6651855,-1.4965584,-1.6198169,-1.6066462,-2.3281542,-1.6752147,-1.4625612,-1.7640388,-1.7005869,-1.7005869,-1.5096792,2,1,5,6,3,5,3,5,2,6,4,5,1,6,2,7,3,2,5,5,0.28989151,0.64046637
-236.75876,0.84837894,0.28514002,2,3,0,237.08652,0.57033481,-1.4661744,-1.5841966,-1.6931618,-2.5218957,-1.7356175,-1.4869144,-1.9146137,-1.9241641,-1.9241641,-1.467128,3,7,4,8,3,2,4,5,6,6,5,4,3,6,4,6,5,4,4,7,0.38547876,0.28418331
-236.75876,0.28308645,0.33710239,1,1,0,238.57768,0.57033481,-1.4661744,-1.5841966,-1.6931618,-2.5218957,-1.7356175,-1.4869144,-1.9146137,-1.9241641,-1.9241641,-1.467128,2,6,2,4,3,6,3,2,1,3,3,5,6,3,2,6,2,4,2,4,0.38547876,0.67481061
-236.12027,0.99672279,0.068527702,2,7,0,237.16148,0.61080772,-1.4775584,-1.5983725,-1.6553861,-2.4365064,-1.708429,-1.4754602,-1.8484965,-1.8278439,-1.8278439,-1.4829336,1,4,2,5,1,7,4,1,2,5,1,6,5,2,3,4,3,3,2,5,0.35510464,0.47272179
-235.947,0.99964928,0.13008431,2,7,0,236.1476,0.66421709,-1.4961815,-1.6194108,-1.6074939,-2.3300217,-1.6757739,-1.4627656,-1.7654989,-1.7028321,-1.7028321,-1.5091487,3,5,4,5,2,5,1,3,2,7,2,6,1,6,4,8,3,4,6,4,0.2913228,0.53817984
-236.15445,0.93513556,0.2477866,1,3,0,236.36754,0.60767294,-1.4765944,-1.5972202,-1.6582665,-2.4429729,-1.7104584,-1.4762913,-1.8535185,-1.8352546,-1.8352546,-1.4815828,4,4,2,5,3,6,4,1,2,4,3,7,6,8,5,5,6,3,5,3,0.35798155,0.88997788
-236.15445,0.39597788,0.38477465,2,3,0,237.23868,0.60767294,-1.4765944,-1.5972202,-1.6582665,-2.4429729,-1.7104584,-1.4762913,-1.8535185,-1.8352546,-1.8352546,-1.4815828,3,6,4,4,4,6,2,2,2,7,4,5,2,7,4,5,3,1,3,4,0.35798155,0.93373577
-235.93835,0.99941744,0.11599645,2,7,0,236.20926,0.66199044,-1.4953202,-1.6184805,-1.6094456,-2.3343241,-1.6770638,-1.463239,-1.768862,-1.7079973,-1.7079973,-1.5079362,2,6,5,8,1,5,4,3,6,5,3,5,3,6,3,5,5,3,2,2,0.29457421,0.35951529
-236.06375,0.98782015,0.21894114,2,7,0,236.06999,0.61662273,-1.4793836,-1.6005341,-1.6500632,-2.4245756,-1.7046981,-1.4739435,-1.8392249,-1.8141187,-1.8141187,-1.4854949,3,5,3,6,3,7,4,4,3,5,1,8,6,7,5,6,5,2,5,8,0.34952583,0.7056798
-236.86448,0.61012923,0.39551591,1,1,0,237.01295,0.56544497,-1.4649524,-1.5825866,-1.6978115,-2.5324953,-1.739049,-1.4884038,-1.9227894,-1.9358962,-1.9358962,-1.4654607,3,5,6,8,6,6,3,1,2,8,2,3,2,6,1,6,3,3,1,3,0.38818448,0.75402676
-235.94727,1,0.23179208,2,3,0,236.69744,0.66428222,-1.4962068,-1.6194381,-1.6074368,-2.3298961,-1.6757362,-1.4627518,-1.7654006,-1.7026811,-1.7026811,-1.5091843,2,8,4,6,4,3,4,3,3,5,1,5,4,6,1,8,2,3,2,6,0.29122687,0.49799135
-235.91719,1,0.43007652,1,1,0,235.92744,0.64646147,-1.4895219,-1.6121213,-1.6231663,-2.3646576,-1.6862315,-1.4666765,-1.7925522,-1.7441319,-1.7441319,-1.4997677,1,8,3,3,1,8,4,1,1,5,2,6,6,5,3,4,3,3,3,3,0.31575498,0.84105213
-235.91719,0.00049305264,0.79001327,1,1,0,236.54817,0.64646147,-1.4895219,-1.6121213,-1.6231663,-2.3646576,-1.6862315,-1.4666765,-1.7925522,-1.7441319,-1.7441319,-1.4997677,1,3,5,7,1,7,3,6,4,5,3,8,3,2,2,7,2,1,3,5,0.31575498,0.37056919
-236.10821,0.9927239,0.080619183,2,5,0,236.40106,0.61197454,-1.4779207,-1.5988037,-1.6543159,-2.4341057,-1.7076769,-1.4751532,-1.8466315,-1.8250876,-1.8250876,-1.4834417,1,5,3,7,2,4,6,3,5,8,4,5,4,8,1,5,3,5,2,5,0.35401055,0.42452475
