# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:16:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b66af52705.json
# init = 2 (Default)
# random
#   seed = 73293325
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281816-2-83c9d5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281816-2-705c21.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-236.21024,1,0.5,1,1,0,237.43477,0.6945878,-1.5086923,-1.6325651,-1.5812671,-2.2725001,-1.6587857,-1.4568005,-1.7204758,-1.6327767,-1.6327767,-1.5267092,3,3,1,5,2,4,5,2,5,7,1,6,4,8,5,6,4,2,1,6,0.24122982,0.39093155
-236.21024,0,14.38551,0,1,1,236.26613,0.6945878,-1.5086923,-1.6325651,-1.5812671,-2.2725001,-1.6587857,-1.4568005,-1.7204758,-1.6327767,-1.6327767,-1.5267092,2,3,2,5,2,3,2,6,2,5,2,2,2,3,5,5,7,3,4,5,0.24122982,0.47510168
-236.21024,1.5808137e-68,2.4311673,1,2,1,236.3026,0.6945878,-1.5086923,-1.6325651,-1.5812671,-2.2725001,-1.6587857,-1.4568005,-1.7204758,-1.6327767,-1.6327767,-1.5267092,4,4,2,8,1,6,4,2,2,7,2,3,2,6,2,6,6,3,1,6,0.24122982,0.28994509
-236.28749,0.88922777,0.23979141,2,7,0,237.23771,0.5971946,-1.4734736,-1.5934349,-1.6679502,-2.4647656,-1.7173343,-1.4791381,-1.8704258,-1.860086,-1.860086,-1.477221,7,2,4,7,2,5,4,4,6,7,5,7,1,4,3,7,4,2,2,6,0.3669455,0.37244763
-236.48671,0.95689828,0.23634128,1,1,0,236.52487,0.58451897,-1.4699045,-1.5889919,-1.6797784,-2.4914974,-1.7258438,-1.4827223,-1.8911268,-1.8902487,-1.8902487,-1.4722619,3,5,6,2,3,8,1,2,1,3,3,5,3,6,2,6,4,4,2,6,0.3764751,0.64897692
-236.2977,1,0.32058675,1,1,0,236.5457,0.59647415,-1.4732647,-1.5931784,-1.6686191,-2.4662741,-1.7178123,-1.4793377,-1.8715951,-1.8617967,-1.8617967,-1.4769298,2,7,3,4,3,3,4,2,2,1,2,6,1,3,3,4,1,6,4,5,0.36752537,0.89407958
-237.16752,0.36406908,0.53899689,1,1,0,238.0981,0.55274099,-1.4619286,-1.578507,-1.7099778,-2.560324,-1.7481148,-1.4923787,-1.9442191,-1.966474,-1.966474,-1.4613765,5,5,7,5,5,3,4,2,5,5,1,5,5,7,4,3,6,4,1,5,0.3942763,0.16869339
-236.80195,0.98260638,0.13220664,2,5,0,238.08199,0.72683799,-1.5235795,-1.6474858,-1.554228,-2.213748,-1.6419638,-1.451482,-1.6744086,-1.5591819,-1.5591819,-1.5474231,3,8,6,7,4,8,1,3,2,6,2,5,3,5,5,8,4,2,2,6,0.17501757,0.68968431
-236.47597,1,0.22508577,2,3,0,236.77126,0.71135045,-1.5162199,-1.6401976,-1.5671082,-2.2416668,-1.6498875,-1.4539044,-1.6963064,-1.5944233,-1.5944233,-1.5372118,4,8,5,7,1,8,4,3,7,6,3,5,3,2,2,7,1,1,3,5,0.20862743,0.10902827
-236.47597,0.79743753,0.41559597,1,3,0,236.9352,0.71135045,-1.5162199,-1.6401976,-1.5671082,-2.2416668,-1.6498875,-1.4539044,-1.6963064,-1.5944233,-1.5944233,-1.5372118,5,3,3,5,4,8,4,4,2,3,2,8,5,5,3,6,3,3,1,6,0.20862743,0.36101255
