# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:17:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6875b65e.json
# init = 2 (Default)
# random
#   seed = 177831271
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281817-1-359af2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281817-1-44aa1a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-226.80433,0.008902048,0.5,2,3,0,227.66067,0.72043421,-2.4322058,-1.4688599,-2.4719991,-1.8783595,-1.5204888,-1.8570807,-2.0011993,-1.8783595,-1.5661676,-1.5118485,3,1,4,3,2,2,6,3,4,7,2,2,8,4,3,3,8,1,5,4,0.18934066,0.49414233
-226.80433,8.5451741e-260,2.3731666,1,1,0,227.83835,0.72043421,-2.4322058,-1.4688599,-2.4719991,-1.8783595,-1.5204888,-1.8570807,-2.0011993,-1.8783595,-1.5661676,-1.5118485,8,4,3,3,3,1,8,3,1,5,5,2,5,6,6,5,6,4,4,8,0.18934066,0.64960817
-212.8447,1,0.23511777,2,3,0,224.56864,0.29623714,-1.7620313,-1.5323868,-1.7071865,-1.5497471,-1.4436791,-1.5362889,-1.6538736,-1.5497471,-1.5794262,-1.2631699,6,2,5,2,4,6,6,3,3,7,6,5,3,4,2,5,6,5,5,8,0.22385065,0.38863741
-211.39508,1,0.24554755,2,3,0,212.60274,0.40391371,-1.896406,-1.4767735,-1.8722249,-1.5965619,-1.4418877,-1.5737944,-1.71807,-1.5965619,-1.5400825,-1.3091369,4,1,6,2,5,1,7,4,3,5,3,2,3,3,2,2,6,4,2,8,0.36783562,0.59758075
-211.38432,0.74126035,0.33268742,2,3,0,211.99036,0.39288038,-1.881572,-1.4813466,-1.8544066,-1.5906574,-1.4414706,-1.5687137,-1.7108179,-1.5906574,-1.5430108,-1.3038311,8,3,3,2,3,3,8,3,4,6,7,2,3,3,3,2,6,6,5,8,0.35847994,0.75774086
-211.5226,0.97851398,0.24081875,2,3,0,211.55357,0.36412661,-1.8440631,-1.4944878,-1.8089405,-1.5764616,-1.4410394,-1.5568221,-1.6926552,-1.5764616,-1.5518257,-1.2906262,3,6,5,5,2,2,3,4,8,7,2,4,2,3,2,5,8,6,1,6,0.32875002,0.46111629
-211.5226,0.75400794,0.37619028,1,3,0,211.92307,0.36412661,-1.8440631,-1.4944878,-1.8089405,-1.5764616,-1.4410394,-1.5568221,-1.6926552,-1.5764616,-1.5518257,-1.2906262,6,5,3,2,4,2,7,6,6,7,2,3,5,3,4,3,7,5,5,6,0.32875002,0.39876682
-211.48012,1,0.3087492,1,1,0,211.53859,0.36925716,-1.8506345,-1.4920143,-1.8169501,-1.5788685,-1.4410475,-1.5588022,-1.6958187,-1.5788685,-1.5501275,-1.2929155,3,7,3,2,5,2,8,5,8,7,5,2,5,6,1,2,6,5,6,7,0.33464046,0.14780311
-211.48012,0.01321878,0.55975283,1,1,0,211.80564,0.36925716,-1.8506345,-1.4920143,-1.8169501,-1.5788685,-1.4410475,-1.5588022,-1.6958187,-1.5788685,-1.5501275,-1.2929155,6,6,7,7,2,2,8,4,3,7,5,6,4,4,5,1,7,5,5,7,0.33464046,0.18408992
-211.38932,0.99893385,0.046015658,3,13,0,211.82726,0.38875438,-1.8760878,-1.4831239,-1.8477963,-1.5885147,-1.4413507,-1.566888,-1.7081466,-1.5885147,-1.5441706,-1.3018807,5,1,7,4,2,1,8,3,4,7,7,4,3,6,5,1,6,8,3,7,0.35469552,0.46444028
