# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:17:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6729b7085.json
# init = 2 (Default)
# random
#   seed = 927357562
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281817-2-315ce3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281817-2-727733.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-217.74179,0.33990835,0.5,1,3,0,217.94667,0.60643338,-2.2136374,-1.4421604,-2.2359731,-1.7510077,-1.4762171,-1.7219031,-1.8812188,-1.7510077,-1.5316524,-1.4282456,5,6,2,5,1,5,6,5,1,4,8,1,1,6,2,4,4,2,4,6,0.35909415,0.41809913
-217.74179,0,4.3321104,0,1,1,218.26314,0.60643338,-2.2136374,-1.4421604,-2.2359731,-1.7510077,-1.4762171,-1.7219031,-1.8812188,-1.7510077,-1.5316524,-1.4282456,5,3,6,2,4,4,7,1,3,4,4,2,7,4,6,2,8,5,7,5,0.35909415,0.93314945
-217.74179,0.66670157,0.51300001,1,3,0,218.50269,0.60643338,-2.2136374,-1.4421604,-2.2359731,-1.7510077,-1.4762171,-1.7219031,-1.8812188,-1.7510077,-1.5316524,-1.4282456,5,3,4,6,4,4,7,6,8,8,2,3,2,1,3,3,7,3,2,5,0.35909415,0.19034979
-217.59875,1,0.24405237,2,7,0,217.65546,0.19815443,-1.6595412,-1.6036906,-1.574329,-1.528008,-1.4561605,-1.5246404,-1.6075327,-1.528008,-1.6362567,-1.233546,6,3,4,3,3,5,7,4,5,7,2,1,1,7,4,4,6,4,8,5,-0.047788392,0.86311917
-211.54134,0.75977332,0.33051579,1,3,0,215.70102,0.36212092,-1.8415085,-1.4954699,-1.8058214,-1.5755354,-1.4410443,-1.5560646,-1.6914275,-1.5755354,-1.5525044,-1.2897391,4,1,7,2,2,3,7,5,6,6,6,1,2,6,6,4,7,5,2,7,0.32637584,0.8455803
-211.54134,0.63887312,0.25275125,1,3,0,213.41063,0.36212092,-1.8415085,-1.4954699,-1.8058214,-1.5755354,-1.4410443,-1.5560646,-1.6914275,-1.5755354,-1.5525044,-1.2897391,5,1,7,5,1,7,7,2,4,5,6,5,4,7,3,3,5,6,1,6,0.32637584,0.40984705
-211.62174,0.995189,0.13974615,2,3,0,211.65987,0.3546467,-1.8320591,-1.4992041,-1.7942585,-1.5721578,-1.4411023,-1.5533237,-1.6868972,-1.5721578,-1.5551067,-1.2864734,7,3,5,2,1,2,6,4,5,5,7,7,1,4,4,5,4,4,4,8,0.31716892,0.44085087
-211.96431,0.85424343,0.23902026,1,3,0,212.77897,0.45882662,-1.9739129,-1.4579711,-1.9639693,-1.629744,-1.4460953,-1.6034599,-1.7565602,-1.629744,-1.5292649,-1.3374477,6,5,5,3,1,3,7,7,7,8,4,3,4,8,3,7,7,4,4,8,0.39866102,0.44731479
-214.04433,0.50307554,0.27341054,1,1,0,214.07513,0.5319959,-2.0868978,-1.4435475,-2.0941494,-1.6839132,-1.4574541,-1.6548063,-1.8143248,-1.6839132,-1.5246473,-1.3798789,6,3,4,3,3,2,8,3,6,6,6,3,3,6,2,7,3,4,3,6,0.40136175,0.84113423
-213.68635,1,0.10520512,2,3,0,214.03752,0.52243297,-2.0714887,-1.4447182,-2.0766185,-1.6761783,-1.455582,-1.6472983,-1.8063384,-1.6761783,-1.5246091,-1.3740387,6,5,3,4,2,4,5,5,5,4,6,4,4,4,1,6,6,5,4,5,0.40345013,0.82737825
-213.68635,0.80850417,0.19677211,1,1,0,214.86303,0.52243297,-2.0714887,-1.4447182,-2.0766185,-1.6761783,-1.455582,-1.6472983,-1.8063384,-1.6761783,-1.5246091,-1.3740387,8,3,6,2,5,2,6,4,2,8,6,2,2,4,5,3,3,3,3,4,0.40345013,0.77291187
-213.12314,1,0.20303222,3,7,0,213.58551,0.5057174,-2.0450221,-1.4472882,-2.0463494,-1.6631342,-1.4525939,-1.6347599,-1.7926989,-1.6631342,-1.5250078,-1.3640402,4,4,2,6,6,6,7,4,3,8,6,2,5,3,4,2,4,2,3,5,0.40533434,0.25916427
-211.41698,1,0.38565007,1,1,0,212.05573,0.379852,-1.8643714,-1.4870829,-1.833632,-1.5840122,-1.4411586,-1.5630855,-1.7024574,-1.5840122,-1.5467929,-1.2977355,3,4,6,5,4,2,7,4,3,7,4,3,4,4,4,2,5,3,7,6,0.34598878,0.79924224
-211.41698,9.4814899e-08,0.73243433,1,1,0,211.89012,0.379852,-1.8643714,-1.4870829,-1.833632,-1.5840122,-1.4411586,-1.5630855,-1.7024574,-1.5840122,-1.5467929,-1.2977355,3,4,4,4,4,2,8,5,4,7,3,5,5,3,3,4,6,7,5,5,0.34598878,0.46915456
-211.39539,0.99935348,0.06133114,2,7,0,211.49389,0.38600948,-1.8724583,-1.4843266,-1.8434147,-1.5871088,-1.4412818,-1.5656957,-1.7063815,-1.5871088,-1.5449617,-1.3005934,5,2,6,4,3,2,7,4,5,4,3,3,7,1,3,3,5,2,6,5,0.35209033,0.73379037
-211.42404,0.99832478,0.11745824,2,7,0,211.44609,0.37832654,-1.8623797,-1.4877782,-1.8312184,-1.5832572,-1.4411347,-1.5624526,-1.7014927,-1.5832572,-1.5472588,-1.2970339,5,3,4,5,2,5,6,6,5,4,5,5,2,5,4,4,5,6,4,4,0.34442157,0.63722033
-212.01308,0.92677818,0.22298397,2,3,0,212.13148,0.32968617,-1.8013075,-1.5125211,-1.7563338,-1.561717,-1.4417464,-1.5450994,-1.6722731,-1.561717,-1.5646347,-1.2760274,6,3,4,5,3,4,3,4,5,7,5,5,6,3,4,5,8,5,4,5,0.28213612,0.22604298
-212.32468,0.887436,0.33779717,1,1,0,212.55817,0.31537988,-1.7842386,-1.5207365,-1.7350777,-1.5563142,-1.4424245,-1.5410237,-1.6642373,-1.5563142,-1.5706772,-1.2703657,7,2,5,6,2,5,3,2,4,6,5,6,2,6,3,6,7,3,6,7,0.2588909,0.84854039
-211.48117,1,0.45200834,1,1,0,211.91074,0.36911825,-1.8504559,-1.4920806,-1.8167327,-1.5788027,-1.4410469,-1.5587478,-1.6957326,-1.5788027,-1.5501728,-1.2928532,4,3,4,4,4,8,3,6,2,8,4,2,2,2,3,2,5,5,5,4,0.33448441,0.35110187
-211.48117,0.0072035837,0.84537443,2,3,0,211.49251,0.36911825,-1.8504559,-1.4920806,-1.8167327,-1.5788027,-1.4410469,-1.5587478,-1.6957326,-1.5788027,-1.5501728,-1.2928532,5,4,4,2,4,3,8,1,2,5,5,3,5,5,5,6,7,5,5,3,0.33448441,0.84695965
-211.47216,0.99892239,0.081160421,3,7,0,211.57575,0.37033886,-1.8520267,-1.4914999,-1.8186446,-1.579383,-1.441053,-1.5592275,-1.6964899,-1.579383,-1.5497764,-1.293402,5,3,4,5,2,4,6,3,4,6,7,4,6,7,3,1,8,4,2,5,0.33584914,0.31596197
-211.38693,0.99951823,0.15213743,2,5,0,211.48737,0.39976892,-1.8908047,-1.4784606,-1.8655071,-1.594314,-1.4417145,-1.5718518,-1.7153271,-1.594314,-1.541153,-1.3071284,5,3,5,6,4,4,5,7,6,7,6,4,2,2,3,4,5,5,2,5,0.36445031,0.24281344
-211.51418,0.9643663,0.28288866,1,3,0,211.54117,0.36507292,-1.8452712,-1.4940274,-1.8104145,-1.5769014,-1.4410387,-1.5571827,-1.6932362,-1.5769014,-1.5515084,-1.2910462,8,3,8,3,6,3,7,5,4,7,7,7,4,6,1,4,7,4,5,6,0.32985619,0.86604783
-211.51418,0.25362295,0.47018818,1,1,0,212.36223,0.36507292,-1.8452712,-1.4940274,-1.8104145,-1.5769014,-1.4410387,-1.5571827,-1.6932362,-1.5769014,-1.5515084,-1.2910462,2,5,3,8,2,3,6,5,5,4,7,3,3,4,2,3,6,5,5,6,0.32985619,0.18813085
-211.49475,0.99985114,0.099953728,2,3,0,211.52583,0.36738135,-1.8482258,-1.4929122,-1.8140165,-1.5779822,-1.4410411,-1.5580712,-1.6946582,-1.5779822,-1.5507421,-1.2920751,2,5,5,4,3,4,4,3,4,6,7,3,5,7,4,4,7,6,5,7,0.33251711,0.40916881
-211.41657,0.97371949,0.18401957,1,3,0,211.8054,0.41013761,-1.9048822,-1.4743099,-1.8823671,-1.6000047,-1.4421854,-1.5767885,-1.7222309,-1.6000047,-1.5385419,-1.3121873,4,5,4,4,3,5,6,4,4,5,5,2,2,3,3,3,6,3,6,8,0.37263092,0.45218176
