# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:19:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b62cb14634.json
# init = 2 (Default)
# random
#   seed = 1979470442
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281819-1-354da6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281819-1-245781.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-236.21051,1,0.5,1,1,0,239.7044,0.11893391,-2.1233383,-1.5379492,-1.647955,-2.1126826,-1.6752126,-2.1126826,-1.4733497,-1.5776013,-1.57801,-2.313426,5,4,5,2,5,4,5,3,5,2,4,4,5,8,4,3,5,2,5,3,-0.46405047,0.13477539
-236.21051,0,14.38551,0,1,1,239.37862,0.11893391,-2.1233383,-1.5379492,-1.647955,-2.1126826,-1.6752126,-2.1126826,-1.4733497,-1.5776013,-1.57801,-2.313426,4,5,3,1,2,5,7,3,8,3,3,4,4,7,3,6,6,2,4,4,-0.46405047,0.31410857
-236.21051,5.6122574e-57,2.4311673,2,5,0,236.34173,0.11893391,-2.1233383,-1.5379492,-1.647955,-2.1126826,-1.6752126,-2.1126826,-1.4733497,-1.5776013,-1.57801,-2.313426,2,5,1,1,2,8,7,4,8,2,6,4,2,3,5,2,7,3,8,6,-0.46405047,0.76110981
-231.25499,0.947289,0.23979141,2,7,0,235.95666,0.36056961,-1.7214736,-1.5270989,-1.4512867,-1.7733795,-1.4962353,-1.7733795,-1.4410512,-1.4461303,-1.6904814,-1.9160707,1,6,2,7,3,4,5,2,4,6,5,7,6,5,7,4,5,2,6,6,0.32451171,0.4209744
-230.43781,1,0.27898725,1,3,0,231.13944,0.29031778,-1.8280952,-1.5246027,-1.5034894,-1.8598045,-1.5361409,-1.8598045,-1.4441467,-1.4647257,-1.650758,-2.0291617,1,5,5,3,4,8,6,4,7,3,3,8,5,5,5,2,4,2,3,7,0.21204232,0.59811572
-230.44219,0.99723797,0.43344398,1,1,0,230.44406,0.29302932,-1.8238238,-1.5246121,-1.5013967,-1.8562864,-1.5344124,-1.8562864,-1.4439278,-1.463739,-1.65218,-2.0247608,2,5,5,6,3,3,8,2,6,2,3,5,3,2,4,2,4,4,6,4,0.21751077,0.32468487
-230.44219,0.00036408334,0.72850891,1,1,0,231.94274,0.29302932,-1.8238238,-1.5246121,-1.5013967,-1.8562864,-1.5344124,-1.8562864,-1.4439278,-1.463739,-1.65218,-2.0247608,6,5,4,3,3,4,7,4,8,2,4,3,5,1,5,5,7,1,8,4,0.21751077,0.68181063
-231.17,0.99363595,0.057891341,3,11,0,231.57185,0.2208306,-1.9418052,-1.526719,-1.5592009,-1.9550204,-1.5854969,-1.9550204,-1.4523926,-1.4979598,-1.6172629,-2.1429498,3,7,2,8,2,6,5,7,4,1,4,4,3,3,5,4,6,3,4,2,0.031873299,0.87165591
-231.12748,1,0.10122784,1,1,0,231.17363,0.22268416,-1.938666,-1.5266039,-1.5576634,-1.952353,-1.5840548,-1.952353,-1.4521077,-1.4968663,-1.618084,-2.139889,1,8,2,2,1,4,7,3,8,2,3,6,2,4,3,3,6,1,3,2,0.037850125,0.79452387
-230.92278,1,0.18618512,1,1,0,231.11114,0.2326204,-1.9219369,-1.5260416,-1.549469,-1.9381742,-1.5764412,-1.9381742,-1.4506405,-1.4912046,-1.6225523,-2.1235054,4,8,5,2,7,5,7,4,7,4,1,4,3,6,1,4,2,4,6,7,0.068638438,0.55955429
