# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:19:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b66ad118a4.json
# init = 2 (Default)
# random
#   seed = 602828175
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281819-1-938085.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281819-1-05948e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-296.84681,0.9938892,0.125,1,3,0,297.50326,0.25803022,-1.3100398,-1.8799149,-1.4327228,-1.5760579,-2.4770124,-2.0817912,-1.4327228,-2.5192197,-1.5288807,-1.3152626,7,2,8,6,5,4,8,2,3,6,8,3,6,4,1,5,6,2,4,8,0.13863413,0.80535676
-296.84681,0,14.226564,0,1,1,296.85212,0.25803022,-1.3100398,-1.8799149,-1.4327228,-1.5760579,-2.4770124,-2.0817912,-1.4327228,-2.5192197,-1.5288807,-1.3152626,7,2,8,2,7,1,7,4,2,7,5,2,7,7,6,6,5,2,5,8,0.13863413,0.75148912
-296.84681,2.1316304e-171,2.3964015,1,2,1,298.28622,0.25803022,-1.3100398,-1.8799149,-1.4327228,-1.5760579,-2.4770124,-2.0817912,-1.4327228,-2.5192197,-1.5288807,-1.3152626,6,4,7,4,3,2,5,6,2,8,8,6,7,7,3,1,8,3,3,8,0.13863413,0.43231195
-296.71728,1,0.2359184,1,1,0,296.82648,0.26861969,-1.2946211,-1.8627248,-1.421884,-1.5710568,-2.4548351,-2.0644841,-1.421884,-2.4958936,-1.5204576,-1.307104,7,5,5,4,5,2,6,6,6,4,6,4,7,5,1,3,6,4,2,8,0.16447909,0.3460574
-296.92241,0.93237975,0.3187189,1,1,0,296.95064,0.25308544,-1.3172518,-1.8880069,-1.4378611,-1.5784851,-2.487465,-2.0898883,-1.4378611,-2.5301831,-1.5328457,-1.3192291,8,2,7,7,6,2,7,4,5,5,7,6,4,2,5,4,7,3,2,8,0.12592684,0.57142967
-296.88386,1,0.40711385,1,1,0,297.07864,0.25552701,-1.3136898,-1.8840061,-1.4353179,-1.5772793,-2.4822961,-2.085889,-1.4353179,-2.524764,-1.5308854,-1.3172578,7,4,7,3,7,1,8,4,2,8,4,3,7,7,4,2,3,5,4,8,0.13225361,0.76841916
-296.60972,1,0.68890013,1,1,0,296.75336,0.2830529,-1.2736626,-1.8396009,-1.4074771,-1.5646695,-2.4250592,-2.0409673,-1.4074771,-2.4644332,-1.5091269,-1.2966954,4,1,6,2,5,3,6,5,4,7,7,2,7,2,4,4,8,2,2,7,0.19688477,0.72839016
-296.60972,3.8060861e-15,1.2281354,1,1,0,296.61073,0.2830529,-1.2736626,-1.8396009,-1.4074771,-1.5646695,-2.4250592,-2.0409673,-1.4074771,-2.4644332,-1.5091269,-1.2966954,8,4,8,2,7,2,8,1,1,7,5,5,6,6,1,2,5,3,3,8,0.19688477,0.90638929
-296.73,0.99230049,0.097402366,2,5,0,296.978,0.26739856,-1.2963973,-1.8646974,-1.4231224,-1.5716199,-2.4573781,-2.0664775,-1.4231224,-2.4985729,-1.5214242,-1.3080218,7,3,8,8,3,1,3,5,1,6,8,6,6,8,4,2,7,6,3,8,0.16159101,0.072719823
-296.62478,0.99714637,0.17481313,3,7,0,296.81271,0.31239054,-1.2312621,-1.7936877,-1.3795212,-1.5531912,-2.3661127,-1.9934213,-1.3795212,-2.4016562,-1.4866337,-1.2779125,8,1,8,6,5,1,3,1,1,5,8,1,5,4,3,1,7,6,3,8,0.25372408,0.9213097
-296.62478,0.35910988,0.3242558,1,1,0,297.79654,0.31239054,-1.2312621,-1.7936877,-1.3795212,-1.5531912,-2.3661127,-1.9934213,-1.3795212,-2.4016562,-1.4866337,-1.2779125,6,7,7,8,4,1,7,4,5,6,8,3,6,8,7,4,5,2,4,7,0.25372408,0.50018854
-296.60265,0.99940676,0.080865487,3,11,0,296.67385,0.2846355,-1.2713685,-1.8370868,-1.4059233,-1.5639991,-2.4218257,-2.0383938,-1.4059233,-2.4610068,-1.507895,-1.2956024,7,5,6,7,3,4,5,5,5,8,7,2,5,6,1,4,4,3,4,8,0.20025053,0.2008843
-297.19231,0.87609468,0.15373885,2,5,0,298.78352,0.35602729,-1.168687,-1.7281119,-1.3413518,-1.5397748,-2.2822473,-1.923325,-1.3413518,-2.3111437,-1.4545335,-1.2553221,7,6,8,2,7,5,8,2,1,6,7,2,7,8,3,1,4,6,1,7,0.31891264,0.72748772
-296.85951,1,0.19879786,1,1,0,297.13418,0.33644698,-1.1966931,-1.7571333,-1.3579626,-1.5452604,-2.3193235,-1.9546866,-1.3579626,-2.3513379,-1.4687345,-1.2647122,6,5,7,6,2,5,8,6,2,5,7,5,3,5,3,3,5,6,6,8,0.29229824,0.48501237
-297.63254,0.29735931,0.37895224,2,3,0,298.92226,0.22194379,-1.3628511,-1.9399192,-1.4713309,-1.5951344,-2.5547348,-2.1411114,-1.4713309,-2.600279,-1.5582772,-1.3466432,3,6,7,7,7,2,5,3,3,7,7,3,4,8,2,2,4,5,4,8,0.035471841,0.16388572
-297.4764,0.99996288,0.081505681,2,3,0,297.65458,0.22745007,-1.3547659,-1.9306211,-1.4652749,-1.5920179,-2.5426577,-2.1320256,-1.4652749,-2.5877524,-1.553723,-1.3414782,7,4,8,5,6,2,7,7,1,5,5,3,6,4,4,2,6,3,1,7,0.052876309,0.60310377
-296.6049,0.95275472,0.15590726,1,3,0,298.57412,0.28410929,-1.2721312,-1.8379223,-1.4064394,-1.5642213,-2.4229001,-2.0392493,-1.4064394,-2.4621455,-1.5083044,-1.2959648,6,3,3,6,1,5,4,6,5,6,7,6,4,5,3,4,8,3,3,8,0.19913541,0.29441212
-296.6049,0.91595672,0.25636227,1,3,0,296.97049,0.28410929,-1.2721312,-1.8379223,-1.4064394,-1.5642213,-2.4229001,-2.0392493,-1.4064394,-2.4621455,-1.5083044,-1.2959648,8,2,8,3,7,2,8,2,2,8,6,4,8,4,7,5,7,4,2,8,0.19913541,0.66090694
-296.66453,0.97000462,0.37480937,1,1,0,296.67884,0.27443418,-1.28617,-1.8533668,-1.416029,-1.5684244,-2.4427774,-2.0550002,-1.416029,-2.4831736,-1.5158721,-1.3028141,7,4,8,6,4,3,7,2,2,6,7,3,7,3,3,4,8,7,6,7,0.17791215,0.60692815
-296.66453,3.3885986e-08,0.64151293,1,1,0,297.38246,0.27443418,-1.28617,-1.8533668,-1.416029,-1.5684244,-2.4427774,-2.0550002,-1.416029,-2.4831736,-1.5158721,-1.3028141,7,2,7,6,6,1,5,3,2,7,6,4,5,8,4,2,7,4,4,8,0.17791215,0.5182488
-296.60604,0.99958667,0.060416916,3,11,0,296.75151,0.30866471,-1.2366321,-1.7994374,-1.3829713,-1.5545382,-2.373483,-1.9994407,-1.3829713,-2.4095423,-1.48945,-1.2801294,5,2,7,7,3,2,6,5,1,8,7,4,5,3,8,4,4,6,3,6,0.24712945,0.52129187
-296.6135,0.99644017,0.11375614,2,5,0,296.736,0.28228297,-1.274779,-1.8408255,-1.4082349,-1.5649978,-2.4266345,-2.0422197,-1.4082349,-2.4661018,-1.5097269,-1.2972305,7,2,6,1,4,2,7,5,4,8,7,2,6,3,4,4,4,3,6,8,0.19523429,0.50381837
-297.20427,0.90964168,0.21013712,1,3,0,297.42123,0.23846465,-1.3386217,-1.9121752,-1.4533379,-1.5860073,-2.5187361,-2.1138879,-1.4533379,-2.562866,-1.5446869,-1.3315637,7,4,7,8,5,5,5,3,8,8,7,3,6,4,4,1,7,7,2,8,0.085806584,0.049753825
-297.20427,0.89600682,0.29866095,1,1,0,297.62784,0.23846465,-1.3386217,-1.9121752,-1.4533379,-1.5860073,-2.5187361,-2.1138879,-1.4533379,-2.562866,-1.5446869,-1.3315637,5,1,4,3,6,2,6,1,1,8,7,2,6,6,3,5,3,5,1,8,0.085806584,0.39540382
-296.63353,1,0.40583588,1,1,0,296.93597,0.27876498,-1.2798823,-1.8464338,-1.4117128,-1.5665157,-2.4338512,-2.0479451,-1.4117128,-2.4737398,-1.512475,-1.2997041,8,2,7,5,4,3,6,1,2,8,7,3,8,4,6,2,7,7,1,5,0.18758301,0.90666953
-296.63353,0.017977596,0.73858965,1,1,0,297.41451,0.27876498,-1.2798823,-1.8464338,-1.4117128,-1.5665157,-2.4338512,-2.0479451,-1.4117128,-2.4737398,-1.512475,-1.2997041,6,4,4,6,1,4,4,5,2,8,8,3,7,5,5,7,7,2,4,8,0.18758301,0.12171018
-296.68271,0.99943986,0.082405188,3,7,0,296.68591,0.27226471,-1.289322,-1.8568517,-1.4182056,-1.5693972,-2.4472664,-2.0585372,-1.4182056,-2.4879124,-1.5175797,-1.3043992,7,5,4,7,5,4,5,6,2,8,5,3,6,4,6,2,7,4,7,6,0.17296107,0.084093841
-298.32171,0.94614047,0.15029115,3,7,0,298.44041,0.20187014,-1.3924094,-1.9742506,-1.4939029,-1.6071337,-2.5994396,-2.1743405,-1.4939029,-2.6464343,-1.5750881,-1.36671,7,2,6,5,4,4,4,3,3,6,5,1,7,7,1,3,6,7,5,8,-0.033855153,0.18612361
-296.6106,1,0.23393441,2,3,0,297.98144,0.30966472,-1.2351904,-1.7978919,-1.3820424,-1.5541735,-2.3715016,-1.9978245,-1.3820424,-2.4074232,-1.4886929,-1.2795297,8,2,8,3,3,1,7,7,3,7,7,3,3,8,5,6,7,5,4,8,0.24891647,0.28809205
-296.6106,0.57430463,0.41942673,2,3,0,296.88636,0.30966472,-1.2351904,-1.7978919,-1.3820424,-1.5541735,-2.3715016,-1.9978245,-1.3820424,-2.4074232,-1.4886929,-1.2795297,7,6,8,6,2,4,8,6,2,6,4,2,5,4,2,5,7,6,3,8,0.24891647,0.26348648
-296.58649,0.99827641,0.23211236,2,3,0,296.6263,0.30287027,-1.244992,-1.8084265,-1.3883953,-1.5566967,-2.3850119,-2.008813,-1.3883953,-2.4218567,-1.4938533,-1.2836723,7,4,8,5,5,1,5,4,5,8,7,6,5,6,4,6,7,6,6,8,0.236525,0.64169684
-296.58649,0.23334772,0.41027714,1,1,0,297.29121,0.30287027,-1.244992,-1.8084265,-1.3883953,-1.5566967,-2.3850119,-2.008813,-1.3883953,-2.4218567,-1.4938533,-1.2836723,7,5,3,1,4,1,7,8,4,5,8,1,7,3,2,2,5,5,5,7,0.236525,0.61712393
-296.75361,0.99015162,0.091521332,2,7,0,297.12699,0.26526417,-1.299503,-1.8681513,-1.4252941,-1.5726126,-2.461832,-2.0699633,-1.4252941,-2.5032626,-1.5231166,-1.3096404,7,1,6,4,3,5,8,1,3,5,7,2,6,3,5,2,4,6,4,7,0.15648612,0.90020309
-296.57904,0.98145061,0.15801819,1,3,0,297.08774,0.29777034,-1.2523586,-1.8163854,-1.3932278,-1.558661,-2.3952263,-2.0170729,-1.3932278,-2.4327454,-1.4977524,-1.2868881,8,2,8,5,5,2,4,4,2,4,6,5,5,6,4,1,4,3,1,8,0.22683192,0.78285867
-297.44094,0.80532335,0.26426194,1,3,0,297.54597,0.36733181,-1.152571,-1.711657,-1.3321542,-1.5369996,-2.261247,-1.9052858,-1.3321542,-2.2882467,-1.4464865,-1.2504237,6,2,6,8,1,3,7,4,3,8,7,4,7,6,3,2,5,4,4,6,0.33246057,0.40048357
