# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-28 16:19:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b66103a04e.json
# init = 2 (Default)
# random
#   seed = 448805530
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604281819-2-520873.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604281819-2-1a9956.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-306.692,1,0.5,1,1,0,318.02769,0.092434182,-1.5558887,-2.1734498,-1.6301389,-1.6909562,-2.8628317,-2.3584905,-1.6301389,-2.9119634,-1.6723777,-1.5180872,8,6,6,5,4,4,6,4,1,4,6,6,2,3,1,4,4,5,3,8,-0.68648815,0.56110727
-306.692,0,14.38551,0,1,1,307.02766,0.092434182,-1.5558887,-2.1734498,-1.6301389,-1.6909562,-2.8628317,-2.3584905,-1.6301389,-2.9119634,-1.6723777,-1.5180872,8,2,8,4,4,2,6,4,3,8,3,4,7,4,1,5,6,3,4,8,-0.68648815,0.47049154
-306.692,1.6591753e-05,2.4311673,2,3,0,306.70122,0.092434182,-1.5558887,-2.1734498,-1.6301389,-1.6909562,-2.8628317,-2.3584905,-1.6301389,-2.9119634,-1.6723777,-1.5180872,7,3,8,3,6,3,6,6,1,8,6,5,6,2,1,5,6,5,4,7,-0.68648815,0.64669242
-296.81047,0.93492517,0.23980201,3,7,0,305.42185,0.26066602,-1.3061987,-1.8756184,-1.4300039,-1.574788,-2.4714659,-2.0774791,-1.4300039,-2.5133943,-1.5267755,-1.3131894,8,4,6,5,4,2,8,3,2,8,3,6,4,5,5,2,2,4,2,8,0.14523864,0.65950493
-296.87733,0.98409648,0.26931677,1,1,0,296.92135,0.2559562,-1.3130638,-1.8833039,-1.434872,-1.5770688,-2.481389,-2.0851862,-1.434872,-2.5238126,-1.5305413,-1.3169139,6,2,4,8,3,1,8,2,5,5,7,5,5,8,3,2,6,2,1,8,0.13335514,0.42285131
-296.87733,0.34318404,0.3984313,1,1,0,297.54264,0.2559562,-1.3130638,-1.8833039,-1.434872,-1.5770688,-2.481389,-2.0851862,-1.434872,-2.5238126,-1.5305413,-1.3169139,6,5,6,7,2,3,4,4,4,7,8,3,5,4,2,4,7,6,1,8,0.13335514,0.55975152
-296.76521,0.99961323,0.090186246,4,15,0,296.97267,0.26426959,-1.3009507,-1.8697634,-1.4263092,-1.5730788,-2.4639113,-2.0715883,-1.4263092,-2.5054508,-1.5239065,-1.3104008,8,3,7,7,7,5,5,2,1,8,6,4,2,3,4,4,6,5,4,7,0.15408244,0.78064287
-296.7379,0.99887985,0.15526053,3,7,0,296.84403,0.32641255,-1.2110909,-1.7722607,-1.3668029,-1.5484078,-2.338673,-1.9708162,-1.3668029,-2.3722007,-1.4761404,-1.2699884,8,5,5,4,6,6,7,2,2,7,6,2,7,6,6,3,7,2,2,7,0.27702881,0.32360205
-296.7379,0.80121521,0.27863821,1,1,0,297.17168,0.32641255,-1.2110909,-1.7722607,-1.3668029,-1.5484078,-2.338673,-1.9708162,-1.3668029,-2.3722007,-1.4761404,-1.2699884,5,2,6,5,4,4,7,3,5,8,6,2,8,7,4,4,7,8,7,7,0.27702881,0.14662731
-296.81653,0.97479269,0.27490812,1,1,0,296.85474,0.33320309,-1.2013442,-1.7620048,-1.3607964,-1.5462528,-2.3255527,-1.9598966,-1.3607964,-2.3580627,-1.4711192,-1.2663827,6,4,8,2,4,2,6,3,2,5,3,2,6,6,5,2,7,5,2,8,0.28748661,0.62845213
