# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:49:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c8a1e7b.json
# init = 2 (Default)
# random
#   seed = 207134331
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080949-1-8f3b49.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080949-1-1aab46.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.024542,3.2676543e-12,4,1,1,0,22.240259,0.82636874,-1.6257368,-2.1179575,-1.6257368,-1.4418838,-1.2509193,-2.0237013,-3.9458248,-1.6703874,-1.2281688,-1.2111538,2,5,4,8,6,6,6,4,6,2,5,5,7,1,4,5,8,6,2,2,-0.14977614,0.26036982
-22.024542,0.33535003,2.3350648,1,3,0,22.050037,0.82636874,-1.6257368,-2.1179575,-1.6257368,-1.4418838,-1.2509193,-2.0237013,-3.9458248,-1.6703874,-1.2281688,-1.2111538,3,6,7,3,6,5,7,3,3,6,8,5,6,4,2,6,8,5,1,2,-0.14977614,0.65987182
-20.329991,0.98429825,0.50751782,2,7,0,23.416733,0.25069172,-1.6033074,-1.6310493,-1.6033074,-1.6302313,-1.891939,-1.2959859,-2.1760597,-1.5252551,-1.5347723,-2.0938116,2,3,4,4,3,1,6,3,4,5,2,7,2,6,5,2,5,5,2,1,0.11962337,0.2160182
-20.495883,0.98732733,0.56201814,1,1,0,20.532002,0.23141857,-1.6147192,-1.6198046,-1.6147192,-1.6417777,-1.9239515,-1.2832518,-2.1421416,-1.5261047,-1.5504559,-2.1254849,4,4,7,1,4,3,8,7,4,4,2,5,7,6,3,3,6,1,3,4,0.065023501,0.38350682
-20.382734,1,0.77964769,1,1,0,20.626364,0.24431116,-1.606999,-1.6272906,-1.606999,-1.6340179,-1.9024675,-1.2916667,-2.1647072,-1.5254979,-1.5399308,-2.1042806,3,2,3,4,1,2,5,1,4,7,8,4,2,2,2,4,7,2,4,5,0.10232128,0.46136295
-20.382734,0.66540601,1.2666626,1,1,0,21.855397,0.24431116,-1.606999,-1.6272906,-1.606999,-1.6340179,-1.9024675,-1.2916667,-2.1647072,-1.5254979,-1.5399308,-2.1042806,6,6,7,7,4,4,6,3,3,3,2,5,3,2,3,1,6,4,2,3,0.10232128,0.87557952
-19.523916,0.99884257,0.79336785,2,3,0,20.305612,0.46631084,-1.5282765,-1.7789462,-1.5282765,-1.5234113,-1.5771231,-1.495637,-2.6404057,-1.5398354,-1.380922,-1.7493936,7,3,7,4,2,3,7,6,1,2,5,3,5,7,2,3,7,4,4,1,0.40091494,0.81106123
-19.523916,0.65713538,1.4125929,1,1,0,19.631442,0.46631084,-1.5282765,-1.7789462,-1.5282765,-1.5234113,-1.5771231,-1.495637,-2.6404057,-1.5398354,-1.380922,-1.7493936,2,3,6,6,5,1,8,3,5,4,5,5,7,5,5,4,6,5,1,3,0.40091494,0.0139369
-19.523916,0.42319741,0.88475298,1,3,0,21.215533,0.46631084,-1.5282765,-1.7789462,-1.5282765,-1.5234113,-1.5771231,-1.495637,-2.6404057,-1.5398354,-1.380922,-1.7493936,8,4,3,5,1,2,7,2,5,4,6,5,2,3,3,5,5,3,2,2,0.40091494,0.64339954
-19.523962,0.99999576,0.2660484,2,7,0,19.52413,0.46353751,-1.5286291,-1.7767862,-1.5286291,-1.5245208,-1.5806556,-1.4924646,-2.6333139,-1.539361,-1.3826364,-1.7537123,7,4,1,2,2,5,7,2,3,3,5,6,5,4,4,3,8,4,5,5,0.40013287,0.85991194
-19.540704,0.99686288,0.49824247,1,3,0,19.557114,0.43331991,-1.5335104,-1.7536884,-1.5335104,-1.5370636,-1.6200409,-1.4588549,-2.5581385,-1.5346863,-1.4017817,-1.80095,5,7,6,5,1,4,7,6,3,3,8,4,5,4,6,4,5,3,2,4,0.38752012,0.74187925
-19.670622,0.96751287,0.93105481,2,3,0,19.672671,0.37109881,-1.5495312,-1.7086402,-1.5495312,-1.5654813,-1.7062228,-1.3953316,-2.414753,-1.5278795,-1.44383,-1.8992854,5,4,4,1,6,4,3,3,5,1,5,4,6,2,4,5,8,4,5,4,0.33669143,0.49255738
-19.670622,0.14043056,1.5892098,1,1,0,19.862979,0.37109881,-1.5495312,-1.7086402,-1.5495312,-1.5654813,-1.7062228,-1.3953316,-2.414753,-1.5278795,-1.44383,-1.8992854,4,7,4,4,1,6,8,3,2,3,5,4,6,2,5,3,4,2,1,5,0.33669143,0.78075246
-19.818295,0.99698341,0.20259324,3,11,0,20.027693,0.59892827,-1.5304015,-1.8901536,-1.5304015,-1.4786598,-1.424957,-1.6638615,-3.0219425,-1.5716279,-1.3077577,-1.5460753,6,4,6,5,6,2,7,2,2,6,8,4,6,5,4,7,5,1,3,4,0.36553104,0.37183471
-20.883511,0.94788738,0.38253194,2,5,0,21.247616,0.1936856,-1.6393288,-1.5987326,-1.6393288,-1.6653221,-1.9884441,-1.2611096,-2.0789008,-1.5287708,-1.5820356,-2.1879368,7,2,3,5,5,5,5,5,1,2,4,4,5,3,3,1,6,6,3,3,-0.065041141,0.23550471
