# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:50:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c70775517.json
# init = 2 (Default)
# random
#   seed = 1599376038
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080950-1-053c16.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080950-1-912a40.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.751468,0.93966196,1,2,3,0,19.751694,0.68848475,-1.5060627,-1.6298521,-1.5864783,-2.2838867,-1.6621094,-1.4579252,-1.7293961,-1.6467956,-1.6467956,-1.523028,2,6,4,4,3,7,5,7,4,5,2,6,4,5,3,6,6,3,3,4,0.25219037,0.45714482
-19.751468,0,12.890826,0,1,1,20.315318,0.68848475,-1.5060627,-1.6298521,-1.5864783,-2.2838867,-1.6621094,-1.4579252,-1.7293961,-1.6467956,-1.6467956,-1.523028,1,6,5,2,7,8,3,3,2,8,2,5,3,4,1,2,2,1,2,6,0.25219037,0.71239294
-19.751468,0.36719057,2.1088724,1,3,0,20.299277,0.68848475,-1.5060627,-1.6298521,-1.5864783,-2.2838867,-1.6621094,-1.4579252,-1.7293961,-1.6467956,-1.6467956,-1.523028,7,5,7,6,3,3,3,5,7,8,2,2,4,4,1,5,2,3,4,6,0.25219037,0.17312813
-19.634529,0.90333507,0.54317816,2,3,0,20.747774,0.71792623,-1.5192967,-1.6432642,-1.5616157,-2.2297466,-1.6464885,-1.452846,-1.686958,-1.5794376,-1.5794376,-1.541488,1,4,1,5,2,6,3,1,3,6,2,6,3,8,2,7,2,1,2,3,0.19478437,0.84794936
-19.598352,0.94445889,0.59128903,1,3,0,20.119227,0.83551615,-1.58692,-1.7050909,-1.4694179,-2.0327191,-1.5941451,-1.4415344,-1.5326939,-1.3169763,-1.3169763,-1.6325808,5,4,4,6,2,7,6,3,2,4,2,6,1,3,1,8,2,4,3,8,-0.19288901,0.41592935
-21.350837,0.77021715,0.80430871,2,3,0,21.418952,0.95661587,-1.6849982,-1.7829532,-1.3869466,-1.8602838,-1.5561154,-1.4458561,-1.4007442,-1.0570079,-1.0570079,-1.7548943,4,7,5,4,2,7,1,6,1,4,4,1,5,1,1,8,4,1,1,3,-1.3902555,0.84094495
-19.514974,0.95756159,0.68594227,1,3,0,22.84609,0.79224207,-1.5591463,-1.6807878,-1.5020036,-2.1017354,-1.6115827,-1.4439906,-1.5865825,-1.412372,-1.412372,-1.595861,3,3,4,4,2,7,5,5,4,5,1,8,4,8,4,5,4,3,2,5,-0.012510505,0.46223739
-19.514974,0.25273982,1.0714651,1,1,0,20.563678,0.79224207,-1.5591463,-1.6807878,-1.5020036,-2.1017354,-1.6115827,-1.4439906,-1.5865825,-1.412372,-1.412372,-1.595861,2,5,4,6,2,6,1,3,2,7,1,7,3,4,2,8,7,1,1,4,-0.012510505,0.5078181
-19.549421,0.99971485,0.18779438,3,13,0,19.549424,0.74981581,-1.5352329,-1.6587189,-1.5354785,-2.1733202,-1.6307277,-1.4483415,-1.6426919,-1.5072366,-1.5072366,-1.5634649,3,2,1,6,1,4,5,5,3,5,5,4,5,5,5,8,2,3,2,7,0.1182739,0.24846695
-21.41648,0.90358614,0.34612613,2,7,0,22.199055,0.95823928,-1.6865376,-1.7840977,-1.3859316,-1.8581746,-1.5557101,-1.4460312,-1.3991736,-1.0535903,-1.0535903,-1.7567295,5,3,5,6,2,5,3,1,6,8,6,4,2,3,2,5,2,1,4,6,-1.4266973,0.028630572
