# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:50:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c252d5f8b.json
# init = 2 (Default)
# random
#   seed = 1340866097
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080950-1-4534da.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080950-1-69094e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.345318,9.6623297e-06,4,2,3,0,20.421556,0.59308308,-1.4722913,-1.5919775,-1.6717732,-2.473392,-1.7200714,-1.4802839,-1.8771107,-1.8698547,-1.8698547,-1.4755742,5,4,6,7,1,7,3,3,4,6,1,4,3,5,2,8,5,5,4,5,0.37019244,0.36121392
-20.345318,0.0054819911,2.3351058,1,3,0,20.380235,0.59308308,-1.4722913,-1.5919775,-1.6717732,-2.473392,-1.7200714,-1.4802839,-1.8771107,-1.8698547,-1.8698547,-1.4755742,6,6,6,6,2,5,7,3,3,7,3,3,2,8,4,3,5,2,1,4,0.37019244,0.33293152
-19.872507,1,0.23323538,4,15,0,20.351512,0.66427686,-1.4962047,-1.6194359,-1.6074415,-2.3299064,-1.6757393,-1.4627529,-1.7654087,-1.7026935,-1.7026935,-1.5091814,6,8,1,7,3,5,4,4,2,7,2,4,2,5,3,6,2,5,3,7,0.29123476,0.70110293
-19.787701,0.99910673,0.24332621,4,15,0,20.047467,0.8703799,-1.6119436,-1.7260049,-1.444336,-1.9799874,-1.581594,-1.4410533,-1.4917983,-1.2410959,-1.2410959,-1.6648455,3,1,4,6,2,4,5,3,4,4,2,5,4,6,3,6,5,2,6,2,-0.39021345,0.31640323
-19.765249,0.99971445,0.32862168,2,3,0,19.816303,0.86729236,-1.6096282,-1.7241043,-1.4465144,-1.9845553,-1.5826524,-1.4410409,-1.4953276,-1.2477814,-1.2477814,-1.6618918,1,4,2,6,2,6,7,3,3,6,2,8,4,2,3,6,2,4,2,4,-0.37022642,0.54408089
-19.65232,1,0.51376953,3,7,0,19.764672,0.71281407,-1.5168987,-1.6408766,-1.5658826,-2.2390052,-1.6491266,-1.453665,-1.6942192,-1.5910849,-1.5910849,-1.538156,3,4,4,5,6,6,3,5,4,6,2,5,1,6,3,7,3,5,2,6,0.20559938,0.3136576
-20.572326,0.57466431,0.87485304,2,3,0,21.525814,0.92990268,-1.6605706,-1.7645082,-1.4040001,-1.8957514,-1.5631743,-1.4434319,-1.4273663,-1.1134953,-1.1134953,-1.7254404,3,3,3,6,4,4,4,4,5,6,3,2,5,4,2,6,2,3,2,3,-0.9387866,0.55836043
-21.200118,0.98269171,0.41665353,2,3,0,21.435873,0.95259587,-1.6812136,-1.7801308,-1.3894705,-1.8655296,-1.5571305,-1.4454362,-1.404657,-1.0654782,-1.0654782,-1.7503722,3,6,3,4,3,6,3,2,4,8,2,5,2,2,7,6,3,5,3,4,-1.305851,0.55929842
-21.394624,0.99068735,0.71746185,1,1,0,21.485172,0.95770684,-1.686032,-1.7837221,-1.3862642,-1.8588658,-1.5558427,-1.4459734,-1.3996881,-1.0547109,-1.0547109,-1.756127,1,4,3,7,1,2,4,6,4,3,1,5,1,1,2,5,1,6,1,4,-1.4145841,0.45255543
-19.535478,0.4340726,1.2935549,2,3,0,20.590185,0.81179129,-1.5712565,-1.6915411,-1.4870858,-2.070063,-1.6034473,-1.4426296,-1.561815,-1.3691084,-1.3691084,-1.6119915,7,2,1,7,3,6,5,1,1,5,2,7,4,7,5,8,2,1,1,5,-0.086956324,0.91799207
-19.516087,0.99909463,0.40551052,1,3,0,19.557298,0.79456876,-1.5605507,-1.6820482,-1.5002113,-2.0979229,-1.610592,-1.4438071,-1.5835985,-1.4072082,-1.4072082,-1.5977411,5,3,3,5,3,7,6,5,4,8,1,2,1,4,5,5,4,3,4,5,-0.020840195,0.17988997
-19.980209,0.89555015,0.76330764,1,3,0,20.083623,0.64559851,-1.4892103,-1.6117745,-1.6239343,-2.3663602,-1.6867498,-1.4668745,-1.7938807,-1.7461457,-1.7461457,-1.4993286,1,5,2,5,2,7,6,4,3,2,1,4,3,7,5,4,2,3,4,3,0.31685714,0.74144283
-19.77862,0.54347494,1.0393069,2,3,0,21.197038,0.86915193,-1.6110204,-1.7252479,-1.4452014,-1.9818018,-1.5820138,-1.4410471,-1.4931998,-1.2437541,-1.2437541,-1.6636685,1,4,1,5,5,7,2,1,8,3,1,6,2,7,1,6,5,1,5,4,-0.38219625,0.71736597
-19.520621,0.98517378,0.46967662,2,5,0,20.133391,0.80062613,-1.5642535,-1.6853542,-1.4955663,-2.0880518,-1.6080412,-1.4433566,-1.5758757,-1.3937833,-1.3937833,-1.6026862,3,5,2,5,1,7,4,1,5,5,1,8,1,4,4,3,3,2,1,8,-0.043175188,0.17417909
-19.77576,0.89347709,0.85083369,2,3,0,20.075707,0.68325976,-1.503858,-1.6275572,-1.5909634,-2.2937036,-1.6649907,-1.4589178,-1.7370838,-1.658821,-1.658821,-1.5199371,4,4,2,4,3,6,2,2,1,6,2,6,4,6,2,5,1,2,2,5,0.26120603,0.78936285
-20.11544,0.77167545,1.1544538,2,3,0,20.387618,0.90290774,-1.6375573,-1.7466052,-1.4218988,-1.9330577,-1.5710635,-1.4418439,-1.4557286,-1.1710649,-1.1710649,-1.6970986,2,5,2,7,6,4,4,3,8,5,2,3,2,3,2,5,3,4,6,5,-0.64246908,0.57110483
-20.11544,0.58855907,1.0740437,1,3,0,22.039694,0.90290774,-1.6375573,-1.7466052,-1.4218988,-1.9330577,-1.5710635,-1.4418439,-1.4557286,-1.1710649,-1.1710649,-1.6970986,3,5,8,7,4,7,4,6,1,2,4,2,1,7,4,6,2,4,4,7,-0.64246908,0.73622456
-21.510166,0.91912814,0.57244968,2,5,0,22.055578,0.47210961,-1.4476588,-1.5560823,-1.7900745,-2.7471018,-1.8108796,-1.5211139,-2.086604,-2.1639033,-2.1639033,-1.4440232,3,7,4,6,2,1,1,1,2,5,3,2,6,4,1,6,3,6,5,7,0.40234876,0.58902607
-20.310426,1,0.83977101,1,1,0,21.257736,0.59760175,-1.473592,-1.5935801,-1.6675723,-2.4639137,-1.7170645,-1.4790255,-1.8697653,-1.8591194,-1.8591194,-1.4773861,3,1,1,6,2,6,5,2,4,5,1,3,3,5,1,6,1,6,4,4,0.36661574,0.47738718
-19.676311,0.49609157,1.5628043,2,3,0,20.111209,0.7063627,-1.5139329,-1.6378987,-1.5712975,-2.2507741,-1.6525,-1.4547364,-1.7034473,-1.6058124,-1.6058124,-1.5340269,3,2,4,5,3,4,6,4,2,8,1,5,4,6,2,3,2,2,1,3,0.21872309,0.54045048
-19.748869,0.87767103,0.64124791,1,3,0,20.559506,0.86492408,-1.6078654,-1.7226529,-1.4481911,-1.9880724,-1.5834712,-1.4410387,-1.498047,-1.2529139,-1.2529139,-1.6596389,2,8,6,7,1,7,5,5,4,6,1,7,3,3,4,5,2,2,5,4,-0.35527239,0.26772406
-20.148375,0.94059706,0.82552023,1,3,0,20.148375,0.90535562,-1.639577,-1.7481983,-1.4202485,-1.9296137,-1.5703165,-1.4419527,-1.4530973,-1.1658242,-1.1658242,-1.6996097,3,3,7,4,3,4,8,4,2,5,1,4,4,3,2,5,3,1,1,2,-0.66529675,0.62340611
-20.752306,0.84897059,1.2731627,1,1,0,20.922236,0.93762773,-1.6674618,-1.7697673,-1.3990005,-1.8853471,-1.5610569,-1.4440449,-1.4195181,-1.0971112,-1.0971112,-1.733814,4,7,3,6,3,6,4,1,3,2,2,6,2,7,4,4,4,3,1,7,-1.0472773,0.87587793
-20.731019,1,1.493883,1,1,0,20.731099,0.54765806,-1.4607795,-1.5769165,-1.7148804,-2.571577,-1.7518033,-1.4940116,-1.9528697,-1.9787478,-1.9787478,-1.4598432,2,5,4,8,2,6,2,4,1,6,7,5,6,5,1,5,6,1,8,8,0.39633843,0.67247562
-21.234671,0.17019129,2.7019101,2,7,0,21.876685,0.95355558,-1.6821135,-1.7808031,-1.3888666,-1.8642743,-1.5568866,-1.4455347,-1.4037199,-1.0634551,-1.0634551,-1.7514489,5,4,2,7,3,5,5,3,5,6,1,5,1,4,3,6,4,1,3,7,-1.3252971,0.40299156
-20.330225,0.99467992,0.45188887,1,3,0,21.699872,0.91724981,-1.6495799,-1.7560251,-1.412307,-1.9130532,-1.5667768,-1.4425809,-1.4404798,-1.1404176,-1.1404176,-1.7119783,5,6,4,6,3,7,2,1,7,5,4,6,4,2,3,4,4,6,2,8,-0.78654489,0.5234168
-19.996197,1,0.80538571,2,3,0,20.299642,0.89306301,-1.6295664,-1.7402588,-1.42859,-1.9470321,-1.5741317,-1.4414764,-1.4664293,-1.1921832,-1.1921832,-1.6871181,1,2,2,6,2,6,6,4,2,7,2,4,1,4,5,6,2,2,1,5,-0.55685418,0.41793451
-19.996197,0.060991853,1.4429723,1,1,0,20.666433,0.89306301,-1.6295664,-1.7402588,-1.42859,-1.9470321,-1.5741317,-1.4414764,-1.4664293,-1.1921832,-1.1921832,-1.6871181,4,8,5,5,1,4,5,2,5,5,2,4,1,7,4,6,2,1,1,8,-0.55685418,0.18116746
-19.9228,1,0.18729352,4,15,0,19.995606,0.88605402,-1.6240048,-1.7357996,-1.4334067,-1.9571022,-1.5763789,-1.4412829,-1.4741625,-1.2072591,-1.2072591,-1.6801283,4,4,2,6,2,5,7,3,3,5,5,4,3,7,3,6,3,1,3,5,-0.50124872,0.51721876
-19.700253,0.99906828,0.33643054,3,7,0,20.050377,0.85720244,-1.6021977,-1.7179591,-1.4536917,-1.9996206,-1.5861829,-1.4410754,-1.5069871,-1.2696757,-1.2696757,-1.6523698,4,4,5,6,2,5,4,2,2,7,1,3,6,6,3,6,4,4,3,6,-0.30864903,0.37153997
-20.892494,0.85310832,0.59694488,1,3,0,21.66235,0.94288394,-1.6722304,-1.7733805,-1.3956303,-1.8783367,-1.5596517,-1.4445027,-1.4142473,-1.085986,-1.085986,-1.7395784,5,7,4,2,4,8,4,1,3,6,5,4,3,4,3,5,5,3,2,7,-1.1297226,0.84340637
-19.664111,0.96553981,0.70581736,1,3,0,21.173835,0.85059927,-1.5974466,-1.7139919,-1.4584369,-2.0095945,-1.588553,-1.4411598,-1.5147214,-1.2840427,-1.2840427,-1.6462465,5,5,5,3,7,6,3,3,2,6,1,4,5,6,6,4,4,2,1,5,-0.27117781,0.85629933
-19.553438,0.78005992,1.126632,2,3,0,20.103363,0.82054574,-1.5769111,-1.696477,-1.4805104,-2.0561443,-1.5999423,-1.4421539,-1.550949,-1.3498245,-1.3498245,-1.6194597,2,8,6,6,2,7,3,4,5,5,2,6,2,7,2,7,3,2,1,3,-0.12386109,0.65314895
-19.553438,0.30677628,1.087265,1,3,0,21.657846,0.82054574,-1.5769111,-1.696477,-1.4805104,-2.0561443,-1.5999423,-1.4421539,-1.550949,-1.3498245,-1.3498245,-1.6194597,3,2,2,5,1,3,4,4,4,4,2,3,2,2,2,8,3,1,3,4,-0.12386109,0.54896903
-19.553979,0.99593056,0.29946086,2,7,0,19.777796,0.74752059,-1.5340288,-1.6575742,-1.5373319,-2.1773055,-1.6318224,-1.4486307,-1.6458184,-1.5124073,-1.5124073,-1.5618148,1,4,4,6,5,3,7,2,2,7,1,4,3,6,4,4,5,2,2,5,0.12434047,0.4384696
-19.552528,0.99618148,0.51544959,2,5,0,19.606328,0.82016201,-1.5766602,-1.6962591,-1.4807972,-2.056751,-1.6000942,-1.442173,-1.5514224,-1.3506686,-1.3506686,-1.6191292,1,5,2,7,3,4,4,3,3,8,4,5,2,2,1,7,3,1,1,7,-0.12219278,0.38632939
