# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:50:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c37b522d5.json
# init = 2 (Default)
# random
#   seed = 1417199674
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080950-2-33fd05.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080950-2-7b4622.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.447318,0.040236705,2,1,1,0,21.47115,0.15111071,-1.6707386,-1.576462,-1.6707386,-1.6933779,-2.0641078,-1.2408542,-2.0123795,-1.5333655,-1.6190384,-2.2591172,4,5,7,5,2,6,8,2,3,5,2,4,6,5,3,3,3,7,2,1,-0.26180956,0.86824384
-21.447318,0.001255818,2.5122965,2,7,0,21.587541,0.15111071,-1.6707386,-1.576462,-1.6707386,-1.6933779,-2.0641078,-1.2408542,-2.0123795,-1.5333655,-1.6190384,-2.2591172,4,4,5,4,5,3,8,6,1,1,7,5,3,3,4,1,2,5,4,4,-0.26180956,0.10312959
-22.145882,0.99508438,0.25389049,2,5,0,22.765676,0.11160082,-1.7033951,-1.5572319,-1.7033951,-1.7208268,-2.1370846,-1.2269409,-1.9550341,-1.5391274,-1.6546586,-2.3258656,1,6,6,3,1,1,8,6,3,4,6,4,3,4,4,3,8,3,5,2,-0.51940149,0.56524654
-21.79582,0.99990335,0.26433986,3,7,0,22.3217,0.12990108,-1.6878455,-1.5659663,-1.6878455,-1.7079438,-2.1029515,-1.232772,-1.9810821,-1.5362797,-1.6380077,-2.2948652,3,4,8,6,6,2,7,3,3,2,3,5,7,5,3,5,3,1,5,5,-0.38837095,0.60424105
-20.544837,0.99396158,0.35996191,2,7,0,22.88367,0.22614261,-1.6179792,-1.6167831,-1.6179792,-1.644995,-1.9328243,-1.2799305,-2.1330497,-1.5263978,-1.5548022,-2.1341819,6,2,2,2,2,4,6,5,4,1,4,2,4,6,2,4,7,1,5,3,0.048802323,0.23233369
-20.247163,1,0.55539323,1,1,0,20.52824,0.26125749,-1.5973817,-1.6373517,-1.5973817,-1.6240393,-1.8746559,-1.3033595,-2.1951312,-1.5249369,-1.5263038,-2.0765118,7,1,4,1,2,3,8,4,5,6,1,2,6,4,5,1,4,6,2,3,0.14670481,0.58252885
-19.548317,0.97500874,0.94772019,2,3,0,20.273242,0.50418239,-1.525074,-1.8091177,-1.525074,-1.5089636,-1.530287,-1.5404053,-2.7406401,-1.5470838,-1.3582458,-1.6906975,7,3,4,3,1,5,6,3,1,2,5,7,3,4,3,2,8,6,3,5,0.40539514,0.6694531
-20.406206,0.4230639,1.5713916,1,1,0,20.529101,0.241551,-1.6086224,-1.6256757,-1.6086224,-1.635667,-1.9070433,-1.2898298,-2.1598343,-1.5256148,-1.5421727,-2.1088145,6,5,7,1,1,3,7,7,5,2,5,4,3,5,6,2,7,5,3,3,0.094605088,0.3813683
-20.54579,0.99283207,0.47213072,1,1,0,20.567058,0.22604153,-1.6180423,-1.6167254,-1.6180423,-1.6450569,-1.9329947,-1.2798675,-2.1328763,-1.5264036,-1.5548856,-2.1343486,6,3,5,4,4,2,7,3,3,1,3,2,4,3,3,4,7,5,5,2,0.048485885,0.81935425
-19.976551,1,0.85528496,2,3,0,20.455861,0.30194695,-1.576737,-1.6625333,-1.576737,-1.6011076,-1.8098641,-1.3342536,-2.2718331,-1.524692,-1.4945576,-2.0103077,2,2,7,6,2,3,6,5,4,3,3,4,6,6,4,2,6,2,3,2,0.23479536,0.28251492
-19.976551,0.014946688,1.6043556,2,3,0,20.999252,0.30194695,-1.576737,-1.6625333,-1.576737,-1.6011076,-1.8098641,-1.3342536,-2.2718331,-1.524692,-1.4945576,-2.0103077,4,4,2,5,4,2,4,7,3,5,4,4,4,5,1,3,7,7,2,3,0.23479536,0.066576204
-19.54232,0.9941115,0.13466807,3,15,0,21.768868,0.49909259,-1.5253291,-1.8049894,-1.5253291,-1.5108287,-1.5364283,-1.5342331,-2.7267924,-1.5460258,-1.361213,-1.6985561,6,4,6,6,3,3,8,2,1,6,3,3,6,3,2,3,8,4,4,1,0.40546181,0.50512972
-19.529091,0.9988428,0.25140633,2,7,0,19.609813,0.44757753,-1.5309703,-1.7644871,-1.5309703,-1.5310423,-1.601254,-1.4744937,-2.5931359,-1.5367794,-1.3926424,-1.77862,6,6,5,3,4,3,7,4,3,3,6,7,4,5,3,2,6,5,1,3,0.39441179,0.50937296
-19.529614,0.99994115,0.47664742,1,1,0,19.53002,0.44669878,-1.5311146,-1.7638164,-1.5311146,-1.5314081,-1.6024014,-1.4735184,-2.5909547,-1.5366446,-1.3932003,-1.7799942,5,6,3,8,6,5,7,3,5,1,3,2,3,3,6,4,8,3,2,3,0.39403596,0.20953823
-20.146198,0.68761022,0.90407634,2,3,0,20.677531,0.27518229,-1.5899285,-1.6458068,-1.5899285,-1.6160281,-1.8521669,-1.3134915,-2.2207918,-1.5246776,-1.5152841,-2.053781,4,5,7,5,2,5,8,2,3,2,5,2,4,4,7,2,6,5,2,2,0.17960285,0.86674367
-19.933817,1,0.64796833,1,1,0,20.13512,0.3095625,-1.5732556,-1.6674068,-1.5732556,-1.5969772,-1.7980498,-1.3404632,-2.2867791,-1.5248199,-1.4887703,-1.9979897,7,5,2,7,6,1,7,5,4,3,5,3,4,5,3,5,8,2,4,3,0.24873437,0.087874811
-20.808551,0.74850136,1.2219254,1,3,0,20.840758,0.73539655,-1.5729221,-2.0210799,-1.5729221,-1.4502487,-1.3057514,-1.8692221,-3.523473,-1.6238209,-1.2522597,-1.3431148,4,5,7,4,1,3,8,3,3,3,8,6,3,5,3,3,8,2,2,2,0.15489107,0.70443498
-19.632292,1,1.0604572,1,1,0,20.280221,0.54689492,-1.5250948,-1.8446629,-1.5250948,-1.4942589,-1.4806624,-1.5940682,-2.8617244,-1.557001,-1.3343529,-1.6251122,2,2,5,4,4,3,6,4,3,2,6,4,7,1,6,4,8,1,1,2,0.39662966,0.21984545
-19.952583,0.20031924,1.9782254,2,3,0,20.17489,0.30616618,-1.5747933,-1.6652271,-1.5747933,-1.5988129,-1.8033065,-1.3376776,-2.2800901,-1.5247561,-1.4913452,-2.0034804,1,4,2,3,1,2,8,5,1,5,8,2,3,1,2,4,7,4,2,7,0.24260941,0.46020485
