# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:51:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c14f5398b.json
# init = 2 (Default)
# random
#   seed = 1424432479
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080951-1-182934.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080951-1-7e4f03.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.039019,0.92627297,1,1,1,0,20.158276,0.10416541,-1.5790644,-1.6899087,-1.4633976,-1.5260729,-1.4772325,-1.5327221,-1.5732575,-1.5260729,-1.7099233,-1.2178179,3,4,5,6,5,2,8,4,3,6,1,6,1,3,1,5,2,6,6,8,-0.58001521,0.47608627
-20.039019,0,12.580806,0,1,1,20.424065,0.10416541,-1.5790644,-1.6899087,-1.4633976,-1.5260729,-1.4772325,-1.5327221,-1.5732575,-1.5260729,-1.7099233,-1.2178179,3,6,5,5,2,2,5,1,2,5,2,7,3,5,3,3,6,6,6,8,-0.58001521,0.86406716
-19.294423,1,2.0433595,1,1,0,20.443298,0.16318088,-1.6275605,-1.6337436,-1.5311247,-1.5251057,-1.4629853,-1.5254791,-1.5936522,-1.5251057,-1.6614384,-1.2261414,2,5,7,5,4,6,6,4,5,4,3,5,1,3,6,4,5,5,6,7,-0.19928389,0.1712414
-19.294423,5.1591857e-06,2.829918,1,1,0,19.34398,0.16318088,-1.6275605,-1.6337436,-1.5311247,-1.5251057,-1.4629853,-1.5254791,-1.5936522,-1.5251057,-1.6614384,-1.2261414,3,3,3,5,4,6,6,4,5,8,7,3,4,6,6,2,7,4,6,7,-0.19928389,0.070414177
-18.71374,0.99369439,0.26273214,2,7,0,19.976508,0.29572559,-1.7614478,-1.5327084,-1.7064498,-1.549582,-1.443718,-1.5361736,-1.6536027,-1.549582,-1.5796705,-1.2629837,6,5,5,1,2,3,8,1,3,7,4,6,2,6,5,6,6,6,5,8,0.22284894,0.75329142
-18.709266,0.99808245,0.39954266,2,5,0,18.756668,0.323609,-1.7940073,-1.5159593,-1.7472616,-1.5593702,-1.4420072,-1.5433117,-1.668829,-1.5593702,-1.5671497,-1.273593,4,2,3,6,2,1,6,6,2,7,8,1,3,3,4,2,5,3,6,5,0.27255622,0.42159518
-19.45136,0.82267393,0.67179028,3,7,0,19.94203,0.14725804,-1.6137975,-1.6482241,-1.5122027,-1.5246374,-1.4664944,-1.5267155,-1.5877787,-1.5246374,-1.6737734,-1.2233646,4,3,3,4,2,4,4,5,6,5,7,3,5,5,3,3,4,6,5,8,-0.28310767,0.25235108
-19.248565,1,0.68933775,1,1,0,19.456121,0.16838845,-1.6321701,-1.629116,-1.5374154,-1.525375,-1.4618919,-1.5251905,-1.5956334,-1.525375,-1.6575228,-1.2271316,5,2,6,3,2,5,8,2,5,8,6,5,4,5,1,4,1,7,2,8,-0.17411212,0.44507329
-19.248565,0.4231855,1.2594762,1,1,0,19.680063,0.16838845,-1.6321701,-1.629116,-1.5374154,-1.525375,-1.4618919,-1.5251905,-1.5956334,-1.525375,-1.6575228,-1.2271316,1,5,4,6,5,2,7,2,8,6,6,5,1,3,2,5,7,5,2,6,-0.17411212,0.16259324
-18.806166,0.98895169,0.37936208,1,3,0,19.76684,0.24728919,-1.7085252,-1.5655613,-1.6387616,-1.5364029,-1.4486602,-1.5278665,-1.6293557,-1.5364029,-1.6052654,-1.246822,4,3,5,6,2,2,5,4,6,7,3,4,2,7,4,4,7,5,7,7,0.11048846,0.67376768
