# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:51:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c3396b7b1.json
# init = 2 (Default)
# random
#   seed = 1977602678
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080951-2-585f3c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080951-2-4ab551.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.388214,5.9248168e-19,4,1,3,0,23.463249,0.80758496,-2.6208692,-1.5162324,-2.6684418,-1.9971893,-1.568591,-1.9908335,-2.1089969,-1.9971893,-1.6131361,-1.583119,5,1,3,4,5,2,8,6,7,4,6,4,5,2,2,3,7,1,2,8,-0.070048127,0.36713191
-23.388214,0.018041168,2.3350648,1,1,0,23.641728,0.80758496,-2.6208692,-1.5162324,-2.6684418,-1.9971893,-1.568591,-1.9908335,-2.1089969,-1.9971893,-1.6131361,-1.583119,7,1,5,6,1,2,7,5,5,7,7,2,2,2,1,5,4,4,2,7,-0.070048127,0.73291944
-23.690395,1,0.24023741,1,1,0,23.690545,0.82136738,-2.6525411,-1.5261457,-2.7008313,-2.0177965,-1.5774493,-2.0147178,-2.1274529,-2.0177965,-1.6222932,-1.5949535,7,5,6,4,3,3,6,3,6,5,6,4,8,4,5,2,7,6,4,5,-0.1274493,0.16596685
-23.630078,0.9999518,0.25160077,2,3,0,23.749501,0.8186758,-2.646315,-1.5241544,-2.6944769,-2.0137319,-1.5756911,-2.009991,-2.1238169,-2.0137319,-1.6204667,-1.5926304,4,4,3,6,2,5,8,5,4,6,8,4,7,6,2,2,6,5,1,8,-0.11577635,0.5744343
-18.744144,1,0.34144187,3,7,0,23.574733,0.35596341,-1.8337157,-1.4985377,-1.7962886,-1.5727444,-1.4410876,-1.5537972,-1.6876902,-1.5727444,-1.5546399,-1.2870442,6,1,6,4,1,3,6,2,5,5,5,5,5,4,1,3,7,7,5,8,0.3188324,0.87446927
-18.833059,0.94415843,0.53515749,2,3,0,19.288931,0.39288549,-1.8815789,-1.4813444,-1.8544149,-1.5906601,-1.4414708,-1.568716,-1.7108213,-1.5906601,-1.5430094,-1.3038335,5,1,3,5,2,4,6,4,7,7,5,3,5,2,5,1,8,8,4,8,0.35848452,0.48653028
-19.311774,0.93114624,0.76890193,2,3,0,19.317598,0.49175222,-2.0233633,-1.4499394,-2.021425,-1.6526982,-1.4503709,-1.6248471,-1.7816119,-1.6526982,-1.5257931,-1.3558939,8,4,5,4,1,1,7,3,4,6,5,2,3,6,4,2,5,3,3,4,0.40519297,0.60020877
-18.71949,1,1.1083462,1,1,0,18.965824,0.33784876,-1.8112278,-1.5080235,-1.7686188,-1.5649893,-1.44146,-1.5476324,-1.6769705,-1.5649893,-1.561377,-1.2793648,7,4,4,6,4,4,8,3,4,8,1,3,6,4,4,2,8,4,2,7,0.29434125,0.21310692
-18.721655,0.54156804,2.0343436,1,3,0,18.729096,0.2874081,-1.7520322,-1.5380124,-1.6945358,-1.5469736,-1.4443903,-1.53438,-1.6492419,-1.5469736,-1.5837179,-1.2600004,8,3,3,7,2,1,6,2,5,5,7,3,3,4,4,1,6,6,5,8,0.20606096,0.65867444
-19.35551,0.83283819,0.89258945,1,3,0,19.387142,0.49829851,-2.0334649,-1.44864,-2.0330673,-1.657538,-1.4513822,-1.6294306,-1.7867744,-1.657538,-1.5253738,-1.3596889,3,6,5,7,3,1,7,6,3,7,4,1,4,4,3,2,7,7,4,8,0.40545353,0.14379635
-19.298275,0.95392035,0.98694734,2,3,0,19.69867,0.16275632,-1.6271871,-1.6341233,-1.530614,-1.5250862,-1.4630756,-1.5255052,-1.593492,-1.5250862,-1.6617602,-1.2260625,3,4,2,5,4,5,7,7,4,8,7,5,2,4,3,5,5,5,5,6,-0.20138181,0.2957744
-19.298275,0.54523431,1.6091002,1,3,0,20.31806,0.16275632,-1.6271871,-1.6341233,-1.530614,-1.5250862,-1.4630756,-1.5255052,-1.593492,-1.5250862,-1.6617602,-1.2260625,7,3,6,4,2,4,6,3,5,8,3,2,2,4,5,5,6,3,2,8,-0.20138181,0.59678998
-18.707095,0.96058737,0.72532888,2,3,0,19.79066,0.31206618,-1.7803427,-1.5226994,-1.7302045,-1.5551232,-1.4426134,-1.5401454,-1.6624116,-1.5551232,-1.5721373,-1.2690887,8,3,1,7,3,3,5,5,4,7,5,2,2,7,5,4,6,6,4,6,0.25315683,0.33890815
-19.00702,0.78910118,1.2140377,1,1,0,19.039575,0.43758607,-1.9432022,-1.4644537,-1.9278775,-1.6161566,-1.4440414,-1.5911094,-1.7411922,-1.6161566,-1.532706,-1.3261266,5,7,2,1,4,1,7,3,5,7,3,2,6,4,2,1,7,3,4,8,0.38976044,0.58928537
-19.00702,0.50058214,1.187139,1,1,0,19.644565,0.43758607,-1.9432022,-1.4644537,-1.9278775,-1.6161566,-1.4440414,-1.5911094,-1.7411922,-1.6161566,-1.532706,-1.3261266,1,6,5,2,4,3,8,4,5,3,3,5,3,2,4,5,7,3,3,5,0.38976044,0.61320928
-19.031617,0.99895013,0.47581382,2,3,0,19.060778,0.44273933,-1.9505679,-1.4627884,-1.9365638,-1.6193656,-1.4444897,-1.5940031,-1.7448645,-1.6193656,-1.5317848,-1.3288309,5,6,4,6,1,3,3,5,4,6,4,1,4,3,2,4,7,5,4,8,0.39226321,0.37396413
-18.755758,1,0.89630147,1,1,0,18.92198,0.36229517,-1.8417301,-1.4953842,-1.8060921,-1.5756156,-1.4410437,-1.55613,-1.691534,-1.5756156,-1.5524451,-1.289816,4,2,3,2,3,2,6,1,5,6,7,5,3,7,4,3,6,5,2,4,0.32658371,0.93795375
-18.755758,0.45769011,1.6806867,1,1,0,18.982488,0.36229517,-1.8417301,-1.4953842,-1.8060921,-1.5756156,-1.4410437,-1.55613,-1.691534,-1.5756156,-1.5524451,-1.289816,7,2,5,7,3,1,8,4,8,8,2,5,3,3,2,1,7,4,2,5,0.32658371,0.13118798
-18.76525,0.97192281,0.60391771,1,3,0,18.969534,0.26226484,-1.724396,-1.5548984,-1.6592517,-1.5399588,-1.4468687,-1.529886,-1.6365582,-1.5399588,-1.5968289,-1.2515029,6,1,3,2,3,2,4,5,6,6,2,4,6,6,4,5,8,3,4,7,0.14918864,0.33554832
-18.76525,0.68204674,1.0356534,1,3,0,19.417713,0.26226484,-1.724396,-1.5548984,-1.6592517,-1.5399588,-1.4468687,-1.529886,-1.6365582,-1.5399588,-1.5968289,-1.2515029,5,4,3,3,3,5,8,5,3,5,5,6,4,7,6,2,7,4,4,8,0.14918864,0.45646858
-18.866642,0.86600596,0.74230526,2,3,0,19.702707,0.23045531,-1.69121,-1.5780834,-1.6162016,-1.5329611,-1.4509516,-1.5261769,-1.621569,-1.5329611,-1.61531,-1.2419085,5,6,4,5,4,4,6,1,6,6,4,4,6,6,5,4,5,4,5,6,0.062104891,0.5436571
-18.866642,0.85570027,0.92209387,1,1,0,19.309597,0.23045531,-1.69121,-1.5780834,-1.6162016,-1.5329611,-1.4509516,-1.5261769,-1.621569,-1.5329611,-1.61531,-1.2419085,6,4,2,4,6,3,6,6,6,5,3,2,2,5,3,5,6,5,3,8,0.062104891,0.64242708
-19.065632,0.92212853,1.107745,1,1,0,19.13065,0.19268055,-1.6543771,-1.608235,-1.5674193,-1.5273844,-1.457148,-1.5246007,-1.6052705,-1.5273844,-1.6400256,-1.2322716,5,5,4,2,2,4,3,5,2,8,3,3,2,4,6,5,4,4,1,8,-0.068998009,0.16195052
-18.764203,1,1.6096612,1,1,0,18.776256,0.36644793,-1.8470298,-1.4933618,-1.8125589,-1.5775438,-1.4410394,-1.5577104,-1.6940824,-1.5775438,-1.5510506,-1.2916584,8,3,5,3,1,2,8,3,2,5,2,7,1,7,3,4,2,7,4,8,0.33144754,0.81113916
-18.764203,0.00030994221,2.9094577,1,1,0,19.372892,0.36644793,-1.8470298,-1.4933618,-1.8125589,-1.5775438,-1.4410394,-1.5577104,-1.6940824,-1.5775438,-1.5510506,-1.2916584,4,5,2,3,4,2,5,5,7,7,5,3,3,6,4,4,6,5,3,8,0.33144754,0.14738431
-19.194163,0.98693364,0.2992971,2,7,0,19.255393,0.47290402,-1.9947795,-1.4542341,-1.9883099,-1.6392755,-1.4477592,-1.6122668,-1.7670862,-1.6392755,-1.5275027,-1.3452024,3,3,4,5,1,4,3,4,7,4,5,1,5,6,4,2,6,3,6,8,0.40252402,0.13599567
-18.921567,1,0.52368483,2,5,0,19.160131,0.21809447,-1.6788495,-1.587638,-1.5999569,-1.5308089,-1.4528195,-1.5253251,-1.616058,-1.5308089,-1.6230653,-1.2385405,2,2,4,4,2,4,8,1,5,5,2,3,3,5,4,3,6,6,3,8,0.022911159,0.77521084
-18.71479,0.99406537,0.94169796,1,3,0,18.84393,0.29440291,-1.7599414,-1.5335425,-1.7045472,-1.5491576,-1.44382,-1.5358781,-1.6529037,-1.5491576,-1.5803045,-1.2625036,6,1,8,1,5,1,7,4,2,5,3,4,2,6,4,3,3,4,6,8,0.22024255,0.90440156
-18.71479,0.073027065,1.6493192,1,1,0,18.976928,0.29440291,-1.7599414,-1.5335425,-1.7045472,-1.5491576,-1.44382,-1.5358781,-1.6529037,-1.5491576,-1.5803045,-1.2625036,5,4,3,2,7,4,5,7,7,7,6,4,4,3,1,5,5,3,5,6,0.22024255,0.18392881
-19.089959,0.99116807,0.22489223,2,7,0,19.254999,0.18904961,-1.6509842,-1.6112821,-1.562866,-1.5270054,-1.4578196,-1.5246094,-1.6037884,-1.5270054,-1.6425608,-1.2314496,7,2,4,3,3,2,7,1,6,8,1,6,5,5,5,5,4,7,2,7,-0.083534758,0.70999646
-19.022317,1,0.39180908,1,1,0,19.087425,0.1995436,-1.6608611,-1.6025467,-1.5760912,-1.5281763,-1.4559147,-1.5246606,-1.6081122,-1.5281763,-1.6353104,-1.2338762,3,4,5,8,3,3,6,4,4,6,4,6,2,4,2,5,8,5,5,8,-0.04253628,0.12648016
-19.164847,0.98030038,0.69279972,1,1,0,19.183563,0.17871404,-1.6414677,-1.6200981,-1.5500367,-1.5260777,-1.4598035,-1.5247873,-1.5996499,-1.5260777,-1.6499312,-1.2292125,8,1,7,2,3,3,6,3,1,5,4,2,2,5,1,5,7,3,5,7,-0.12709274,0.85711076
-18.790338,0.91641173,1.1508844,1,3,0,18.940859,0.37769728,-1.8615594,-1.4880665,-1.8302239,-1.5829472,-1.4411257,-1.5621931,-1.7010956,-1.5829472,-1.5474523,-1.2967452,3,4,1,4,5,3,6,6,3,5,6,4,1,8,2,5,6,4,5,5,0.3437686,0.19064843
-21.131585,0.047621011,1.5985671,2,3,0,22.421154,0.67530009,-2.3419993,-1.4538428,-2.3757794,-1.824267,-1.5005812,-1.7985509,-1.9510123,-1.824267,-1.5489679,-1.4774131,4,2,4,4,1,2,6,5,3,6,6,2,5,3,2,1,3,3,1,5,0.27430749,0.64098473
-18.748162,0.99881575,0.2208441,3,9,0,21.54155,0.27021892,-1.7330045,-1.5494184,-1.6702946,-1.5420364,-1.4460125,-1.5311576,-1.6404902,-1.5420364,-1.5925387,-1.2541054,3,5,4,2,5,4,8,5,3,7,6,3,4,1,2,3,6,3,7,6,0.16822595,0.62528889
-18.863026,0.99760302,0.38395266,3,7,0,18.865116,0.4020848,-1.8939301,-1.4775134,-1.8692571,-1.5955656,-1.4418089,-1.5729322,-1.7168569,-1.5955656,-1.5405505,-1.3082483,1,4,3,4,1,4,7,4,4,7,5,4,3,5,3,4,7,4,4,6,0.36636086,0.83558783
-18.860782,1,0.6596012,1,1,0,18.898204,0.40142713,-1.8930414,-1.4777812,-1.8681912,-1.595209,-1.4417814,-1.5726241,-1.7164217,-1.595209,-1.5407205,-1.3079297,5,1,3,6,3,2,7,7,6,4,5,2,3,3,4,2,6,3,5,7,0.3658232,0.46981796
-20.790408,0.32129881,1.1305492,2,3,0,21.036931,0.6490225,-2.2917237,-1.4478393,-2.3214448,-1.7950136,-1.4904532,-1.7675634,-1.9234428,-1.7950136,-1.541107,-1.4581641,6,3,4,4,2,2,7,3,3,6,4,2,3,4,1,2,4,4,5,5,0.31243842,0.53524174
-21.09584,0.98921719,0.3361893,1,1,0,21.112731,0.67265234,-2.3368598,-1.4531487,-2.3702489,-1.8212456,-1.4995129,-1.7953281,-1.9481804,-1.8212456,-1.5481048,-1.4754466,8,1,6,1,3,2,7,2,2,5,7,2,3,6,1,5,8,2,1,6,0.27850031,0.77097752
-21.804818,0.87749803,0.55879223,2,5,0,25.370608,0.041310406,-1.5350522,-1.7572395,-1.3987389,-1.5353562,-1.4960849,-1.5484032,-1.5555982,-1.5353562,-1.7700459,-1.2152858,4,3,2,3,6,1,5,4,2,7,2,3,4,5,5,2,6,4,7,8,-1.4370693,0.25814541
-21.187164,1,0.69472261,1,1,0,21.807431,0.056621362,-1.5450396,-1.7401238,-1.4137541,-1.5322984,-1.4911485,-1.5438296,-1.5595209,-1.5322984,-1.7545787,-1.2152587,3,3,3,4,5,2,7,2,6,8,5,4,3,7,3,6,7,8,2,6,-1.137897,0.14996465
-19.780447,1,1.1709015,1,1,0,21.04663,0.12067036,-1.5919324,-1.6735128,-1.4816708,-1.5250544,-1.472907,-1.5299637,-1.578584,-1.5250544,-1.695597,-1.2195941,6,2,2,7,4,5,8,3,7,5,4,5,2,2,3,8,4,2,5,7,-0.45152874,0.58806841
-19.739355,0.23589358,1.9582284,2,3,0,20.201967,0.54833073,-2.1136729,-1.4420593,-2.1244558,-1.6975868,-1.4609296,-1.6682032,-1.82828,-1.6975868,-1.525163,-1.3900544,4,3,7,2,3,6,5,5,3,4,3,2,3,5,7,5,5,4,4,5,0.39607775,0.66873174
-18.850407,0.83728664,0.49065599,1,3,0,22.326942,0.2345629,-1.6953838,-1.5749757,-1.6216601,-1.5337466,-1.4503655,-1.5265327,-1.623439,-1.5337466,-1.6128041,-1.243073,8,4,5,3,3,2,7,3,3,4,3,7,2,4,2,7,7,6,2,6,0.074419747,0.73742368
-20.183325,0.81755422,0.54947695,1,3,0,21.266349,0.096180536,-1.5730336,-1.6980325,-1.4547472,-1.5267758,-1.4794192,-1.5342599,-1.5707845,-1.5267758,-1.7170702,-1.2171187,4,3,7,2,5,3,4,5,5,7,4,7,2,5,6,2,4,3,2,6,-0.65089445,0.3364011
-18.965525,0.9922567,0.58543262,3,7,0,20.173785,0.20947496,-1.6704074,-1.5944803,-1.5887908,-1.5294963,-1.4542143,-1.5249249,-1.6123178,-1.5294963,-1.6286642,-1.2363143,7,1,6,1,2,2,5,1,5,4,2,4,3,3,1,2,5,5,7,5,-0.0064495531,0.95602424
-18.798808,1,0.95139122,1,1,0,18.927145,0.24969198,-1.711042,-1.5638202,-1.6420226,-1.5369421,-1.448357,-1.5281577,-1.6304937,-1.5369421,-1.6038801,-1.2475535,3,3,5,6,1,6,7,3,3,6,3,4,4,4,2,4,5,5,3,8,0.11696082,0.54407587
-20.107271,0.43815799,1.5644792,1,1,0,20.271971,0.10029194,-1.576123,-1.693834,-1.4591857,-1.5263967,-1.4782857,-1.5334516,-1.5720495,-1.5263967,-1.7133726,-1.2174655,3,2,6,3,1,3,6,5,1,4,5,4,5,7,2,5,6,6,5,8,-0.61359542,0.65258061
-19.835523,1,0.66750449,1,1,0,20.131416,0.11688553,-1.5889338,-1.6772254,-1.477434,-1.5252364,-1.4738757,-1.5305461,-1.5773369,-1.5252364,-1.6988292,-1.2191478,4,1,6,2,1,1,6,2,6,5,7,3,4,5,4,5,6,4,6,6,-0.47910115,0.67304183
-19.14306,1,1.09272,1,1,0,19.721879,0.18160155,-1.6441053,-1.6176139,-1.5536012,-1.5263143,-1.4592385,-1.5247148,-1.6007941,-1.5263143,-1.6478491,-1.2298221,3,3,7,7,1,1,6,4,4,5,1,2,3,6,5,3,6,6,5,8,-0.11458677,0.91140984
-19.14306,0.0025752408,1.776901,1,1,0,19.648799,0.18160155,-1.6441053,-1.6176139,-1.5536012,-1.5263143,-1.4592385,-1.5247148,-1.6007941,-1.5263143,-1.6478491,-1.2298221,5,4,4,6,5,4,8,5,5,7,5,6,2,4,1,4,4,5,6,7,-0.11458677,0.8054601
-18.810544,0.99126639,0.27780176,2,7,0,19.888345,0.24590511,-1.7070806,-1.5665695,-1.6368878,-1.5360977,-1.4488375,-1.5277044,-1.6287031,-1.5360977,-1.6060688,-1.246404,6,4,2,4,3,3,7,4,2,4,4,1,4,5,6,3,4,6,6,6,0.10671284,0.46070122
-18.707897,0.9889813,0.44373362,1,3,0,19.036201,0.31965815,-1.7893006,-1.5182354,-1.7413975,-1.5578855,-1.4421984,-1.5421942,-1.6666142,-1.5578855,-1.5688258,-1.2720336,5,5,5,6,6,4,6,5,3,3,6,5,2,5,2,2,6,5,4,5,0.26609645,0.7312007
-18.906395,0.94543499,0.70071193,1,3,0,19.002458,0.22130684,-1.682033,-1.5851257,-1.6041524,-1.5313376,-1.452319,-1.5255149,-1.6174735,-1.5313376,-1.6210189,-1.239396,6,2,6,4,2,4,8,6,4,4,4,7,5,5,4,3,3,6,4,8,0.033416132,0.44376361
