# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:51:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4366c16c.json
# init = 2 (Default)
# random
#   seed = 976829164
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080951-2-66431c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080951-2-877b8d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.188038,0.35780995,1,2,3,0,21.162568,0.17573691,-1.6387655,-1.6226767,-1.5463775,-1.5258521,-1.4603948,-1.5248804,-1.5984797,-1.5258521,-1.6520966,-1.2285966,7,2,3,5,3,3,5,8,5,4,5,4,2,4,3,5,2,4,3,6,-0.14027326,0.52082548
-19.188038,4.5199547e-12,4.4754334,1,1,0,19.195336,0.17573691,-1.6387655,-1.6226767,-1.5463775,-1.5258521,-1.4603948,-1.5248804,-1.5984797,-1.5258521,-1.6520966,-1.2285966,6,5,2,3,4,2,8,1,3,7,2,4,3,6,3,1,3,5,5,8,-0.14027326,0.58600663
-19.016992,0.99925038,0.53510894,3,7,0,19.249721,0.43969874,-1.9462153,-1.4637639,-1.9314332,-1.6174654,-1.4442213,-1.5922878,-1.7426934,-1.6174654,-1.5323217,-1.327232,5,1,4,5,3,3,6,5,6,8,7,6,5,2,3,2,5,5,4,2,0.39081333,0.21131361
-18.896763,0.89199516,0.6209346,1,3,0,19.840712,0.22342018,-1.6841383,-1.5834841,-1.6069225,-1.5316972,-1.4519955,-1.5256519,-1.6184111,-1.5316972,-1.6196844,-1.2399664,4,3,6,4,1,3,4,7,4,7,3,5,4,3,3,2,3,4,5,5,0.040202552,0.43589341
-19.035403,0.98004395,0.66073711,1,1,0,19.039294,0.19741209,-1.6588374,-1.6043034,-1.5733887,-1.5279198,-1.4562927,-1.5246313,-1.607224,-1.5279198,-1.6367641,-1.2333707,4,6,4,4,1,4,7,3,5,8,1,4,1,7,5,5,6,4,3,7,-0.050616341,0.5387763
-19.549156,0.8763355,1.0042125,1,1,0,19.588468,0.13853774,-1.606472,-1.6563655,-1.5020412,-1.5246085,-1.4685217,-1.527618,-1.584679,-1.5246085,-1.6807615,-1.2220068,3,3,2,6,3,1,5,6,5,7,3,8,1,8,5,5,3,8,4,7,-0.33397706,0.032843722
-18.862287,1,1.1923458,1,1,0,19.315257,0.23153315,-1.6923021,-1.5772647,-1.617631,-1.5331638,-1.4507961,-1.5262668,-1.6220578,-1.5331638,-1.614649,-1.2422119,8,6,4,2,1,2,5,3,4,5,4,4,2,8,1,3,6,5,6,6,0.065369397,0.67806721
-18.862287,0.00043909553,2.1450822,1,1,0,19.086066,0.23153315,-1.6923021,-1.5772647,-1.617631,-1.5331638,-1.4507961,-1.5262668,-1.6220578,-1.5331638,-1.614649,-1.2422119,5,6,6,4,2,3,7,2,3,8,3,2,4,2,5,6,8,3,8,4,0.065369397,0.72716294
-20.032811,0.99265555,0.17127918,3,9,0,20.150278,0.10452685,-1.5793404,-1.6895439,-1.4637921,-1.5260443,-1.477135,-1.5326556,-1.5733711,-1.5260443,-1.7096032,-1.217852,7,5,7,6,5,4,7,3,4,3,3,6,2,6,2,6,4,3,5,7,-0.57695487,0.2964839
-19.349234,0.99516008,0.30858976,2,5,0,20.825913,0.15731127,-1.6224289,-1.6390235,-1.5240945,-1.5248707,-1.4642498,-1.5258729,-1.5914549,-1.5248707,-1.6659217,-1.2250735,4,5,5,1,4,3,8,2,7,6,4,5,4,7,3,2,3,6,7,7,-0.22892696,0.3843675
