# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:52:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c238416d4.json
# init = 2 (Default)
# random
#   seed = 785106038
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080952-1-63d039.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080952-1-656909.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.080593,1,2,1,1,0,18.366571,0.64643167,-1.3788691,-1.5874815,-1.2860074,-1.5220856,-1.4473526,-1.5220856,-1.4895111,-1.4997525,-1.9207883,-1.4747261,5,6,5,5,1,5,5,3,7,1,3,6,3,2,2,5,7,3,8,4,0.31579317,0.56969334
-18.080593,1.1091291e-54,14.38551,1,2,1,18.115277,0.64643167,-1.3788691,-1.5874815,-1.2860074,-1.5220856,-1.4473526,-1.5220856,-1.4895111,-1.4997525,-1.9207883,-1.4747261,3,5,2,3,3,6,5,3,6,2,2,7,1,4,2,8,5,2,5,1,0.31579317,0.77328687
-18.080593,0.16887369,2.4311673,1,1,0,18.294033,0.64643167,-1.3788691,-1.5874815,-1.2860074,-1.5220856,-1.4473526,-1.5220856,-1.4895111,-1.4997525,-1.9207883,-1.4747261,4,2,2,2,7,4,7,2,5,4,2,6,3,1,1,6,8,2,6,2,0.31579317,0.359749
-18.261277,0.97669064,0.37606652,1,3,0,18.546553,0.72015271,-1.3169896,-1.6169636,-1.2573622,-1.48397,-1.4687471,-1.48397,-1.5203545,-1.5429557,-2.0008748,-1.3654832,2,8,3,4,6,4,7,3,5,2,2,7,1,3,2,3,8,5,6,2,0.18995627,0.52411294
-18.226287,1,0.49160081,1,1,0,18.26393,0.71104177,-1.3239694,-1.6129914,-1.26055,-1.4880614,-1.4652288,-1.4880614,-1.5160772,-1.5370132,-1.9904522,-1.378888,5,7,1,2,1,4,8,5,5,2,2,7,3,4,1,4,5,2,7,3,0.20926223,0.78672353
-18.098704,0.98741234,0.78282202,1,3,0,18.28542,0.57786338,-1.4468661,-1.5653656,-1.3181838,-1.5675749,-1.4410399,-1.5675749,-1.4681198,-1.469798,-1.8545331,-1.5779596,1,7,3,5,1,5,7,2,7,6,8,5,2,4,2,3,8,4,5,2,0.38091539,0.56122884
-20.408509,0.32332359,1.2972564,2,3,0,20.530028,0.24549045,-1.9005163,-1.5254502,-1.5389749,-1.9201086,-1.5668723,-1.9201086,-1.448891,-1.4843654,-1.6285081,-2.1023444,2,5,1,4,7,4,7,2,4,3,4,3,5,6,7,1,7,4,6,3,0.1055749,0.27446053
-21.099062,0.99655406,0.28440661,3,7,0,21.402253,0.19840144,-1.9802521,-1.5283652,-1.578026,-1.9878582,-1.6034869,-1.9878582,-1.4561167,-1.5121435,-1.6076356,-2.1800994,2,8,2,6,4,6,7,1,4,2,3,7,3,7,3,2,4,1,4,6,-0.046850704,0.60817715
-20.461744,0.99842427,0.50966245,2,3,0,21.646466,0.2415255,-1.9070856,-1.5256159,-1.5421934,-1.9256382,-1.569785,-1.9256382,-1.4494118,-1.4864137,-1.6266529,-2.1088564,6,8,2,3,4,5,7,2,8,7,5,7,4,5,4,2,7,2,7,3,0.094533162,0.60401035
-19.828134,1,0.94007246,1,1,0,20.754676,0.29319064,-1.82357,-1.5246129,-1.5012723,-1.8560776,-1.53431,-1.8560776,-1.443915,-1.463681,-1.6522649,-2.0244991,2,5,2,4,2,5,8,3,3,2,2,5,3,4,3,5,6,6,6,5,0.21783293,0.68708257
