# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:52:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c68165e98.json
# init = 2 (Default)
# random
#   seed = 900472242
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080952-1-6c2d30.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080952-1-6005a1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-17.790453,0.048336708,2,2,3,0,17.790462,0.48406374,-0.98837524,-1.554841,-1.2553383,-1.5246938,-2.0611316,-1.7218146,-1.2553383,-2.0647976,-1.3701208,-1.2193808,8,1,7,2,6,1,8,3,2,6,7,4,8,3,5,4,7,3,1,8,0.40444873,0.9221325
-17.790453,5.2677452e-05,2.5495696,1,1,0,17.808888,0.48406374,-0.98837524,-1.554841,-1.2553383,-1.5246938,-2.0611316,-1.7218146,-1.2553383,-2.0647976,-1.3701208,-1.2193808,8,4,8,3,6,4,8,8,4,5,8,4,8,3,4,6,5,6,2,8,0.40444873,0.70121935
-17.718066,1,0.25805147,1,1,0,17.805851,0.49174155,-0.97771475,-1.5453826,-1.2515424,-1.5249091,-2.0490073,-1.7099223,-1.2515424,-2.0509202,-1.3655428,-1.2184479,8,3,5,3,2,1,6,6,2,8,8,3,8,3,3,5,8,4,1,6,0.40519226,0.79750001
-17.868382,0.99813918,0.27279273,2,3,0,17.873726,0.47602073,-0.99956094,-1.5648649,-1.2594928,-1.5246021,-2.0739671,-1.7342952,-1.2594928,-2.0794426,-1.3749772,-1.2204919,6,1,8,7,3,1,6,3,1,5,6,6,5,4,6,6,7,3,4,7,0.40316244,0.73787176
-16.814917,0.98155257,0.37044601,1,3,0,18.385634,0.61801416,-0.80476543,-1.4058789,-1.2156975,-1.5461494,-1.8671652,-1.5173171,-1.2156975,-1.8370149,-1.2987212,-1.2192785,8,4,5,3,6,3,7,3,4,7,7,2,8,7,4,5,7,3,1,4,0.34814382,0.68268029
-18.69848,0.59277664,0.55149798,3,7,0,21.264666,0.93985933,-0.38299954,-1.2166655,-1.5220702,-1.7510989,-1.5474024,-1.0500828,-1.5220702,-1.4172734,-1.2153129,-1.3273162,8,3,5,2,3,4,8,6,1,6,8,3,8,4,2,1,8,4,1,5,-1.0813345,0.66767566
-18.471808,0.9999876,0.27041813,3,7,0,18.739268,0.93266911,-0.39214053,-1.2175277,-1.5031469,-1.7440768,-1.5523075,-1.0601738,-1.5031469,-1.4245419,-1.2154924,-1.3235719,8,2,5,7,1,3,6,3,3,8,7,3,8,3,3,3,7,3,3,7,-0.97608142,0.32812669
-17.620547,1,0.47464925,2,3,0,18.50932,0.89495232,-0.44029334,-1.2251198,-1.4185824,-1.7091423,-1.5797385,-1.1133562,-1.4185824,-1.4643611,-1.2179016,-1.3048175,6,4,8,3,5,5,8,2,1,6,8,5,8,3,3,3,7,2,3,7,-0.57256628,0.78537192
-16.77737,1,0.86410443,1,3,0,17.431697,0.81721194,-0.54063779,-1.2554319,-1.3029973,-1.6469987,-1.6451938,-1.2243195,-1.3029973,-1.5550704,-1.230076,-1.2710773,7,5,7,4,6,5,8,3,3,7,7,2,6,6,5,1,8,3,1,5,-0.10952529,0.56994106
-16.77737,0.014266265,1.6058862,1,1,0,17.096283,0.81721194,-0.54063779,-1.2554319,-1.3029973,-1.6469987,-1.6451938,-1.2243195,-1.3029973,-1.5550704,-1.230076,-1.2710773,7,2,8,6,4,1,4,3,1,8,8,1,8,3,8,5,6,1,6,5,-0.10952529,0.76416602
-17.249848,0.99655043,0.13351107,2,7,0,17.523356,0.86962989,-0.47281553,-1.2329356,-1.3734423,-1.6874566,-1.5997472,-1.1492995,-1.3734423,-1.492654,-1.2208417,-1.293083,8,2,8,6,2,2,5,4,4,4,8,2,8,3,5,2,8,3,3,4,-0.38530595,0.54370396
-17.235833,1,0.24961575,1,1,0,17.258831,0.86849271,-0.4742797,-1.2333351,-1.3716033,-1.6865157,-1.6006756,-1.1509181,-1.3716033,-1.4939534,-1.2209977,-1.2925726,8,2,8,4,4,1,7,6,1,4,7,3,7,4,2,2,8,4,3,7,-0.37792962,0.83496666
-17.367562,0.99769202,0.4738386,2,3,0,17.380098,0.87858688,-0.46129399,-1.2299327,-1.3884719,-1.6949663,-1.5925243,-1.1365637,-1.3884719,-1.4825055,-1.2196843,-1.2971534,8,1,7,6,5,3,3,3,1,3,7,1,8,5,3,3,7,1,4,8,-0.44623732,0.89314735
-17.026725,1,0.89262231,2,3,0,17.369459,0.84923558,-0.49912249,-1.2407112,-1.3426881,-1.6710101,-1.6167854,-1.1783881,-1.3426881,-1.5163289,-1.2239433,-1.2841484,7,3,8,5,3,4,6,2,4,7,8,1,6,6,5,3,7,2,2,6,-0.26369596,0.77500557
-16.52863,1,1.6875603,1,1,0,16.616482,0.72501777,-0.66160091,-1.3133426,-1.234409,-1.5900327,-1.7382191,-1.3583362,-1.234409,-1.6769605,-1.2557021,-1.2404016,7,1,7,4,5,5,5,1,2,6,6,5,4,4,5,6,8,6,1,5,0.17915155,0.69466259
-16.52863,0.64823312,3.1714241,1,1,0,16.537846,0.72501777,-0.66160091,-1.3133426,-1.234409,-1.5900327,-1.7382191,-1.3583362,-1.234409,-1.6769605,-1.2557021,-1.2404016,7,7,7,6,7,1,6,3,4,7,6,2,7,2,5,5,6,3,1,8,0.17915155,0.34426249
-16.52863,0.24294086,2.0040319,1,1,0,16.669428,0.72501777,-0.66160091,-1.3133426,-1.234409,-1.5900327,-1.7382191,-1.3583362,-1.234409,-1.6769605,-1.2557021,-1.2404016,6,6,2,3,6,3,7,7,3,4,8,3,5,6,2,4,8,3,2,8,0.17915155,0.42083058
-16.58895,0.99614299,0.3699873,2,5,0,16.612184,0.77416301,-0.59685078,-1.2797403,-1.2635436,-1.6181699,-1.6865568,-1.2865639,-1.2635436,-1.6101003,-1.2406261,-1.2554255,5,3,7,6,2,2,6,4,3,8,8,5,7,4,4,5,7,3,5,6,0.04784482,0.008562838
