# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:52:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c68f13ab.json
# init = 2 (Default)
# random
#   seed = 2131044213
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080952-2-12b32b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080952-2-92c988.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.591276,0.66796431,2,1,3,0,18.670887,0.44208367,-1.6084502,-1.5359491,-1.3961418,-1.6853005,-1.462997,-1.6853005,-1.4444309,-1.4414903,-1.7443953,-1.7872156,6,5,5,4,5,1,8,1,6,2,2,4,2,3,2,2,6,2,7,2,0.39195708,0.61949899
-18.591276,1.239759e-27,7.8657682,1,2,1,20.480001,0.44208367,-1.6084502,-1.5359491,-1.3961418,-1.6853005,-1.462997,-1.6853005,-1.4444309,-1.4414903,-1.7443953,-1.7872156,2,5,2,7,3,8,7,5,6,2,3,2,3,5,2,4,7,2,7,3,0.39195708,0.94084436
-18.35864,1,1.1115505,1,1,0,18.652783,0.4881596,-1.5497818,-1.5438414,-1.3676716,-1.6412793,-1.4506949,-1.6412793,-1.4498389,-1.44627,-1.7788046,-1.7154678,4,7,4,2,1,3,7,4,3,5,5,5,4,3,5,5,5,3,6,5,0.40490417,0.64669505
-18.35864,0.39395111,1.4218151,1,3,0,18.670143,0.4881596,-1.5497818,-1.5438414,-1.3676716,-1.6412793,-1.4506949,-1.6412793,-1.4498389,-1.44627,-1.7788046,-1.7154678,3,6,7,2,2,6,4,2,7,5,3,8,3,2,2,6,7,5,7,3,0.40490417,0.28671398
-18.332688,0.99778891,0.387095,2,3,0,18.443205,0.4943008,-1.5422539,-1.5450536,-1.3640295,-1.6357267,-1.4494217,-1.6357267,-1.4507582,-1.4472914,-1.7836145,-1.705963,3,7,2,1,1,8,7,4,8,3,2,3,3,3,4,5,5,3,7,1,0.40533518,0.9129513
-18.115953,0.96616772,0.60602445,1,3,0,18.704894,0.67101337,-1.3568914,-1.5966433,-1.275745,-1.508115,-1.4527292,-1.508115,-1.4988571,-1.512913,-1.9464336,-1.4381015,4,6,4,3,3,4,8,3,7,1,3,5,4,5,2,5,8,5,7,4,0.28105509,0.55675341
-18.45015,0.70695032,0.93455202,2,3,0,18.975093,0.46840947,-1.5744592,-1.5401995,-1.3796296,-1.6596387,-1.4553783,-1.6596387,-1.4472015,-1.4435927,-1.7636957,-1.7461275,6,6,4,7,1,7,7,2,8,2,5,4,3,4,3,8,6,1,6,3,0.40146527,0.28294681
-18.735151,0.94375569,0.67258007,1,1,0,18.762736,0.4187037,-1.6396751,-1.532748,-1.411345,-1.7092298,-1.4710568,-1.7092298,-1.4426691,-1.4410636,-1.7280409,-1.8239196,3,8,3,2,1,5,6,3,8,1,5,7,2,5,3,6,5,2,7,1,0.37867303,0.84045365
-18.735151,0.8137402,1.0295165,1,1,0,19.338532,0.4187037,-1.6396751,-1.532748,-1.411345,-1.7092298,-1.4710568,-1.7092298,-1.4426691,-1.4410636,-1.7280409,-1.8239196,5,4,2,7,8,2,7,4,6,3,2,5,3,5,2,6,6,5,7,3,0.37867303,0.15248187
-18.476765,1,1.0634144,1,1,0,18.834025,0.46311596,-1.5811938,-1.5392896,-1.3828976,-1.6646895,-1.4567849,-1.6646895,-1.4465765,-1.4430342,-1.7597384,-1.754369,4,2,3,7,3,6,8,2,7,2,1,5,3,4,3,6,8,6,5,3,0.40000852,0.46139375
