# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:52:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c439980ad.json
# init = 2 (Default)
# random
#   seed = 30175918
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080952-2-678837.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080952-2-709110.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.100011,0.0012438055,4,1,1,0,18.526229,0.57696887,-1.447816,-1.56511,-1.3186369,-1.568231,-1.4410387,-1.568231,-1.4678846,-1.4694743,-1.8537183,-1.5793169,4,4,2,2,1,3,6,2,6,1,4,8,4,2,3,7,8,3,8,3,0.38148299,0.5299376
-18.198975,0.7588505,2.3403514,1,1,0,18.500462,0.53216017,-1.4973922,-1.5533691,-1.3423899,-1.6031364,-1.4435293,-1.6031364,-1.4574873,-1.4555266,-1.8144632,-1.6476648,3,5,4,4,4,4,6,1,5,3,5,3,4,2,1,6,7,2,6,5,0.40131942,0.41825173
-18.198975,0.27713839,1.3811388,2,3,0,18.670773,0.53216017,-1.4973922,-1.5533691,-1.3423899,-1.6031364,-1.4435293,-1.6031364,-1.4574873,-1.4555266,-1.8144632,-1.6476648,1,8,4,6,2,5,7,2,3,2,4,4,3,6,4,6,7,5,4,1,0.40131942,0.72513219
-18.882128,0.98117418,0.2648022,2,5,0,19.075306,0.3973437,-1.6690451,-1.5302913,-1.4256698,-1.7320286,-1.479465,-1.7320286,-1.4416224,-1.4418909,-1.7137326,-1.8576302,3,4,6,3,4,4,5,3,5,3,2,5,5,5,3,4,7,7,6,2,0.36239762,0.43020821
-18.108206,0.98806836,0.34184589,2,7,0,19.544712,0.66679434,-1.3605702,-1.5950238,-1.277457,-1.510424,-1.4516847,-1.510424,-1.4971878,-1.5105649,-1.9419585,-1.4443733,3,6,5,5,7,4,6,1,6,5,1,6,4,8,4,6,4,4,7,2,0.28749047,0.27592724
-18.14968,0.98472043,0.51709252,2,3,0,18.288327,0.68614902,-1.3440177,-1.602615,-1.2697749,-1.5001368,-1.4568991,-1.5001368,-1.5050718,-1.5216394,-1.9627435,-1.41565,3,6,1,4,3,5,7,3,4,5,1,6,3,5,3,6,8,3,6,3,0.25626202,0.51891572
-18.841738,0.83953392,0.8404126,1,3,0,18.858207,0.80943583,-1.2594496,-1.6609719,-1.2317902,-1.4534478,-1.517523,-1.4534478,-1.5697598,-1.6100079,-2.1114521,-1.2355203,1,3,1,3,5,6,3,3,6,7,2,1,1,5,3,4,5,8,6,1,-0.0774246,0.40498885
-18.621275,1,0.91221152,1,1,0,18.910144,0.78329846,-1.2741673,-1.6471177,-1.2381739,-1.460553,-1.5004384,-1.460553,-1.5538394,-1.5887338,-2.0774401,-1.2733066,2,4,2,2,1,7,8,4,7,3,2,8,1,4,1,6,6,3,8,2,0.018283709,0.76518387
-19.130816,0.71299227,1.6711981,1,1,0,19.776024,0.8368476,-1.2460506,-1.6763899,-1.2261361,-1.4476762,-1.5381313,-1.4476762,-1.5878312,-1.6337691,-2.1486684,-1.1961189,5,6,1,4,2,3,8,1,7,3,3,6,1,1,2,8,8,3,5,1,-0.19942439,0.49757273
-18.751339,1,1.2587609,1,1,0,19.326314,0.79940371,-1.2648801,-1.6555575,-1.2341281,-1.455992,-1.5106768,-1.455992,-1.5635008,-1.6016824,-2.0982306,-1.2499984,3,3,4,4,3,6,7,3,4,3,3,6,2,1,3,5,5,6,7,3,-0.038590618,0.1839358
