# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:53:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c429e2053.json
# init = 2 (Default)
# random
#   seed = 1140329716
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080953-1-03f2ac.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080953-1-05aed3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.09172,0.9093691,0.5,3,7,0,19.190098,0.95043464,-0.36957742,-1.2157557,-1.551795,-1.7616402,-1.5403778,-1.0352685,-1.551795,-1.4067744,-1.2152178,-1.3329199,8,1,8,6,3,5,6,4,3,5,8,1,8,3,5,1,8,2,1,5,-1.2635394,0.72368956
-19.09172,5.0941504e-114,12.200025,1,3,0,19.689171,0.95043464,-0.36957742,-1.2157557,-1.551795,-1.7616402,-1.5403778,-1.0352685,-1.551795,-1.4067744,-1.2152178,-1.3329199,7,4,4,7,4,2,7,7,5,4,8,3,8,3,4,2,7,4,2,6,-1.2635394,0.081736455
-19.09172,0.66729798,1.9635469,1,3,0,19.495258,0.95043464,-0.36957742,-1.2157557,-1.551795,-1.7616402,-1.5403778,-1.0352685,-1.551795,-1.4067744,-1.2152178,-1.3329199,5,2,5,4,4,6,6,6,4,8,8,3,8,4,7,2,4,1,2,6,-1.2635394,0.73299382
-17.774972,0.91580585,1.1147779,2,3,0,19.011287,0.48568852,-0.98611786,-1.5528304,-1.2545211,-1.524729,-2.0585554,-1.7192962,-1.2545211,-2.0618525,-1.3691473,-1.219173,8,3,5,8,1,4,7,5,4,8,6,4,8,6,4,4,5,5,4,7,0.4046455,0.39741644
-17.774972,0.75953205,1.3245585,1,3,0,17.953184,0.48568852,-0.98611786,-1.5528304,-1.2545211,-1.524729,-2.0585554,-1.7192962,-1.2545211,-2.0618525,-1.3691473,-1.219173,8,3,8,4,3,3,6,2,3,8,6,4,8,4,2,3,7,3,2,7,0.4046455,0.65160498
-17.436762,1,1.0751872,2,3,0,17.445972,0.88341465,-0.45509206,-1.2284213,-1.3969872,-1.6990869,-1.5886971,-1.1297092,-1.3969872,-1.4770992,-1.2191134,-1.299384,5,5,7,4,3,2,6,4,6,8,8,2,8,2,1,2,8,2,1,8,-0.4813328,0.36825264
-16.718824,1,1.8676853,1,1,0,17.305122,0.80694557,-0.55400118,-1.2607718,-1.2922468,-1.6397662,-1.654728,-1.2391113,-1.2922468,-1.5678895,-1.2323573,-1.2671411,6,5,6,5,1,6,6,5,1,6,8,2,7,5,5,4,7,4,4,5,-0.067522715,0.26355928
-16.718824,2.9825534e-07,3.3851523,1,1,0,16.736934,0.80694557,-0.55400118,-1.2607718,-1.2922468,-1.6397662,-1.654728,-1.2391113,-1.2922468,-1.5678895,-1.2323573,-1.2671411,6,4,7,4,7,1,7,4,1,5,7,2,8,3,6,4,3,4,3,8,-0.067522715,0.60492224
-16.536157,0.99272376,0.27111444,4,15,0,17.290786,0.71114654,-0.67998946,-1.323888,-1.2288049,-1.5830042,-1.7536586,-1.3787338,-1.2288049,-1.6965975,-1.2605127,-1.2367381,7,5,4,1,6,6,5,6,1,8,8,4,7,6,4,2,7,5,2,7,0.20904693,0.11494299
-16.542756,0.99605198,0.48965215,2,3,0,16.580248,0.70487283,-0.68832274,-1.3288053,-1.2266146,-1.5799569,-1.7607658,-1.3879796,-1.2266146,-1.7055886,-1.2627662,-1.2351675,8,1,7,7,2,4,5,5,3,8,6,2,8,5,3,1,8,3,3,8,0.22167267,0.40106716
-17.899352,0.70042289,0.9063986,2,3,0,18.187615,0.9096656,-0.42146822,-1.2215616,-1.4488596,-1.7223926,-1.5686989,-1.0925597,-1.4488596,-1.4484929,-1.2166742,-1.3119545,8,3,8,6,3,4,5,4,2,8,5,3,8,1,6,1,8,1,1,8,-0.70715573,0.26232795
-17.806179,0.99368867,0.66359334,2,7,0,17.949656,0.48242267,-0.99065603,-1.5568766,-1.2561713,-1.524664,-2.0637393,-1.7243592,-1.2561713,-2.0677768,-1.3711067,-1.2195963,8,3,8,2,3,1,8,4,2,5,8,1,7,3,3,5,8,6,3,6,0.40422849,0.69241952
-16.529692,1,1.2312623,1,1,0,16.91366,0.7212476,-0.66659393,-1.3161639,-1.2327798,-1.5880827,-1.7423781,-1.3638741,-1.2327798,-1.6822647,-1.256986,-1.2393801,5,2,5,6,1,2,6,5,1,8,6,4,6,4,6,4,8,5,2,5,0.18755534,0.084146184
-16.529692,0.11328871,2.3264686,1,1,0,16.644279,0.7212476,-0.66659393,-1.3161639,-1.2327798,-1.5880827,-1.7423781,-1.3638741,-1.2327798,-1.6822647,-1.256986,-1.2393801,5,4,7,4,4,2,7,5,1,6,8,2,8,4,4,1,2,3,3,7,0.18755534,0.49601736
-16.534096,0.9995645,0.27559008,2,7,0,16.549122,0.74292672,-0.63793351,-1.3004067,-1.2432751,-1.5997004,-1.7188443,-1.3320927,-1.2432751,-1.6521038,-1.2498475,-1.245513,8,2,6,5,4,2,8,4,2,5,6,2,8,2,6,3,8,3,1,7,0.13620751,0.81396152
-16.893086,0.97301924,0.52316066,3,7,0,16.899059,0.60294894,-0.82516791,-1.4208763,-1.2170701,-1.5418743,-1.8871505,-1.5400067,-1.2170701,-1.8611179,-1.3058213,-1.2177045,7,5,7,7,5,2,7,5,4,8,7,6,8,6,4,6,2,3,1,8,0.36214631,0.65433594
-16.725959,1,0.90931749,1,1,0,16.904453,0.63766217,-0.77824895,-1.3870233,-1.2152554,-1.5524306,-1.8417844,-1.4878406,-1.2152554,-1.8061584,-1.2898348,-1.2218769,7,3,8,8,4,3,8,5,2,8,7,4,7,3,2,2,6,2,4,7,0.32663455,0.20089982
-16.544022,1,1.7049116,1,1,0,16.549541,0.75215039,-0.6257763,-1.2940495,-1.2485998,-1.6049412,-1.7091112,-1.3186164,-1.2485998,-1.6395213,-1.2469919,-1.2483098,7,4,6,8,4,7,8,6,4,7,8,1,7,5,4,2,6,3,1,7,0.11200734,0.28131007
-16.544022,0.0022660114,3.1687259,1,1,0,17.277962,0.75215039,-0.6257763,-1.2940495,-1.2485998,-1.6049412,-1.7091112,-1.3186164,-1.2485998,-1.6395213,-1.2469919,-1.2483098,8,6,6,5,1,2,5,7,4,7,8,2,7,6,5,2,8,2,4,5,0.11200734,0.21724649
-16.761283,0.99263695,0.29067628,2,7,0,16.846462,0.81454925,-0.54410119,-1.2567886,-1.3001227,-1.6451013,-1.6476467,-1.2281528,-1.3001227,-1.5583767,-1.2306533,-1.2700444,4,5,5,6,3,4,6,4,4,8,8,2,8,3,3,1,8,3,1,7,-0.098326856,0.27876106
-16.845033,0.99672116,0.53146074,3,7,0,16.856596,0.82739253,-0.52741209,-1.2504296,-1.3145665,-1.6543933,-1.6359438,-1.2096834,-1.3145665,-1.5425487,-1.2279631,-1.2751036,8,2,6,4,1,5,5,3,2,7,8,3,6,3,4,3,6,5,3,8,-0.15445179,0.71883356
-17.033671,0.98141364,0.97434804,2,3,0,17.125788,0.84995746,-0.49818956,-1.2404142,-1.3436992,-1.6715768,-1.6161682,-1.1773563,-1.3436992,-1.5154775,-1.2238226,-1.2844567,8,1,8,5,6,3,6,3,1,7,8,1,7,1,4,2,7,5,3,8,-0.26764596,0.89995892
-17.033671,0.32519272,1.6913246,1,1,0,19.061462,0.84995746,-0.49818956,-1.2404142,-1.3436992,-1.6715768,-1.6161682,-1.1773563,-1.3436992,-1.5154775,-1.2238226,-1.2844567,8,3,7,5,3,2,4,2,1,5,7,3,6,3,4,2,8,3,3,8,-0.26764596,0.47629008
-16.597945,0.98858794,0.43195917,1,3,0,17.357373,0.7772985,-0.59274067,-1.277803,-1.2659421,-1.6201372,-1.6834214,-1.2820107,-1.2659421,-1.6059796,-1.2397718,-1.2564888,7,4,3,6,7,2,7,4,3,5,5,1,8,3,4,1,8,2,1,8,0.037905668,0.34190286
-16.901572,0.94695811,0.76403733,1,3,0,16.903886,0.83490178,-0.51767328,-1.2469305,-1.3237096,-1.65999,-1.6292515,-1.1989082,-1.3237096,-1.533435,-1.2265014,-1.278151,4,7,5,6,4,3,5,4,4,7,8,2,7,6,3,2,8,2,1,5,-0.18989643,0.15464951
-16.715399,1,1.1885141,1,3,0,16.768389,0.64024225,-0.77477466,-1.3846074,-1.215315,-1.5533147,-1.8385088,-1.4839795,-1.215315,-1.8021552,-1.2886998,-1.222263,8,5,8,4,2,1,7,3,1,7,8,2,5,5,4,3,8,5,2,5,0.32352642,0.79626844
-17.309148,0.20513828,2.1327594,1,1,0,19.005133,0.53985877,-0.91128652,-1.4885996,-1.2317107,-1.5290828,-1.9758441,-1.635872,-1.2317107,-1.9662281,-1.3381634,-1.2153108,8,8,7,2,2,2,5,5,4,8,8,1,6,6,3,4,7,3,4,8,0.39908994,0.52671011
-17.104341,1,0.4064609,1,1,0,17.295199,0.56829208,-0.87233858,-1.4571117,-1.223414,-1.5338242,-1.9348667,-1.5924974,-1.223414,-1.9180242,-1.3230754,-1.2155233,7,1,6,4,2,1,8,6,4,7,7,2,6,7,6,4,8,4,1,8,0.38663367,0.70315555
-16.613334,1,0.72890793,2,3,0,17.048589,0.7821857,-0.58633933,-1.2748344,-1.2698211,-1.6232448,-1.6785728,-1.27492,-1.2698211,-1.5995918,-1.2384665,-1.2581706,8,3,7,2,6,2,8,5,5,8,8,2,7,5,6,2,8,4,1,8,0.02198397,0.7352931
-16.684128,0.94150649,1.2944682,1,1,0,16.684682,0.64830303,-0.76393167,-1.3771502,-1.2156829,-1.5561655,-1.8283605,-1.4719309,-1.2156829,-1.7897213,-1.2852019,-1.2235351,7,4,8,4,5,7,6,3,3,8,6,3,8,6,4,3,8,1,1,5,0.31337706,0.46443808
-16.684128,0.55391281,1.939958,1,1,0,17.128358,0.64830303,-0.76393167,-1.3771502,-1.2156829,-1.5561655,-1.8283605,-1.4719309,-1.2156829,-1.7897213,-1.2852019,-1.2235351,7,4,4,5,5,2,8,2,3,7,8,2,7,4,4,2,8,5,2,6,0.31337706,0.73053008
-16.684128,0.21715737,1.00788,1,1,0,18.173244,0.64830303,-0.76393167,-1.3771502,-1.2156829,-1.5561655,-1.8283605,-1.4719309,-1.2156829,-1.7897213,-1.2852019,-1.2235351,8,7,8,7,6,2,7,3,4,3,7,5,8,5,5,1,8,5,1,8,0.31337706,0.77357655
-17.787683,0.98144589,0.21365669,3,7,0,17.797927,0.4843538,-0.98797219,-1.5544817,-1.2551919,-1.5246997,-2.0606713,-1.7213649,-1.2551919,-2.0642715,-1.3699469,-1.2193433,8,6,7,3,3,4,4,4,4,8,8,4,7,6,5,3,7,5,1,8,0.40448541,0.334085
-17.199611,0.99970519,0.35794194,3,7,0,17.852703,0.5545835,-0.89108848,-1.4720979,-1.2270805,-1.5313281,-1.954416,-1.6133745,-1.2270805,-1.9410941,-1.3302466,-1.2152376,8,5,6,2,8,4,4,1,2,7,8,3,5,6,4,3,7,5,2,6,0.39347609,0.62770333
-16.702308,1,0.62416682,2,7,0,17.126848,0.80371827,-0.55820751,-1.2625108,-1.2890495,-1.637539,-1.6577679,-1.2437679,-1.2890495,-1.571959,-1.2331053,-1.2659297,5,4,5,2,5,2,8,5,1,7,7,2,8,7,3,2,8,2,6,5,-0.054951276,0.4428231
-18.055231,0.62790402,1.0795901,2,3,0,18.055903,0.91675197,-0.41242011,-1.2201162,-1.464629,-1.7289461,-1.5635363,-1.0825664,-1.464629,-1.4410023,-1.216213,-1.3154741,8,3,8,5,3,4,3,2,2,8,8,1,7,5,7,2,7,3,4,7,-0.78108962,0.4282247
-18.133096,0.98200007,0.70126962,2,7,0,18.152575,0.4501991,-1.0355981,-1.5978391,-1.2740274,-1.5252374,-2.116111,-1.7745223,-1.2740274,-2.1272058,-1.3909825,-1.2250159,7,2,5,7,1,8,6,4,2,8,6,1,6,5,2,3,6,6,4,6,0.39549505,0.057983926
-16.904074,0.81515164,1.1467055,2,3,0,17.541831,0.60095322,-0.82787532,-1.4228977,-1.2173168,-1.5413432,-1.8898323,-1.5430183,-1.2173168,-1.8643397,-1.3067803,-1.2175239,7,6,5,7,4,5,3,5,1,8,8,2,6,5,1,2,6,4,5,5,0.36384466,0.51055562
-16.528318,1,1.2122321,1,1,0,16.641777,0.72835481,-0.65718459,-1.3108737,-1.2359185,-1.5917834,-1.7345612,-1.3534384,-1.2359185,-1.6722864,-1.2545805,-1.2413217,6,2,8,5,5,3,8,4,5,5,6,3,7,6,5,5,8,4,6,7,0.17153399,0.5915858
-16.528318,0.094744507,2.0509464,1,1,0,16.885529,0.72835481,-0.65718459,-1.3108737,-1.2359185,-1.5917834,-1.7345612,-1.3534384,-1.2359185,-1.6722864,-1.2545805,-1.2413217,4,4,7,7,3,3,8,5,4,8,8,3,4,4,3,4,8,5,4,8,0.17153399,0.095677014
