# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:53:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4939d4ff.json
# init = 2 (Default)
# random
#   seed = 838028529
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080953-1-0a6880.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080953-1-7bdf9f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.990787,0.14626717,2,2,3,0,18.135892,0.84538885,-0.50409592,-1.2423203,-1.3373914,-1.6680091,-1.6200911,-1.1838889,-1.3373914,-1.520882,-1.2245996,-1.2825158,7,2,8,3,4,2,7,3,3,6,8,1,6,4,6,1,7,3,2,7,-0.24304116,0.68519357
-16.990787,2.3094369e-07,3.046459,1,1,0,17.092466,0.84538885,-0.50409592,-1.2423203,-1.3373914,-1.6680091,-1.6200911,-1.1838889,-1.3373914,-1.520882,-1.2245996,-1.2825158,6,3,7,7,3,5,7,5,3,8,2,2,7,6,6,5,6,1,3,7,-0.24304116,0.64018041
-17.553519,0.98056946,0.32501124,2,7,0,18.032093,0.89094076,-0.44543507,-1.2262176,-1.4108692,-1.7056129,-1.5828233,-1.1190375,-1.4108692,-1.4687608,-1.2182984,-1.3029119,5,1,4,6,3,2,5,3,4,7,7,2,8,5,2,3,8,4,2,8,-0.53958192,0.30899589
-17.61792,0.99866154,0.33621498,1,1,0,17.629299,0.894799,-0.44048978,-1.2251608,-1.4182835,-1.7090068,-1.5798558,-1.1135732,-1.4182835,-1.4645287,-1.2179163,-1.3047443,8,3,8,4,4,3,6,6,6,7,8,2,8,5,5,1,8,3,1,5,-0.57127917,0.59184781
-17.866817,0.99873672,0.46420943,3,7,0,17.869523,0.90809277,-0.42347811,-1.2219063,-1.4454676,-1.7209532,-1.5698584,-1.0947798,-1.4454676,-1.4501689,-1.2167881,-1.3111805,8,7,5,4,1,4,2,5,4,8,4,3,5,6,7,2,8,5,1,6,-0.69162486,0.18529463
-17.458705,1,0.73459107,1,1,0,17.868323,0.88488559,-0.45320357,-1.2279759,-1.3996414,-1.7003526,-1.5875403,-1.1276221,-1.3996414,-1.4754609,-1.2189469,-1.3000687,8,2,6,4,5,1,7,5,3,8,7,1,7,8,3,5,8,3,2,4,-0.49236624,0.56614786
-16.543416,1,1.2629954,1,1,0,16.942771,0.75169699,-0.62637339,-1.2943571,-1.2483256,-1.6046794,-1.7095858,-1.3192782,-1.2483256,-1.6401363,-1.2471297,-1.2481697,4,4,7,7,6,2,8,2,6,8,8,1,6,7,6,3,7,4,5,8,0.11323202,0.49524548
-16.543416,6.574595e-05,2.2743544,1,1,0,17.384178,0.75169699,-0.62637339,-1.2943571,-1.2483256,-1.6046794,-1.7095858,-1.3192782,-1.2483256,-1.6401363,-1.2471297,-1.2481697,5,1,8,2,2,2,4,4,3,6,8,2,8,4,5,4,7,5,1,8,0.11323202,0.55622958
-16.951803,0.99615729,0.18149077,3,9,0,17.01903,0.59257318,-0.83925556,-1.4314733,-1.2185146,-1.5392031,-1.9011808,-1.5556785,-1.2185146,-1.8779417,-1.3108536,-1.2168376,8,5,5,8,2,2,4,4,3,8,7,1,6,5,4,6,8,2,3,8,0.37058462,0.11054444
-17.018511,0.99569399,0.33071628,1,1,0,17.024969,0.58154073,-0.85426716,-1.4429777,-1.2204819,-1.5366075,-1.916338,-1.5723825,-1.2204819,-1.8960301,-1.31633,-1.2161147,8,5,7,6,5,2,5,6,3,8,8,4,8,6,3,1,8,5,4,7,0.37850949,0.35963476
