# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:53:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2bfc4d30.json
# init = 2 (Default)
# random
#   seed = 1410217270
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080953-1-1eb679.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080953-1-3a3fdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.16917,0.33458559,2,1,3,0,19.088599,0.44683975,-1.0403007,-1.6022172,-1.2760494,-1.5254247,-2.1216996,-1.7797737,-1.2760494,-2.1335036,-1.3931107,-1.225715,7,5,4,7,3,5,8,5,4,8,7,2,5,4,3,5,8,4,1,8,0.39409668,0.50422251
-18.16917,6.3096399e-18,4.2903876,1,1,0,18.301498,0.44683975,-1.0403007,-1.6022172,-1.2760494,-1.5254247,-2.1216996,-1.7797737,-1.2760494,-2.1335036,-1.3931107,-1.225715,6,6,4,5,5,6,4,2,5,6,7,6,6,6,2,3,8,4,6,5,0.39409668,0.46712938
-18.365715,0.99290363,0.50660419,2,3,0,18.525208,0.42912109,-1.0651588,-1.6256425,-1.2871983,-1.5268139,-2.1515833,-1.8075404,-1.2871983,-2.1670413,-1.4045089,-1.2298403,8,2,7,2,8,2,7,2,2,4,7,5,6,2,4,1,8,6,5,8,0.38516517,0.89514285
-18.303704,1,0.57388431,3,7,0,18.446083,0.92671315,-0.39972173,-1.218388,-1.4882094,-1.7383484,-1.5564495,-1.068544,-1.4882094,-1.4306417,-1.2157103,-1.3205108,8,2,8,5,3,1,4,4,3,8,8,1,8,3,4,5,8,2,5,6,-0.89772588,0.32343838
-16.528706,1,0.82670873,2,3,0,17.917482,0.73222097,-0.65207162,-1.3080466,-1.2377478,-1.5938407,-1.7303506,-1.3477684,-1.2377478,-1.6668954,-1.2532986,-1.2424063,7,3,8,5,3,2,5,6,5,8,8,2,8,3,5,3,8,2,1,6,0.16249337,0.30122509
-16.689386,0.84859242,1.3465494,1,1,0,16.729407,0.64689885,-0.76581927,-1.3784393,-1.2155988,-1.5556592,-1.830119,-1.4740282,-1.2155988,-1.7918793,-1.2858059,-1.2233064,8,2,8,3,6,1,7,4,3,8,8,4,6,4,7,1,7,4,1,6,0.31519342,0.61301057
-16.689386,0.021732205,1.4802827,1,1,0,18.353058,0.64689885,-0.76581927,-1.3784393,-1.2155988,-1.5556592,-1.830119,-1.4740282,-1.2155988,-1.7918793,-1.2858059,-1.2233064,5,3,5,4,2,3,8,2,3,3,6,4,7,5,4,5,7,4,1,8,0.31519342,0.77736804
-16.865578,0.99853024,0.12720852,2,5,0,16.888158,0.60806741,-0.81822917,-1.4157289,-1.2165061,-1.5432741,-1.8803092,-1.5322892,-1.2165061,-1.8528856,-1.3033814,-1.2181978,8,8,4,7,4,5,3,5,5,8,8,1,8,4,4,3,7,4,2,7,0.35762452,0.076655344
-16.711558,0.99786401,0.22760571,1,3,0,16.975039,0.64119724,-0.77348914,-1.3837167,-1.2153441,-1.5536454,-1.8372997,-1.4825509,-1.2153441,-1.8006763,-1.2882816,-1.2224085,8,5,8,4,3,2,8,2,2,7,7,4,7,3,2,2,7,3,1,5,0.32235885,0.49339723
-16.649361,1,0.4174461,1,1,0,16.705246,0.65819906,-0.75064378,-1.3681851,-1.2165192,-1.5598492,-1.8160785,-1.4571687,-1.2165192,-1.7746079,-1.2810083,-1.2252318,6,4,7,3,5,2,3,3,4,8,7,3,6,8,2,3,8,4,2,6,0.29998484,0.54961152
-16.537464,0.92149296,0.78227212,2,3,0,16.930906,0.70974356,-0.68185213,-1.3249797,-1.2282968,-1.5823157,-1.7552412,-1.3808003,-1.2282968,-1.6986023,-1.2610125,-1.2363822,7,6,5,3,2,2,8,5,1,7,8,2,5,2,5,2,7,1,3,6,0.21191745,0.56998076
-16.838135,0.82447679,1.151536,1,1,0,16.83814,0.82642019,-0.52867415,-1.2508946,-1.3134211,-1.6536775,-1.6368184,-1.21108,-1.3134211,-1.5437364,-1.2281584,-1.2747138,8,2,4,3,3,2,7,2,1,8,7,4,8,6,5,2,7,2,4,7,-0.15001023,0.8156384
-16.838135,0.61257356,1.2519273,1,1,0,17.741358,0.82642019,-0.52867415,-1.2508946,-1.3134211,-1.6536775,-1.6368184,-1.21108,-1.3134211,-1.5437364,-1.2281584,-1.2747138,7,2,8,3,5,4,8,3,4,6,8,4,8,7,6,1,8,4,2,7,-0.15001023,0.6098
-17.210519,0.94422411,0.70204261,1,1,0,17.211491,0.86639665,-0.47697932,-1.2340822,-1.3682535,-1.6847889,-1.6023935,-1.1539027,-1.3682535,-1.4963549,-1.2212905,-1.2916355,7,2,7,6,5,3,7,4,1,5,8,2,7,5,3,1,8,6,6,3,-0.36453293,0.71444578
-17.29694,0.99673912,1.11686,2,3,0,17.415453,0.5414519,-0.90909829,-1.4867941,-1.2311759,-1.5293039,-1.9735042,-1.6334343,-1.2311759,-1.9634911,-1.3372963,-1.2152835,7,4,8,3,8,3,5,1,2,6,7,5,8,4,5,2,8,3,1,8,0.39856834,0.52386987
-17.29694,0.013594297,2.0832253,1,3,0,17.327072,0.5414519,-0.90909829,-1.4867941,-1.2311759,-1.5293039,-1.9735042,-1.6334343,-1.2311759,-1.9634911,-1.3372963,-1.2152835,7,4,7,8,2,5,6,2,2,6,7,4,7,6,5,2,5,5,2,7,0.39856834,0.31453116
-17.736782,0.99810984,0.18732207,4,15,0,17.777245,0.48973641,-0.98049723,-1.5478423,-1.2525176,-1.5248408,-2.0521616,-1.7130261,-1.2525176,-2.0545348,-1.366733,-1.2186796,8,2,8,6,5,2,3,7,1,8,6,3,8,3,3,2,8,4,1,7,0.40504365,0.32796153
-17.865417,0.99203798,0.35330179,1,1,0,17.904705,0.47632274,-0.99914058,-1.5644864,-1.2593335,-1.5246031,-2.0734826,-1.7338262,-1.2593335,-2.0788907,-1.3747937,-1.2204477,8,2,7,6,3,7,7,2,4,6,7,3,8,5,5,4,6,4,1,8,0.40322014,0.11859566
-17.410045,1,0.64886284,1,1,0,17.880525,0.52709654,-0.92884169,-1.5032367,-1.2362841,-1.5275028,-1.9947787,-1.6554326,-1.2362841,-1.9883089,-1.3452021,-1.2157019,8,1,7,6,7,4,8,5,3,4,6,1,7,4,4,6,7,4,4,8,0.4025239,0.68098157
-17.497157,0.92910584,1.2100283,1,3,0,17.725882,0.88739836,-0.44997873,-1.2272315,-1.4042412,-1.7025257,-1.585574,-1.1240584,-1.4042412,-1.4726719,-1.2186706,-1.3012437,6,3,5,6,4,5,6,3,3,5,6,3,7,7,4,1,8,4,2,8,-0.51160079,0.44320889
-17.497157,0.0075621266,1.809273,1,1,0,17.591607,0.88739836,-0.44997873,-1.2272315,-1.4042412,-1.7025257,-1.585574,-1.1240584,-1.4042412,-1.4726719,-1.2186706,-1.3012437,4,3,5,4,3,6,8,5,4,4,7,3,8,5,6,2,8,4,5,6,-0.51160079,0.3813812
-18.486357,0.99473292,0.17628985,2,5,0,18.668197,0.93315825,-0.39151829,-1.2174629,-1.5044028,-1.7445508,-1.5519705,-1.0594868,-1.5044028,-1.4240441,-1.2154773,-1.3238249,8,5,6,6,4,1,5,3,6,6,8,2,8,6,8,1,8,2,2,7,-0.9828484,0.3200641
-18.694188,0.9966808,0.32282974,2,3,0,19.027209,0.9397313,-0.38316219,-1.2166791,-1.5217244,-1.7509729,-1.5474888,-1.0502623,-1.5217244,-1.4174019,-1.2153153,-1.3272491,6,4,8,3,2,3,8,2,2,6,8,1,6,3,6,1,6,2,1,5,-1.0793443,0.78001736
-18.667907,1,0.58875197,2,3,0,18.836525,0.93894088,-0.38416648,-1.2167647,-1.5195969,-1.7501954,-1.5480231,-1.0513709,-1.5195969,-1.418196,-1.2153307,-1.3268349,7,4,4,6,7,3,8,1,2,8,8,1,8,3,7,5,8,1,1,7,-1.067156,0.66646772
-18.875563,0.9846836,1.0733435,1,1,0,19.307401,0.94489288,-0.37660767,-1.2161786,-1.5359273,-1.7560846,-1.5440307,-1.0430276,-1.5359273,-1.4122477,-1.2152423,-1.3299691,7,2,8,6,4,4,7,3,4,6,8,1,6,6,2,3,8,4,1,8,-1.1634006,0.82093141
-22.821934,0.017754673,1.8542963,1,1,0,23.102318,0.16517494,-1.4467822,-2.0387727,-1.5371364,-1.6317068,-2.6839709,-2.2355186,-1.5371364,-2.7328152,-1.6066555,-1.408873,8,4,7,3,5,2,7,5,1,5,6,5,5,8,5,6,4,6,5,8,-0.18952376,0.67059659
