# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:53:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c588ec62e.json
# init = 2 (Default)
# random
#   seed = 1223918545
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080953-1-3fdead.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080953-1-232364.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.892434,1,2,1,1,0,18.911795,0.94534822,-0.37602975,-1.2161393,-1.5372066,-1.7565384,-1.5437282,-1.0423897,-1.5372066,-1.4117956,-1.2152382,-1.3302104,7,4,4,6,8,2,8,8,4,7,8,2,6,3,2,2,8,2,2,5,-1.171216,0.54207183
-18.892434,2.1148611e-174,14.38551,1,1,0,18.906916,0.94534822,-0.37602975,-1.2161393,-1.5372066,-1.7565384,-1.5437282,-1.0423897,-1.5372066,-1.4117956,-1.2152382,-1.3302104,8,2,6,6,3,3,8,1,7,6,7,4,8,3,4,2,8,3,1,7,-1.171216,0.33443097
-18.574092,1,2.4311673,1,1,0,21.339248,0.93602513,-0.38787245,-1.2171011,-1.511855,-1.7473398,-1.5500051,-1.055462,-1.511855,-1.4211363,-1.2153971,-1.3253129,8,1,6,7,3,1,7,8,5,7,8,3,8,2,5,1,8,5,1,6,-1.0236184,0.48316087
-18.574092,1.911446e-13,3.4442552,2,3,0,19.364456,0.93602513,-0.38787245,-1.2171011,-1.511855,-1.7473398,-1.5500051,-1.055462,-1.511855,-1.4211363,-1.2153971,-1.3253129,8,2,8,3,5,4,8,2,3,6,7,2,8,2,7,4,8,3,1,7,-1.0236184,0.92057232
-16.62774,0.99750739,0.32433241,2,7,0,19.295326,0.66503185,-0.74148429,-1.3621186,-1.2173509,-1.5625109,-1.8077118,-1.446995,-1.2173509,-1.7642704,-1.2781782,-1.2264888,8,4,8,5,3,3,5,6,1,7,8,4,6,4,4,4,6,5,1,6,0.2901193,0.69554758
-16.585086,1,0.50345024,1,1,0,16.621807,0.68098459,-0.72014759,-1.348353,-1.2201314,-1.5691015,-1.7885378,-1.4233022,-1.2201314,-1.7404461,-1.2717816,-1.2296908,7,2,8,5,3,2,8,5,4,7,6,5,7,8,6,1,8,1,4,6,0.265028,0.65450147
-16.544502,0.99557556,0.85681206,2,3,0,16.612221,0.75250369,-0.62531107,-1.2938102,-1.2488144,-1.6051455,-1.7087417,-1.3181008,-1.2488144,-1.6390423,-1.2468847,-1.2484191,8,4,4,8,7,3,7,7,3,8,8,4,7,5,6,1,7,4,3,6,0.11105047,0.098399885
-16.544502,0.27848527,1.5120488,1,1,0,16.673375,0.75250369,-0.62531107,-1.2938102,-1.2488144,-1.6051455,-1.7087417,-1.3181008,-1.2488144,-1.6390423,-1.2468847,-1.2484191,8,4,5,8,2,8,7,5,1,8,7,4,7,5,4,3,5,5,4,5,0.11105047,0.11577003
-17.042537,0.98710393,0.28830571,2,7,0,17.078399,0.85086918,-0.4970115,-1.2400414,-1.344984,-1.6722942,-1.6153903,-1.1760534,-1.344984,-1.5144036,-1.2236714,-1.2848468,6,2,8,2,6,4,8,4,3,6,8,2,8,3,4,1,8,3,1,8,-0.2726688,0.70411121
-16.846846,0.99920868,0.51169365,3,7,0,17.109955,0.61166104,-0.81336179,-1.4121469,-1.2161698,-1.5442893,-1.8755375,-1.5268761,-1.2161698,-1.8471324,-1.3016853,-1.2185698,8,6,1,6,4,5,6,6,3,8,8,3,7,5,6,1,7,2,2,8,0.35430575,0.1133219
