# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-08 07:53:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c212e2ef3.json
# init = 2 (Default)
# random
#   seed = 483416739
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605080953-1-5028f6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605080953-1-5e1fa2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.252533,0.68684544,2,1,3,0,23.329612,0.14831503,-1.471913,-2.069184,-1.5578388,-1.6441685,-2.7240618,-2.2638181,-1.5578388,-2.7733889,-1.6215185,-1.4308915,6,3,8,4,5,2,7,3,2,8,6,5,7,7,2,6,5,4,3,7,-0.27719578,0.72850877
-23.252533,0,8.1404831,0,1,1,23.277459,0.14831503,-1.471913,-2.069184,-1.5578388,-1.6441685,-2.7240618,-2.2638181,-1.5578388,-2.7733889,-1.6215185,-1.4308915,5,5,6,5,4,4,6,3,4,8,7,4,5,6,1,5,7,7,2,6,-0.27719578,0.65105985
-16.714641,0.66806715,1.1621354,2,3,0,19.267114,0.80614408,-0.55504556,-1.261201,-1.2914448,-1.639211,-1.655481,-1.2402675,-1.2914448,-1.5688984,-1.2325417,-1.2668391,8,4,8,2,6,6,7,6,3,6,8,2,8,5,4,4,7,8,3,8,-0.064373408,0.50088297
-16.580198,0.97303245,0.6173911,1,3,0,16.999116,0.68313446,-0.7172773,-1.3465411,-1.2205985,-1.57003,-1.7859923,-1.4201156,-1.2205985,-1.7372688,-1.2709424,-1.2301505,8,6,8,7,3,3,6,2,4,7,8,4,7,6,4,3,7,5,3,6,0.26141814,0.2535692
-16.528703,0.94063268,0.82778608,2,3,0,16.786083,0.72463513,-0.6621075,-1.3136274,-1.23424,-1.5898335,-1.7386399,-1.358898,-1.23424,-1.6774977,-1.2558316,-1.2402971,8,5,5,6,6,3,7,2,3,6,6,5,8,4,6,2,5,2,2,5,0.18001419,0.71378561
-16.528703,0.39809335,1.129647,1,1,0,16.96786,0.72463513,-0.6621075,-1.3136274,-1.23424,-1.5898335,-1.7386399,-1.358898,-1.23424,-1.6774977,-1.2558316,-1.2402971,8,6,8,4,3,3,8,3,3,8,8,2,6,6,5,3,8,3,1,7,0.18001419,0.65985115
-17.130158,0.98026215,0.31114012,2,7,0,17.137899,0.56448303,-0.87754317,-1.461239,-1.2243692,-1.5330914,-1.9402601,-1.5982917,-1.2243692,-1.9244025,-1.3250485,-1.2154103,6,3,8,3,4,6,8,4,2,7,7,3,6,5,5,1,7,5,6,8,0.38869299,0.54829855
-17.048494,1,0.51479995,1,1,0,17.173776,0.57680272,-0.86072433,-1.4479926,-1.2214601,-1.5355703,-1.9229232,-1.5795691,-1.2214601,-1.9038616,-1.3187212,-1.2158681,8,3,7,8,6,4,7,7,1,8,7,1,5,7,6,2,8,2,4,8,0.38158767,0.46560363
-17.021245,1,0.9379342,1,1,0,17.290172,0.58110345,-0.85486284,-1.4434386,-1.2205689,-1.5365098,-1.9169438,-1.5730454,-1.2205689,-1.8967513,-1.3165497,-1.2160903,8,6,8,3,6,5,8,5,2,7,8,5,5,6,3,4,7,4,3,6,0.3788017,0.76088911
-17.021245,0.11630411,1.7437856,2,3,0,17.029826,0.58110345,-0.85486284,-1.4434386,-1.2205689,-1.5365098,-1.9169438,-1.5730454,-1.2205689,-1.8967513,-1.3165497,-1.2160903,8,2,8,5,4,1,8,2,2,6,5,2,8,4,7,3,8,6,5,7,0.3788017,0.71550327
-17.036484,0.9991603,0.20020731,3,7,0,17.150614,0.57868554,-0.8581576,-1.4459944,-1.2210619,-1.5359769,-1.9203009,-1.5767123,-1.2210619,-1.9007449,-1.3177681,-1.2159614,8,3,6,3,3,6,4,6,5,8,8,4,6,5,6,7,6,5,2,7,0.38038762,0.32424287
-16.787826,0.9991508,0.37723783,2,3,0,17.074262,0.62366033,-0.79713482,-1.4003782,-1.215411,-1.5478727,-1.8597925,-1.5088333,-1.215411,-1.8280807,-1.2961239,-1.2199628,7,2,6,7,6,5,8,1,3,8,7,2,6,2,5,2,8,4,5,4,0.3423469,0.56612363
