# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:42:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4bd9edd5.json
# init = 2 (Default)
# random
#   seed = 225988976
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110942-1-4446b8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110942-1-1aa8fd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.292817,0.006518813,2,1,1,0,20.788955,0.38278155,-1.5336665,-1.5288708,-2.389726,-1.7337345,-1.8511788,-1.8729687,-1.8721948,-1.5185136,-1.577446,-1.5288708,3,7,4,1,8,8,6,3,4,4,4,5,4,5,7,7,7,1,4,4,0.34893638,0.97244314
-20.292817,0.027273172,2.3629055,1,1,0,21.135131,0.38278155,-1.5336665,-1.5288708,-2.389726,-1.7337345,-1.8511788,-1.8729687,-1.8721948,-1.5185136,-1.577446,-1.5288708,6,8,4,5,7,5,8,1,4,2,5,8,1,6,5,8,7,2,7,5,0.34893638,0.34621836
-20.33397,0.9984777,0.24932386,4,15,0,20.421778,0.49581987,-1.5250741,-1.5453593,-2.1052353,-1.8113539,-2.028564,-2.0296649,-1.7328463,-1.690701,-1.5470834,-1.5453593,2,5,4,1,6,4,8,3,8,3,6,5,4,2,7,5,7,5,4,4,0.40539521,0.34695239
-20.404236,0.98496223,0.26132327,2,7,0,21.066796,0.33687416,-1.5451315,-1.5257313,-2.5088563,-1.7058832,-1.7923725,-1.8184705,-1.9409234,-1.4498314,-1.5936315,-1.5257313,4,5,3,5,8,7,8,3,6,6,8,6,7,7,5,5,6,5,1,5,0.29292313,0.60459064
-20.27172,0.99684109,0.34070022,2,5,0,20.555629,0.45743081,-1.5249161,-1.5383434,-2.2004862,-1.7835274,-1.9627404,-1.9727264,-1.775861,-1.6317251,-1.5559116,-1.5383434,2,4,2,3,8,2,6,3,3,4,7,5,5,1,7,6,6,2,8,2,0.39819016,0.6852277
-20.779202,0.86277826,0.52893946,1,3,0,21.634244,0.26064901,-1.5747962,-1.5249524,-2.7115526,-1.6641897,-1.7095806,-1.7389243,-2.0741602,-1.3373243,-1.6256432,-1.5249524,6,4,3,2,4,3,8,3,6,3,4,6,2,4,5,5,7,1,4,3,0.14519638,0.34604478
-20.604981,1,0.59216551,2,3,0,20.766932,0.28983435,-1.561838,-1.5246017,-2.6332031,-1.679489,-1.7391876,-1.7678021,-2.020059,-1.3801785,-1.6126144,-1.5246017,4,4,5,5,6,4,6,2,8,1,3,4,3,4,3,4,8,5,5,6,0.21105671,0.57868737
-20.423445,1,1.0530358,1,1,0,20.60037,0.33124382,-1.5468638,-1.5254853,-2.5236166,-1.7026103,-1.7856393,-1.8121334,-1.9499078,-1.4414562,-1.5957744,-1.5254853,2,7,3,4,7,7,8,1,6,6,3,7,2,6,6,4,6,2,4,5,0.28452318,0.65744685
-20.423445,0.0019579972,1.9318676,1,1,0,21.238482,0.33124382,-1.5468638,-1.5254853,-2.5236166,-1.7026103,-1.7856393,-1.8121334,-1.9499078,-1.4414562,-1.5957744,-1.5254853,7,4,5,5,4,3,7,4,8,5,5,6,4,4,3,2,8,2,8,3,0.28452318,0.18849446
-20.641309,0.99829954,0.15418591,3,11,0,20.824421,0.57966208,-1.5361907,-1.5658821,-1.9018424,-1.8775334,-2.1951511,-2.1682837,-1.6522287,-1.8213474,-1.5329543,-1.5658821,5,6,2,3,8,6,8,1,6,4,6,5,3,6,6,6,8,3,5,2,0.37975318,0.85731849
-20.956875,0.9855749,0.28698978,1,3,0,21.096278,0.63185229,-1.5504901,-1.5823582,-1.7783059,-1.9225906,-2.3169601,-2.2651673,-1.6102676,-1.9039857,-1.52765,-1.5823582,7,6,3,6,7,6,7,4,5,5,4,6,4,4,6,5,6,3,8,1,0.3333888,0.51654166
-20.268257,1,0.51783077,2,3,0,20.865099,0.45367094,-1.5250692,-1.5377353,-2.2098892,-1.780884,-1.9566162,-1.9673604,-1.7802991,-1.6259769,-1.5568574,-1.5377353,7,2,5,2,8,8,8,1,4,7,5,6,2,4,8,6,8,2,7,4,0.39684251,0.28634643
-20.749183,0.78976133,0.98082711,1,1,0,20.752671,0.59944245,-1.5409466,-1.5717866,-1.8547512,-1.8942549,-2.2395377,-2.2040034,-1.6356305,-1.8525472,-1.5306325,-1.5717866,3,8,2,5,7,7,6,6,6,6,2,5,2,4,8,3,8,5,8,3,0.36510633,0.75457581
-20.749183,0.70246802,0.95964143,1,1,0,21.522763,0.59944245,-1.5409466,-1.5717866,-1.8547512,-1.8942549,-2.2395377,-2.2040034,-1.6356305,-1.8525472,-1.5306325,-1.5717866,7,6,1,4,7,7,8,2,5,4,4,7,3,4,8,8,5,5,2,5,0.36510633,0.84748754
-20.751666,0.99942107,0.71717427,1,1,0,20.876081,0.59986932,-1.5410582,-1.5719186,-1.8537387,-1.8946205,-2.2405188,-2.2047875,-1.6352818,-1.8532221,-1.5305866,-1.5719186,2,8,3,6,8,7,7,5,8,4,6,8,5,5,8,8,6,5,6,3,0.36475194,0.62534395
-20.617478,1,1.3526458,1,3,0,20.642527,0.28749184,-1.5628039,-1.5246003,-2.6394573,-1.6782307,-1.7367176,-1.7654128,-2.0242526,-1.3767287,-1.6136244,-1.5246003,2,5,1,3,8,6,7,4,3,2,2,4,4,7,6,6,6,2,8,4,0.20623475,0.70089448
-20.617478,0.00044646443,2.5378201,1,1,0,20.64295,0.28749184,-1.5628039,-1.5246003,-2.6394573,-1.6782307,-1.7367176,-1.7654128,-2.0242526,-1.3767287,-1.6136244,-1.5246003,3,4,2,5,8,7,5,2,5,4,7,5,3,4,6,6,7,1,4,6,0.20623475,0.93985822
-20.507997,0.99933633,0.22301758,1,3,0,20.678807,0.30988449,-1.5540937,-1.5248265,-2.5799141,-1.6904759,-1.7610131,-1.7887697,-1.9851726,-1.4097787,-1.604222,-1.5248265,4,6,6,3,1,3,7,4,6,3,7,5,1,3,7,4,8,3,5,3,0.24930752,0.54343064
-20.273555,0.97352276,0.42024422,3,7,0,21.422414,0.39736877,-1.5310033,-1.5302939,-2.3523181,-1.7430225,-1.871374,-1.8913591,-1.8519461,-1.5404861,-1.5727772,-1.5302939,7,5,8,7,7,7,7,3,3,5,7,3,1,2,8,5,8,4,4,3,0.3624191,0.19397092
-20.954038,0.8966673,0.72625817,2,3,0,21.065721,0.63144775,-1.5503576,-1.5822193,-1.7792547,-1.9222296,-2.3159561,-2.2643832,-1.6105706,-1.9033412,-1.527681,-1.5822193,5,5,1,3,7,7,6,1,5,2,6,7,1,2,6,8,6,5,5,2,0.3338466,0.57378188
-20.813022,1,0.98996602,2,3,0,21.257448,0.25568478,-1.5772019,-1.5250917,-2.7249728,-1.6616688,-1.7047937,-1.7342041,-2.0837776,-1.3300623,-1.6279563,-1.5250917,5,6,3,2,8,6,3,2,5,1,4,4,2,4,2,4,8,2,5,2,0.13265889,0.79714764
