# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:42:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c66f8b177.json
# init = 2 (Default)
# random
#   seed = 1325277231
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110942-2-4155d8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110942-2-089ae6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.426074,0.38370712,1,1,3,0,22.687509,0.11920485,-1.6674722,-1.5379067,-3.1051475,-1.601504,-1.5996867,-1.625622,-2.4066616,-1.1334275,-1.7030553,-1.5379067,4,6,2,4,5,7,8,2,6,5,7,5,5,6,1,6,8,1,5,5,-0.4620826,0.43019301
-22.426074,4.4994489e-12,4.6912025,1,3,0,23.516368,0.11920485,-1.6674722,-1.5379067,-3.1051475,-1.601504,-1.5996867,-1.625622,-2.4066616,-1.1334275,-1.7030553,-1.5379067,5,3,2,5,7,4,7,3,3,1,7,6,7,2,7,5,8,1,6,3,-0.4620826,0.32212393
-20.504752,0.98650218,0.56878958,1,3,0,23.338897,0.31062406,-1.5538258,-1.524842,-2.5779567,-1.6908887,-1.7618419,-1.7895609,-1.9839195,-1.410873,-1.603921,-1.524842,5,7,1,6,7,6,5,2,4,5,2,2,5,5,6,5,5,3,5,4,0.25061903,0.71855513
-20.260418,1,0.64307652,2,3,0,20.459205,0.44178008,-1.5257525,-1.5359041,-2.2397153,-1.7726193,-1.9376135,-1.9506329,-1.7946106,-1.6078301,-1.5599444,-1.5359041,5,5,5,1,7,6,3,3,4,2,5,5,3,4,8,7,8,3,5,5,0.39181412,0.15548541
-20.503523,0.90291694,0.93403115,2,3,0,20.574971,0.54956352,-1.5305119,-1.5576826,-1.974144,-1.8529089,-2.1314938,-2.1161892,-1.6791967,-1.7741514,-1.5372233,-1.5576826,6,3,4,4,4,8,5,1,3,2,3,5,5,4,7,7,5,3,4,3,0.39559034,0.29834204
-21.080199,0.65466996,1.1450705,2,3,0,21.305275,0.22177897,-1.5952289,-1.5266597,-2.817376,-1.6450801,-1.6739798,-1.7034355,-2.1529491,-1.2806717,-1.6445209,-1.5266597,6,6,3,4,7,4,8,3,4,4,8,3,3,2,5,6,8,1,6,3,0.034940764,0.46067254
-21.080199,0.77345484,0.69212912,2,3,0,24.086421,0.22177897,-1.5952289,-1.5266597,-2.817376,-1.6450801,-1.6739798,-1.7034355,-2.1529491,-1.2806717,-1.6445209,-1.5266597,8,5,1,1,8,4,8,4,2,5,7,5,4,2,7,7,8,5,6,5,0.034940764,0.85244934
-20.502078,0.99518788,0.60962906,2,7,0,21.109292,0.54920719,-1.5304559,-1.5575912,-1.9750047,-1.8526233,-2.1307671,-2.1155884,-1.6795288,-1.7735947,-1.5372792,-1.5575912,6,7,4,3,5,5,7,4,3,3,7,6,3,1,5,6,7,2,4,1,0.39573251,0.73314819
-20.812787,0.83807165,1.0958233,1,1,0,20.980741,0.61003898,-1.5438278,-1.5751198,-1.8296604,-1.9033904,-2.2641922,-2.2236358,-1.627092,-1.8693215,-1.5295454,-1.5751198,7,5,4,2,7,8,8,4,7,2,3,5,3,3,8,7,7,4,7,2,0.35581855,0.24887916
-20.579376,0.93870438,1.2226731,1,3,0,20.674619,0.2947869,-1.5598381,-1.5246219,-2.62,-1.6821666,-1.7444644,-1.7728952,-2.0112752,-1.3874778,-1.6104994,-1.5246219,6,3,3,3,6,7,8,3,6,5,8,5,3,5,7,3,7,1,3,5,0.22100167,0.48744205
-20.579376,0.16583031,1.8903169,1,1,0,22.361902,0.2947869,-1.5598381,-1.5246219,-2.62,-1.6821666,-1.7444644,-1.7728952,-2.0112752,-1.3874778,-1.6104994,-1.5246219,7,6,1,5,6,4,6,3,5,6,8,6,6,4,8,5,7,2,4,4,0.22100167,0.58212194
-21.627475,0.96392955,0.25550549,2,7,0,23.245758,0.7096136,-1.5822521,-1.6123773,-1.598387,-1.9954548,-2.5296482,-2.4261368,-1.5580333,-2.0290503,-1.5246028,-1.6123773,6,6,3,5,6,7,8,5,4,6,7,3,2,3,7,4,8,4,3,3,0.21218195,0.54626352
-21.59465,1,0.43290803,1,1,0,21.716461,0.70641951,-1.5807005,-1.6110121,-1.6056826,-1.9923231,-2.5200782,-2.4191077,-1.559953,-2.0238666,-1.5246149,-1.6110121,4,4,1,4,7,7,6,2,6,1,5,6,3,5,8,4,6,2,7,4,0.21861002,0.78241771
-20.904016,1,0.82176757,1,1,0,21.508471,0.62416093,-1.5480286,-1.5797478,-1.7963684,-1.9157597,-2.2980375,-2.2503496,-1.616086,-1.8917425,-1.5282659,-1.5797478,4,6,3,4,6,6,7,2,7,5,6,7,3,1,8,6,5,4,4,1,0.34181819,0.55859346
-20.904016,0.65731117,1.5543104,1,3,0,21.195544,0.62416093,-1.5480286,-1.5797478,-1.7963684,-1.9157597,-2.2980375,-2.2503496,-1.616086,-1.8917425,-1.5282659,-1.5797478,7,4,5,4,7,6,5,1,1,4,5,7,8,4,6,6,8,3,8,5,0.34181819,0.26793392
-20.83549,1,1.0107221,2,3,0,20.840811,0.25248673,-1.578783,-1.5251937,-2.733633,-1.6600573,-1.7017476,-1.7311925,-2.0900398,-1.3253881,-1.6294615,-1.5251937,4,8,2,2,8,7,5,3,4,7,5,4,3,6,7,4,5,4,6,2,0.12435967,0.58139901
-22.186508,0.066326502,1.9001381,2,3,0,22.775695,0.757797,-1.6082375,-1.6343821,-1.4892878,-2.0441807,-2.6839828,-2.5368144,-1.5312734,-2.1077432,-1.5255865,-1.6343821,6,4,6,2,5,4,8,1,8,8,6,7,3,7,8,7,6,4,6,5,0.096440659,0.12391524
-22.205213,0.99984448,0.20463358,1,1,0,22.226283,0.75923725,-1.609089,-1.635081,-1.4860539,-2.0456806,-2.6889029,-2.5402609,-1.5305354,-2.1101099,-1.5256494,-1.635081,5,6,2,4,5,6,8,4,6,4,3,5,1,4,7,7,7,2,4,4,0.092375222,0.26108586
-20.800207,0.98528413,0.38645433,1,3,0,23.043396,0.60799652,-1.5432543,-1.5744681,-1.8344893,-1.9016199,-2.2593914,-2.2198243,-1.6287189,-1.866085,-1.5297465,-1.5744681,7,6,3,4,5,5,7,3,4,3,4,4,2,3,4,4,6,2,4,4,0.35768879,0.29272425
-20.616469,1,0.69236428,1,1,0,20.806197,0.57470867,-1.5351267,-1.5644678,-1.9136874,-1.8734132,-2.1843592,-2.159525,-1.6565228,-1.8135572,-1.5335956,-1.5644678,4,5,3,6,6,8,8,7,6,8,5,7,3,3,6,6,6,3,6,1,0.38288658,0.29410371
-20.383592,0.71498705,1.2847877,2,3,0,20.596432,0.51506846,-1.5263257,-1.5494348,-2.057986,-1.8258853,-2.0639236,-2.0597211,-1.712786,-1.7204693,-1.5432195,-1.5494348,7,4,2,1,8,5,6,3,6,2,1,6,2,4,6,4,6,1,3,5,0.40455646,0.43697826
-20.259723,1,1.0165418,1,1,0,20.319816,0.44017484,-1.525868,-1.5356676,-2.2437521,-1.7715147,-1.9350903,-1.9484029,-1.7965751,-1.6053841,-1.5603723,-1.5356676,6,5,1,3,8,7,8,3,7,5,3,4,4,6,5,4,7,3,8,4,0.39104544,0.59441711
-20.259723,0.045421267,1.8627111,1,1,0,20.706966,0.44017484,-1.525868,-1.5356676,-2.2437521,-1.7715147,-1.9350903,-1.9484029,-1.7965751,-1.6053841,-1.5603723,-1.5356676,7,4,1,2,7,4,7,4,3,2,7,3,2,2,6,6,6,1,8,4,0.39104544,0.59004857
-20.630871,0.99267051,0.21078885,3,11,0,20.796753,0.57760158,-1.5357419,-1.5652907,-1.9067671,-1.8758163,-2.1906465,-2.1646313,-1.6540082,-1.8181058,-1.5332182,-1.5652907,1,4,4,6,5,8,6,4,7,5,3,5,3,1,7,5,6,3,6,6,0.38108222,0.43087138
-20.382964,0.9847447,0.37956741,2,7,0,21.09224,0.34358651,-1.5431601,-1.5260641,-2.4913027,-1.7098256,-1.8005337,-1.8261235,-1.9303767,-1.4598299,-1.5911221,-1.5260641,5,4,3,3,8,8,8,2,2,5,3,6,6,5,5,7,7,2,5,5,0.30247875,0.65318953
-20.576972,0.96511743,0.66169899,1,1,0,20.577026,0.29526323,-1.5596488,-1.5246251,-2.6187316,-1.6824254,-1.7449758,-1.773388,-2.0104362,-1.3881803,-1.6102975,-1.5246251,7,5,6,4,6,8,8,2,3,6,4,5,7,4,7,4,2,4,6,4,0.22194053,0.51750972
-20.576972,0.16368036,1.0810636,1,3,0,23.357348,0.29526323,-1.5596488,-1.5246251,-2.6187316,-1.6824254,-1.7449758,-1.773388,-2.0104362,-1.3881803,-1.6102975,-1.5246251,6,8,2,2,8,7,7,2,4,4,4,3,7,6,5,7,6,1,4,6,0.22194053,0.69113233
