# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c36d32667.json
# init = 2 (Default)
# random
#   seed = 1714377649
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-1-0876f4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-1-8da070.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.963313,0.93252774,0.5,2,3,0,21.395399,0.23560289,-1.5875404,-1.5258907,-2.7795443,-1.6517113,-1.686151,-1.7156719,-2.1239912,-1.3007651,-1.637605,-1.5258907,4,6,3,2,6,5,7,6,8,4,6,8,4,6,5,6,8,2,7,4,0.077484051,0.57797087
-20.963313,0,12.724695,0,1,1,21.078488,0.23560289,-1.5875404,-1.5258907,-2.7795443,-1.6517113,-1.686151,-1.7156719,-2.1239912,-1.3007651,-1.637605,-1.5258907,2,6,1,2,8,8,5,2,4,3,5,8,5,6,7,6,8,5,5,2,0.077484051,0.89132162
-20.963313,0.66689311,2.0737071,1,3,0,21.340658,0.23560289,-1.5875404,-1.5258907,-2.7795443,-1.6517113,-1.686151,-1.7156719,-2.1239912,-1.3007651,-1.637605,-1.5258907,7,2,6,4,4,6,5,5,5,1,5,5,3,2,6,4,8,1,6,3,0.077484051,0.36332226
-21.266872,0.89949454,1.18446,1,1,0,21.592937,0.20216442,-1.6069505,-1.5280564,-2.8714329,-1.635982,-1.6576172,-1.6867954,-2.1959411,-1.2522643,-1.6547221,-1.5280564,6,6,4,5,7,3,7,2,8,4,3,5,4,2,2,3,8,3,6,5,-0.032767228,0.4186784
-21.332159,0.80570889,1.3491654,1,3,0,21.365213,0.6789743,-1.5682419,-1.5997526,-1.6687002,-1.965909,-2.4409386,-2.3602196,-1.5772253,-1.9794913,-1.525116,-1.5997526,4,5,2,5,8,5,6,2,3,1,4,7,3,2,8,8,8,3,2,5,0.26835337,0.67588631
-20.45709,1,1.2578139,1,1,0,21.00498,0.53751879,-1.5287676,-1.5546641,-2.0032992,-1.8433287,-2.1072679,-2.096086,-1.6905906,-1.755358,-1.5391824,-1.5546641,7,8,1,3,8,3,6,7,5,1,4,3,2,2,6,6,8,5,5,3,0.39981856,0.90361775
-20.45709,0.016202966,2.1941899,1,1,0,20.530552,0.53751879,-1.5287676,-1.5546641,-2.0032992,-1.8433287,-2.1072679,-2.096086,-1.6905906,-1.755358,-1.5391824,-1.5546641,5,6,3,2,8,4,6,4,5,2,7,3,6,5,6,6,7,1,6,1,0.39981856,0.88315593
-20.284875,0.99102026,0.18655481,2,7,0,21.425257,0.4686666,-1.5246384,-1.5402444,-2.1724659,-1.7915137,-1.9813786,-1.9889837,-1.7628426,-1.6489325,-1.553172,-1.5402444,6,6,5,2,6,6,8,1,7,4,3,7,4,6,8,7,7,2,3,2,0.40153025,0.2815901
-20.270268,0.98252847,0.32721158,3,7,0,20.906761,0.45591603,-1.5249741,-1.5380967,-2.2042729,-1.7824607,-1.9602663,-1.9705601,-1.777644,-1.6294087,-1.5562909,-1.5380967,6,5,3,4,8,5,8,3,4,2,5,6,3,7,5,4,6,2,5,5,0.39766115,0.43524711
-20.279951,0.99835257,0.57276472,1,1,0,20.280259,0.46486267,-1.5247023,-1.5395868,-2.181939,-1.7887953,-1.9750116,-1.9834423,-1.7672094,-1.6431019,-1.554085,-1.5395868,1,5,6,6,8,8,6,3,5,4,7,8,5,6,5,5,5,1,7,4,0.40051434,0.88231685
