# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c681b76d.json
# init = 2 (Default)
# random
#   seed = 1861544561
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-1-08a88d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-1-64dbdb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.918197,0.33337142,2,2,3,0,25.68075,0.25246831,-2.0331671,-1.5787922,-1.6321022,-1.6318171,-0.800327,-1.5618228,-1.5251943,-5.1759,-1.9104548,-2.7337232,4,4,3,7,4,2,3,6,3,7,6,6,4,8,8,1,4,8,6,6,0.12431134,0.70308933
-23.918197,0.0011072861,4.2809266,2,5,0,23.945924,0.25246831,-2.0331671,-1.5787922,-1.6321022,-1.6318171,-0.800327,-1.5618228,-1.5251943,-5.1759,-1.9104548,-2.7337232,3,3,4,6,6,1,5,5,1,8,4,4,6,6,8,1,8,8,4,7,0.12431134,0.97252259
-23.187506,0.99498875,0.50647657,3,7,0,24.122023,0.40392239,-1.8616566,-1.5299587,-1.7319836,-1.7180757,-1.1145396,-1.47677,-1.5310005,-4.616909,-1.7249114,-3.0338668,3,6,3,4,7,2,6,4,3,7,4,5,4,3,8,4,4,7,5,8,0.36784255,0.74030481
-23.427659,0.91782297,0.57691745,1,3,0,23.916053,0.58931493,-1.6752884,-1.5384103,-1.881567,-1.8650749,-1.5203047,-1.4412362,-1.5687121,-4.0549827,-1.5593174,-3.4853186,2,5,1,3,8,4,8,8,2,3,7,7,4,7,6,2,6,7,3,7,0.37303631,0.17324845
-23.427659,0.67352069,0.65741337,1,3,0,25.608619,0.58931493,-1.6752884,-1.5384103,-1.881567,-1.8650749,-1.5203047,-1.4412362,-1.5687121,-4.0549827,-1.5593174,-3.4853186,6,6,1,7,8,1,5,6,3,8,2,2,7,4,8,2,5,8,4,8,0.37303631,0.29817206
-23.409951,1,0.40054285,2,3,0,23.441662,0.5852901,-1.6790553,-1.5374613,-1.8779966,-1.8613465,-1.5112295,-1.441129,-1.5675202,-4.0660647,-1.5621897,-3.4743107,4,3,6,1,7,4,4,8,8,7,1,6,7,7,6,2,2,6,7,8,0.37593578,0.26489011
-23.409951,0.86769352,0.67748348,1,3,0,24.332447,0.5852901,-1.6790553,-1.5374613,-1.8779966,-1.8613465,-1.5112295,-1.441129,-1.5675202,-4.0660647,-1.5621897,-3.4743107,4,6,3,6,8,1,3,6,8,4,4,8,6,5,6,5,8,8,8,8,0.37593578,0.36702519
-24.227442,0.80062971,0.79986299,1,1,0,24.231661,0.70769746,-1.5701745,-1.5813188,-1.9931257,-1.9866645,-1.7929008,-1.4640012,-1.6115569,-3.7474846,-1.4896075,-3.8391986,2,4,6,8,8,6,7,8,2,8,2,5,6,4,6,2,6,3,2,8,0.21605496,0.25064295
-24.828918,0.90784471,0.78214134,1,1,0,24.951487,0.76387332,-1.5242215,-1.6118594,-2.0505643,-2.0530611,-1.9262614,-1.4892866,-1.6373474,-3.6129444,-1.4668259,-4.0310661,2,5,5,4,4,3,7,8,3,8,4,4,7,7,5,2,4,6,3,8,0.079019304,0.66171818
-25.779169,0.85228859,1.0860192,1,1,0,26.229942,0.82917137,-1.4740957,-1.6557081,-2.1210673,-2.1380832,-2.0847167,-1.5320737,-1.6719796,-3.4647381,-1.4491167,-4.2787441,6,1,3,8,8,2,6,6,4,5,2,6,4,8,6,4,3,7,3,8,-0.16266333,0.64479439
