# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6678f1c.json
# init = 2 (Default)
# random
#   seed = 1580948476
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-1-248f2b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-1-7f45f7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.427984,1,1,1,1,0,20.86823,0.3299649,-1.5472674,-1.5254336,-2.5269739,-1.7018712,-1.784124,-1.8107044,-1.9519664,-1.4395552,-1.596266,-1.5254336,6,8,2,4,6,4,7,1,7,3,8,3,5,6,6,6,7,3,5,4,0.28256529,0.53385129
-20.427984,0,14.38551,0,1,1,20.434344,0.3299649,-1.5472674,-1.5254336,-2.5269739,-1.7018712,-1.784124,-1.8107044,-1.9519664,-1.4395552,-1.596266,-1.5254336,5,6,2,2,8,8,8,2,4,6,7,5,4,6,7,5,7,4,8,4,0.28256529,0.69355465
-20.279846,0.3334771,2.4311673,2,3,0,20.289386,0.46477753,-1.5247041,-1.5395722,-2.1821512,-1.7887347,-1.9748698,-1.9833187,-1.7673076,-1.6429714,-1.5541056,-1.5395722,7,5,1,3,7,3,8,6,7,5,4,7,2,3,5,8,8,3,6,4,0.40049026,0.45809417
-20.627005,0.88850742,0.58311457,1,3,0,21.130745,0.28573688,-1.563536,-1.5246026,-2.6441467,-1.6772915,-1.7348779,-1.7636309,-2.027411,-1.3741454,-1.6143851,-1.5246026,2,4,1,4,8,4,7,3,5,1,5,6,1,4,5,5,6,5,6,3,0.2025717,0.72778058
-20.345973,0.94973956,0.61155839,1,3,0,21.215379,0.5009421,-1.525331,-1.5464072,-2.0926289,-1.8151828,-2.0378153,-2.0375633,-1.7274128,-1.6986097,-1.5460187,-1.5464072,4,6,2,3,4,6,8,2,5,2,7,7,5,2,8,8,7,2,8,6,0.40546156,0.62556461
-20.369067,0.83919246,0.84632097,2,3,0,20.927933,0.50990312,-1.5259133,-1.5483043,-2.0706323,-1.8219475,-2.0542748,-2.0515549,-1.718074,-1.712468,-1.5442197,-1.5483043,3,5,5,3,8,4,8,3,7,1,4,4,6,5,6,6,8,5,6,4,0.40507274,0.50237523
-22.330215,0.48773622,0.89272231,1,3,0,22.354368,0.76862225,-1.6147442,-1.6396949,-1.4650197,-2.0555165,-2.7214331,-2.5629223,-1.5258117,-2.1255522,-1.5261069,-1.6396949,6,7,1,5,3,6,5,2,5,7,3,6,3,2,7,6,7,4,6,6,0.064900197,0.59398968
-22.306543,1,0.32448309,1,1,0,22.395509,0.76687623,-1.613678,-1.6388287,-1.468928,-2.0536784,-2.7153187,-2.5586794,-1.5266794,-2.1226765,-1.5260155,-1.6388287,4,3,3,6,5,6,5,4,5,7,5,5,3,2,5,7,7,4,4,1,0.07014385,0.32472354
-20.25809,1,0.58856024,2,3,0,21.971855,0.43506939,-1.5262722,-1.5349323,-2.2566074,-1.7680189,-1.927131,-1.9413544,-1.8028754,-1.5976106,-1.5617512,-1.5349323,1,7,1,5,5,3,5,1,8,4,7,7,5,3,7,3,7,2,4,4,0.38845736,0.51742345
-22.10349,0.35966254,1.0917745,1,1,0,22.103917,0.75128579,-1.6044424,-1.6312523,-1.5039272,-2.0374318,-2.6619735,-2.5213359,-1.5346539,-2.0970544,-1.5253263,-1.6312523,2,6,3,4,8,7,6,2,6,1,4,7,2,3,7,8,7,3,3,2,0.11433954,0.83380893
